Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,BRITISH YOUTH COUNCIL.,3000055312,25212.00,Support for youth participation in public decision making,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000055315,40869.00,IT development for CERT UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000055318,46118.44,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000055318,51050.95,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000055336,68802.72,Storage and hosting costs for the Verify identity assurance programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,OTHER LEGAL FEES,GDS ID ASSURANCE,SLAUGHTER & MAY,3000055326,92074.70,Legal services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000055342,93076.20,High Integrity Telecoms System Project Costs,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/12/14,MOTO Aviation House,Estates Management,Food Standards Agency,PINDOH 41101,99947.00,Estate services ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000055318,118100.59,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,SKYSCAPE CLOUD SERVICES LTD,3000055336,136276.62,Hosting costs for GOV.UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,OTHER IS IT COSTS VAT RECOV,ICT SERVICE DELIVERY,HM TREASURY,3000055322,300000.00,Costs for use of shared departmental IT systems and support,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/12/2014,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY GRANTS,THE JOIN IN TRUST,3000055340,450000.00,Support to continue to develop the Olympic legacy of volunteering,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,AGE UK,3000055358,25000.00,Support for youth participation in public decision making,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000055356,40137.44,Consultancy support for HS2 Project,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2014,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000055377,54374.52,Estate services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2014,CONSULTANTS VAT RECOVERABLE,BEHAVIOURAL INSIGHT TEAM,THE BEHAVIOURAL INSIGHTS TEAM,3000055359,89950.00,Insight Work Proramme costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2014,OPERATING LEASES - RENT,35 GREAT SMITH STREET,JONES LANG LASALLE LTD,3000055374,303600.00,Rent for accommodation,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2014,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000055423,25300.00,"Grant to help raise awareness of social investment and, in particular, Social Investment Tax Relief",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2014,OTHER IS IT COSTS VAT RECOV,GDS GOV UK TRANSITION,SCRAPERWIKI LTD,3000055408,33176.71,IT support for GOV.UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2014,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000055428,35252.37,Support and maintenance of e-PIMS,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/14,NON PRIME PROPERTY COSTS,GPU RESIDUAL ESTATE ADMIN,CBGA ROBSON LLP,3000055491,25219.20,Rent for accommodation,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,17/12/14,Recruitment Costs,Human Resources,Korn Ferry International Ltd,PINDOH 41603,27500.00,Recruitment costs for Commercial Director Home Office post,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,17/12/14,Recruitment Costs,Human Resources,Korn Ferry International Ltd,PINDOH 41604,27500.00,Recruitment costs for Commercial Director Department of Health post,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000055464,32891.70,Reprographic Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,PRICEWATERHOUSE COOPERS LLP,3000055490,73404.00,Support under the Delivering Differently Programme for Cheshire West and Chester Council,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2014,OPERATING LEASES - RENT,CARLTON GARDENS,BNP PARIBAS REAL ESTATE,3000055492,75000.00,Rent for accommodation,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000055450,99323.19,Legal services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2014,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,SE EQUITY FUND,BRIDGES VENTURES LTD,3000055461,215663.17,Costs of partnership to undertake investment business with the objective of supporting growth and development of social enterprises and providing partners with a finacial return,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2014,OTHER IS IT COSTS VAT RECOV,PMO ICTS,VODAFONE LTD,3000055518,27383.39,IT network support,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2014,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO COMPUTER SUPPLIES LTD,3000055510,1099252.08,"IT hardware and software for Digital and Technology Team (laptops, wifi etc)",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/14,GENERAL OFFICE EXPENSES VAT NON-RECOVERABLE,BOUNDARY COMMISSION OF WALES,LOCAL DEMOCRACY & BOUNDARY COMMISSION FOR WALES,3000055569,25000.00,Funding for Welsh Boundary Commission,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,1001144,26216.78,Childcare vouchers,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,19/12/14,Maintenance & Repairs - IT,IT Software,Optima Energy Management,PINDOH 41641,33919.00,IT support and maintenance for Energy Cloud,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000055579,39043.51,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,OPEN KNOWLEDGE FOUNDATION,3000055560,80000.00,Support to improve publication of information on public finances,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000055566,115531.44,Support for the Digital Exemplar programme,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,19/12/14,Consultancy Fees (Advice),Internal Projects,IPL Information Processing Ltd,PINDOH 41104,161870.00,IT development costs for Contracts Finder ,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,19/12/14,Consultancy Fees (Advice),Internal Projects,IPL Information Processing Ltd,PINDOH 40143,223791.00,IT development costs for Contracts Finder ,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000055579,405671.28,Facilities Management Services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/12/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,KIDS COMPANY,1001146,1000000.00,"Grant to aid Improving Outcomes for children, young people and families",,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000055614,2944547.41,Civil Service pension administration services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/14,OTHER IS IT COSTS VAT RECOV,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,GovDelivery,3000055671,26561.92,Hosting services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000055683,37218.80,Managed services to support the government's Exemplar programme,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2014,INSIGNIA OVERHEAD COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000055657,68244.00,Monthly Administation and Overheads Insignia Costs for Honours,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME PENSIONS PROGRAMME,MY CSP LTD,3000055684,72000.00,Civil Service pension administration services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000055676,282214.27,Civil Service pension administration services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/12/2014,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MY CSP LTD,3000055684,1052061.20,MyCSP programme costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/14,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PERFORMANCE AND DELIVERY,CAPITA RESOURCING LTD,3000055714,29155.96,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,LORD LIEUTENANT OF WEST YORKSHIRE,3000055715,29473.75,Fourth quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,MERSEYSIDE LIEUTENANCY,3000055719,29643.00,Fourth quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER MANCHESTER LIEUTENANCY,3000055720,32309.75,Fourth quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,WEST MIDLANDS LIEUTENANCY,3000055716,38398.25,Fourth quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS COMMUNICATIONS AND CREATIVE,CAPITA RESOURCING LTD,3000055714,53078.94,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000055685,60847.50,IT Support for CERT UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER LONDON LIEUTENANCY,3000055687,61081.75,Fourth quarter advance expense payments to Her Majesty's Lord Lieutenancy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS GOV UK TRANSITION,CAPITA RESOURCING LTD,3000055714,79419.74,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000055714,89648.27,Interim IT specialists,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000055728,96149.00,IT development for CERT UK,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/12/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000055714,101024.70,Interim IT specialists,,,,,,,,,,,,,,,,,
