Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,2.08,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,2.08,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,2.08,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,6.86,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,7.04,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,7.04,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,10.10,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,14.04,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,BANNER BUSINESS SERVICES LTD,96708,18.01,PSHE Devolved Admin-Stationery,NR3 1QU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - International Knowledge and Innovation,BANNER BUSINESS SERVICES LTD,97633,20.46,K&I Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,97636,509.40,K&I Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Stationery,Legal Services - Legal Services,BANNER BUSINESS SERVICES LTD,97689,137.88,Legal Services Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,97722,275.76,F&C Devolved Admin-Stationery,S9 1XU,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Business Rates,Finance & Commercial Group - Estates,THE INSOLVENCY SERVICE,98125,5314.08,F&C Devolved Admin-Business Rates,SW1P 2HT,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,THE INSOLVENCY SERVICE,98125,18704.88,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,SW1P 2HT,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Service Charges,Finance & Commercial Group - Estates,THE INSOLVENCY SERVICE,98125,9482.49,F&C Devolved Admin-Service Charges,SW1P 2HT,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/08/2015,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,98611,1490.43,F&C Devolved Admin-Water,LS14 3WP,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/08/2015,Economic Consultancy & Research,Enterprise & Skills Group - Enterprise Directorate,BEHAVIOURAL INSIGHTS LTD,98727,474.86,Growth Vouchers-Economic Consultancy & Research,SW10 2QF,GRANT,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/08/2015,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,98883,754.18,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,ADECCO UK LTD,98925,238.38,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,ADECCO UK LTD,98925,756.86,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Recruitment Advice and Services,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,98967,331.57,BLG Devolved Admin-Recruitment Advice and Services,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,98967,-15.47,BLG Devolved Admin-Technical Advice / Services & Support,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,98967,75.95,BLG Devolved Admin-Technical Advice / Services & Support,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Hire of Agency Staff,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,98967,-75.23,E&M Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/08/2015,Hire of Agency Staff,Economics & Markets - International Trade & Export Control,ADECCO UK LTD,98967,135.71,E&M Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/08/2015,Telecoms,"People, Strategy and Higher Education - Director of Change and Corporate Effectiveness, including the BIS Secretariat",DAISY COMMUNICATIONS LTD,100158,66.77,Innovation Space: Facilitator-Telecoms,BB9 5SR,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Facilities Management Contract,Business & Local Growth - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),100486,246.00,BLG Devolved Admin-Facilities Management Contract,GL51 0EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Facilities Management Contract,Business & Local Growth - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),100486,445.00,BLG Devolved Admin-Facilities Management Contract,GL51 0EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Facilities Management Contract,Business & Local Growth - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),100486,2138.08,BLG Devolved Admin-Facilities Management Contract,GL51 0EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Facilities Management Contract,Business & Local Growth - Digital Economy Unit,GOVERNMENT COMMUNICATIONS HEADQUARTERS(GCHQ),100486,4000.00,BLG Devolved Admin-Facilities Management Contract,GL51 0EX,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,OPINIONPANEL LTD T/A YOUTH SIGHT,102369,-7711.00,Student Support: HE-FE Research-Research and Development Expenditure,EC2 2AH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,OPINIONPANEL LTD T/A YOUTH SIGHT,102369,-449.00,Student Support: HE-FE Research-Research and Development Expenditure,EC2 2AH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,OPINIONPANEL LTD T/A YOUTH SIGHT,102369,898.00,Student Support: HE-FE Research-Research and Development Expenditure,EC2 2AH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Research and Development Expenditure,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,OPINIONPANEL LTD T/A YOUTH SIGHT,102369,15422.00,Student Support: HE-FE Research-Research and Development Expenditure,EC2 2AH,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/08/2015,Project Management Costs,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,102893,10130.40,F&C Devolved Admin-Project Management Costs,M60 3NT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/08/2015,Water,Finance & Commercial Group - Estates,SCOTTISH WATER BUSINESS STREAM LTD T/A BUSINESS STREAM,103099,2580.07,F&C Devolved Admin-Water,EH12 1GT,VENDOR,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Utilities,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),103259,274.85,PSHE Non Devolved Admin-Utilities,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Utilities,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),103260,232.42,PSHE Non Devolved Admin-Utilities,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Subsistence Overseas,"People, Strategy and Higher Education - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),103261,467.11,PSHE Non Devolved Admin-Subsistence Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103262,3.50,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103263,0.90,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103264,4.00,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103265,5.92,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103266,6.09,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103267,7.21,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103268,1.10,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103269,3.78,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103270,6.01,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103271,14.17,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103272,7.71,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103273,10.45,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103276,13.38,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/08/2015,Hotel & Accommodation Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),103276,86.99,MPST Devolved Admin-Hotel & Accommodation Overseas,MK10 1PX,WGA ONLY,
