Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,APHA,07/08/2015,Lab & Technical Equipment,,Celtic Diagnostics Ltd,2776,"25,900.00",Purchase of Specialist Laboratory Kits,PO 116219 BOVIGAM KITS,,SME,,00000000,Expense,
DEFRA,DEFRA,20/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Marine Conservation International,270715,"25,912.45",PO 377160 DARWIN REF: DPLUS036 PERIOD FROM JUL 2015 TO SEP 2015,EH30 9WN,SME,21674,DARWINXX,Expense,,
DEFRA,APHA,03/08/2015,Service Level Agreement Costs,Chief Operating Officer DG,Serco Ltd,91163521,"25,998.70",Helpline Costs Provided March 2015,PO 117653 SERCO WORK 1ST TO 30TH MAR 15,RG27 9UY,,,00000000,Expense,
DEFRA,NE,27-Aug-15,Grants & contributions,Strategy and Reform,Gosport Borough Council,ERS-987751-52935,"26,000.00",Capital Enhancement Scheme Grant for Portsmouth Harbour (Cockle Pond) - 2014-15,PO12 1EB,,,,,,
DEFRA,EA,4-Aug-15,Construction,NE Capital WiP,Jackson Civil Engineering Ltd,1371675,"26,104.62",Northallerton Flood alleviation scheme,IP1 5LT,,30142731,IMNE000844,Project,,
DEFRA,DEFRA,04/08/2015,Inwards Secondments,Chief Operating Officer DG,Natural England,8000023313,"26,156.18",PO 371379 SECONDMENTS COSTS 01.01.2015 TO 31.03.2015,YO1 7PX,,IGS,CAPDBA00,Asset,,
DEFRA,DEFRA,20/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",University Of Glasgow,290715,"26,241.00",PO 377220 DARWIN REF: 21-003 PERIOD FROM JUL 2015 TO SEP 2015,G12 8QQ,,,DARWINXX,Expense,,
DEFRA,EA,18-Aug-15,Construction,SW Capital WiP,GBV JV Ltd,1370943,"26,276.82",Cannington Bends appraisal Works,RH1 1LQ,,30393506,IMSW001074,Project,,
DEFRA,DEFRA,05/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,0308152632225,"26,322.25","DEFRA PROJECT IWT015- Q2 GRANT CLAIM 2015-16, A RECIPE FOR REDUCING IVORY CONSUMPTION IN CHINA",10460,,,IWTXXXXX,Expense,,
DEFRA,EA,20-Aug-15,Construction,HO NCPMS National,Mott Macdonald Ltd,1374893,"26,394.24",Project Manager Secondment July 2015,LS10 1JR,,30384996,,Administration,,
DEFRA,EA,13-Aug-15,Professional Services Other,EA Ops - NE - YORKS - FCRM OPS W&SY,Danvm Drainage Commissioners,1374869,"26,575.28",Contribution to Internal drainage board in respect of Uplands water 204-15,DN6 7FE,,,,Administration,,
DEFRA,DEFRA,27/08/2015,Evidence Non R&D,Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-561506-52828,"26,666.66",ME5308:The Continuous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans FY 15/16,PL1 2PB,SME,ME 5308,00000000,Expense,,
DEFRA,DEFRA,12/08/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",South Western B P S (UK) Ltd,30000257,"26,676.84",PO 377755 ELECTRONIC MOVES JUL 2015,NW1 5RA,SME,17731,00000000,Expense,,
DEFRA,DEFRA,24/08/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Food Standards Agency,1703097,"26,770.08",PO 377907 FS901 BRAINSTEM SURVEY SAMPLES,YO1 2YX,,EXEMPT,TSE002SH,Expense,,
DEFRA,DEFRA,25/08/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-561681-52905,"26,915.25",OZ0347 - Development of enhanced methods for outbreak investigation and source attribution of Salmonella - APHA - FY15/16,KT15 3NB,SME,,00000000,Expense,,
DEFRA,DEFRA,18/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,1408152693750,"26,937.50",FOREIGN PAYMENT GRANT CLAIM,10460,,,DARWDFID,Expense,,
DEFRA,MMO,18/08/2015,Other Current Payments E,,C E F A S,8004884,"26,984.94",IT development costs relating to the Marine Conservation Surveillance System,CR216 MCSS NATURE CONSERVATION Q4,NR33 0HT,SME,,00000000,Expense,
DEFRA,DEFRA,19/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Nat Parks Trust of The Virgin Islands,140815,"26,992.00",FOREIGN PAYMENT DEFRA DPLUSO12 DARWIN CLAIM Q42014-15,VG1110,,,DARWPLUS,Expense,,
DEFRA,EA,20-Aug-15,Professional Services - CCL,CI Innovation Architecture,LA International Computer Consultants Ltd,1374759,"27,124.60",Supply of IT Contractors 22/06/15 to 27/11/15.,ST1 5UB,,30422904,,Administration,,
DEFRA,DEFRA,14/08/2015,Current Grants - Local Authorities,Policy Delivery DG,Cornwall Council,050815,"27,223.00",PO 379368 GRANT DETERMINATION 2015/16NO 31/2627,TR1 3AY,,RT 0569,00000000,Expense,,
DEFRA,DEFRA,14/08/2015,Current Grants - Local Authorities,Policy Delivery DG,Lincolnshire County Council,050815,"27,223.00",PO 379450 GRANT DETERMINATION 2015/16,LN1 1YL,,,00000000,Expense,,
DEFRA,DEFRA,14/08/2015,Current Grants - Local Authorities,Policy Delivery DG,West Sussex County Council,050815,"27,223.00",PO 379375 GRANT DETERMINATION 2015/16NO 31/2627,PO19 1RQ,,RT 0576,00000000,Expense,,
DEFRA,DEFRA,26/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,The Envmt & Sust Partnership Ltd,2016DEFRA070,"27,244.21","PO 370447, ENCOURAGING AND SUPPORTING SMES",CF36 3LW,SME,EV 0548,00000000,Expense,,
DEFRA,EA,20-Aug-15,Professional Services Other,NE Capital WiP,ABB Ltd,1374976,"27,338.88",Foss Barrier Automation Works,PE19 8EU,,,IMNE790492,Project,,
DEFRA,EA,13-Aug-15,Construction,NW Capital WiP,Jacobs UK Ltd,1373450,"27,359.27",Salford flood alleviation Improvement works,G2 7HX,,30384995,IMNW000471,Project,,
DEFRA,EA,6-Aug-15,Construction,SE Capital WiP,Atkins Ltd,1371924,"27,439.42",Thames Barrier Drive Equipment ,KT18 5BW,,30072266,IMTH001493,Project,,
Defra,RPA,3-Aug-15,Agency Staff,31021,Brook Street,30298895,"27,455.71",Temporary Staff w/e 24/07/15,AL1 4JB,Supplier,Various,BPSCONT1,Admin,blank,
DEFRA,EA,18-Aug-15,Construction,AN Northern- FCRM Ops (Lincs),P & R Plant Lincolnshire Ltd,1374224,"27,540.00",River Vegetation Maintenance-Weed Control Anglian,PE12 8NG,,30246240,FRA01S060,Project,,
DEFRA,EA,20-Aug-15,Fleet,HO Fleet Operations,Enterprise Rent A Car,1374297,"27,561.75",Long term van rental Flexi rent July 2015,TW20 9FB,,30348859,,Administration,,
DEFRA,EA,13-Aug-15,Construction,NE Capital WiP,Halcrow Group Ltd,1371977,"27,646.67",Catterick Flood alleviation scheme,W6 7EF,,30384994,IMNE000132,Project,,
DEFRA,DEFRA,18/08/2015,Capital LA Grant E,Policy Delivery DG,Dacorum Borough Council,260615,"27,749.19","PO 379059 FLOOD REPAIR & RENEW GRANT, ",HP1 1HH,,,00000000,Expense,,
DEFRA,EA,6-Aug-15,Professional Services Other,NE Yorkshire - FCRM Ops N&EY,Amalgamated Construction Ltd,1372042,"27,769.91",Mechanical & Electrical Maintenance of Fixed Plant and Systems - Yorkshire,S75 1HT,,30408050,RENE790106,Project,,
DEFRA,DEFRA,18/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,140815,"27,796.25",FOREIGN PAYMENT EVALUATING COMMUNITY BASED CONSERVATION,10460,,,DARWDFID,Expense,,
DEFRA,DEFRA,07/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,0508152795550,"27,955.50",FOREIGN PAYMENT DEFRA DARWIN INITIATIVE PROJECT 21004 Q2 CLAIM 2015-16,10460,,,DARWDFID,Expense,,
DEFRA,DEFRA,04/08/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1703090,"28,087.97",PO 378400 FS317 OTHER SERVICES ENGLAND & WALES,YO1 2YX,,IGS,ABPO0001,Expense,,
DEFRA,EA,20-Aug-15,Learning and Development,Deputy Director of Radioactive Substances Regulation,Energus Ltd,1375026,"28,200.00",Sponsorship of Graduates for year one of a two-year sponsor period,CA14 4JW,,,EBPRI12003,Project,,
DEFRA,EA,13-Aug-15,Construction,NW Capital WiP,Halcrow Group Ltd,1373109,"28,204.21",Hesketh Out Marsh East Embankment Repairs,W6 7EF,,30384994,IMNW000117,Project,,
DEFRA,APHA,13/08/2015,Service Level Agreement Costs,Chief Operating Officer DG,Serco Ltd,91170614,"28,318.55",Helpline Costs Provided July 2015,PO 117653 SERCO WORK 1ST TO 31ST JULY 2015,RG27 9UY,,,00000000,Expense,
DEFRA,KEW,11/08/2015,Consultancy & Professional Services,IT,Network Installation Solutions Limited,"7,007,580.00","28,575.00",Professional Services - IT,WN8 8AZ,Trade Creditors,,,Professional Services - IT,727018642,
DEFRA,DEFRA,05/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,0308152862675,"28,626.75",DEFRA PROJECT IWT016 Q2 GRANT CLAIM 2015-16. STRENGTHENING INSTITUTIONAL FRAMEWORK TO COMBAT WILDLIFE TRAFFICKING IN INDONESIA,10460,,,IWTXXXXX,Expense,,
DEFRA,EA,4-Aug-15,Professional Services Other,SW Capital WiP,Mott Macdonald Ltd,1371349,"28,651.40",Flood Mapping - River Axe,LS10 1JR,,30384991,IMSW001762,Project,,
DEFRA,EA,6-Aug-15,Professional Services Other,AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,1372167,"28,669.30",Helpston Groundwater Remediation project,BS32 4DF,,30177470,REAN001571,Project,,
DEFRA,DEFRA,04/08/2015,Travel UK,Chief Operating Officer DG,Natural England,8000023304,"28,710.15",PO 362675 NE140 STAFF SECONDMENTS SALARY COSTS,YO1 7PX,,IGS,00000000,Asset,,
DEFRA,EA,20-Aug-15,Construction,AN Capital WiP,JacksonHyder Ltd,1374638,"28,715.14",Cut off channel track bridges appraisal works,IP1 5LT,,30395082,IMAN002054,Project,,
Defra,RPA,27-Aug-15,Training,20704,Group Partners,INV-1514,"28,864.56","Information gathering, context development and various discussions that feed into the creation of the strategy",EC1R 3BW,Supplier,PO101453,LEAD0100,Admin,GB769716670,
DEFRA,APHA,19/08/2015,Clearing - CIP - IBM Capital Projects,Chief Operating Officer DG,Sogeti UK Ltd,XSUK1508039,"28,900.00",System testing performed by Sogeti staff to test the routine system builds and project builds in 2015/2016 before release to users.  ,PO 120822 AMARPREET SINGH TESTING,EC2M 7AD,SME,,P10199OT,Asset,
DEFRA,EA,11-Aug-15,Construction,NE Capital WiP,Halcrow Group Ltd,1372720,"28,939.16",Asset Recovery Programme site supervision June 15 (Anglian region),W6 7EF,,30384994,IMNE790505,Project,,
DEFRA,DEFRA,06/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Birdlife International,1706152894950,"28,949.50",PO 362275 DARWIN REF: 20-024 CLAIM PERIOD FROM 07/2015 TO 09/2015,CB3 ONA,SME,20056,DARWDFID,Expense,,
DEFRA,DEFRA,25/08/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-561673-52898,"28,953.00",SE3281 (Var)  - Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers - APHA,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,KEW,26/08/2015,Capital/Equipment,Temperate House,Turner & Townsend Project Management Ltd,"7,007,795.00","28,983.24",Prof Fees Temperate House Project,WC2E 9HE,Trade Creditors,,,New Works - pt1 - prof fees,,
DEFRA,EA,13-Aug-15,Energy and Fuels,National Technical Team,British Gas Business,1372856,"29,059.94",Renewable Electricity to Sub 100kWh Sites in North West Region July 2015,OX4 2JY,,30429817,,Administration,,
DEFRA,EA,18-Aug-15,Fleet,Vehicle Incidents,CAA Ltd,1375395,"29,098.97",3rd party claim insurance claim services July 2015,IP2 8PN,,,,Administration,,
DEFRA,DEFRA,20/08/2015,Other Current Payments E,Policy Delivery DG,Ricardo-A E A Ltd,6160684,"29,144.74","PO 358322, MONTHLY FIXED PRICE ITEMS",OX11 0QJ,,,00000000,Expense,,
DEFRA,EA,4-Aug-15,Professional Services Other,MI East- FCRM Ops South,Kier MG Ltd,1371590,"29,172.60",Planned Preventative electrical Maintenance - Midlands,NR14 8SZ,,30312229,REMI001923,Project,,
DEFRA,VMD,03/08/2015,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,70602,"29,334.63",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,03/08/2015,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,70601,"29,334.63",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,
DEFRA,VMD,03/08/2015,STATUTORY RESIDUES SURVEILLANCE - SAMPLE COLLECTION,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,70595,"29,334.63",Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,
DEFRA,DEFRA,25/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Food & Environment Research Agency,ERS-561898-52852,"29,365.00",FA0155 - EU Food Integrity Project - Variation - support H2002 development of ERANET on food authenticity  -  FY 2014-15 (FSA),YO41 1LZ,,,SFFS0003,Expense,,
DEFRA,DEFRA,20/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Nottingham Trent University,01218234,"29,400.00",PO 370263 EVO553 MILESTONE 3 STAGE PAYMENT,NG1 4BU,,EV0553,00000000,Expense,,
DEFRA,DEFRA,18/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,L G C Limited,50417317,"29,402.00",PO 377183 REAL TIME PCR KIT,TW11 0LY,SME,,SFFS0003,Expense,,
DEFRA,EA,4-Aug-15,Construction,SE Capital WiP,Turner & Townsend Project Management,1366198,"29,582.29",Cost Management Services supplied to TEAM2100. April - July 2015,LS18 4CH,,30314194,IMSE100382,Project,,
DEFRA,DEFRA,18/08/2015,Capital LA Grant E,Policy Delivery DG,Teignbridge District Council,94002750435,"29,747.92",PO 371738 FLOOD REPAIR & RENEW GRANT,TQ12 4XX,,Grant,00000000,Expense,,
DEFRA,EA,4-Aug-15,Construction,NE Capital WiP,JBA Bentley Ltd,1369350,"29,805.49",Reedness Bank structural repairs May 2015,BD23 2QR,,30387943,IMNE790507,Project,,
DEFRA,DEFRA,06/08/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM032108,"29,889.72",PO 378080 Kainos Sprint 46 - Programme cost,B11 2LE,SME,CAP 409,CAPDFA01,Asset,,
DEFRA,APHA,17/08/2015,Carriage of goods,Chief Operating Officer DG,Promotional Logistics Ltd,SIN15008028,"29,930.40",Daily letters sent to farmers for TB testing,PO 119824 PRINTHOUSE INTERFACE DAILY M,CO10 2XG,,,00000000,Expense,
DEFRA,DEFRA,05/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",International Snow Leopard Trust,030815,"29,952.50",DEFRA PAYMENT IWT012 Q2 2015-16 CLAIM (CRWPP),98103,SME,,IWTXXXXX,Expense,,
DEFRA,AHDB,24/08/2015,Invoice,,Ladies in Pigs,6304,"30,000.00","Pork - Ladies in Pigs stakeholder engagement programme, 2nd instalment",HU15 2LU,,,,,,
DEFRA,Seafish,03/08/2015,Contract,Project,E2 Partnership Ltd,0310,"30,000.00",Phase 2 of Export Exhibition Programme,G73 9BQ,,,,,929 8003 08,
DEFRA,KEW,11/08/2015,Pay Agency,Director Of Science,University Of Oxford,"7,007,843.00","30,053.81",Agency - Interim Snr Managers  ( May June & July 2015),OX1 2XN,Trade Creditors,,,Agency - Interim Snr Managers,,
DEFRA,DEFRA,12/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Tree Aid,230715,"30,177.52",PO 362251 DARWIN REF: 20-019 PERIOD: FROM JAN 2015 TO MAR 2015,BS2 8PE,SME,20063,DARWDFID,Expense,,
DEFRA,DEFRA,10/08/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6160256,"30,266.00",PO 366855 MODELLING OF AMBIENT AIR QUALITY MAAQ JUNE 2015 13.6.15 - 30.6.15,OX11 0QR,,AQ0650,AQRDXXXX,Expense,,
DEFRA,DEFRA,18/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Wildlife Conservation Society,1408153051550,"30,515.50",FOREIGN PAYMENT NATIONAL COLLABORATION,10460,,,IWTXXXXX,Expense,,
DEFRA,EA,25-Aug-15,Construction,SW Capital WiP,UK Flood Barriers Ltd,1375604,"30,579.60",Flood defence work Chew Magna July 2015,WR9 0NX,,30295946,IMSW002152,Project,,
DEFRA,EA,13-Aug-15,Construction,AN Capital WiP,Halcrow Group Ltd,1373088,"30,694.37","Works at Engine Bank, Ten Mile Bank June 2015",W6 7EF,,30384994,IMAN002942,Project,,
DEFRA,EA,25-Aug-15,Construction,SE Capital WiP,Amalgamated Construction Ltd,1375582,"30,725.39",Carbon Reduction Assets - Windpumps on the River Rother,S75 1HT,,30343165,IMSE100365,Project,,
Defra,JNCC,7-Aug-15,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,NATURAL ENVIRONMENT RESEARCH COUNCIL,11634,"30,728.00",National Plant Monitoring Scheme work,SN2 1EU,Large,C14-0263-0847,100,Administration,,
DEFRA,KEW,26/08/2015,Property Related,Estates,Julius Rutherfoord Commercial Cleaning,"7,008,034.00","30,751.59",July Cleaning,SW8 3NS,Trade Creditors,,,Office and window cleaning,,
DEFRA,APHA,24/08/2015,LVI Claims,Chief Operating Officer DG,XL FARMCARE WESSEX LIMITED~172798072,LVI168107,"30,796.69",Payment to veterinary practice for services provided in an official capacity on behalf of APHA,AMI8 - Payment in respect of LVI fees,ST15 8NA,SME,,00000000,Expense,
DEFRA,EA,4-Aug-15,Construction,NW Capital WiP,Halcrow Group Ltd,1371606,"30,937.54",National Construction Design & Management Coordinator Programme (North West),W6 7EF,,30384994,IMNW000840,Project,,
DEFRA,EA,18-Aug-15,Energy and Fuels,AN Eastern-AEM - Essex,EDF Energy Plc,1374274,"31,067.88",Supply of electricity to Kennett pumping station July 2015,PL3 5ZN,,30429803,,Administration,,
DEFRA,NE,21-Aug-15,Service charges,Finance and Governance,Shared Services Connected Ltd,100001442,"31,069.20",Oracle license and support fees - 2015-16,HP2 7AH,,,,,,
DEFRA,DEFRA,26/08/2015,Gas,Chief Operating Officer DG,Corona Energy,10381586,"31,081.26",SITE 087 GAS 01/07/2015 TO 01/08/2015 ,WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,14/08/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Resource Decisions Ltd,080815,"31,370.00",PO 376156 SMARTER ENVIRONMENTAL REGULATION REVIEW MILESTONE 2,W12 8JW,SME,BR0129,BRSERRRD,Expense,,
DEFRA,EA,25-Aug-15,Professional Services Other,SE West Thames - Waterways Ops Mgr 1,Cleartrack EVL Ltd,1374397,"31,574.40","Treeworks at Bourne Overfall, Staines Towpath Penton Hook and above Staines Bridge",TN27 9PG,,30343161,,Administration,,
DEFRA,DEFRA,14/08/2015,Other Current Payments E,Policy Delivery DG,University Of Reading,109051,"31,637.08",PO 371105 RESEARCH PROJECT NUMBER H5186500 AUGUST 2015,RG6 6AH,,GC0146,PGR00001,Expense,,
DEFRA,MMO,26/08/2015,Other Current Payments E,,Seafood & Eat It,FEF1823,"32,000.00",European Fisheries Fund grant payment,EFF,TW1 4RP,SME,,00000000,Expense,
DEFRA,APHA,03/08/2015,Hard charges,Chief Operating Officer DG,K P M G LLP,5501026932,"32,023.41",Internal Audit services 2014/15,PO 105405 INTERNAL AUDIT FEE,BS1 6AG,,,00000000,Expense,
DEFRA,EA,4-Aug-15,Construction,SE Capital WiP,Capita Symonds Ltd,1371663,"32,244.19",South Hub Initial Flood risk assessments,DL1 9HN,,30384993,IMSE900059,Project,,
DEFRA,EA,18-Aug-15,Construction,SE KSL - FCRM Ops North,J Breheny Contractors Ltd,1373881,"32,264.05",Ravensbourne - Channel reinstatement works to July 2015,IP6 8NH,,30343170,FRA16S010,Project,,
DEFRA,EA,13-Aug-15,Professional Services Other,EA Ops - NE - YORKS - FCRM OPS W&SY,The Vale of Pickering IDB,1374892,"32,304.03",Contribution to Internal drainage board in respect of Uplands water 204-15,YO17 7LP,,,,Administration,,
DEFRA,DEFRA,18/08/2015,Capital LA Grant E,Policy Delivery DG,Wyre Forest District Council,94154,"32,556.58",PO 371698 FLOOD REPAIR & RENEW GRANT,DY11 7WF,,GRANT,00000000,Expense,,
DEFRA,EA,20-Aug-15,Professional Services - CCL,National Permitting Service,Jacobs UK Ltd,1375716,"32,621.03",Permitting Secondment services 30.5.15 to 26.6.6.15,G2 7HX,,30350408,,Administration,,
Defra,RPA,3-Aug-15,IT Subscription Licences,20862,Comparex Ltd,150003967VRUKA,"32,641.15",Software Licences - Annual,HA1 3EL,Supplier,PO101315,Blank,Admin,GB330883754,
DEFRA,EA,4-Aug-15,Construction,NE Capital WiP,Capita Symonds Ltd,1371169,"32,655.82","Consultancy to provide forward looking programme of construction work including the production of feasibility data, scheme design proposals",DL1 9HN,,30384993,IMNE790527,Project,,
DEFRA,DEFRA,20/08/2015,Current Grants E,"Strategy, International and Biosecurity DG",Royal Botanic Gardens Kew,3007153269825,"32,698.25",PO 377222 DARWIN REF: 21-006 PERIOD FROM JUL 2015 TO SEP 2015,TW9 3AB,,,DARWDFID,Expense,,
Defra,RPA,12-Aug-15,Service Management (Admin),20862,IBM,5808150241,"32,843.59",April 15 Fixed price deliverables,PO6 3AE,Supplier,PO100956,IBMBSVOL,Admin,GB107328000,
DEFRA,EA,11-Aug-15,Office Solutions,National Accomodation Change Fund,Senator Group,1372624,"32,865.36",Bridgwater Accommodation Project (National Accommodation Delivery Plan),BB5 5YE,,30392413,HORES00200,Project,,
