Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,PO Line Discription,Contract Number,Project code
,,02/01/2014,Professional fees,DG: SFNHS,MILLS AND REEVE LLP,LARGE,CB2 1PH,CAMBIL/446336/V/1/1,32175,Review and revise the NHS terms and conditions and to periodically review and revise the tems and condition for the duration of the contract/contract value as well as update to reflect changes in procurement policy,,
,,02/01/2014,Research & development,DG: RDD,BMJ PUBLISHING GROUP LTD,LARGE,WC1H 9JR,I0058234,135441,Reviews Infrastructure (Existing),,
,,02/01/2014,Addition Clearing - SW LIC,DG: GOAD,EGTON MEDICAL INFORMATION SYSTEMS LTD,LARGE,LS19 7BY,IN75164-2,1253035,Capital: EMIS GPSoC F/Y 2013/14,,
,,03/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,NHS PROPERTY SERVICES LTD,PUBLIC,SE1 6LH,48298951,298500,,,
,,03/01/2014,Research & development,DG: RDD,BARKING HAVERING & REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,ERS-511433-84563,32166,AD-HOC - ETC,,
,,03/01/2014,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805328613,478807.2,"DH mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,03/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,LONDON AND REGIONAL PROPERTIES LTD,LARGE,W1U 7DA,5491858260-25/12/2013REPAID,1511906,"Skipton House - Annual Rent 25th Jun 2013 - 24th Jun 2014 (Property Ref:194646) @ £1,511,906 per qtr.",,
,,03/01/2014,Storage costs,DG: SFNHS,SIGMA PHARMACEUTICALS PLC,SME,,I380146,-0.01,,,
,,03/01/2014,Storage costs,DG: SFNHS,SIGMA PHARMACEUTICALS PLC,SME,,I380146,588009.32,,,
,,06/01/2014,Revenue Grants to Other Bodies,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,ERS-511468-84581,16998000,2013/18a Social Work Bursary,,
,,06/01/2014,Additions FT Financing Facility Loans,DG: Central Technical,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,HAFS-16319,7800000,,,
,,06/01/2014,Additions FT Financing Facility Loans,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DN15 7BH,HAFS-16320,1850000,,,
,,06/01/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,AIREDALE NHS FOUNDATION TRUST,PUBLIC,BD20 6TD,HAFS-16321,152000,,,
,,06/01/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16322,791000,,,
,,06/01/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 2QG,HAFS-16323,90000,,,
,,06/01/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,WEST MIDDLESEX UNIVERSITY NHS TRUST,PUBLIC,TW7 6AF,HAFS-16324,210000,,,
,,06/01/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,PORTSMOUTH HOSPITAL NHS TRUST,PUBLIC,PO6 3LY,HAFS-16325,6200000,,,
,,06/01/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,WEST LONDON MENTAL HEALTH NHS TRUST,PUBLIC,UB1 3EU,HAFS-16326,5589000,,,
,,06/01/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,EAST SUSSEX HEALTHCARE NHS TRUST,PUBLIC,TN37 7PT,HAFS-16327,5000000,,,
,,06/01/2014,Agency staff (temp admin),DG: GOAD,Aptus Personnel t/a Jark Industrial,LARGE,NR19 1AE,1000001716,40143.22,Telephony - provision of switchboard operators,,
,,06/01/2014,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805336010,68638.8,"DH mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,06/01/2014,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805336010,1884.96,"NIBSC mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,06/01/2014,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805336010,48600,"PHE mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,06/01/2014,IT minor costs non capital,DG: GOAD,COMPUTACENTER UK LTD,LARGE,AL10 9TW,3805336011,1351404,"PHE mini competition against the Framework RM1692, ITH & S, Lot 11",,
,,06/01/2014,Service charge,DG: GOAD,BAZIAN LTD,SME,E14 4QW,733-4,27885.3,"Revenue: Choices - Bazian- Research and delivery of evidence based media response ""Behind the Headlines""",,
,,06/01/2014,Provisions cash payment,DG: PHD,MFET LTD,VCS,SW1H 0QS,MFET-4/2013-14/MFET,973265,MFET Ltd funding,,
,,06/01/2014,Other programme expenditure,DG: PHD,THE EILEEN TRUST,VCS,SW1H 0QS,ET-04/13-14,80500,Eileen Trust single payment,,
,,07/01/2014,Outsourcing Contract,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12666241,93000,Adult Psychiatric Morbidity Survey 2013-14,,
,,07/01/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,6283906,199167,Monthly charge for hosting of the Ambulance Radio Programme,,
,,07/01/2014,Outsourcing Contract,DG: SFNHS,DEAN CLOUGH LTD,SME,HX3 5AX,19198,6819.65," RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - service charge",,
,,07/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: SFNHS,DEAN CLOUGH LTD,SME,HX3 5AX,19198,205162.35," RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - rent",,
,,07/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: SFNHS,DEAN CLOUGH LTD,SME,HX3 5AX,19198,12500," RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - service charge",,
,,07/01/2014,Service charge,DG: SFNHS,DEAN CLOUGH LTD,SME,HX3 5AX,19198,24616.39,"RAZ088 - F Mill - Ground West 4,5, Dean Clough Mills, Halifax, West Yorkshire HX3 5AX- Dean Clough Limited - Ref:  F/GWEST/4/5 - service charge",,
,,07/01/2014,Storage costs,DG: SFNHS,ACTAVIS UK LTD,LARGE,,2082X110530,-0.03,,,
,,07/01/2014,Storage costs,DG: SFNHS,ACTAVIS UK LTD,LARGE,,2082X110530,6885.85,,,
,,07/01/2014,Storage costs,DG: SFNHS,ACTAVIS UK LTD,LARGE,,2082X110530,1586615.78,,,
,,07/01/2014,IT minor costs non capital,DG: PHD,SAPIENT LTD,LARGE,E1 6DU,29472,34978.5,Development of computer system for abortion statistics. ,,
,,07/01/2014,Outsourcing Contract,DG: PHD,SAPIENT LTD,LARGE,E1 6DU,29504,52247.5,13-14 EESSI-OHT System software design and related services Sapient costs,,
,,07/01/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584148126,77677,PPR0219-01 Activities Related to  Change in Managed Print Service Sub-Contractor,,
,,07/01/2014,Rates,DG: GOAD,LAMBETH LONDON BOROUGH COUNCIL,PUBLIC,SW2 1RW,14/0/12/04/13,320379,"Wellington House - Annual Business Rate 2013 - 2014 @ £320,377.50 per quarter Ref:325683913",,
,,07/01/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2919126,36848.08,"Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Utilities Charge@£44,615.20 mthly.",,
,,07/01/2014,Rates,DG: GOAD,WESTMINSTER CITY COUNCIL,PUBLIC,WC2N 6NU,400871826JAN-MAR2014,486090,"Richmond House - Annual Business Rate 2013 - 2014 @ £486,090 per quarter Ref:400871826",,
,,07/01/2014,Rates,DG: GOAD,CAMDEN LONDON BOROUGH COUNCIL,PUBLIC,WC1H 8NG,68432635JAN-MAR2014,33879,"Maple Street - Business Rates FY2013/14 @ £101,637 Apr-Jun, £101,637 Jul-Sept, £101,637 Oct-Dec and £33,879 Jan-Mar 2014",,
,,07/01/2014,Rates,DG: GOAD,LEEDS CITY COUNCIL,PUBLIC,LS1 1UR,901349235/15/04/2013,13069,"Blenheim House - Annual Business Rate 2013 - 2014 @ £13,070.3 per quarter Ref:901307182 - Part Ground Floor",,
,,07/01/2014,Rates,DG: GOAD,LEEDS CITY COUNCIL,PUBLIC,LS1 1UR,901349235/15/04/2013,45511,"Blenheim House - Annual Business Rate 2013 - 2014 @ £58,580.60 per quarter Ref:90319235 - Part ground and whole 1st & 2nd Floors",,
,,07/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DARLINGTON ASSOCIATION ON DISABILITY,VCS,DL1 5PT,ERS-511588-84601,52407,"IESD award 2012/13 for Darlington Association on Disability's ""Stronger Voices...strong support"" project",,
,,07/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ADDACTION,VCS,EC1M 6PU,ERS-511603-84641,29067,"IESD 2012-13, AIMS 1808907: Addaction: Addaction/Hepatitis C Trust partnership",,
,,08/01/2014,Professional fees,DG: SCLGCP,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,PUBLIC,DN4 8QN,0000065100,47500,Fees for Y&H/East Mids section 12 approval panel for the period of 01-04-13 to 31-03-2014,,
,,08/01/2014,Outsourcing Contract,DG: SCLGCP,COUNTY DURHAM PCT,PUBLIC,DL14 6WA,511949,75000,County Durham PCT - Sunday Courts Pilot Scheme For Offender Health for 2012/2013,,
,,08/01/2014,Radio communications,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,LARGE,SL1 2EJ,0900000137-323,267593.85,Airwaves - Core Service Charges,,
,,08/01/2014,Outsourcing Contract,DG: PHD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,CF14 3UW,2918828,918250,DWP Overseas Healthcare Team Recharges 2013-14,,
,,08/01/2014,Outsourcing Contract,DG: PHD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,CF14 3UW,2918829,918250,DWP Overseas Healthcare Team Recharges 2013-14,,
,,08/01/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5026430,1223.34,"Quarry House Leeds - Accomm. Costs April 2013 - January 2014 Business Rates@£127,256.40 mthly.",,
,,08/01/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5026430,533144.69,"Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Facilty Price Rent & Prime Variable Charge Recovery @£540,857.90 mthly.",,
,,08/01/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5026430,2774.54,"Quarry House Leeds - Accomm. Costs April 2013 - March 2014 Utilities Charge@£44,615.20 mthly.",,
,,08/01/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,7689042,22230,RDD Programme Support - Miscellaneous,,
,,08/01/2014,Rates,DG: GOAD,SOUTHWARK LONDON BOROUGH COUNCIL,PUBLIC,SE17 1RX,NN25560080000001 - 11/03/2013,535190,"Skipton House - Annual Business Rate 2013 - 2014 @ £535,190 per quarter Ref:6323717",,
,,08/01/2014,Outsourcing Contract,DG: PHD,NATIONAL GAMETE DONATION TRUST,VCS,GL19 4WT,00103,34535,Gamete Donation funding 2013/14.  ,,
,,08/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE ANNA FREUD CENTRE,VCS,NW3 5SD,ERS-511682-84701,57905,"AIMS ref 2548870 IESD 2013-14 The Anna Freud Centre's ""IncludeME!"" project",,
,,08/01/2014,Revenue Grants to non-profit institutions,DG: PHD,ACTION ON SMOKING AND HEALTH,VCS,EC1N 8JY,ERS-511690-84721,50000,2013/14 Policy Grant Supporting the Tobacco Control Plan for England,,
,,08/01/2014,Revenue Grants to non-profit institutions,DG: ERD,AGE UK,VCS,SW16 4ER,ERS-511694-84741,103987,2013/013 Malnutrution Taskforce-Age UK,,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3122723,61200,Provision of RST services for 2013/14 - Supporting Implementation (VAT not reclaimable),,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3122723,56000,Provision of RST services for 2013/14 - Supporting Implementation (VAT claimable),,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3122723,184000,Provision of RST services for 2013/14 - Reseach & Quality Improvement (VAT reclaimable),,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3122723,198000,Provision of RST services for 2013/14 - Business Support & Staffing,,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126655,320000,Provision of RST services for 2013/14 - Business Support & Staffing,,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126655,18000,Provision of RST services for 2013/14 - Supporting Implementation (VAT claimable),,
,,09/01/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,3126655,20400,Provision of RST services for 2013/14 - Supporting Implementation (VAT not reclaimable),,
,,09/01/2014,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,424724,40177,NCCRCD Management,,
,,09/01/2014,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-511783-84822,167198,Programme Grants for NHS Trusts,,
,,09/01/2014,Research & development,DG: RDD,DERBY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,DE1 2QS,ERS-511784-84826,25044,Research for Patient Benefit,,
,,09/01/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,SME,LS1 2TW,10685,165012,Capital: Spine 2 - CCN BJSS increase in contract value,,
,,09/01/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,SME,LS1 2TW,10802,202831.45,Capital: Spine 2 - CCN BJSS increase in contract value,,
,,09/01/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,SME,LS1 2TW,10965,213499.66,Capital: Spine 2 - CCN BJSS increase in contract value,,
,,09/01/2014,Professional fees,DG: GOAD,PRICEWATERHOUSECOOPERS LLP,LARGE,E14 9SQ,1354120919,23329.86,DH Internal Audit review work,,
,,09/01/2014,Service charge,DG: GOAD,BT GROUP PLC,LARGE,NW9 6LB,342666,81306.42,Revenue: Spine F/Y 2013/14 Committed,,
,,09/01/2014,Outsourcing Contract,DG: PHD,EXEL EUROPE LTD,LARGE,MK40 2XQ,6432290,300000,Exel Europe Ltd - SFVS Management Fee 2013/14,,
,,09/01/2014,Research & development,DG: RDD,ABERDEEN UNIVERSITY OF,PUBLIC,AB24 3FX,ERS-511779-84829,232170.2,Research for Patient Benefit,,
,,09/01/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-511789-84832,32520.46,HS & DR,,
,,09/01/2014,Outsourcing Contract,DG: PHD,THE TERRENCE HIGGINS TRUST,VCS,WC1X 8DP,29000869,244999.99,Targeted HIV prevention work 2013/14.  ,,
,,09/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL SOCIETY FOR THE PREVENTION OF ACCIDENTS (ROSPA),PUBLIC,B15 1RP,ERS-511771-84801,116660,IESD 2012/13 AIMS 17603448 ROSPA: The safer homes programme,,
,,09/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,JEWISH CARE,VCS,NW11 9DQ,ERS-511795-84841,27807.5,2011/036 Supportive Communities Programme,,
,,10/01/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008195,0,Recharge for TRS Project November 2013,,
,,10/01/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008196,286194.65,Recharge for Hutton November 2013,,
,,10/01/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008196,125461.85,Recharge for Hutton- October 2013,,
,,10/01/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008197,29576.52,Recharge for TRS Project November 2013,,
,,10/01/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008197,102494.09,Recharge for TRS project- October 2013,,
,,10/01/2014,Outsourcing Contract,DG: SFNHS,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000008297,33240,Management of Logistics and supply chain elements of contracts for supply and management of a buffer stock of medicines,,
,,10/01/2014,Other Admin expenditure,DG: GOAD,Wandsworth CCG,PUBLIC,SW18 1DA,7025200030/7025200031/7025200032,117750,,,
,,10/01/2014,Other Admin expenditure,DG: GOAD,KERNOW CCG,PUBLIC,PL25 5AS,FRESENIUS  KABI LTD REBATE,29973,,,
,,10/01/2014,Other Admin expenditure,DG: GOAD,KERNOW CCG,PUBLIC,PL25 5AS,FRESENIUS KABI LTD REBATE,44192,,,
,,10/01/2014,"SFVS - product & distribution cost, during November & December 2013",DG: PHD,Total Produce (Hereford),,,H13111530885,40127.02,,,
,,10/01/2014,"SFVS - product & distribution cost, during November & December 2013",DG: PHD,Total Produce (Hereford),,,H13111530937,42138.85,,,
,,10/01/2014,"SFVS - product & distribution cost, during November & December 2013",DG: PHD,Total Produce (Hereford),,,H13111530916,43194.48,,,
,,10/01/2014,"SFVS - product & distribution cost, during November 2013",DG: PHD,Total Produce (Bristol),,,B13110130801,34277.38,,,
,,10/01/2014,"SFVS - product & distribution cost, during November 2013",DG: PHD,Total Produce (Bristol),,,B13110130933,36952.92,,,
,,10/01/2014,"SFVS - product & distribution cost, during November 2013",DG: PHD,Total Produce (Bristol),,,B13110130835,25251.81,,,
,,10/01/2014,Storage costs,DG: SFNHS,BRISTOL LABORATORIES LTD,LARGE,,9032159,31712.06,,,
,,10/01/2014,Utilities,DG: GOAD,EDF ENERGY PLC,LARGE,PL3 5XQ,0023-PH-18388510,25194.9,Richmond House - Electricity Charges from Aug 2013 - Mar 2014 (Replacing PO.504950) -,,
,,10/01/2014,Utilities,DG: GOAD,EDF ENERGY PLC,LARGE,PL3 5XQ,0023-SKH-18389205,37696.73,Skipton House - EDF Electricity Charges from Aug 2013 – Mar 2014 (Replacing PO.504927),,
,,10/01/2014,Professional fees,DG: SFNHS,DELOITTE,LARGE,EC4A 3BZ,1111009136,76589.66,Deloitte FMIP - Provision of consultancy services by Deloitte LLP for the Financial Management Improvement Programme,,
,,10/01/2014,Outsourcing Contract,DG: SFNHS,DELOITTE,LARGE,MK9 1FD,2410073526,55115.15,2nd Extension of professional services to support negotiations on the successor pharmaceutical price regulation scheme (sPPRS),,
,,10/01/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,LARGE,WS11 0JA,5584148847,401161.9,IMS3 - Telephony - Managed Agency Service (MAS) - payment to 3rd party telephony suppliers,,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,HOUSING 21 LTD,VCS,BS5 8NL,ERS-511833-84901,29379,"IESD 2012-13, AIMS 1778164, Housing 21: Dementia Voice Nurse Service- End of Life Specialist Provision",,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,UNIVERSITY COLLEGE LONDON UCL,PUBLIC,WC1E 6BT,ERS-511842-84921,50000,2012/044 To support the Inclusion Health programme,,
,,10/01/2014,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT (GAD),PUBLIC,EC4A 1AB,SINV/00020230,125768.17,GAD Payments for work period ending 30 November,,
,,10/01/2014,Provisions cash payment,DG: PHD,CAXTON FOUNDATION,VCS,EN4 9NX,CF-15/2013-14,87345.74,Caxton Foundation Funding,,
,,10/01/2014,Provisions cash payment,DG: PHD,CAXTON FOUNDATION,VCS,EN4 9NX,CF-16/2013-14,90146.49,Caxton Foundation Funding,,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: ERD,The Point of Care Foundation,VCS,W1G 0AN,ERS-511821-84861,100000,2013/004 Schwartz Center Rounds,,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,PASSAGE 2000,SME,SW1P 1NL,ERS-511844-84925,178245,HD080 Homeless Hospital Discharge Project,,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,Thames Reach Housing Association,SME,SE5 8UA,ERS-511845-84923,69039,HD085 Greenwich Housing Options and Support Service,,
,,10/01/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,Thames Reach Housing Association,SME,SE5 8UA,ERS-511846-84924,62039,Croydon Routes - from hospital to community,,
,,10/01/2014,Provisions cash payment,DG: PHD,THE MACFARLANE TRUST,VCS,SW1H 0QS,MFT-08/13-14,155972,Macfarlane Trust funding,,
,,13/01/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,BARNET & CHASE FARM HOSPITALS NHS TRUST,PUBLIC,EN5 3DJ,HAFS-16328,1500000,,,
