Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Supplier Type,Contract Number
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,STERIA LTD,1082416,"£33,281.25","IT Managed Services for Police National Computer Infrastructure - annual, invoiced quarterly.",M14 0WN,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1083150,"£43,544.60",TFM Soft Services Fixed Costs April 2012 to March 2013 MOJ HQ MITIE INTERNAL MOVES,CIS-BS16 7FH,0000,Admin,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1083150,"£136,702.37",TFM Soft Services Fixed Costs April 2012 to March 2013 MOJ HQ MITIE SECURITY,CIS-BS16 7FH,0000,Admin,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1083471,"£470,801.29",CCN 2277 - NOP WITO Charges,WV10 6UH,0000,Admin,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1082345,"£38,476.82",MoJ Lease Car charges FY 12-13,BL9 8RT,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,262000-SCA Costs,QZ600-CPG Other,LIBERATA UK LTD,1082709,"£677,040.00",'FSMO 216c-Managed Accounting Service - FSMO 216C- Fixed Monthly Fee - Aug-12,NP10 8BA,0000,Admin,,
,,,,,,,,,,,,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£25,595.44",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1083598,"£25,992.06",ICT App Maint & Supp (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£26,889.54",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£26,900.14",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£26,936.83",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£27,508.64",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1083598,"£27,800.00",ICT Licences (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£28,052.65",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£29,062.07",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1082208,"£29,163.67",NIP (RFS 102627) (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£30,595.12",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1082416,"£30,969.00","CCNS194EIP2NetSec AV Host (ref Martyn Maltby) - Mst 5 Project Closure					 				 				 					 	",M14 0WN,E134,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£30,971.81",HP ICT Hosting (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£32,579.00",03478-04-v01 - CREST (E001) T&M CCN for continuation of work while full project CCN is being produced.One Off Charges,WV10 6UH,E001,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£32,751.18",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£32,969.61",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1083275,"£33,312.50",Clive House HQMBC Video Bridge Service (Links & Management),MK3 5JP,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£35,143.58",HP ICT Printing (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1083055,"£35,218.98",32341 CIPHERL00450 -Project Management Office ¿Technical Support- HQ028,SL6 1DP,0000,Admin,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£36,537.51",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£36,553.00","CCN3111 - One off charge	 	",WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1082208,"£37,379.12",VTL Capacity Upgrade Implement (RFS 106857) (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1082208,"£37,727.00","CCNS193 EIP2NetSec AV Boundary - Mst 5 Project Closure					 	 			",M14 0WN,E134,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082248,"£39,656.00",CCN A-S-03536-01 - NISE Project Atos T&M for Project Management Services in relation to the delivery of the NISE Project (one off cost),WV10 6UH,E002,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1083496,"£40,022.00",SM-DISC Prison to Courts Video Links  and HMCS Court Connectivity (Schedule),MK3 5JP,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1083055,"£40,750.02",8930 CIPHERL00448 -Project Management Office Manager- HQ026 ,SL6 1DP,0000,Admin,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1082130,"£42,375.00",Consultancy services provided by I2N during April 2012 - March 2013  IAPS Helpdesk & Maintenance (I2N Support & Maintenance),DL1 9HN,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1082617,"£42,375.00",Consultancy services provided by I2N during April 2012 - March 2013  IAPS Helpdesk & Maintenance (I2N Support & Maintenance),DL1 9HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£43,676.00","CCN 2277-01 (CIR - NOP- 0750) - Resources July 12 to March 13  - One Off Charge						 						",WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£44,244.00",CCN A-R-0313-01-C03 - EPE refresh,WV10 6UH,E159,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,TRUSTMARQUE SOLUTIONS LTD,1083221,"£44,248.42","Libra - HP Loadrunner Licenses, Support and Maintenance",YO32 9WN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£44,473.86",ICT Telephony (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,17/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1082903,"£45,017.67",EIP3Infra (E132) Fujitsu CCNF410-03 CSS Load Balancers One Off Charge,WA3 9BD,E132,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083563,"£47,100.43",HP ICT Printing (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£52,000.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration,WV10 6UH,E145,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£55,899.40",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1083357,"£62,839.48",ICT App Maint & Supp (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,10/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082471,"£63,001.00",CCN2277-01 - NOP Main CCN,WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£63,001.00",CCN2277-01 - NOP Main CCN,WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1082136,"£63,027.00",This PO is for the services of the IA Managed Service. For the period April-October 2012.   It relates to non-rechargeable costs (Schedule),GU2 7YP,0000,Admin,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1082346,"£66,701.11",ICT Printing - Liberata Print Charges,NP10 9XA,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£67,394.25","CCN2277-01 - Resources June 12 to March 13.						",WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1082346,"£69,268.78",ICT Printing - Liberata Print Charges,NP10 9XA,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£72,331.00",CCN 3172-02 - X-Kryptor Remote Access Infrastructure Upgrade,WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082119,"£74,431.93",ICT Network Services (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£75,162.78",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1082714,"£75,523.10", L-R-3306-04 - NISE Project Provision of Project Management Services,CF31 9AP,E002,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£77,580.00",HP ICT Hosting (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083025,"£83,300.92",CCN 3197-06 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083249,"£83,300.92",CCN 3197-06 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082248,"£84,628.70",CCN 3197-04 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1082248,"£84,628.70",CCN 3197-04 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£89,990.48",Steria ICT Other (VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1083598,"£99,987.00","CCN LS 3069-03-""Sharepoint Transition to BAU - One Off Costs:  SharePoint 2010 Pilot Second Extension   ""						",CF31 9AP,0000,Admin,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082328,"£100,794.59",PB508 - HP Project Implementation Costs - Replaces PO 10000024857,RG12 1HN,E148,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£101,575.44",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£110,437.04",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£112,052.16",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,03/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1082167,"£114,836.00",ICT Printing (Schedule),CF31 9AP,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2052,"£122,948.56",Monthly Fujitsu charges as set out in CCN 961 for period 01/04/12 - 31/03/13 relating to PPO being on Poise 3.  Costs to be re-imbursed to the Home Office.,NP20 9BB,0000,Programme,,
Ministry of Justice,MoJ HQ,06/Sep/2012 ,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082328,"£136,911.39",PB508 - HP Project Implementation Costs - Replaces PO 10000024857,RG12 1HN,E148,Programme,,
Ministry of Justice,MoJ HQ,13/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1082686,"£138,261.42",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,20/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1083118,"£138,280.29",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0000,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£147,175.00","CCN 2277-01 (CIR - NOP- 0750) - Resources July 12 to March 13  - One Off Charge						 						",WV10 6UH,E149,Programme,,
Ministry of Justice,MoJ HQ,27/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1083471,"£148,471.58",ICT Other (Schedule),WV10 6UH,0000,Programme,,
Ministry of Justice,MoJ HQ,24/Sep/2012 ,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1083428,"£154,443.95",Steria ICT Telephony (NON VAT Rec) FY12/13 (Schedule),M14 0WN,0000,Programme,,
