Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,17-Dec-2012,CORPORATE CENTRE,IS Retained Services,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,101938,TELEPHONE & SERVICE COSTS ,27072.5
HM Treasury,HM Treasury,19-Dec-2012,BUSINESS AND INTERNATIONAL TAX,Equitable Life,DELOITTE MCS LTD,102467,COST FOR PROFESSIONAL SERVICES FOR THE DESIGN OF THE EQUITABLE LIFE PAYMENTS SCHEME - NOVEMBER 2012,52721.67
HM Treasury,HM Treasury,19-Dec-2012,CORPORATE CENTRE,JWS Sharepoint Infrastructure,FUJITSU SERVICES LIMITED,102458,IT UPGRADE,72000
HM Treasury,HM Treasury,19-Dec-2012,CORPORATE CENTRE,JWS SCR Project,FUJITSU SERVICES LIMITED,102378,BUSINESS CHANGE PRODUCTS ,20958
HM Treasury,HM Treasury,19-Dec-2012,CORPORATE CENTRE,JWS PROJECTS – CO ONLY,FUJITSU SERVICES LIMITED,102377,CABINET OFFICE MOVE TO RESTRICTED IT ,64754.4
HM Treasury,HM Treasury,19-Dec-2012,CORPORATE CENTRE,JWS PROJECTS – CO ONLY,FUJITSU SERVICES LIMITED,102422,CABINET OFFICE MOVE TO RESTRICTED IT,781484.4
HM Treasury,HM Treasury,19-Dec-2012,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102235,PROJECT OSCAR - PAYMENT MILESTONE 12 AND 12B -NOVEMBER 2012,327248.4
HM Treasury,DMO,19-Dec-2012,DEBT MANAGMENT OFFICE,Facilities,JONES LANG LASALLE,102185,"BUILDING RENT, SERVICE CHARGES AND UTILITIES - MARCH 2012 TO MARCH 2013",373221.6
HM Treasury,HM Treasury,21-Dec-2012,IUK,IUK,AXA PPP HEALTHCARE,102277,TUPE EMPLOYEE CONTRACTUAL INSURANCE BENEFITS,31749.83
HM Treasury,HM Treasury,21-Dec-2012,FINANCIAL,Financial Stability Consultancy,BDO STOY HAYWARD LLP,101772,PROFESSIONAL EXPERT ADVICE IN RESPECT OF SMITH AND WILLIAMSON'S INDEPENDENT VALUATION REPORT OF DUNFERMLINE BUILDING SOCIETY,21000
HM Treasury,HM Treasury,21-Dec-2012,FINANCIAL,Financial Stability Consultancy,BDO STOY HAYWARD LLP,102548,INDEPENDENT VALUER NORTHERN ROCK - AUGUST 2012 TO OCTOBER 2012 - RECHARGEABLE TO NORTHERN ROCK ,36125.43
HM Treasury,HM Treasury,21-Dec-2012,CORPORATE CENTRE,Estates,EXCHEQUER PARTNERSHIP PLC,102451,QUARTERLY AWP (ANNUAL WORKSTATION PAYMENT) - OCTOBER 2012 TO DECEMBER 2012,386888.03
HM Treasury,HM Treasury,21-Dec-2012,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102517,PROJECT OSCAR - PAYMENT MILESTONE 13 - DECEMBER 2012,93354
HM Treasury,HM Treasury,24-Dec-2012,CORPORATE CENTRE,Hmt Suspense,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,98768,TELEPHONE & SERVICE COSTS ,39810.92
HM Treasury,HM Treasury,27-Dec-2012,CORPORATE CENTRE,JWS PROJECTS – CO ONLY,EXCHEQUER PARTNERSHIP PLC,102595,WORKPLACE OPTIMISATION PROJECT,339040.85
HM Treasury,HM Treasury,27-Dec-2012,CORPORATE CENTRE,EDRMS Upgrade Project,FUJITSU SERVICES LIMITED,102582,BUSINESS CHANGE PRODUCTS ,25748.4
HM Treasury,HM Treasury,27-Dec-2012,TREASURY LEGAL ADVISORS,Legal Team,THE TREASURY SOLICITOR,102457,CHARGES FOR ADVISORY LAWYERS  - NOVEMBER 2012,356318.75
HM Treasury,HM Treasury,31-Dec-2012,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL ,102658,GPC CARD STATEMENT - DECEMBER 2012,59496.25
HM Treasury,HM Treasury,31-Dec-2012,CORPORATE CENTRE,Hmt Suspense,BARCLAYCARD COMMERCIAL ,102659,LODGE CARD STATEMENT - DECEMBER 2012,59898.79
HM Treasury,DMO,31-Dec-2012,DEBT MANAGMENT OFFICE,Guarantee schemes – development,DELOITTE LLP,102649,NATIONAL LOAN GUARANTEE SCHEME SERVICES,139329.08
HM Treasury,HM Treasury,31-Dec-2012,CORPORATE CENTRE,FLEX Services,FUJITSU SERVICES LIMITED,102634,RESTRICTED FLEX SERVICE - OCTOBER 2012,994683.75
HM Treasury,HM Treasury,31-Dec-2012,CORPORATE CENTRE,JWS Correspondence Project,FUJITSU SERVICES LIMITED,102635,IT UPGRADE,25449
