Department,Entity,Payment Date,Expense Area,Expense Type,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,304871,Fiscal asset under construction - capital in year addition,4300566.32
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,308436,Utilities consumed - gas,3354964.41
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK DYNCORP LIMITED,PE28 2EA,302667,Works - estate management,3167627.11
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Fees for professional services,ERNST & YOUNG LLP,SE1 2AF,308477,Fees for professional services excluding legal fees,3162433.10
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,305515,Works services - excluding United States forces/NATO + married quarters,3131100.10
Ministry of Defence,Ministry of Defence,14/02/2014,Land Forces,Grants to NDPBs,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,305923,Grant in aid to the council of reserve forces and cadet associations,3037566.00
Ministry of Defence,Ministry of Defence,26/02/2014,Air Command,Transport hire charges,BABCOCK AEROSPACE LIMITED,BH23 6BS,310002,Transport fighting equipment operating lease,2936239.65
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK DYNCORP LIMITED,PE28 2EA,303249,Works - estate management,2923275.63
Ministry of Defence,Ministry of Defence,06/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES LIMITED,B75 7RL,302770,Fiscal asset under construction - capital in year addition,2690448.08
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000109839,Estate core services charge,2615654.78
Ministry of Defence,Ministry of Defence,11/02/2014,HO+CS,Estate management,COMMONWEALTH WAR GRAVES COMMISSION,SL6 7DX,304323,Grant in aid commonwealth war graves commission,2524861.00
Ministry of Defence,Ministry of Defence,17/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,MODUS SERVICES LIMITED,SW1A 2HB,306635,Fiscal private finance initiative asset under construction - capital in year addition,2464889.89
Ministry of Defence,Ministry of Defence,28/02/2014,Defence Equipment + Support,Food and clothing,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,311571,Cost of food purchases,2458224.36
Ministry of Defence,Ministry of Defence,25/02/2014,JFC,Property leases,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,309624,Property non dwellings private finance initiative - service concession arrangement service charge,2430808.48
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,307526,Utilities consumed - gas,2353963.77
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Fees for professional services,MCKINSEY & COMPANY INC  UNITED KINGDOM,SW1Y 4UH,309200,The provision of advice and guidance related to management of ongoing programmes and projects,2298730.80
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,307958,Utilities consumed - gas,2089064.49
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK DYNCORP LIMITED,PE28 2EA,310573,Estate core services charge,2019455.46
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Grants to NDPBs,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,307527,Grant in aid to the council of reserve forces and cadet associations,1963295.83
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Estate management,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,311253,Estate + facilities management services - accommodation inventory + service,1904330.30
Ministry of Defence,Ministry of Defence,13/02/2014,HO+CS,Fees for professional services,SERVICES SOUND & VISION CORPORATION,SL9 8TN,305701,Fees for professional services excluding legal fees,1898499.00
Ministry of Defence,Ministry of Defence,11/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGUSTAWESTLAND LIMITED,BA20 2YB,304224,Equipment support non-project costs,1854633.00
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,"Purchase of munitions, other inventory or fuel",WORLD FUEL SERVICES EUROPE  LTD.,SW1E 6AJ,2000021278,Raw materials and consumable aviation fuel inventory purchased,1833141.30
Ministry of Defence,Ministry of Defence,19/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,307527,Fiscal asset under construction - capital in year addition,1830180.50
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Estate management,ISS MEDICLEAN LIMITED,GU21 5RW,306042,Estate + facilities management services - accommodation inventory + service,1805837.55
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Estate management,BABCOCK DYNCORP LIMITED,PE28 2EA,310573,Works - estate management,1793760.19
Ministry of Defence,Ministry of Defence,25/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,KPMG LLP,WD17 1DE,309728,Equipment support non-project costs,1760493.00
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Property leases,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,304876,Property non dwellings private finance initiative - service concession arrangement service charge,1759845.75
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000109663,Works - estate management,1751046.71
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,309216,Fiscal asset under construction - capital in year addition,1709029.35
Ministry of Defence,Ministry of Defence,26/02/2014,Navy Command,Externally delivered education and training,BABCOCK FLAGSHIP LIMITED,BS23 6BS,310004,External military training ,1693616.80
Ministry of Defence,Ministry of Defence,07/02/2014,Air Command,Transport hire charges,BABCOCK AEROSPACE LIMITED,BH23 6BS,303248,Transport fighting equipment operating lease,1613131.41
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,5000109850,Works - estate management,1551379.56
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,305021,Estate core services charge,1528826.82
Ministry of Defence,Ministry of Defence,14/02/2014,JFC,Fees for professional services,SERCO LIMITED,RG27 9UY,306245,Fees for professional services excluding legal fees,1511878.60
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Property leases,FALCON SUPPORT SERVICES LIMITED,RG10 9JU,302318,Property dwellings private finance initiative - service concession arrangement service charge,1487536.21
Ministry of Defence,Ministry of Defence,17/02/2014,Air Command,Design services and minor equipment purchases,SERCO LIMITED,RG27 9UY,306824,Equipment support non-project costs,1441726.08
Ministry of Defence,Ministry of Defence,12/02/2014,Navy Command,Externally delivered education and training,BABCOCK FLAGSHIP LIMITED,BS23 6BS,304767,External military training ,1389075.00
Ministry of Defence,Ministry of Defence,17/02/2014,Defence Equipment + Support,Fees for professional services,DELOITTE MCS LIMITED,MK9 1FD,306482,"The provision of independent advice and guidance related to the structure, management and operations of an organisation",1385600.00
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,ASPIRE DEFENCE LIMITED,SP9 7QD,310559,Fiscal private finance initiative asset under construction - capital in year addition,1325844.71
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,303990,Fiscal asset under construction - capital in year addition,1310980.78
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Estate management,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,303990,Estate core services charge,1293371.89
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,IT and communication services,ATOS IT SERVICES UK LIMITED,WV10 6UH,308359,Information technology services,1229212.00
Ministry Of Defence,CIPF CA,11/02/2014,Fees for professional services excluding legal fees,Fees for professional services,Government Gen Account,,CO00015,Fees for professional services excluding legal fees," 1,186,318.61 "
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,EUROCOPTER UK LIMITED,OX5 1QZ,5000109524,Equipment support project costs,1171399.18
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,304871,Estate core services charge,1130240.13
Ministry of Defence,Ministry of Defence,19/02/2014,JFC,Fees for professional services,CRANFIELD UNIVERSITY,MK43 0AL,307529,Fees for professional services excluding legal fees,1115681.58
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,311276,Fiscal asset under construction - capital in year addition,1112535.30
Ministry of Defence,Ministry of Defence,19/02/2014,Land Forces,IT and communication services,HORIZONS INCORPORATED,OH 44128,307597,Information technology services,1082015.00
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,Property leases,MINERVA EDUCATION AND TRAINING  LIMITED,RG10 9JU,303988,Property non dwellings private finance initiative - service concession arrangement service charge,1071005.24
Ministry of Defence,Ministry of Defence,12/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,M50 0AL,305159,Estate + facilities management services - accommodation inventory + service,1063457.70
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,Estate management,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,310983,Cost of food purchases,1062433.14
Ministry of Defence,Ministry of Defence,26/02/2014,Defence Equipment + Support,Rental of plant and machinery,BRIGGS EQUIPMENT UK LIMITED,OX14 1RG,310035,Plant + machinery private finance initiative - service concession arrangements service charge,1038022.29
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Food and clothing,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,305106,Cost of food purchases,1028156.52
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,CARILLION CONSTRUCTION LIMITED,WV1 4HY,308947,Fiscal asset under construction - capital in year addition,1011959.20
Ministry of Defence,Ministry of Defence,17/02/2014,Land Forces,Externally delivered education and training,WILTSHIRE AND SOMERSET  COLLEGES PARTNERSHIP LIMITED,DT11 8PL,306908,External military training ,991841.76
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,CARILLIONENTERPRISE LIMITED,B75 7RL,305360,Fiscal asset under construction - capital in year addition,961807.00
Ministry of Defence,Ministry of Defence,28/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,INTERSERVE (DEFENCE) LTD,BS32 4NH,311395,Fiscal asset under construction - capital in year addition,955137.89
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Payment of utilities,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,303321,Utilities consumed - gas,952966.15
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Grants to NDPBs,ROYAL HOSPITAL,SW3 4SR,311593,Operating costs grant in aid to the Royal Hospital Chelsea,948750.00
Ministry of Defence,Ministry of Defence,12/02/2014,Land Forces,Purchase of buildings and military equipment ,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,304953,Fiscal asset under construction - capital in year addition,916972.21
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,310487,Works - estate management,889236.32
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Spend on Inventory - General,ITURRI SA,OX16 3TA,3000010182,Spend on Inventory - General,866060.82
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,DELOITTE LLP,MK9 1FD,302280,Equipment support non-project costs,845991.00
Ministry of Defence,Ministry of Defence,17/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,306486,Fiscal asset under construction - capital in year addition,845258.24
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,POLAR SHIP INVEST II AS,N5809,3000010097,Equipment support non-project costs,842800.00
Ministry of Defence,Ministry of Defence,11/02/2014,Air Command,Service and civilian recruitment,GROUPM UK LIMITED,WC1X 8RX,304424,Service recruitment excluding recruitment related external assistance,837908.62
Ministry of Defence,Ministry of Defence,18/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,M50 0AL,307324,Estate + facilities management services - accommodation inventory + service,829372.45
Ministry of Defence,Ministry of Defence,14/02/2014,Defence Equipment + Support,Research and development,GMK LIMITED,PO15 5RL,306015,Research and development excluding defence science and technology laboratory,807535.87
Ministry of Defence,Ministry of Defence,17/02/2014,HO+CS,"Adminstration, claims, compensation and awards",THE ACCOUNTING OFFICER MINISTRY OF DEFENCE,B75 7RL,306864,Cost of claims/compensation and related expenses against MOD,800000.00
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,307030,Fiscal asset under construction - capital in year addition,795723.44
Ministry of Defence,Ministry of Defence,10/02/2014,Air Command,Medical treatment & stores and welfare services,THE SOLDIERS SAILORS AIRMEN AND FAMILIES ASS - FORCES HELP,SE1 2LP,304170,Welfare services including sports equipment and ministers of religion.,789763.77
Ministry of Defence,Ministry of Defence,17/02/2014,HO+CS,"Adminstration, claims, compensation and awards",HELP FOR HEROES,SP5 3RB,306564,Cost of claims/compensation and related expenses against MOD,787250.00
Ministry of Defence,Ministry of Defence,13/02/2014,Navy Command,Grants to NDPBs,SEA CADET CORPS,SE1 7JF,305694,Operating costs grant in aid to the royal navy marine society and sea cadets.,781443.00
Ministry of Defence,Ministry of Defence,24/02/2014,Defence Equipment + Support,Purchase of buildings and military equipment ,HORIZONS INCORPORATED,OH 44128,309124,Fiscal asset under construction - capital in year addition,758647.25
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Property leases,TRICOMM HOUSING LIMITED,EH3 7HL,306304,Property dwellings private finance initiative - service concession arrangement service charge,732717.78
Ministry of Defence,Ministry of Defence,05/02/2014,Defence Equipment + Support,Research and development excluding defence science and technology laboratory,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,302277,Research and development excluding defence science and technology laboratory,696232.08
Ministry of Defence,Ministry of Defence,12/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,AGUSTAWESTLAND LIMITED,BA20 2YB,2000021293,Equipment support non-project costs,686746.99
Ministry of Defence,Ministry of Defence,03/02/2014,Navy Command,"Public relations, including marketing and advertising",GROUPM UK LIMITED,WC1X 8RX,301527,Public relations services including items such as sales marketing and advertising,684787.38
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Payment of utilities,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,303360,Utilities consumed - electricity,678185.55
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Dilapidation charges  ,ANNINGTON PROPERTY LTD,W1U 1DR,305277,Other provisions payment against provision,666413.61
Ministry Of Defence,Ministry Of Defence,18/02/2014,Ministry Of Defence,Government Procurement Card ,Barclays Bank PLC,TS17 6YG,EMP 11265,Monthly GPC Payment ,"659,609.32"
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,IT and communication services,CGI IT UK LIMITED,CF31 9AP,307951,Information technology services,640198.06
Ministry of Defence,Ministry of Defence,07/02/2014,Land Forces,Fees for professional services,BABCOCK LAND LIMITED,BH23 9BS,303251,Fees for professional services excluding legal fees,631618.21
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,PRIDE (SERP) LTD,GU11 2ER,302497,Fiscal asset under construction - capital in year addition,627805.20
Ministry of Defence,Ministry of Defence,25/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,309917,Fiscal asset under construction - capital in year addition,613847.17
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Fees for professional services,MOTT MACDONALD LTD,CR9 2UL,306090,Fees for professional services excluding legal fees,600338.95
Ministry of Defence,Ministry of Defence,18/02/2014,Defence Equipment + Support,Spend on Inventory - General,ITURRI SA,OX16 3TA,3000010164,Spend on Inventory - General,580174.86
Ministry of Defence,Ministry of Defence,19/02/2014,Defence Equipment + Support,Food and clothing,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,307744,Cost of food purchases,579008.60
Ministry of Defence,Ministry of Defence,20/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,M50 0AL,308261,Estate + facilities management services - accommodation inventory + service,578032.44
Ministry of Defence,Ministry of Defence,26/02/2014,DEFENCE INFRASTRUCTURE,Purchase of buildings and military equipment ,DEBUT SERVICES LIMITED,B75 7RL,310077,Fiscal asset under construction - capital in year addition,577897.57
Ministry of Defence,Ministry of Defence,24/02/2014,JFC,Medical treatment & stores and welfare services,CHAS.A.BLATCHFORD & SONS LIMITED,RG22 4AH,308963,Medical health services,576012.32
Ministry of Defence,Ministry of Defence,03/02/2014,DEFENCE INFRASTRUCTURE,Rent and rates,HART DISTRICT COUNCIL,GU51 4AE,301531,Rent buildings - non civil estate property and married quarter property,572836.28
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,Food and clothing,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,308693,Cost of food purchases,572781.38
Ministry of Defence,Ministry of Defence,07/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,M50 0AL,303648,Estate + facilities management services - accommodation inventory + service,571207.51
Ministry of Defence,Ministry of Defence,13/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,305258,Movement of service personnel,547997.37
Ministry of Defence,Ministry of Defence,14/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,SODEXO LTD,M50 0AL,306253,Cost of food services,527137.01
Ministry of Defence,Ministry of Defence,06/02/2014,Land Forces,Externally delivered education and training,ROYAL ARTILLERY CENTRE FOR PERSONAL DEVELOPMENT,SP4 8QT,303082,External military training ,526701.27
Ministry of Defence,Ministry of Defence,26/02/2014,Land Forces,Fuel for military use,CERTAS ENERGY UK LIMITED,WA3 6XG,180719,Cost of ground diesel fuel consumed,525353.66
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SERCO LIMITED,RG27 9UY,304132,Estate + facilities management services - accommodation inventory + service,521184.78
Ministry of Defence,Ministry of Defence,27/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ISS MEDICLEAN LIMITED,GU21 5RW,310813,Cost of food services,516481.31
Ministry of Defence,Ministry of Defence,18/02/2014,HO+CS,Fees for professional services,KPMG LLP,WD17 1DE,307153,"The provision of advice and assistance relating to corporate financing structures, accountancy, control mechanisms and systems",509541.00
Ministry of Defence,Ministry of Defence,27/02/2014,Defence Equipment + Support,IT and communication services,FUJITSU SERVICES LIMITED,TW18 3BF,310770,Information technology services,509502.30
Ministry of Defence,Ministry of Defence,04/02/2014,Land Forces,"Transportation of personnel, freight and travel expenses",AGILITY LOGISTICS LIMITED,RG1 2LG,301881,Movement of service personnel,505450.63
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,General services and support,MARSHALL AVIATION SERVICES LIMITED,CH4 0BA,308093,Defence equipment CLS/IOS service charge,500000.00
Ministry of Defence,Ministry of Defence,07/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,GENERAL DYNAMICS UNITED KINGDOM LIMITED,TN38 9NJ,303386,Equipment support non-project costs,497790.43
Ministry of Defence,Ministry of Defence,11/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,304699,Works - estate management,496674.71
Ministry of Defence,Ministry of Defence,05/02/2014,DEFENCE INFRASTRUCTURE,Estate management,SODEXO LTD,GU11 2PP,302555,Estate + facilities management services - accommodation inventory + service,495156.24
Ministry of Defence,Ministry of Defence,13/02/2014,DEFENCE INFRASTRUCTURE,Estate management,INTERSERVE (DEFENCE) LTD,BS32 4NH,305515,Works - estate management,493044.72
Ministry of Defence,Ministry of Defence,10/02/2014,Defence Equipment + Support,"Purchase of munitions, other inventory or fuel",BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000021262,Raw materials and consumable aviation fuel inventory purchased,486912.60
Ministry of Defence,Ministry of Defence,20/02/2014,Defence Equipment + Support,"Purchase of munitions, other inventory or fuel",BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000021393,Raw materials and consumable aviation fuel inventory purchased,484215.85
Ministry Of Defence,CIPF CA,02/02/2014,Design services and minor equipment purchases,Vehicles,Al Jazirah Vehicles Agencies Co.,,CO0011,Design services and minor equipment purchases,"473,550.00"
Ministry of Defence,Ministry of Defence,21/02/2014,DEFENCE INFRASTRUCTURE,Estate management,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,308578,Estate core services charge,471637.29
Ministry of Defence,Ministry of Defence,21/02/2014,Defence Equipment + Support,IT and communication services,STERIA LIMITED,HP2 7AH,308757,Information technology services,469225.00
Ministry of Defence,Ministry of Defence,24/02/2014,Air Command,Externally delivered education and training,BABCOCK LAND LIMITED,BH23 9BS,308885,External military training ,463063.28
Ministry of Defence,Ministry of Defence,10/02/2014,DEFENCE INFRASTRUCTURE,Food and clothing,ELIOR UK PLC,SK11 6ET,303888,Cost of food services,462470.57
Ministry of Defence,Ministry of Defence,28/02/2014,Land Forces,Externally delivered education and training,BABCOCK TRAINING LIMITED,PO6 3EN,180776,External military training ,462282.29
Ministry of Defence,Ministry of Defence,04/02/2014,DEFENCE INFRASTRUCTURE,Estate management,PRIDE (SERP) LTD,GU11 2ER,302090,Works - estate management,444360.00
Ministry of Defence,Ministry of Defence,06/02/2014,Navy Command,"Public relations, including marketing and advertising",M-INTEGRATED SOLUTIONS PLC,TW8 9LY,302919,Public relations services including items such as sales marketing and advertising,439395.00
Ministry of Defence,Ministry of Defence,06/02/2014,Defence Equipment + Support,Design services and minor equipment purchases,HP ENTERPRISE SERVICES DEFENCE & SECURITY UK LIMITED,RG27 9XA,302877,Equipment support non-project costs,436547.30
Ministry of Defence,Ministry of Defence,24/02/2014,DEFENCE INFRASTRUCTURE,Estate management,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,309450,Works - estate management,429464.97
