Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,35305,872.06,E&M Non Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/06/2014,Economic Consultancy & Research,Knowledge & Innovation Group - Innovation Directorate,MATRIX EVIDENCE LTD,35499,-1350.00,Collaboration: Other Economic Research-Economic Consultancy & Research,EC1V 2NP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Furniture,Economics & Markets - Consumer and Competition Policy,SENATOR INTERNATIONAL LTD,35536,-35.33,Consumer Landscape/Collective Purchasing Prize-Furniture,BB5 5YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Professional Training,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",LONDON ARTSCOM LTD,35915,458.33,P&S Devolved Admin-Professional Training,SW1P 4JU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2014,Business Rates Non Accommodation,Finance & Commercial Group - Estates,WESTMINSTER CITY COUNCIL,35990,717860.00,F&C Devolved Admin-Business Rates Non Accommodation,SW1E 6QY,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,36090,514.66,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,36091,185.40,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,36091,902.88,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,37070,1214.82,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,ADECCO UK LTD,37312,483.76,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,38598,177.00,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,39004,2664.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,39017,1998.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/06/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,39021,12868.80,F&C Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,Department of Energy & Climate Change,39089,12107.53,F&C Devolved Admin-Other Relocation Costs,SW1A 2AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,Department of Energy & Climate Change,39091,20121.31,F&C Devolved Admin-Other Relocation Costs,SW1A 2AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2014,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - ED SME Finance Policy,BERR SFLG PAYMENT TO LENDERS,39349,-11456.03,Small Firms Loan Guarantees: New-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2014,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - ED SME Finance Policy,BERR SFLG PAYMENT TO LENDERS,39349,-6797.16,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Professional Subscriptions,Finance & Commercial Group - Information and Technology Directorate,UNIVERSITY OF READING,39910,-8500.00,F&C Devolved Admin-Professional Subscriptions,RG6 6AH,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Professional Subscriptions,Finance & Commercial Group - Information and Technology Directorate,UNIVERSITY OF READING,39910,18700.00,F&C Devolved Admin-Professional Subscriptions,RG6 6AH,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,40129,579.47,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Professional Training,Economics & Markets - Analysis Directorate,INSPIRE TRAINING AND CONSULTANCY LTD,40132,-2137.18,E&M Devolved Admin-Professional Training,SO22 5ED,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Professional Training,Economics & Markets - Analysis Directorate,INSPIRE TRAINING AND CONSULTANCY LTD,40132,-202.82,E&M Devolved Admin-Professional Training,SO22 5ED,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Professional Training,Economics & Markets - Analysis Directorate,INSPIRE TRAINING AND CONSULTANCY LTD,40132,474.50,E&M Devolved Admin-Professional Training,SO22 5ED,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Professional Training,Economics & Markets - Analysis Directorate,INSPIRE TRAINING AND CONSULTANCY LTD,40132,1493.66,E&M Devolved Admin-Professional Training,SO22 5ED,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/06/2014,Professional Training,Economics & Markets - Analysis Directorate,INSPIRE TRAINING AND CONSULTANCY LTD,40132,2796.34,E&M Devolved Admin-Professional Training,SO22 5ED,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,Department of Energy & Climate Change,40146,19581.08,F&C Devolved Admin-Other Relocation Costs,SW1A 2AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Other Relocation Costs,Finance & Commercial Group - Finance Group,Department of Energy & Climate Change,40149,11786.08,F&C Devolved Admin-Other Relocation Costs,SW1A 2AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40294,1562.28,F&C Devolved Admin-Electricity,PL3 5TU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40323,1.83,F&C Devolved Admin-Electricity,PL3 5TU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40323,6634.86,F&C Devolved Admin-Electricity,PL3 5TU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40324,4.35,F&C Devolved Admin-Electricity,PL3 5TU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40324,17965.38,F&C Devolved Admin-Electricity,PL3 5TU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2014,Refuse Disposals,Finance & Commercial Group - Estates,RESTORE SHRED LTD,40327,40.00,F&C Devolved Admin-Refuse Disposals,TS18 2LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/06/2014,ICT Infrastructure Specific Service,Finance & Commercial Group - Modernisation Fund and Shared Services,FUJITSU SERVICES LTD,40330,125513.82,F&C Devolved Admin-ICT Infrastructure Specific Service,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/06/2014,ICT Outsourcing & Maintenance/Support,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,40331,1948.80,F&C Devolved Admin-ICT Outsourcing & Maintenance/Support,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/06/2014,ICT Outsourcing & Maintenance/Support,Finance & Commercial Group - Information and Technology Directorate,FUJITSU SERVICES LTD,40332,1114.72,F&C Devolved Admin-ICT Outsourcing & Maintenance/Support,WA3 9BD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Other Accommodation Charges,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",ONE WORLD WATER LTD T/A AQUAID (LONDON CENTRAL),40352,19.20,Innovation Space: Facilitator-Other Accommodation Charges,E8 4QN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/06/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,40518,2397.02,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,40705,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,40705,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40755,17.58,F&C Devolved Admin-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/06/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,40755,61104.35,F&C Devolved Admin-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2014,Telecoms,Finance & Commercial Group - Information and Technology Directorate,DAISY COMMUNICATIONS LTD,40907,131.04,E&M Devolved Admin-Telecoms,BB9 5SR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,40912,-156039.12,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,40912,-1294.85,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",05/06/2014,Consultancy Expenditure,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat",CAPITA BUSINESS SERVICES LTD,40912,158625.82,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Printing,People & Strategy - Communications Directorate,WILLIAMS LEA LTD,40926,62.15,P&S Devolved Admin-Printing,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Reprographic Services,Business & Local Growth - Europen Reform,WILLIAMS LEA LTD,40926,129.14,BLG Devolved Admin-Reprographic Services,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Reprographic Services,Business & Local Growth - Europen Reform,WILLIAMS LEA LTD,40933,74.74,BLG Devolved Admin-Reprographic Services,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Printing,People & Strategy - Communications Directorate,WILLIAMS LEA LTD,40936,860.00,P&S Devolved Admin-Printing,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/06/2014,Reprographic Services,Business & Local Growth - Europen Reform,WILLIAMS LEA LTD,40936,2253.77,BLG Devolved Admin-Reprographic Services,EC1M 4NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2014,Other Goods/Services,Government Office for Science -  Government Office for Science,UNIVERSITY OF THE WEST OF ENGLAND,40997,-14310.00,Foresight: Computer Trading in Financial Markets-Other Goods/Services,BS16 1QY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2014,Other Goods/Services,Government Office for Science -  Government Office for Science,UNIVERSITY OF THE WEST OF ENGLAND,40997,31482.00,Foresight: Computer Trading in Financial Markets-Other Goods/Services,BS16 1QY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,UNIVERSITY OF THE WEST OF ENGLAND,40997,-1240.00,Foresight: Computer Trading in Financial Markets-Research and Development Expenditure,BS16 1QY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,UNIVERSITY OF THE WEST OF ENGLAND,40997,2728.00,Foresight: Computer Trading in Financial Markets-Research and Development Expenditure,BS16 1QY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/06/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,FIVIUM LTD,41117,22280.00,F&C Devolved Admin-Other IT Consultancy,WC2E 9EZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/06/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,41311,214.00,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/06/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Enterprise & Skills,CAPITA BUSINESS SERVICES LTD,41364,30.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Press Cutting Services,People & Strategy - Communications Directorate,GORKANA GROUP LTD,41414,171.36,E&M Devolved Admin-Press Cutting Services,EC1Y 8QE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Publications,People & Strategy - Communications Directorate,GORKANA GROUP LTD,41414,126.79,Corporate Presentation-Publications,EC1Y 8QE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/06/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,41435,4316.40,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,41711,198.00,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,41717,43.20,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,41724,14.47,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,41725,164.40,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/06/2014,Learning and Dev - CS Skills,Enterprise & Skills Group - Enterprise & Skills,CAPITA BUSINESS SERVICES LTD,41769,3133.51,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2014,External Training,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,41797,206.00,E&M Devolved Admin-External Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/06/2014,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,41871,199.51,Legal Services Admin-Stationery,LE41 9GS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2014,Travel Booking,Enterprise & Skills Group - Vocational Education Directorate,BAXTERSTOREY LTD,42025,-1599.38,E&S Devolved Admin-Travel Booking,RG6 1PT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2014,Travel Booking,Enterprise & Skills Group - Vocational Education Directorate,BAXTERSTOREY LTD,42025,280.13,E&S Devolved Admin-Travel Booking,RG6 1PT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/06/2014,Travel Booking,Enterprise & Skills Group - Vocational Education Directorate,BAXTERSTOREY LTD,42025,2918.63,E&S Devolved Admin-Travel Booking,RG6 1PT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/06/2014,Leadership & People Management,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,42039,3215.00,P&S Devolved Admin-Leadership & People Management,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/06/2014,Economic Consultancy & Research,Economics & Markets - Consumer and Competition Policy,YOUGOV PLC,42059,7800.00,E&M Devolved Admin-Economic Consultancy & Research,EC1Y 8RT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/06/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,42092,281.00,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),42166,-51897231.73,K&I Devolved Admin-Current Grants To Private Sector - NPISH,G2 7JD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),42166,103447.00,K&I Devolved Admin-Current Grants To Private Sector - NPISH,G2 7JD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/06/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),42166,64204455.00,K&I Devolved Admin-Current Grants To Private Sector - NPISH,G2 7JD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/06/2014,Sponsorship Support,Business & Local Growth - Advanced Manufacturing Services,SOCIETY OF MARITIME INDUSTRIES LTD,42176,14400.00,AMD: Sponsorship-Sponsorship Support,EC2R 8AY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/06/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,42226,2397.02,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
