Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,8/12/2015,CONSULTANTS VAT RECOVERABLE,GPU GOVERNMENT PROPERTY MODEL,SAVILLS COMMERCIAL LTD,3000066907,104550.00,To support model delvopment for HM Prison Phase 1,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,9/12/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000066928,27458.97,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,9/12/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000066928,133658.94,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,9/12/2015,ADDITIONS IT HARDWARE,DCMS TEAM,MISCO,3000066942,54523.20,IT Equipment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,9/12/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,1001401,129420.36,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2015,OTHER LEGAL FEES,COUNSEL,TREASURY SOLICITORS DEPT,3000066990,35873.76,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,10/12/2015,Legal Fees,Legal Services,Treasury Solicitors,PINP2P 1832,49078.50,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,POST OFFICE LTD,3000066997,163565.40,Payment for identities under the Identity Provider Call-Off Contract,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DEPARTMENTAL ENGAGEMENT,GREEN PARK INTERIM AND EXECUTIVE LTD,3000067037,45536.04,Consultancy fees for Shared Services Project,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2015,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000067016,40083.96,IT Service Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/12/2015,GRANT FUND MANAGEMENT,ERTP ERO CONFIRMATION & VERIFICATION,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000067027,26000.00,Managed service for processing electoral expense claims from returning officers,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,OTHER LEGAL FEES,ROYAL MAIL SERVICE PENSIONS,PINSENT MASONS LLP,3000067064,28624.00,Administration fees for Civil Service Pensions,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,GREEN PARK INTERIM AND EXECUTIVE LTD,3000067087,28776.00,Consultancy fees for Shared Services Project,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,14/12/2015,Consultancy Fees (Advice),Technology Governance,Salesforce.com,PINP2P 1854,165000.00,Crown Market Place Programme Architect 14/12/2015 - 13/06/2016,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,HOSPICE UK,1001408,105741.00,End of Life Social Action Fund,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000067059,49078.11,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000067066,67023.97,Facilities Management Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,YOUTH UNITED,1001407,990000.00,Grant to Youth United to create more volunteering opportunities for young people,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY GRANTS,THE JOIN IN TRUST,3000067105,375000.00,Grant to continue to develop the Olympic legacy of volunteering,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,SOCIAL INVESTMENT BUSINESS,1001409,461326.00,Grant to support the Centre for Social Action,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,MANCHESTER CITY COUNCIL,3000067067,31798.80,Individual Electoral Registration funding to local authorities,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000067076,25784.69,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS COMMUNICATIONS AND CREATIVE,CAPITA BUSINESS SERVICES LTD,3000067076,29307.05,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000067076,34083.94,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000067076,37858.74,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000067076,39683.12,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000067076,42224.89,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000067076,51435.22,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000067076,64129.92,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,STAFF RELATED COSTS,CEX CHIEF COMMERCIAL OFFICER,EGON ZEHNDER INTERNATIONAL,3000067102,27299.16,Recruitment Fees,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2015,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,3000067069,159165.90,Rent for accomodation,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,15/12/2015,Information Services,Technology Governance,UNIT4,PINP2P 1865,29032.00,CODA Finance System Support Costs May 2015 - April 2016,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2015,OTHER IS IT COSTS VAT RECOV,GDS BUS DEV CONSULTANT AND STAFF COSTS,CARRENZA LTD,3000067134,79173.39,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2015,HARDWARE LEASE,CERT,E2E ASSURE LTD,3000067136,43292.10,"Hardware Lease, Support and Protective Monitoring",,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2015,ADDITIONS IT HARDWARE,CABINET OFFICE TEAM,MISCO,3000067111,37482.61,IT Equipment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2015,OTHER IS IT COSTS VAT RECOV,ERG NEXT GENERATION SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000067135,138800.00,IT Software Costs for Single Operating Platform,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/12/2015,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000067135,165287.90,Shared Services Charge,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE TEAM,MISCO,3000067169,44942.40,IT Equipment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS PUBLISHING PLATFORM TECHNOLOGY,UNBOXED CONSULTING LTD,3000067157,54869.96,IT Service Costs,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/12/2015,CONSULTANTS VAT RECOVERABLE,OGSIRO,THE APM GROUP LTD,3000067175,184500.00,Provision of Cyber Security Assessments,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,16/12/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINP2P 1888,41838.19,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,16/12/2015,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINP2P 1889,67053.94,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,16/12/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINP2P 1890,73430.09,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2015,RESOURCE GRANTS PRIVATE SECTOR,SECTOR SUPPORT,VIRGIN MONEY FOUNDATION,3000067221,930909.00,Grant to support Charitable and Community organisations in the North East of England 2015/16,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000067205,30689.13,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/12/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000067202,25683.33,Live Service hosting costs for Individual Electoral Registration,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,17/12/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINP2P 1649,53680.96,Whitehall heating systems management,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000067274,114886.59,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,KENT SURREY & SUSSEX AIR AMBULANCE,3000067283,1500000.00,Grant for a Kent and Surrey Air Ambulance,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,NESTA,3000067244,69000.00,Grant to support developing a school led approach to managing volunteers,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,RESOURCE GRANTS TO NDPB'S,LOCAL SUSTAINABILITY FUND,BIG LOTTERY FUND,3000067239,388596.00,Grant towards the Local Sustainability Fund with the Big Lottery Fund aiming to help the most vulnerable and disadvantaged people to secure their long term future.,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000067268,115017.00,Payment for identities under the Identity Provider Call-Off Contract,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/12/2015,ADDITIONS AUC - IT HW,BUSINESS MANAGEMENT TEAM,TRL TECHNOLOGY LTD,3000067256,95856.00,Quarterly payment for audit fees ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONSULTANTS VAT RECOVERABLE,BUSINESS MANAGEMENT TEAM,ORC INTERNATIONAL LIMITED,3000067318,234369.90,Consultancy cost for the Cabinet Office People Survey ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS Enabling Strategy,ZUHLKE ENGINEERING LTD,3000067331,55452.00,Developer services provided to GaaP product teams,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS Enabling Strategy,WTG TECHNOLOGIES LTD,3000067321,35100.00,Digital development services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,SME PENSIONS POLICY,GREEN PARK INTERIM AND EXECUTIVE LTD,3000067329,49808.52,Interim Head of Supplier Management ,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,BRITISH YOUTH COUNCIL,1001413,25000.00,Grant for youth partcipation in public decision making,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,THE CRANFIELD TRUST,1001411,30000.00,Grant to support the sector deliver sustainable social action programmes,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000067324,26964.25,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,CAPITA BUSINESS SERVICES LTD,3000067324,28450.19,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000067324,33229.65,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000067324,36140.16,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000067324,47016.30,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000067324,58486.12,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000067324,79101.22,Interim IT specialists,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,SOFTWARE LEASE/LICENSE,CABINET OFFICE TEAM,XMA LTD,3000067334,148642.32,IT Equipment,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,MERSEYSIDE LIEUTENANCY,3000067313,28356.00,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,LORD LIEUTENANT OF WEST YORKSHIRE,3000067310,29583.75,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,LIEUTENANCY OF TYNE AND WEAR,3000067312,30452.25,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER MANCHESTER LIEUTENANCY,3000067314,34231.00,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,WEST MIDLANDS LIEUTENANCY,3000067311,39160.25,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,GREATER LONDON LIEUTENANCY,3000067325,63580.50,Quarter 4 advance payment for Lord Lieutenant Expenses,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000067332,142516.76,PFI Service Charge for Sunningdale Park,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/12/2015,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,TNA,THE NATIONAL ARCHIVES 9014,3000067296,95927.00,Verify Identify Assurance Programme,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU ONE PUBLIC ESTATE,ESSEX COUNTY COUNCIL,3000067382,50000.00,Grant for One Public Estate,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,THE COMPANY OF COMMUNITY ORGANISERS LTD,3000067381,197308.50,Grant to allow community organisers to bid to run projects,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OTHER IS IT COSTS VAT RECOV,CERT,MDS TECHNOLOGIES LTD,3000067380,34076.42,IT Support for CERT UK,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,22/12/2015,Legal Fees,Legal Services,Treasury Solicitors,PINP2P 1938,41038.90,Legal Services,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/12/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000067353,25820.00,Live Service hosting costs for Individual Electoral Registration,,,,,,,,,,,,,,,,
