DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE_1,SUPPLIER,TRANSACTION_NUM, AMOUNT ,Actual Description,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,29/02/2012,IBM Base Services Control,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5801121670,"£6,257,141.09",Core Defra IT Baselined Services - FEB 2012 ,GU1 2LD,,FRW10040-00,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Work package/WPO Implementation,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5801121815,"£121,295.77",Deliverables for Projects contracted for period 01-31/01/2012,GU1 2LD,,FRW10040-00,P0300000,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Application Services/Applications Delivery,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5802120267,"£41,000.00",Windows Build Servers Updated for Windows 7  - 1/2-28/2/12,GU1 2LD,,FRW10040-00/exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Computer & IT Services,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5802120275,"£34,045.00",Upgrade to Global Print - 01/02/12 - 28/02/12,GU1 2LD,,FRW10040-00,P0300020,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Telephony Services/Audio Conferencing Facilities,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5802120422,"£28,364.90",Audio Conference charges 01/01 -31/01/2012,GU1 2LD,,FRW10040-00,QBST5000,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Transition & Transformation,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5812111888,"£36,453.00",Extension to software 01/12/2011-31/12/2011,GU1 2LD,,FRW10040-00,CTTPS017,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Transition & Transformation,Supplier,Green Economy and Corporate Services Group,Supplier,IBM United Kingdom Ltd,5812112266,"£694,244.00",Service Management 01/02/10 - 31/01/2018,GU1 2LD,,FRW10040-00,CTTPS014,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Evidence Non R&D,OGD,Green Economy and Corporate Services Group,OGD,Natural Environ Research Council,7060002201,"£55,000.00",Annual contribution to the Living With Environmental Change Programme/ Partnership in 2011/12 ,SN2 1EU,,,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Inwards Secondments,Defra NDPB,Green Economy and Corporate Services Group,Defra NDPB,Natural England,8000006665,"£40,491.76",Secondee's salary costs for  01/10 -31/12/2011,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Electricity,Supplier,Green Economy and Corporate Services Group,Supplier,E D F Energy,1.26E+15,"£67,560.36","Electricity bill  January 2012 for Veterinary Laboratory, Weybridge",PL3 5XQ,,,B0870000,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Electricity,Supplier,Green Economy and Corporate Services Group,Supplier,E D F Energy,1.30E+15,"£27,278.58","Electricity bill January 2012 for Lowestoft-Fish Lab, Pakfield Road",PL3 5XQ,,,B0940000,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Office Eqpt Hire,Supplier,Green Economy and Corporate Services Group,Supplier,Xerox (UK) Ltd,AF350900,"£38,332.76",Xerox multi functional devices - Rental for 7/9/2011-6/3/2012 and Copy Charges for 7/3-6/9/2011,BN13 1QG,,Exempt FRW10022-00,B1960000,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Office Eqpt Hire,Supplier,Green Economy and Corporate Services Group,Supplier,Xerox (UK) Ltd,AF355419,"£79,134.21",Xerox multi functional devices - Basic rental and copy charge for 25 March 2011 to 24 March 2012,BN13 1QG,,Exempt FRW10022-00,B1960000,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Office Eqpt Hire,Supplier,Green Economy and Corporate Services Group,Supplier,Xerox (UK) Ltd,AF373616,"£30,906.32",Xerox multi functional devices -Rental for 7/9/2011-6/3/2012 and Copy Charges for 7/3-6/9/2011,BN13 1QG,,Exempt FRW10022-00,B1960000,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Office Eqpt Hire,Supplier,Green Economy and Corporate Services Group,Supplier,Xerox (UK) Ltd,AF373617,"£60,781.95",Xerox multi functional devices -Rental for 25/9/2011-24/3/2012 and Copy Charges for 25/3-24/9/2011,BN13 1QG,,Exempt FRW10022-00,B1960000,Expense,
DEFRA,DEFRA ORGANISATION,02/02/2012,Business Rates,Supplier,Green Economy and Corporate Services Group,Supplier,D T Z,DEFRA120,"£1,085,927.38",Rent and Service Charges and Insurance,B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Business Rates,Supplier,Green Economy and Corporate Services Group,Supplier,D T Z,DEFRA121,"£583,210.80",Rent and Service Charges and Insurance,B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,16/02/2012,Estates Professional Fees & Services,Supplier,Green Economy and Corporate Services Group,Supplier,D T Z,DEFRA122,"£123,358.37",Rent and Service Charges and Insurance,B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Property Lease Costs,Supplier,Green Economy and Corporate Services Group,Supplier,D T Z,DEFRA123,"£503,418.88",Rent and Service Charges and Insurance,B3 2ED,,,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Current Grants E,Non Supplier,Green Economy and Corporate Services Group,Non Supplier,Waste & Resources Action Programme,FEB1150212,"£8,468,166.00",Waste Resource Action Programme grant claim -February 2012,OX16 0AH,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,FM Projects Non Capital Works,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014477,"£88,704.13",Facilities Management charges,BS34 8YU,,12481,B0800000,Asset,
DEFRA,DEFRA ORGANISATION,07/02/2012,Estate Maintenance Admin,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014478,"£73,799.25",Facilities Management charges,BS34 8YU,,14117,0,Asset,
DEFRA,DEFRA ORGANISATION,07/02/2012,Estates Reactive Maintenance,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014479,"£188,733.24",Facilities Management charges,BS34 8YU,,14490,B0870000,Asset,
DEFRA,DEFRA ORGANISATION,21/02/2012,Other recharges,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014498,"£67,652.53",Recharge to the Health Protection Agency for refurbishment of office space. ,BS34 8YU,,15214,0,Asset,
DEFRA,DEFRA ORGANISATION,21/02/2012,Agency Recharge,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014502,"£41,000.03",Modification to existing Animal Health Units Phase 2 ,BS34 8YU,,15432,FERAREDE,Asset,
DEFRA,DEFRA ORGANISATION,09/02/2012,FM Projects Non Capital Works,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014553,"£3,263,571.06",Annual Core Service Fee for 01/01/2012 -31/01/2012,BS34 8YU,,10321X,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Estates IFM Pass- Through Maintenance,Supplier,Green Economy and Corporate Services Group,Supplier,Interserve (Facilities Mngmnt) Ltd,FI00014566,"£161,806.52",Facilities service charges for January 2012,BS34 8YU,,15727,0,Expense,
DEFRA,DEFRA ORGANISATION,06/02/2012,Current Transfers Abroad UK,OGD,Green Economy and Corporate Services Group,OGD,United Nations Environment Prog,FUND700UK020212,"£3,600,000.00",Subscription to United Nations Fund700UK for 2012,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments E,Supplier,Green Economy and Corporate Services Group,Supplier,SKM Enviros,JW02235,"£39,217.00",Professional Services relating to Waste Data Flow for January 2012 including  Web hosting and development.,CB3 6DP,,13908,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Grant-in Aid Payments,Defra NDPB,Green Economy and Corporate Services Group,Defra NDPB,Royal Botanic Gardens,KEWGIA111112,"£2,500,000.00",Grant-in-Aid Payment for February 2012,TW9 3AB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Grant-in Aid Payments,Defra NDPB,Green Economy and Corporate Services Group,Defra NDPB,Royal Botanic Gardens,KEWGIA121112,"£1,925,000.00",Grant-in-Aid Payment for February 2013,TW9 3AB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Defra NDPB,Green Economy and Corporate Services Group,Defra NDPB,Royal Botanic Gardens,S7685NP,"£52,000.00",Habitat Restoration in Cristalino: Establishing Trials in the Brazilian Amazon,TW9 3AB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments E,Defra NDPB,Green Economy and Corporate Services Group,Defra NDPB,Royal Botanic Gardens,S7686NP,"£71,800.00","Vegetation mapping for reforestation and carbon in Jambi, Sumatra",TW9 3AB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,Fishing for Litter South West,383,"£28,000.00",Fishing for Litter in the South West and continuation of the exisiting MFA/MMO pilot project 11/12,ZE1 0NT,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Other Current Payments E,Supplier,Environment and Rural Group,Supplier,Association Of Rivers Trusts,1129,"£1,033,200.00",TO CARRY OUT PROJECTS THAT DELIVER AGAINST WATER FRAMEWORK DIRECTIVE -1ST INSTALMENT,PL17 8PH,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Grants UK,Non Supplier,Environment and Rural Group,Non Supplier,Eden Rivers Trust,1205,"£96,826.00",GRANT FUNDING FOR EDEN RIVERS TRUST,CA11 0AH,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Transfers Abroad UK,Non Supplier,Environment and Rural Group,Non Supplier,Bristol Clifton & West of England Zoological Society Ltd,2061,"£30,000.00","Bristol Zoo - contribution to an ongoing project in the Dja Biosphere Reserve,",BS8 3HA,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments (Evidence R&D),Committee Members,Environment and Rural Group,Committee Members,Rupert Thornely Taylor,2904,"£29,160.00",MILESTONE PAYMENT 1 DATA FEASIBILITY,TN22 3BG,,Exempt- NO0234,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,JSS Pensions Administration,3627,"£107,439.83",National Conservation Committee GROSS MONTHLY COSTS JAN 2012,SN2 1UY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Evidence Non R&D,Public Body,Environment and Rural Group,Public Body,Marine Biological Association,3993,"£48,627.75",APR-DEC 11Support for The Archive for Marine Species and Habitats Data ,PL1 2PB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,Frontier Economics Ltd,5248,"£61,155.00",Economics of Climate Resilience,WC1V 6DA,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Marine Management Organisation,10212,"£2,026,000.00",GRANT IN AID FEB 2012,NE4 7YH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments (GB),OGD,Environment and Rural Group,OGD,Dept For Communities & Local Gov,10212,"£250,000.00",LOCAL SERVICES SUPPORT GROUP (LSSG) DEFRA MARINE and NATURAL ENVIRONMENT FEB 2012,HP2 4XN,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,17/02/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,ExeGesIS SDM Ltd,11101,"£60,746.00",DEFINITION AND MAPPING,LD3 0AH,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Dept For Communities & Local Gov,20212,"£1,752,777.78",LOCAL SERVICES SUPPORT GRANT PAYMENT FEB 2012,HP2 4XN,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Transfers Abroad UK,Supplier,Environment and Rural Group,Supplier,Zoological Society Of London,31079,"£100,000.00",GRANT FOR PELAGIC SPECIES MONITORING CHARGES,NW1 4RY,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/02/2012,Current Transfers Abroad UK,Supplier,Environment and Rural Group,Supplier,Zoological Society Of London,31081,"£100,000.00",SALARIES GRANT - REDUCING EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION IN DEVELOPING COUNTRIES (REDD) PROJECT INDONESIA,NW1 4RY,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,37265,"£50,000.00",EVALUATION ENVIRONMENTAL STEWARDSHIP YEAR 3,SN2 1EU,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Sheffield City Council,60212,"£30,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME 2011/12,S9 2DB,,,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Coventry City Council,60212,"£50,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME 2011/12,CV1 1NH,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Joint Nature Conservation Committee,70212,"£984,000.00",GRANT-IN-AID FOR JOINT NATURE CONSERVATION COUNCIL  FEBRUARY 2012,PE1 1JY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Current Grants E,Non Supplier,Environment and Rural Group,Non Supplier,Waste Aware North East Ltd,81211,"£93,621.00",REWARD and RECOGNITION FUND 2011/12 RECYCLING,NE16 3AS,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Council Of The Isles Of Scilly,100112,"£1,500,000.00",SECTION 31 - CAPITAL GRANT TO FUND DRINKING WATER and SEWERAGE IMPROVEMENT,TR21 0LW,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Consumer Council for Water (CCW),100112,"£1,717,089.00",GRANT IN AID FOR JAN-MAR 2012,B2 4AJ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,15/02/2012,Other Current Payments (Evidence R&D),OPB - Other,Environment and Rural Group,OPB - Other,Meteorological Office,100212,"£32,587.90",2011/12 ITEM 10  SCIENTIFIC SUPPORT FOR National Infrastructure Plan ,EX1 3PB,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Overhead Incidental Expenses,Supplier,Environment and Rural Group,Supplier,National Physical Laboratory,110974,"£114,073.10", DELIVERABLES ADAPTATION TO CLIMATE CHANGE  1006,TW11 0LW,SME,13181,0,Expense,
DEFRA,DEFRA ORGANISATION,21/02/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,National Physical Laboratory,110989,"£27,062.40",HEAVY METAL MONITORING JAN 12,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,23/02/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,A D A S UK Ltd,170212,"£29,842.50",Biopesticides Policy,WV6 8TQ,,,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Current Transfers Abroad UK,Non Supplier,Environment and Rural Group,Non Supplier,South Georgia Heritage Trust,170212,"£250,000.00",Contribution towards efforts to eradicate rats from the UK Overseas Territory of South Georgia ,DD1 5BT,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Cornwall AONB Unit,190112,"£129,495.66",Grant - Cornwall Area of Natural Beauty,TR1 3AY,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,09/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Quantock Hills AONB,200112,"£107,261.00",APR-DEC 12 SALARIES ,TA1 4DY,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,29/02/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,The National Forest Co,200212,"£348,285.00",NATIONAL FOREST COMPANY PROGRAMME EXPENDITURE MAR 2012,DE12 6BD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,13/02/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Lincolnshire Wolds AONB.,230112,"£96,907.00",1/4-31/12/11 JOINT ADVISORY COMMITTEE,LN1 1YL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,"Department for Culture, Media & Sport",240112,"£4,800,000.00","OLYMPICS RESILLENCE carried out by Department for Culture, Media and Sport",SW1Y 5DH,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,07/02/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Tamar Valley AONB,240112,"£167,194.06",Grant - Tamar Valley Area of Natural Beauty,TR1 3AY,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,01/02/2012,Current Subsidies To Public Corporations,Defra NDPB,Environment and Rural Group,Defra NDPB,British Waterways,240112,"£4,772,000.00",BRITISH WATERWAYS GRANT CLAIM FEBRUARY,LS9 8PB,,exempt,0,Expense,
