Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,Crown Commercial Service,3/6/2015,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINORD 1497,67053.94,Whitehall heating systems management,,
Cabinet Office,Crown Commercial Service,3/6/2015,WDHS Cost of Heat Supplied,Whitehall District Heating Systems,Cofely,PINORD 1495,93618.79,Whitehall heating systems management,,
Cabinet Office,Crown Commercial Service,3/6/2015,FM Service Charges - Capital Bldg,Estates Management,DTZ,PINORD 1500,178685.70,Capital Service Charges for Accommodation,,
Cabinet Office,Crown Commercial Service,3/6/2015,FM Service Charges - Capital Bldg,Estates Management,DTZ,PINORD 1501,179377.00,Capital Service Charges for Accommodation,,
Cabinet Office,CABINET OFFICE,3/6/2015,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000061389,33923.81,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,3/6/2015,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000061389,54467.41,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,3/6/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000061389,568379.62,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,3/6/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,STEP UP TO SERVE,3000061396,63250.00,Grant to support the aim of doubling the number of young people aged 10-20 engaged in meaningful social action by 2020,,
Cabinet Office,CABINET OFFICE,3/6/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RADLEY YELDAR LTD,3000061401,43217.79,GREAT Campaign,,
Cabinet Office,CABINET OFFICE,3/6/2015,OTHER IS IT COSTS VAT RECOV,PMO ICTS,SOFTWARE BOX LTD,3000061380,42432.86,ICT Services,,
Cabinet Office,CABINET OFFICE,3/6/2015,INDIVIDUAL ELECTORAL REGISTRATION COSTS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,GRAMPIAN VALUATION JOINT BOARD,3000061381,207576.00,Individual Electoral Registration Funding for 15/16,,
Cabinet Office,CABINET OFFICE,3/6/2015,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000061392,66090.75,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,4/6/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000061448,27458.97,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,CARLTON GARDENS,WESTMINSTER CITY COUNCIL,3000061453,37175.50,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000061448,46835.50,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,ADMIRALTY HOUSE,WESTMINSTER CITY COUNCIL,3000061453,48222.00,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000061448,58392.05,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,35 GREAT SMITH STREET,WESTMINSTER CITY COUNCIL,3000061453,651510.00,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,4/6/2015,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,70 WHITEHALL,WESTMINSTER CITY COUNCIL,3000061453,1523610.00,Facilities Management Services,,
Cabinet Office,Crown Commercial Service,4/6/2015,Consultancy Fees (Advice),Internal Projects,Salesforce.com,PINORD 1518,74716.29,Build of Customer Relationship Management System,,
Cabinet Office,CABINET OFFICE,4/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,SKYSCAPE CLOUD SERVICES LTD,3000061438,138506.04,GOV.UK hosting services,,
Cabinet Office,CABINET OFFICE,4/6/2015,INDIVIDUAL ELECTORAL REGISTRATION COSTS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,FIFE COUNCIL,3000061452,95782.00,Individual Electoral Registration Funding for 15/16,,
Cabinet Office,CABINET OFFICE,4/6/2015,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,CLOUDREACH LTD,3000061423,41650.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,4/6/2015,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000061420,47406.94,IT Development for CERT UK,,
Cabinet Office,CABINET OFFICE,4/6/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,CITIZENS ADVICE BUREAU,3000061422,50000.00,Maximising the Electoral Register Funding,,
Cabinet Office,CABINET OFFICE,4/6/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000061459,369136.80,MyCSP programme costs,,
Cabinet Office,CABINET OFFICE,4/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUSINESS AND OFFICE COSTS,FOOD STANDARDS AGENCY,3000061440,538691.07,Service charges for accommodation,,
Cabinet Office,CABINET OFFICE,4/6/2015,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000061461,125484.69,Shared Services charges,,
Cabinet Office,CABINET OFFICE,5/6/2015,ADDITIONS IT SOFTWARE,SEEF CAPITAL,CAPITA RESOURCING LTD,3000061474,97593.60,Data.gov development cost,,
Cabinet Office,CABINET OFFICE,5/6/2015,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000061473,51853.23,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,5/6/2015,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,UNBOXED CONSULTING LTD,3000061477,42809.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,5/6/2015,LEGAL ADVICE FROM TSOL,IRAQ INQUIRY WITNESS UNIT,GOVERNMENT LEGAL DEPARTMENT,3000061500,31797.00,Legal Services,,
Cabinet Office,CABINET OFFICE,5/6/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000061475,642494.50,Legal services,,
Cabinet Office,CABINET OFFICE,8/6/2015,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,TALENT INTERNATIONAL UK LTD,3000061533,26690.00,Developer services provided to GaaP product teams,,
Cabinet Office,CABINET OFFICE,8/6/2015,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,PRICEWATERHOUSE COOPERS LLP,3000061526,56650.00,Financial Modelling Support to the Debt Market Integrator Project.,,
Cabinet Office,CABINET OFFICE,8/6/2015,RESOURCE GRANTS PRIVATE SECTOR,YOUTH CENTRE FOR SOCIAL ACTION,YOUTH UNITED,3000061528,970000.00,Grant to Youth United to create more volunteering opportunities for young people,,
Cabinet Office,CABINET OFFICE,8/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000061524,88630.88,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,8/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000061524,52741.38,Provision of Interims for the Verify Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,8/6/2015,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000061502,91782.62,Support and minor developments of ePIMS,,
Cabinet Office,CABINET OFFICE,9/6/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,BROWNE JACOBSON LLP,3000061565,36785.00,Consultancy support under the Mutuals Support Programme - Croydon School Support services,,
Cabinet Office,Crown Commercial Service,9/6/2015,"Furniture, Fittings, Equip <£5k",Estates Management,CABINET OFFICE VOTES CASH ACCO,PINORD 1562,164763.30,Estate Services ,,
Cabinet Office,CABINET OFFICE,9/6/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000061563,211299.55,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DATA GOV UK,CAPITA BUSINESS SERVICES LTD,3000061607,33805.86,Data.gov maintenance costs ,,
Cabinet Office,CABINET OFFICE,10/6/2015,FM CONTRACT VARIABLE,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000061596,70321.45,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,10/6/2015,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,MISC AGREED BY FD - PROG,BOUYGUES E&S FM UK LTD,3000061596,82984.80,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,10/6/2015,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000061596,366241.06,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000061607,32910.77,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000061607,35538.36,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DEPARTMENTAL ENGAGEMENT,CAPITA BUSINESS SERVICES LTD,3000061607,40754.71,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CO IT SYSTEMS,CAPITA BUSINESS SERVICES LTD,3000061607,41230.94,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000061607,48995.67,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000061607,64797.74,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,GREEN PARK INTERIM AND EXECUTIVE LTD,3000061621,72540.00,Interim Services to Major Projects Team,,
Cabinet Office,CABINET OFFICE,10/6/2015,ADDITIONS IT HARDWARE,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,MISCO COMPUTER SUPPLIES LTD,3000061586,26491.65,IT hardware ,,
Cabinet Office,CABINET OFFICE,10/6/2015,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO COMPUTER SUPPLIES LTD,3000061586,69669.40,IT hardware ,,
Cabinet Office,CABINET OFFICE,10/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000061619,145186.35,Payment for identities under the identity provider  contract ,,
Cabinet Office,CABINET OFFICE,10/6/2015,STAFF RELATED COSTS,GOVERNMENT COMMS,HMRC,3000061605,49690.79,Recruitment campaign costs for specialist staff,,
Cabinet Office,CABINET OFFICE,10/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG DEPARTMENTAL ENGAGEMENT,DELOITTE MCS LTD,3000061585,360000.00,Research support costs for procurement planning exercise  ,,
Cabinet Office,CABINET OFFICE,11/6/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),A & I PROGRAMME EXPENDITURE,TNS UK LTD,3000061639,38844.47,Community Life Survey costs,,
Cabinet Office,CABINET OFFICE,11/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000061655,28918.55,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,11/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000061637,39619.80,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,11/6/2015,OTHER IS IT COSTS VAT RECOV,CERT,MDS TECHNOLOGIES LTD,3000061649,33170.00,IT Development for CERT UK,,
Cabinet Office,CABINET OFFICE,11/6/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,HEMPSONS SOLICITORS,3000061657,85461.00,MIH mutualisation support for University Hospitals of Leicester NHS Trust,,
Cabinet Office,CABINET OFFICE,11/6/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000061662,358973.35,PFI Service Charge for Sunningdale Park,,
Cabinet Office,CABINET OFFICE,11/6/2015,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES GROUP LTD,3000061656,49440.00,Rent for accommodation,,
Cabinet Office,CABINET OFFICE,12/6/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,ZUHLKE ENGINEERING LTD,3000061681,48239.38,Developer services provided to GaaP product teams,,
Cabinet Office,CABINET OFFICE,12/6/2015,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000061688,90767.06,High Integrity Telecoms System Project Costs,,
Cabinet Office,CABINET OFFICE,12/6/2015,TELECOM SECURITY SERVICES,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000061688,475984.55,High Integrity Telecoms System Project Costs,,
Cabinet Office,CABINET OFFICE,12/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG ASSURANCE REVIEWS,CAPITA BUSINESS SERVICES LTD,3000061702,30031.37,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,12/6/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,MISCO,3000061703,63063.05,IT hardware ,,
Cabinet Office,CABINET OFFICE,12/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,DIGIDENTITY BV,2000662,138000.00,Payment for identities under the identity provider  contract ,,
Cabinet Office,CABINET OFFICE,12/6/2015,NON PRIME PROPERTY COSTS,GPU RESIDUAL ESTATE ADMIN,BUCKINGHAMSHIRE COUNTY COUNCIL,3000061695,36712.65,Rent for accommodation ,,
Cabinet Office,CABINET OFFICE,12/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUSINESS TECHNOLOGY,FOOD STANDARDS AGENCY,3000061693,129262.73,Service charges for accommodation,,
Cabinet Office,CABINET OFFICE,15/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000061728,38786.52,Content Design Services ,,
Cabinet Office,CABINET OFFICE,15/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000061731,31683.42,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,15/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000061728,54666.69,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,15/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000061728,40617.14,Payment for identities under the identity provider  contract ,,
Cabinet Office,CABINET OFFICE,15/6/2015,OTHER IS IT COSTS VAT RECOV,COUNSEL,MEKON LTD,3000061706,51710.00,"Support, maintenance and development of drafting software for all Parliamentary Counsel and support staff",,
Cabinet Office,CABINET OFFICE,16/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000061744,34159.66,Developer services provided to GaaP product teams,,
Cabinet Office,CABINET OFFICE,16/6/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000061762,54287.50,Exemplars delivery services,,
Cabinet Office,CABINET OFFICE,16/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000061744,34431.17,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,16/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000061744,35589.98,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,16/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000061744,59715.90,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,16/6/2015,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,THE TREASURY SOLICITOR,3000061769,35115.83,Legal services,,
Cabinet Office,CABINET OFFICE,16/6/2015,LEGAL ADVICE FROM TSOL,IRAQ INQUIRY WITNESS UNIT,GOVERNMENT LEGAL DEPARTMENT,3000061757,60813.84,Legal Services,,
Cabinet Office,CABINET OFFICE,16/6/2015,PUBLICITY ADVERTISING MEDIA,ERTP ERO CUSTOMER REGISTRATION,OGILVY & MATHER,3000061751,27500.00,Maximising the Electoral Register Funding,,
Cabinet Office,CABINET OFFICE,17/6/2015,CRC ENERGY EFFICIENCY SCHEME ADDITIONS,SUSTAINABILITY DEVELOPMENT COSTS,DEPARTMENT OF ENERGY & CLIMATE CHANGE,3000061798,129782.10,Carbon Reduction Commitment scheme costs,,
Cabinet Office,CABINET OFFICE,17/6/2015,OTHER IS IT COSTS VAT RECOV,AGENCY TRANSFORMATION,EDEN MCCALLUM LLP,3000061839,39100.00,Financial analysis services provided to Enabling Strategy,,
Cabinet Office,CABINET OFFICE,17/6/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY ORGANISERS,LOCALITY,3000061791,325500.00,Grant for the Community Organisers Programme,,
Cabinet Office,CABINET OFFICE,17/6/2015,INDIVIDUAL ELECTORAL REGISTRATION COSTS, ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,SCOTTISH BORDERS COUNCIL,3000061806,29647.00,Individual Electoral Registration Funding for 15/16,,
Cabinet Office,CABINET OFFICE,17/6/2015,INDIVIDUAL ELECTORAL REGISTRATION COSTS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,GLASGOW CITY COUNCIL,3000061790,252073.00,Individual Electoral Registration Funding for 15/16,,
Cabinet Office,CABINET OFFICE,17/6/2015,INDIVIDUAL ELECTORAL REGISTRATION COSTS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,LOTHIAN VALUATION JOINT BOARD,3000061795,323425.00,Individual Electoral Registration Funding for 15/16,,
Cabinet Office,CABINET OFFICE,17/6/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000061831,55138.73,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,17/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,POST OFFICE LTD,3000061840,464202.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,17/6/2015,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,MCKINSEY & CO INC,3000061792,800000.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,17/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,EXPERIAN LTD,3000061787,853335.00,Interim IT Specialists ,,
Cabinet Office,CABINET OFFICE,17/6/2015,OTHER IS IT COSTS VAT RECOV,GDS BUS DEV CONSULTANT AND STAFF COSTS,CARRENZA LTD,3000061819,57680.31,IT services ,,
Cabinet Office,CABINET OFFICE,18/6/2015,OTHER IS IT COSTS VAT RECOV,AGENCY TRANSFORMATION,METHODS DIGITAL LTD,3000061874,39759.37,Business analysis services provided to Enabling Strategy,,
Cabinet Office,CABINET OFFICE,18/6/2015,Data Matching,ERG FRAUD ERROR AND DEBT,SYNECTICS SOLUTIONS LIMITED,3000061877,214200.00,Development and delivery costs of Application Checker,,
Cabinet Office,CABINET OFFICE,18/6/2015,NON PRIME UTILITIES,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000061860,106304.49,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,18/6/2015,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000061860,318300.86,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,18/6/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,LONDON & PARTNERS LTD,3000061870,100000.00,GREAT Campaign,,
Cabinet Office,CABINET OFFICE,18/6/2015,OTHER IS IT COSTS VAT RECOV,CERT,SUREVINE LTD,3000061864,95172.50,IT Development for CERT UK,,
Cabinet Office,CABINET OFFICE,18/6/2015,CONSULTANCY SERVICES 'NOT' RECOVERABLE,TELEPHONE SERVICES,LEVEL 3,3000061875,112532.92,Project management services for telephony installation,,
Cabinet Office,CABINET OFFICE,18/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,DIGIDENTITY BV,7000159,37422.88,Provision of Storage & Hosting Services for the Identity Assurance Programme,,
Cabinet Office,CABINET OFFICE,18/6/2015,TELECOMS PURCHASES,TELEPHONE SERVICES,LEVEL 3,3000061875,455152.89,Telecoms services,,
Cabinet Office,CABINET OFFICE,19/6/2015,OTHER IS IT COSTS VAT RECOV,PLATFORMS AND STANDARDS,ZUHLKE ENGINEERING LTD,3000061913,88352.50,Developer services provided to GaaP product teams,,
Cabinet Office,CABINET OFFICE,19/6/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),ERG FRAUD ERROR AND DEBT,BAE SYSTEMS APPLIED INTELLIGENCE LTD,3000061906,150000.00,Fraud and Error Data Analytics Proof of Concept costs,,
Cabinet Office,CABINET OFFICE,19/6/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000061907,158576.50,Interim IT Specialists ,,
Cabinet Office,Crown Commercial Service,19/6/2015,Legal Fees,Proc Service Commercial Intelligence,Treasury Solicitors,PINORD 1635,540.00,Legal services ,,
Cabinet Office,Crown Commercial Service,19/6/2015,Legal Fees,Legal Services,Treasury Solicitors,PINORD 1635,28390.78,Legal services ,,
Cabinet Office,Crown Commercial Service,19/6/2015,Service Charges Capital,Estates Management,DTZ,PINORD 1680,35806.27,Facilities Management Services ,,
Cabinet Office,Crown Commercial Service,19/6/2015,MOTO Capital Bldg 8th Floor,Estates Management,DTZ,PINORD 1680,39060.00,Rent for accommodation ,,
Cabinet Office,Crown Commercial Service,19/6/2015,MOTO Capital Bldg 9th Floor,Estates Management,DTZ,PINORD 1680,39215.00,Rent for accommodation ,,
