DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS DYNE SOLICITORS#CH3 9PX,1485167,"£28,476.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS HANNIDES & CO#DX 54852,1485204,"£26,077.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS FINERS STEPHENS INNOCENT#DX 42739,1485178,"£40,306.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,KHAN SOLICITORS#DX 11788,306106,"£88,318.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,COPLEYS#DX 80902,1485072,"£60,586.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS GQS SOLICITORS#DX 20658,306382,"£25,059.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS KINGSLEY NAPLEY LLP#DX 22,306487,"£67,742.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,226000-Court Costs,MESSRS RADCLIFFES LEBRASSEUR#DX 113,306627,"£273,274.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS AHMED & CO#DX121903,306134,"£36,710.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BIRDS#DX 59062,1485129,"£41,856.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS FARADAYS#DX 89204,306333,"£56,074.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS BKRW#DX4902,306193,"£25,405.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS PATTERSONS# HX1 2AF,306590,"£37,663.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MPR SOLICITORS LLP#DX 3535,306563,"£70,288.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS THE JOHNSON PARTNERSHIP#DX 10082,1485350,"£61,437.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR D ENOCH#DX 148,307330,"£35,288.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR P GREANEY#DX 26401,307899,"£34,118.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MISS S MERTENS#DX 440,307053,"£28,719.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR P GRIFFITHS#WC1R 4EW,307901,"£33,938.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR D SPENS QC#DX 34,307378,"£50,067.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR AJM O'BYRNE#DX 728861,1485410,"£26,688.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR JR HODGKINSON#DX 723240,307650,"£27,510.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,N P RHODES#DX 429,308370,"£25,292.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR T BURKE#DX 429,308158,"£33,154.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR I HENDERSON#DX 80707,1485456,"£26,575.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR B SQUIRRELL#DX 453,307242,"£36,525.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR R BOWERS#DX 440,307965,"£28,750.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,PAUL C REID#DX 14338,1485550,"£26,834.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR A ROXBOROUGH#M19 2GL,307180,"£25,793.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MR T BOULTER#DX 72,308154,"£40,080.00"
Ministry of Justice,HM Courts Service,07-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,J  HILL#DX 711700,306085,"£30,411.00"
Ministry of Justice,HM Courts Service,07-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,TASS EUROPE LTD,1485580,"£41,518.00"
Ministry of Justice,HM Courts Service,08-Feb-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,CABINET OFFICE: CIVIL SUPERANNUATION#AE10410072,1046,"£21,000,000.00"
Ministry of Justice,HM Courts Service,09-Feb-11,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1490806,"£47,516.00"
Ministry of Justice,HM Courts Service,09-Feb-11,AR999-HMCS Central Budgets,710700-Payable to Other Government Departments,HOME OFFICE GENERAL CASH ACCOUNT#AR10110250,1047,"£22,315,695.23"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,222001-Maintenance,SYKES & SON LTD,1491225,"£29,586.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,222001-Maintenance,SYKES & SON LTD,1491225,"£33,286.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,226000-Court Costs,SELLERS LEGAL SERVICES LTD,1491133,"£46,943.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1490868,"£27,876.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1490475,"£33,726.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,SKANSEN INTERIORS LTD,1491161,"£108,987.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,BLAKE CONTRACTORS LTD,1490239,"£75,888.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,LAING O'ROURKE CONSTRUCTION SOUTH LTD,1490769,"£1,612,122.00"
Ministry of Justice,HM Courts Service,09-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,BLAKE CONTRACTORS LTD,1490239,"£160,873.00"
Ministry of Justice,HM Courts Service,09-Feb-11,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1490178,"£58,997.00"
Ministry of Justice,HM Courts Service,09-Feb-11,CZ999-South East Region,222001-Maintenance,ACCLAIM CONTRACTS LTD,1490126,"£81,116.00"
Ministry of Justice,HM Courts Service,09-Feb-11,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1490177,"£44,856.00"
Ministry of Justice,HM Courts Service,09-Feb-11,CZ999-South East Region,223001-Printing Postage and Office expenditure,ROYAL MAIL,1491103,"£42,741.00"
Ministry of Justice,HM Courts Service,09-Feb-11,DZ999-South West Region,222002-Other Property Costs,MITIE SECURITY LTD,1490880,"£307,335.00"
Ministry of Justice,HM Courts Service,09-Feb-11,DZ999-South West Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1490882,"£93,902.00"
Ministry of Justice,HM Courts Service,09-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,AC MECHANICAL SERVICES LTD,309161,"£46,462.00"
Ministry of Justice,HM Courts Service,09-Feb-11,DZ999-South West Region,532000-Tangible GBV - Additions,ISLWYN PUGH CONSTRUCTION LTD,1490705,"£44,297.00"
Ministry of Justice,HM Courts Service,09-Feb-11,EZ999-Wales Region,532000-Tangible GBV - Additions,POWERPERFECTOR PLC,1491037,"£28,340.00"
Ministry of Justice,HM Courts Service,09-Feb-11,FZ999-Midlands Region,222002-Other Property Costs,MITIE SECURITY LTD,1490880,"£437,888.00"
Ministry of Justice,HM Courts Service,09-Feb-11,FZ999-Midlands Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1490881,"£83,408.00"
Ministry of Justice,HM Courts Service,09-Feb-11,FZ999-Midlands Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1490881,"£38,512.00"
Ministry of Justice,HM Courts Service,09-Feb-11,FZ999-Midlands Region,222001-Maintenance,EMCOR FACILITIES SERVICES LTD,1490495,"£129,322.00"
Ministry of Justice,HM Courts Service,09-Feb-11,FZ999-Midlands Region,532000-Tangible GBV - Additions,TBS MECHANICAL & ELECTRICAL DESIGN & BUILD LTD,1491235,"£28,755.00"
Ministry of Justice,HM Courts Service,09-Feb-11,GZ999-North West Region,226000-Court Costs,CATER WALSH REPORTING LTD,309172,"£67,173.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1490177,"£56,432.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,222001-Maintenance,HONEYWELL CONTROL SYSTEMS LTD,1490673,"£37,403.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,262000-SCA Costs,PALECASTLE LTD,1490971,"£106,744.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,262000-SCA Costs,MODERN COURTS (HUMBERSIDE) LTD,1490884,"£382,563.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,226000-Court Costs,J L HARPHAM,309196,"£41,365.00"
Ministry of Justice,HM Courts Service,09-Feb-11,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,ALBERT INNES LTD,1490137,"£42,247.00"
Ministry of Justice,HM Courts Service,09-Feb-11,IZ999-RCJ Group,261000-Fuel and Utilities,EDF ENERGY LTD,1490481,"£45,064.00"
Ministry of Justice,HM Courts Service,09-Feb-11,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1491225,"£37,441.00"
Ministry of Justice,HM Courts Service,09-Feb-11,IZ999-RCJ Group,532000-Tangible GBV - Additions,EC HARRIS LLP,1490475,"£29,658.00"
Ministry of Justice,HM Courts Service,10-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,310673,"£26,029.00"
Ministry of Justice,HM Courts Service,10-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,312173,"£25,625.00"
Ministry of Justice,HM Courts Service,10-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,312965,"£29,135.00"
Ministry of Justice,HM Courts Service,10-Feb-11,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,310993,"£40,665.00"
Ministry of Justice,HM Courts Service,11-Feb-11,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1493104,"£285,626.00"
Ministry of Justice,HM Courts Service,11-Feb-11,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1493104,"£83,111.00"
Ministry of Justice,HM Courts Service,11-Feb-11,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1493104,"£48,418.00"
Ministry of Justice,HM Courts Service,11-Feb-11,AA499-HMCS Change Programme,265000-IT & Telecommunications,LOGICA UK LTD,1493104,"£135,073.00"
Ministry of Justice,HM Courts Service,11-Feb-11,AR999-HMCS Central Budgets,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1493074,"£4,835,046.00"
Ministry of Justice,HM Courts Service,11-Feb-11,BZ999-London Region,222001-Maintenance,EC HARRIS LLP,1492912,"£97,127.00"
Ministry of Justice,HM Courts Service,11-Feb-11,BZ999-London Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1492912,"£54,290.00"
Ministry of Justice,HM Courts Service,11-Feb-11,CZ999-South East Region,222002-Other Property Costs,MITIE SECURITY LTD,1493163,"£576,206.00"
Ministry of Justice,HM Courts Service,11-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,NORLAND MANAGED SERVICES LTD,1493183,"£36,133.00"
Ministry of Justice,HM Courts Service,11-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,EUROPEAN ASBESTOS SERVICES,1492930,"£68,724.00"
Ministry of Justice,HM Courts Service,11-Feb-11,CZ999-South East Region,532000-Tangible GBV - Additions,METSHAPE LTD,1493158,"£82,973.00"
Ministry of Justice,HM Courts Service,11-Feb-11,DZ999-South West Region,265000-IT & Telecommunications,CABLE & WIRELESS GLOBAL CARD SERVICES,1492830,"£25,265.00"
Ministry of Justice,HM Courts Service,11-Feb-11,DZ999-South West Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1493156,"£45,982.00"
Ministry of Justice,HM Courts Service,11-Feb-11,EZ999-Wales Region,222002-Other Property Costs,MITIE SECURITY LTD,1493163,"£189,051.00"
Ministry of Justice,HM Courts Service,11-Feb-11,GZ999-North West Region,226000-Court Costs,EUREST SERVICES,1492929,"£30,805.00"
Ministry of Justice,HM Courts Service,11-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,CMB ENGINEERING,1492857,"£75,388.00"
Ministry of Justice,HM Courts Service,11-Feb-11,GZ999-North West Region,532000-Tangible GBV - Additions,BASTION SECURITY INSTALLATIONS,1492774,"£26,062.00"
Ministry of Justice,HM Courts Service,11-Feb-11,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1493179,"£137,519.00"
Ministry of Justice,HM Courts Service,11-Feb-11,IZ999-RCJ Group,222001-Maintenance,EC HARRIS LLP,1492912,"£32,400.00"
Ministry of Justice,HM Courts Service,14-Feb-11,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS RC HALL#DX 36205,313452,"£31,534.00"
Ministry of Justice,HM Courts Service,16-Feb-11,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1497374,"£95,693.00"
Ministry of Justice,HM Courts Service,16-Feb-11,AV322-CP Change Management SUPS,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1496786,"£217,231.00"
Ministry of Justice,HM Courts Service,16-Feb-11,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1497374,"£68,652.00"
