EXAMPLES OF GPC EXPENDITURE,,,,,
,,,,,
MODGPC124314,06-Aug-15,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"£9,778.95",124314
MODGPC124315,03-Aug-15,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"£2,700.00",124315
MODGPC124316,05-Aug-15,Freight and Storage                , MOTOR FREIGHT CARRIERS,"£2,293.86",124316
MODGPC124317,03-Aug-15,General Retail and Wholesale       , MISC SPECIALTY RETAIL,£894.00,124317
MODGPC124318,05-Aug-15,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,£560.40,124318
MODGPC124319,06-Aug-15,Mail Order / Direct Selling        , CONTINUITY/SUBSCRIPTION MERCHT,"£1,274.35",124319
MODGPC124320,06-Aug-15,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,£898.94,124320
MODGPC124321,04-Aug-15,Training and Educational           , SCHOOLS - DEFAULT,"£1,127.00",124321
MODGPC124322,10-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£1,500.00",124322
MODGPC124323,05-Aug-15,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,£720.00,124323
MODGPC124324,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£5,000.00",124324
MODGPC124325,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,872.50",124325
MODGPC124326,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,702.50",124326
MODGPC124327,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,840.00",124327
MODGPC124328,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,960.00",124328
MODGPC124329,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,740.00",124329
MODGPC124330,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,620.00",124330
MODGPC124331,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,850.00",124331
MODGPC124332,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,685.00",124332
MODGPC124333,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£4,547.50",124333
MODGPC124334,06-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£1,928.40",124334
MODGPC124335,06-Aug-15,Hotel\Restaurants\Bars               , RESTAURANTS,"£1,620.00",124335
MODGPC124336,11-Aug-15,Leisure Activities                 , TOURIST ATTRACTIONS AND XHBT,£600.00,124336
MODGPC124337,05-Aug-15,General Retail and Wholesale       , DISCOUNT STORES,£903.83,124337
MODGPC124338,06-Aug-15,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"£1,031.88",124338
MODGPC124339,07-Aug-15,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,£594.00,124339
MODGPC124340,07-Aug-15,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/USED ONLY,£600.00,124340
MODGPC124341,07-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£4,417.81",124341
MODGPC124342,07-Aug-15,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/USED ONLY,"£8,571.01",124342
MODGPC124343,12-Aug-15,Miscellaneous Industrial/Commercial, METAL SERVICE CENTERS,£627.97,124343
MODGPC124344,03-Aug-15,Professional Services              , PROFESSIONAL SERVICES - DEF,£594.00,124344
MODGPC124345,12-Aug-15,Professional Services              , ACCOUNTANTS/AUDITORS/BOOKPR,"£1,380.00",124345
MODGPC124346,12-Aug-15,Professional Services              , ACCOUNTANTS/AUDITORS/BOOKPR,£666.00,124346
MODGPC124347,03-Aug-15,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"£9,731.46",124347
MODGPC124348,10-Aug-15,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,"£5,000.00",124348
MODGPC124349,10-Aug-15,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,"£5,000.00",124349
MODGPC124350,10-Aug-15,Building Services                  , CARPENTRY,"£2,200.00",124350
MODGPC124351,10-Aug-15,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,£955.80,124351
MODGPC124352,11-Aug-15,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,"£1,891.80",124352
MODGPC124353,11-Aug-15,Building Services                  , CARPENTRY,"£3,100.00",124353
MODGPC124354,11-Aug-15,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"£6,895.43",124354
MODGPC124355,13-Aug-15,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"£5,231.56",124355
MODGPC124356,05-Aug-15,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,£876.00,124356
MODGPC124357,05-Aug-15,Medical Supplies and Services      , OPTICIANS,£690.00,124357
MODGPC124358,03-Aug-15,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£1,187.78",124358
MODGPC124359,03-Aug-15,Miscellaneous Industrial/Commercial, CHEMICALS/ALLIED PRODS - DEF,"£1,692.00",124359
MODGPC124360,03-Aug-15,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£22,134.83",124360
MODGPC124361,04-Aug-15,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,"£1,455.00",124361
MODGPC124362,05-Aug-15,Telecommunication Services         , TELECOMMUNICATION SERVICES,"£2,301.70",124362
MODGPC124363,05-Aug-15,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"£1,114.11",124363
MODGPC124364,06-Aug-15,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£639.00,124364
MODGPC124365,06-Aug-15,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£639.00,124365
MODGPC124366,10-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,£832.10,124366
MODGPC124367,13-Aug-15,"Vehicles, Servicing and Spares     ", MOTOR VEHICLE SUPPLY/NEW PARTS,£814.50,124367
MODGPC124368,11-Aug-15,Automotive Fuel                    , SERVICE STATIONS,"£2,284.40",124368
MODGPC124369,11-Aug-15,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"£1,112.85",124369
MODGPC124370,12-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,£756.54,124370
MODGPC124371,12-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£1,072.32",124371
MODGPC124372,12-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£1,642.18",124372
MODGPC124373,04-Aug-15,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"£1,302.00",124373
MODGPC124374,06-Aug-15,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"£2,148.00",124374
MODGPC124375,10-Aug-15,Professional Services              , PROFESSIONAL SERVICES - DEF,"£2,007.60",124375
MODGPC124376,11-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£3,726.50",124376
MODGPC124377,11-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£745.30,124377
MODGPC124378,12-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£1,909.87",124378
MODGPC124379,04-Aug-15,General Retail and Wholesale       , HARDWARE STORES,£684.48,124379
MODGPC124380,04-Aug-15,General Retail and Wholesale       , HARDWARE STORES,£684.48,124380
MODGPC124381,04-Aug-15,General Retail and Wholesale       , HARDWARE STORES,£684.48,124381
MODGPC124382,11-Aug-15,Statutory Bodies                   , GOV'T SERV - DEFAULT,"£6,460.80",124382
MODGPC124383,03-Aug-15,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"£3,520.20",124383
MODGPC124384,06-Aug-15,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"£2,508.00",124384
MODGPC124385,13-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£5,895.67",124385
MODGPC124386,04-Aug-15,General Retail and Wholesale       , DRAPERY & UPHOLSTERY STORES,"£2,040.00",124386
MODGPC124387,06-Aug-15,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",£854.40,124387
MODGPC124388,06-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£531.20,124388
MODGPC124389,04-Aug-15,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,£769.20,124389
MODGPC124390,10-Aug-15,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"£7,455.60",124390
MODGPC124391,12-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"£15,553.25",124391
MODGPC124392,12-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£2,125.15",124392
MODGPC124393,07-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£5,858.78",124393
MODGPC124394,06-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,£968.22,124394
MODGPC124395,05-Aug-15,General Retail and Wholesale       , HARDWARE STORES,£581.29,124395
MODGPC124396,11-Aug-15,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"£4,491.60",124396
MODGPC124397,07-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,£650.52,124397
MODGPC124398,07-Aug-15,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,£875.52,124398
MODGPC124399,07-Aug-15,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,£811.73,124399
MODGPC124400,06-Aug-15,Medical Supplies and Services      ," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT",£526.08,124400
MODGPC124401,06-Aug-15,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,£502.80,124401
MODGPC124402,07-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£9,000.00",124402
MODGPC124403,07-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£1,850.00",124403
MODGPC124404,07-Aug-15,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£516.13,124404
MODGPC124405,12-Aug-15,General Retail and Wholesale       , TAILOR/SEAMSTRESS/ALTERS,"£2,778.00",124405
MODGPC124406,13-Aug-15,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,£661.44,124406
MODGPC124407,04-Aug-15,"Vehicles, Servicing and Spares     ", AUTO BODY REPAIR SHOPS,"£1,611.38",124407
MODGPC124408,06-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,£856.80,124408
MODGPC124409,11-Aug-15,Statutory Bodies                   , GOV'T SERV - DEFAULT,"£1,432.80",124409
MODGPC124410,04-Aug-15,Auto Rental                        ,Auto Rental                        ,£746.30,124410
MODGPC124411,11-Aug-15,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"£4,961.95",124411
MODGPC124412,12-Aug-15,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,£860.86,124412
MODGPC124413,10-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£2,400.00",124413
MODGPC124414,13-Aug-15,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"£1,325.00",124414
MODGPC124415,04-Aug-15,Leisure Activities                 , CIVIC/SOCIAL/FRATERNAL ASSC,£753.00,124415
MODGPC124416,04-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"£4,456.68",124416
MODGPC124417,10-Aug-15,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,£772.50,124417
MODGPC124418,12-Aug-15,Professional Services              , VETERINARY SERVICES,£533.94,124418
MODGPC124419,13-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"£1,265.00",124419
MODGPC124420,04-Aug-15,"Office Stationery, Equipment and Su", STATIONERY STORES,£850.99,124420
MODGPC124421,05-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"£1,066.20",124421
MODGPC124422,12-Aug-15,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,"£1,441.86",124422
MODGPC124423,07-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,£854.28,124423
MODGPC124424,07-Aug-15,Professional Services              , ARCHITECTURAL/ENG/SURVEY,£571.20,124424
MODGPC124425,13-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£540.00,124425
MODGPC124426,03-Aug-15,Miscellaneous Industrial/Commercial, TOOL HIRE,"£2,141.16",124426
MODGPC124427,04-Aug-15,General Retail and Wholesale       , BICYCLE SHOPS/SALES/SERVICE,£719.10,124427
MODGPC124428,05-Aug-15,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,£768.39,124428
MODGPC124429,10-Aug-15,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,"£1,269.83",124429
MODGPC124430,11-Aug-15,Miscellaneous Industrial/Commercial, DURABLE GOODS - DEFAULT,£630.00,124430
MODGPC124431,10-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"£1,283.81",124431
MODGPC124432,10-Aug-15,Miscellaneous Industrial/Commercial, TOOL HIRE,£972.73,124432
MODGPC124433,10-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"£1,337.30",124433
MODGPC124434,10-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,£541.00,124434
MODGPC124435,10-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,£686.14,124435
MODGPC124436,12-Aug-15,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"£9,998.34",124436
MODGPC124437,10-Aug-15,Professional Services              , VETERINARY SERVICES,£513.00,124437
MODGPC124438,05-Aug-15,Mail Order / Direct Selling        , CATALOG MERCHANT,£725.69,124438
MODGPC124439,04-Aug-15,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,£858.54,124439
MODGPC124440,04-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"£1,366.16",124440
MODGPC124441,04-Aug-15,Automotive Fuel                    , SERVICE STATIONS,"£2,438.09",124441
MODGPC124442,11-Aug-15,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,£571.20,124442
MODGPC124443,06-Aug-15,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"£3,577.10",124443
MODGPC124444,07-Aug-15,Statutory Bodies                   , GOV'T SERV - DEFAULT,£754.31,124444
MODGPC124445,12-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"£1,563.84",124445
MODGPC124446,05-Aug-15,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,"£4,772.40",124446
MODGPC124447,03-Aug-15,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"£1,864.80",124447
MODGPC124448,13-Aug-15,Personal Services                  , DETECTIVE/PROTECTIVE AGEN,"£3,926.18",124448
MODGPC124449,03-Aug-15,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"£3,000.00",124449
MODGPC124450,11-Aug-15,Financial Services                 , FINANCIAL INST/MERCHANDISE,"£4,843.42",124450
MODGPC124451,13-Aug-15,Professional Services              , VETERINARY SERVICES,"£3,058.33",124451
MODGPC124452,12-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,£720.00,124452
MODGPC124453,04-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,£624.00,124453
MODGPC124454,11-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,£700.80,124454
MODGPC124455,12-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£1,994.40",124455
MODGPC124456,12-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£2,077.92",124456
MODGPC124457,12-Aug-15,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,£724.38,124457
MODGPC124458,13-Aug-15,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"£1,173.90",124458
MODGPC124459,10-Aug-15,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,"£1,416.60",124459
MODGPC124460,04-Aug-15,Mail and Courier Services          , POSTAGE STAMPS,£612.29,124460
MODGPC124461,12-Aug-15,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,£515.00,124461
MODGPC124462,10-Aug-15,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,£611.25,124462
MODGPC124463,06-Aug-15,General Retail and Wholesale       , ELECTRONICS STORES,"£2,121.96",124463
MODGPC124464,03-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£549.33,124464
MODGPC124465,04-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£538.81,124465
MODGPC124466,05-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£639.99,124466
MODGPC124467,07-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£650.97,124467
MODGPC124468,06-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£539.31,124468
MODGPC124469,10-Aug-15,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"£1,594.80",124469
MODGPC124470,10-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£530.83,124470
MODGPC124471,11-Aug-15,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"£1,756.80",124471
MODGPC124472,11-Aug-15,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,£639.99,124472
MODGPC124473,10-Aug-15,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,"£1,698.00",124473
MODGPC124474,07-Aug-15,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"£3,363.30",124474
MODGPC124475,10-Aug-15,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"£3,138.00",124475
MODGPC124476,11-Aug-15,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"£3,348.08",124476
MODGPC124477,04-Aug-15,Freight and Storage                , MOTOR FREIGHT CARRIERS,£614.10,124477
MODGPC124478,10-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£572.23,124478
MODGPC124479,10-Aug-15,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,£945.54,124479
MODGPC124480,04-Aug-15,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,£999.00,124480
MODGPC124481,04-Aug-15,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,£999.00,124481
MODGPC124482,12-Aug-15,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,£999.00,124482
MODGPC124483,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£622.55,124483
MODGPC124484,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£622.54,124484
MODGPC124485,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£739.72,124485
MODGPC124486,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£798.00,124486
MODGPC124487,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£830.05,124487
MODGPC124488,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£682.51,124488
MODGPC124489,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£820.05,124489
MODGPC124490,12-Aug-15,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,£830.05,124490
MODGPC124491,05-Aug-15,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,£973.14,124491
MODGPC124492,05-Aug-15,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,£702.57,124492
MODGPC124493,05-Aug-15,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,£643.24,124493
MODGPC124494,05-Aug-15,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"£6,092.38",124494
MODGPC124495,05-Aug-15,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"£1,609.55",124495
MODGPC124496,05-Aug-15,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"£8,728.92",124496
MODGPC124497,12-Aug-15,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,"£1,299.70",124497
MODGPC124498,03-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£13,378.22",124498
MODGPC124499,03-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,£529.39,124499
MODGPC124500,03-Aug-15,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"£2,935.52",124500
