Department Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Transation Description,Amount,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101324,WORKPLACE OPTIMISATION PROJECT,53878,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101312,WORKPLACE OPTIMISATION PROJECT,128850,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,Hmt Suspense,ROYAL MINT,101257,UK CIRCULATING METAL AND MANUFACTURING COSTS - SEPTEMBER 2012,1321274.71,,,,,,,,,,
HM Treasury,HM Treasury,17-Oct-2012,Corporate Centre,Hmt Suspense,ROYAL MINT,101257,UK CIRCULATING METAL AND MANUFACTURING COSTS - SEPTEMBER 2012,2829785.56,,,,,,,,,,
HM Treasury,HM Treasury,19-Oct-2012,Corporate Centre,Estates,EDF ENERGY,101260,ELECTRICITY CHARGES FOR 1HGR SEPTEMBER 2012,45485.16,,,,,,,,,,
HM Treasury,HM Treasury,19-Oct-2012,Corporate Centre,Estates,EXCHEQUER PARTNERSHIP PLC,101034,AUDIO VISUAL SUPPORT APRIL 2011 -MARCH 2012,32005.52,,,,,,,,,,
HM Treasury,HM Treasury,19-Oct-2012,Corporate Centre,Estates,EXCHEQUER PARTNERSHIP PLC,101170,QUARTERLY AWP (ANNUAL WORKSTATION PAYMENT) FOR THE THREE MONTH PERIOD 1ST JULY - 30 SEPTEMBER 2012,352789.4,,,,,,,,,,
HM Treasury,HM Treasury,22-Oct-2012,Corporate Centre,Solutions Delivery,FUJITSU SERVICES LIMITED,101550,IT UPGRADE,26527,,,,,,,,,,
HM Treasury,HM Treasury,22-Oct-2012,Corporate Centre,Workspace Optimisation (Project),FUJITSU SERVICES LIMITED,101544,WORKPLACE OPTIMISATION PROJECT,62645.8,,,,,,,,,,
HM Treasury,HM Treasury,24-Oct-2012,Corporate Centre,IS Retained Services,TRUSTMARQUE SOLUTIONS,101238,ANNUAL LICENCE RENEWAL FOR THE DEPARTMENTS RECORD MANAGEMENT SYSTEM,188152.18,,,,,,,,,,
HM Treasury,HM Treasury,26-Oct-2012,Corporate Centre,Estates,EXCHEQUER PARTNERSHIP PLC,101035,AUDIO VISUAL SUPPORT APRIL 2012 -MARCH 2013,33148.68,,,,,,,,,,
HM Treasury,HM Treasury,26-Oct-2012,Financial Grp,Financial Stability Consultancy,PRICEWATERHOUSECOOPERS,99478,BRADFORD & BINGLEY COMPENSATION SCHEME VALUATIONS,39209.85,,,,,,,,,,
HM Treasury,HM Treasury,26-Oct-2012,Business & Int Tax grp,Equitable Life,TOWERS WATSON,101565,ACTUARIAL SUPPORT TO HM TREASURY IN RESPECT OF THEV EQUITABLE LIFE PAYMENT SCHEME FOR SEPTEMBER 2012,75094.76,,,,,,,,,,
HM Treasury,HM Treasury,29-Oct-2012,Corporate Centre,Estates,GOVERNMENT PROCUREMENT SERVICE,101552,1HGR WHITEHALL HEATING SYSTEM CHARGES JULY - SEPTEMBER 2012,50501.2,,,,,,,,,,
HM Treasury,HM Treasury,31-Oct-2012,Corporate Centre,Hmt Suspense,BARCLAYCARD COMMERCIAL ,101699,PURCHASING CARD STATEMENT - OCTOBER 2012,60159.8,,,,,,,,,,
HM Treasury,HM Treasury,31-Oct-2012,Corporate Centre,Hmt Suspense,BARCLAYCARD COMMERCIAL ,101572,LODGE CARD STATEMENT - OCTOBER 2012,80362.09,,,,,,,,,,
HM Treasury,HM Treasury,31-Oct-2012,Corporate Centre,JWS CO Workspace Phase 2,FUJITSU SERVICES LIMITED,101665,WORKPLACE OPTIMISATION PROJECT,45457.84,,,,,,,,,,
HM Treasury,HM Treasury,31-Oct-2012,Corporate Centre,Olympics & Paralympics,FUJITSU SERVICES LIMITED,101666,OLYMPICS SERVICE SUPPORT ,45513.21,,,,,,,,,,
HM Treasury,HM Treasury,31-Oct-2012,Financial Mangement Reporting Grp,Project OSCAR (inc DPI),IBM UK,101659,PROJECT OSCAR - PAYMENT MILESTONE PAYMENT,50134.75,,,,,,,,,,
