Department family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction No,Amount
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,15123.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,7363.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,6983.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,-14935.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,240548.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,-14521.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,-6896.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,-7272.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,14703.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,7272.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,237560.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,6896.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,14935.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Caister Academy,PAYBACSAUTO224101,14521.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Hill Primary School,PAYBACSAUTO224102,11891.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Hill Primary School,PAYBACSAUTO224102,5293.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Hill Primary School,PAYBACSAUTO224102,14703.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Hill Primary School,PAYBACSAUTO224102,21005.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Hill Primary School,PAYBACSAUTO224102,132509.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Primary School,PAYBACSAUTO224103,7562.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Primary School,PAYBACSAUTO224103,-5767.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Primary School,PAYBACSAUTO224103,37871.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Castle Primary School,PAYBACSAUTO224103,1706.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charlton CofE Primary School,PAYBACSAUTO224104,10082.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charlton CofE Primary School,PAYBACSAUTO224104,60367.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charlton CofE Primary School,PAYBACSAUTO224104,2458.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,6385.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,94151.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,12575.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,106107.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,9439.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College Upper,PAYBACSAUTO230281,1000.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,24150.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,5067.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,3779.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,119739.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,12575.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Charnwood College High,PAYBACSAUTO230282,1375.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Chilton Primary School,PAYBACSAUTO224105,4940.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Chilton Primary School,PAYBACSAUTO224105,10082.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Chilton Primary School,PAYBACSAUTO224105,114382.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Clutton Primary School,PAYBACSAUTO224188,1494.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Clutton Primary School,PAYBACSAUTO224188,1917.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Clutton Primary School,PAYBACSAUTO224188,9716.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Clutton Primary School,PAYBACSAUTO224188,27841.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Colehill First School,PAYBACSAUTO224106,9242.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Colehill First School,PAYBACSAUTO224106,35721.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Colehill First School,PAYBACSAUTO224106,-2255.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Colehill First School,PAYBACSAUTO224106,1764.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,-24601.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,-1111.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,-7999.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,-150.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,152.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,24911.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,1125.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,8099.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,150.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,7999.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,24601.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Congleton Multi-Academy,PAYBACSAUTO224107,1111.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,-49692.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,-2384.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,-10372.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,10502.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,50317.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,2414.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,49692.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,2384.00 
Department for Education,EDUCATION FUNDING AGENCY,10/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Corpus Christi Catholic Primary Acad,PAYBACSAUTO224189,10372.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,4978.47 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,8402.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-1746.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,7557.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-8297.45 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-259866.34 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,263135.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,7463.56 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-1724.14 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,8297.45 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-4978.47 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,-7463.56 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,1724.14 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,5041.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Crestwood School,PAYBACSAUTO224108,259866.34 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Cudham C E Primary School,PAYBACSAUTO230284,30944.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Cudham C E Primary School,PAYBACSAUTO230284,12995.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Cudham C E Primary School,PAYBACSAUTO230284,1174.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Deneholm Primary School,PAYBACSAUTO230285,836.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Deneholm Primary School,PAYBACSAUTO230285,10479.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Deneholm Primary School,PAYBACSAUTO230285,4894.00 
Department for Education,EDUCATION FUNDING AGENCY,30/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Deneholm Primary School,PAYBACSAUTO230285,120067.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,500.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,70461.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,-3564.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,14167.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,26000.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,25000.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,12096.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,26681.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,15843.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,2142.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,-3395.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,The Duston Education Trust,PAYBACSAUTO224109,477558.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,7199.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,24740.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-195074.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-14521.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,14703.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,1118.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-7109.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-24740.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,-1132.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,197528.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,24740.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,195074.00 
Department for Education,EDUCATION FUNDING AGENCY,03/03/2015,Grants,Academies general,Current grants paid to organisations including arms length bodies and educational establishments,Edgecliff High School,PAYBACSAUTO224110,14521.00 
