Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1087852,"£38,441.85",A-R-03449-01-v01 - North West Project Phase 2- LSC Lee House Manchester Relocation (one off cost),WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,22-Nov-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2284,"£47,481.06",Grenadier House FM costs for 2012-13 - VAT EXEMPT.,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,21-Nov-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2274,"£47,572.48",Grenadier House reactive maintenance costs for 2012-13 - VAT EXEMPT.,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,30-Nov-12,222001-Maintenance,NZ406-Strategic Estates Feeder,INFORMATION COMMISSIONERS OFFICE (ICO),2366,"£51,586.88",Reclaim of cost for moving from Cambrian Buildings to Churchill House,SK9 5AF,0,Admin
Ministry of Justice,MoJ HQ,12-Nov-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1086714,"£53,835.57","Electricity supply in 2012-13 to: 102 Petty France, Steel House and Clive House.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HP ENTERPRISE SERVICES UK LTD,1086556,"£60,574.13",RFS 9032 - HP Minor Change Quote to cover HP resource in advance of the full Proposal.,RG12 1HN,0,Admin
Ministry of Justice,MoJ HQ,23-Nov-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CITY OF WESTMINSTER,1087603,"£60,945.00",Business Rates - Ashley House,RATES,0,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1087852,"£61,630.00",A-R-03526-03 v01 - North West Project Phase Three - Relocation of Legal Services Commission (LSC) Liverpool. BT /SSL charges only.,WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,22-Nov-12,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,MITIE JUSTICE LTD,1087501,"£76,323.45","TFM Project AMP House Space Planning for MoJ HQ Estate Soft Services (Security and Internal Moves)  		",CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1086173,"£90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1086173,"£90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,HP ENTERPRISE SERVICES UK LTD,1086556,"£91,896.20",Ongoing support Costs - commencing May 2011 - June 2013.,RG12 1HN,0,Admin
Ministry of Justice,MoJ HQ,08-Nov-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1086575,"£242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate.",CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,15-Nov-12,262000-SCA Costs,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1087019,"£3,723,399.00",Rent - 102 Petty france,WC2N 5AF-RENT,0,Admin
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086298,"£25,000.00",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£25,068.80",Atos ICT Hosting (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1086183,"£25,392.17",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1087910,"£25,459.80",35050 CIPHERL00504 -Strategy Consultant (RC Programme Director) - for a maximum of 150 days from 28/08/2012 to 30/03/2013 subject to the terms and conditions of contract reference RPUSW 0827-1,SL6 1DP,0,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1087910,"£25,459.80",34850 CIPHERL00504 -Strategy Consultant (RC Programme Director) for a maximum of 144 days from 05/09/2012 to 30/03/2013 subject to the terms and conditions of contract reference RPUSW 0827-1,SL6 1DP,0,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£25,594.44",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£25,595.44",HP ICT Network Services (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CACI LTD,1086079,"£25,708.00",CCN CA-3215-01-v004 - Data Merge of code base to live BAU (Performance Test v2),W14 8TS,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086665,"£26,667.02",CCN A-R-3360-01 - Poise Migration to Dom1 (one off cost),WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£26,889.54",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1086085,"£27,398.00",9106 CIPHERL00109 -MOJ Transition - CJS Portfolio Manager for a maximum of 250 days from 01/04/2012 to 30/03/2013 subject to the terms and conditions of contract reference RPUSW 0827-1-PQ125,SL6 1DP,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£28,460.36",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£28,559.36",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1087717,"£29,725.61",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1087485,"£30,107.00","CCN L-R-3610-01 CREST EL Full Project Delivery - Logica Direct Costs						 							",CF31 9AP,E001,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1086506,"£31,879.96",11811 CIPHERL00218 -Applications Services Analyst/Web Hosting for a maximum of 250 days from 01/04/2012 to 30/03/2013 subject to the terms and conditions of contract reference RPUSW 0827-1- PN101,SL6 1DP,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087612,"£32,899.00","A-S 3612-008-HQ288-01 LSC DR - CCN 3612-008 -Professional services DR (Sept 2012)						 							",WV10 6UH,E210,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£33,470.37",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£33,668.19",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086855,"£34,057.00",A-S-03612-03 - HQ288-02 LSC RI/SE CCN 03612-3 Professional Services for Design/Build Recovery Island August,WV10 6UH,E210,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£34,464.98",FJS Governance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£34,467.00",HP ICT Telephony (NON VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086992,"£35,143.58",HP ICT Printing (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086556,"£35,899.34",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086480,"£36,618.00",03478-04-v01 - CREST (E001) T&M CCN for continuation of work while full project CCN is being produced.One Off Charges,WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087612,"£37,913.00",CCN A-S 3612-006 - HQ288-01 LSC DR - CCN 3612-006 -Professional services DR (July 2012),WV10 6UH,E210,Admin
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£38,458.31",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1088211,"£38,567.82",GAPS 2 - Training Environment -  To be called off on a Quarterly Basis,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,SOFTCAT LTD,1087547,"£39,705.75",Saphire Strategic Support Arrangement,SL7 1LW,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1086078,"£40,022.00",SM-DISC Prison to Courts Video Links  and HMCS Court Connectivity (Schedule),MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1086504,"£42,375.00",Consultancy services provided by I2N during April 2012 - March 2013  IAPS Helpdesk & Maintenance (I2N Support & Maintenance),DL1 9HN,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£42,408.42",FJS Service Desk   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£44,792.51",FJS Operations - Other + Discount & Gain Share   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,19-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1087217,"£44,917.69",FJS Licensing  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087852,"£49,722.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Third Party Services						 						",WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086046,"£50,077.65",ICT Telephony (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£51,537.58",HP ICT Printing (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£51,877.25",FJS Licensing  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£53,393.90",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1087026,"£55,948.66",ICT Printing - Liberata Print Charges,NP10 9XA,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1086923,"£58,635.00",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to non-rechargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1086254,"£59,412.09","WYSE WDM SITE LICENCE 3 YR RENEWAL -Duration: Jul-11 -  Jul-14 - Reference 106517-1 Schedule 3d - ""Wyse Device Manager"" Enterprise licensee",M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086855,"£60,066.00","A-S-03612-04-HQ288-02 LSC RI/SE CCN 03612-4 Professional Services for Design/Build Recovery Island Sept						 							",WV10 6UH,E210,Programme
Ministry of Justice,MoJ HQ,19-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,MICROSOFT UK LTD,1087267,"£61,000.00", MS Premier Support agreement,RG6 1WG,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,VP TREEN & ASSOCIATES,1088245,"£61,250.00","""Contracted support cost for CACTUS database and ACOCAO xGSI Network (non-DSIC contract) - 1st Quarter (01/04/2012 to 30/06/2012), 2nd Qtr.  (01/07/2012 to 30/09/2012), 3rd Qtr (01/10/2012 to 31/12/2012)& 4th Qtr.01/01/2013 to 31/03/2013",TW2 7PJ,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086480,"£63,001.00",CCN2277-01 - NOP Main CCN,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£63,248.54",Java JRE Uplift - Quantum Estate - MCO vl.0,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£65,855.79",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088052,"£66,661.23",HP ICT Laptops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,19-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1087258,"£67,690.00","L-R-03119-05-V02 - LSC IDP Transition Interim Cover						",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,222003-CIS Labour TFM Estates,PZ501-MoJ ICT Feeder,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1086589,"£70,605.81",NOP Programme draw down,CIS-PO1 9DB,E149,Programme
Ministry of Justice,MoJ HQ,12-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,NATIONAL POLICING IMPROVEMENT AGENCY (NPIA/NCALT),1086758,"£70,656.00",716 - Visor Access                                            Visor - Violent Sex Offenders register access charges,RG27 0JW,0,Programme
Ministry of Justice,MoJ HQ,26-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1087694,"£73,287.32",Java JRE Uplift - Quantum Estate - MCO vl.0,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086855,"£74,533.00","A-S-03612-02-	HQ288-02 LSC RI/SE CCN 03612-2 Professional Services for Recovery Island July						 						",WV10 6UH,E210,Admin
Ministry of Justice,MoJ HQ,26-Nov-12,264000-Consultancy,PZ501-MoJ ICT Feeder,GARTNER UK LTD,1087672,"£74,736.20",Gartner to provide ICT benchmarking exercise and report for the FITS programme  02/06/12 - 07/09/12.,TW20 9AW,0,Programme
Ministry of Justice,MoJ HQ,19-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,MICROSOFT UK LTD,1087267,"£75,210.00", MS Premier Support agreement,RG6 1WG,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086556,"£75,644.60",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086480,"£83,300.91",CCN 3197-06 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,22-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087358,"£83,300.92",CCN 3197-06 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,08-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1086480,"£83,300.92",CCN 3197-06 - Replace Failed Obsolete AEL VIW equipment at 25 courts (one off cost),WV10 6UH,E004,Programme
Ministry of Justice,MoJ HQ,01-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1086155,"£85,243.00",HP ICT Hosting (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,05-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1086344,"£88,892.32",FJS Solution Assurance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,29-Nov-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1087852,"£89,680.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Atos Direct Costs						 						",WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,15-Nov-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1087026,"£94,437.86",ICT Printing - Liberata Print Charges,NP10 9XA,0,Programme
