Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,21/11/12,Consultancy,GOVERNMENT PROPERTY UNIT,SLAUGHTER & MAY,3000030972,"31,208.69",Fee for the provision of detailed legal advice in connection to the Agreement for Lease of Admiralty Arch ,EC1Y 8YY,,Large,Programme
Cabinet Office,CABINET OFFICE,21/11/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000030982,"39,224.89","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,,Large,Programme
Cabinet Office,CABINET OFFICE,21/11/12,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,HOGG ROBINSON TRAVEL LTD,3000030967,"44,275.54",Official Travel ,GU14 7NJ,,Large,Administration
Cabinet Office,CABINET OFFICE,21/11/12,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000030971,"49,233.03",Facilities Management Services,BS16 7FN,,Large,Administration
Cabinet Office,CABINET OFFICE,22/11/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000030999,"43,777.04",Tsol costs,WC2B 4TS,,Government Department,Administration
Cabinet Office,CABINET OFFICE,22/11/12,Assets Under Construction,POLITICAL AND CONSTITUTIONAL REFORM,HALAROSE LTD,3000030994,"48,633.00",Delivery and development of bespoke IT software to Local Authorities to support work on Individual Electoral Registration ,RG8 0RR,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,22/11/12,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000031000,"154,166.00",Shared Services Charge ,FY5 3TA ,,Government Department,Administration
Cabinet Office,CABINET OFFICE,23/11/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000031023,"2,803,126.16",Payment to MyCSP for pension administration,LS2 7UA,,Large,Administration
Cabinet Office,CABINET OFFICE,26/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ACADEMY OF YOUTH LTD T/A UNIVERSITY OF FIRST AGE,3000031086,"43,274.00",National Citizen Service project grant ,B3 1EP,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,26/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ENVISION,3000031088,"123,863.00",National Citizen Service project grant ,EC1V 3RS ,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,26/11/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000031083,"414,142.34",High Integrity Telecomms System project costs,L2 3YL ,,Government Department,Programme
Cabinet Office,CABINET OFFICE,27/11/12,Assets Under Construction,POLITICAL AND CONSTITUTIONAL REFORM,IDOX SOFTWARE LTD,3000031116,"26,243.16",Delivery and development of bespoke IT software to Local Authorities to support work on Individual Electoral Registration ,G27 JZ,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,27/11/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CESG,3000031146,"41,667.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,,Government Department,Programme
Cabinet Office,CABINET OFFICE,27/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000031149,"62,500.00",Promoting giving project grant - supporting giving in schools,EC1V 3RS ,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,27/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,Compact Voice,3000031150,"85,025.00",Grant to Compact Voice - to promote positive relations between Civil Society and Government,N1 9RL,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,27/11/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000031155,"113,003.08",Tsol costs,WC2B 4TS,,Government Department,Administration
Cabinet Office,CABINET OFFICE,27/11/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000031128,"125,155.94",High Integrity Telecomms System project costs,L2 3YL,,Government Department,Programme
Cabinet Office,CABINET OFFICE,27/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUTHNET UK,3000031151,"150,000.00",Transition funding for a youth volunteering web site.,EC1Y 8RT,,Large,Grants
Cabinet Office,CABINET OFFICE,27/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000031126,"250,000.00",Strategic Grant to support core costs,SW1P 2ASF,,Large,Grants
Cabinet Office,CABINET OFFICE,28/11/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000031220,"25,216.71",Facilities Management Services,BN1  1HG,,Large,Administration
Cabinet Office,CABINET OFFICE,28/11/12,Consultancy,COMMITTEE ON STANDARDS IN PUBLIC LIFE,TNS UK LTD,3000031217,"37,824.00",Research into the Public’s view of Ethical Standards in Public ,W5 1UA,,Small to Medium Enterprise,Administration
Cabinet Office,CABINET OFFICE,28/11/12,Accomodation and Utilities,IT AND TELECOMS BRANCH,VODAFONE LTD,3000031188,"56,238.33",Mobile phone service charges and hardware,RG14 2FN,,Large,Administration
Cabinet Office,CABINET OFFICE,28/11/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000031216,"66,273.15","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,,Large,Programme
Cabinet Office,CABINET OFFICE,28/11/12,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,WILLIAMS LEA,3000031187,"83,647.25","Printing, production and distribution of the Boundary Commission for England's revised proposals in compliance with statutory duty to publicise these proposals  in relation to the review of Parliamentary constituency boundaries.",W2 6LG,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,28/11/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000031210,"210,920.47",Tsol costs,WC2B 4TS,,Government Department,Administration
Cabinet Office,CABINET OFFICE,28/11/12,PFI Charge,CENTRAL BUDGETS,DE VERE VENUES LTD,3000031199,"326,121.03",Private Finance Initiative charges for 2012/13,KT24 6DU,,Large,Administration
Cabinet Office,CABINET OFFICE,29/11/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000031246,"33,479.73",Telecomms Line Rental,DH98 1BT,,Large,Administration
Cabinet Office,CABINET OFFICE,29/11/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000031252,"37,128.53",Facilities Management Services,BN1  1HG,,Large,Administration
Cabinet Office,CABINET OFFICE,29/11/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000031252,"666,299.92",Facilities Management Services,BN1  1HG,,Large,Administration
Cabinet Office,CABINET OFFICE,30/11/12,IT Costs,POLITICAL AND CONSTITUTIONAL REFORM,ORDNANCE SURVEY,3000031304,"26,391.10",Licence to print new constituency maps in relation to the review of Parliamentary constituency boundaries.,SO16 0AS,,Government Department,Programme
Cabinet Office,CABINET OFFICE,30/11/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,LIVITY,3000031305,"32,340.50",Social media work for National Citizen Service,SW9 8DJ,,Small to Medium Enterprise,Programme
Cabinet Office,CABINET OFFICE,30/11/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000031290,"33,442.51",High Integrity Telecomms System project costs,NW9 6LB,,Large,Programme
Cabinet Office,CABINET OFFICE,30/11/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000031292,"59,051.71",Tsol costs,WC2B 4TS,,Government Department,Administration
Cabinet Office,CABINET OFFICE,30/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SKILLS THIRD SECTOR,3000031286,"62,500.00",Work to develop voluntary and community sector workforce grant 2012/13,S1 4FW,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,30/11/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000031303,"100,455.12",Facilities Management Services,BN1  1HG,,Large,Administration
Cabinet Office,CABINET OFFICE,30/11/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NESTA,3000031288,"146,000.00",Innovation in Giving Fund Project Grant 2012/13,EC4A 1DE,,Small to Medium Enterprise,Grants
Cabinet Office,CABINET OFFICE,30/11/12,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000031296,"154,166.00",Shared Services Charge,FY5 3TA ,,Government Department,Administration
Cabinet Office,CABINET OFFICE,30/11/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000031306,"172,923.00",Civil Service People Survey 2012,N1 9AH,,Small to Medium Enterprise,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,13/11/12,WDHS Maintenance & Repairs,WHITEHALL DISTRICT HEATING SYSTEMS,COFELY,PINDOH 35092,"77,344.88",Whitehall heating systems management,HP12 3TA,Large,Large,Programme
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,22/11/12,Legal Fees,LEGAL SERVICES,TREASURY SOLICITORS,PINDOH 35142,"101,127.04",Legal services fee,WC2B 4TS,Large,Government Department,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,22/11/12,Legal Fees,LEGAL SERVICES,TREASURY SOLICITORS,PINDOH 35143,"72,656.56",Legal services fee,WC2B 4TS,Large,Government Department,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,22/11/12,Legal Fees,LEGAL SERVICES,TREASURY SOLICITORS,PINDOH 35144,"91,799.33",Legal services fee,WC2B 4TS,Large,Government Department,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,29/11/12,Information Services,AUDIT AND ASSURANCE UNIT,PRICEWATERHOUSECOOPERS LLP,PINDOH 35174,"47,691.15",Audit services,E14 9SQ,Large,Large,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,01/11/12,"Furniture, Fittings and Equipment",AUDIT AND ASSURANCE UNIT,PDMS LTD,PINVP2P 1310,"40,000.00",Vehicle purchase portal development,IM2 2QZ,SME,Small to Medium Enterprise,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,02/11/12,Bravo Licence Costs,ENABLEMENT PROJECTS,BRAVOSOLUTION UK LTD,PINVP2P 1317,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Large,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,06/11/12,WSDS Maintenance & Repairs,WHITEHALL STANDBY DISTRIBUTION SYSTEMS,COFELY,PINVP2P 1327,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Large,Programme
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,19/11/12,WDHS Maintenance & Repairs,WHITEHALL DISTRICT HEATING SYSTEMS,COFELY,PINVP2P 1367,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Large,Programme
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,19/11/12,WSDS Maintenance & Repairs,WHITEHALL STANDBY DISTRIBUTION SYSTEMS,COFELY,PINVP2P 1368,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Large,Programme
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,20/11/12,Maintenance & Repairs - IT,ENABLEMENT PROJECTS,EUROPEAN DYNAMICS,PINVP2P 1373,"33,875.00","Helpdesk support, licences and hosting charges ",SE19 3RW,SME,Small to Medium Enterprise,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,22/11/12,Information Services,ENABLEMENT PROJECTS,DUN AND BRADSTREET LTD,PINVP2P 1375,"624,000.00",Pan Government use of Duns and enhanced data analysis ,SL7 1AJ,Large,Large,Administration
Cabinet Office,GOVERNMENT PROCUREMENT SERVICE,26/11/12,Bravo Licence Costs,ENABLEMENT PROJECTS,BRAVOSOLUTION UK LTD,PINVP2P 1381,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Large,Administration
