Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,03/07/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00330771RI,"£169,941.36",DH - Provision of Variable Works at Various DH Buildings Apr 2014 - Mar 2015 (SKH / RH / WEL / PRH / BLH Building Maintenance),SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00330773RI,"£70,032.18",Care Quality Commission (CQC) - FM Variable Operational Works FY2014 - 2015 (CQC Buildings),SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00330774RI,"£36,898.22",DH - Provision of Variable Works at Various DH Buildings Apr 2014 - Mar 2015 (SKH / RH / WEL / PRH / BLH Building Maintenance),SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Estate management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331442RI,"£76,050.58",Wellington House -  Provide and install chiller unit on specialist hire,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331444RI,"£113,580.26",Wellington House - Evacuation Lift 134 modifications into Passenger Lift. Ref:JDE.356668,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331445RI,"£48,678.20",Wellington House - Supply and install 3 x bike shelters secured with digi locks security system in the car park.,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331446RI,"£29,539.25",Replace existing window cleaning cradle at Wellington House,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - OLB,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331447RI,"£110,970.13",Richmond House - 2nd Floor Balcony Refurbishment Works - Ref.55306,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331449RI,"£47,431.01",Provide furniture parts for  Ground Floor Wellington House - JDE 404682,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Addition Clearing - L-DW,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00331451RI,"£46,154.88",Premier House - Provide additional works as part of the fit out - Grd to 2nd Floor,SO53 3YE,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Consultancy/Professional Advice,DG: GOAD,IFF RESEARCH LTD,12253,"£98,880.00",Implementation of Improving the Care Environment for People with Dementia Pilot Programme,N1 6DD,,Programme,Private,13913
Department of Health,Department of Health,03/07/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4442001-07-JUL-14,"£1,992.58",,TS17 6YG,,Other,Private,
Department of Health,Department of Health,03/07/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584161463,"£77,484.00",NHS England - Tranche 2 (Call Off Work),WS11 0JA,,Admin,Private,
Department of Health,Department of Health,03/07/2014,Training (Learning and Development),DG: PHD,OXFORD SAID BUSINESS SCHOOL LTD,0000037009,"£25,000.00",,OX1 5NY,,Admin,Public,
Department of Health,Department of Health,03/07/2014,Training (Learning and Development),DG: PHD,OXFORD SAID BUSINESS SCHOOL LTD,0000037010,"£25,000.00",,OX1 5NY,,Admin,Public,
Department of Health,Department of Health,03/07/2014,Professional fees,DG: PHD,ROYAL COLLEGE OF SURGEONS OF ENGLAND,9PSR0566,"£114,176.10",RCS Cosmetic Surgery Interspeciality Committee (3 year contract) 2013-2015,WC2A 3PE,,Programme,Public,
Department of Health,Department of Health,03/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MENS HEALTH FORUM,ERS-522846-90301,"£43,750.00",The Mens Health Forum - 3 YEAR GRANT - AIMS REF 2506234,SE1 0EH,,Other,Voluntary,
Department of Health,Department of Health,03/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BREAKTHROUGH BREAST CANCER,ERS-522863-90321,"£40,992.00",2013-14 IESD -AIMS ref: 2560717- Breakthrough Breast Cancer - project: Embedding patient partnership and service improvement through the service pledge,WC1V 7EX,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6285280,"£203,917.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,NHS,
Department of Health,Department of Health,04/07/2014,Contractor/Staff Substitution,DG: GOAD,NHS TRAFFORD CCG,7013500245,"£32,239.57",,WF3 1WE,,Admin,NHS,
Department of Health,Department of Health,04/07/2014,Other programme expenditure,DG: GOAD,NHS KERNOW CCG,7029300077,"£80,592.00",,PL25 5AS,,Programme,NHS,
Department of Health,Department of Health,04/07/2014,Additions Other loans,DG: SFNHS,NHS PROPERTY SERVICES LTD,NHSPS  LOAN4/7/14,"£30,000,000.00",,SE1 6LH,,Programme,NHS,
Department of Health,Department of Health,04/07/2014,Service charge,DG: GOAD,GEORGE ELIOT HOSPITAL NHS TRUST,T0116014,"£154,277.69",Revenue LSP NME George Eliot -  F/Y 2013/14 STAF& LC costs for Lorenzo Deployement,CV10 7DJ,,Programme,NHS,
Department of Health,Department of Health,04/07/2014,Conferences & seminars,DG: SCLGCP,CALDER CONFERENCES LTD,123982,"£49,474.02",International Initiative for Mental Health Leadership Event - taking place in 2014,LS16 6RF,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Service charge,DG: GOAD,TRUSTMARQUE SOLUTIONS LTD,2212827,"£53,565.41","Revenue: Trustmarque Spine 2. IAM Microsoft System Centre Licences x 24 unit price £1,859.91) IAM10.",YO32 9WN,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Outsourcing Contract,DG: GOAD,TRUSTMARQUE SOLUTIONS LTD,2214548,"£78,960.00",SharePoint online for CONTACT replacement project,YO32 9WN,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Outsourcing Contract,DG: GOAD,TRUSTMARQUE SOLUTIONS LTD,2214589,"£77,904.00",DsktpOptmztnPkforSA ALNG SubsVL MVL PerDvc forWinSA,YO32 9WN,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Outsourcing Contract,DG: GOAD,TRUSTMARQUE SOLUTIONS LTD,2214589,"£217,644.30",WinPro ALNG UpgrdSAPk MVL,YO32 9WN,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Service charge,DG: GOAD,BT GROUP PLC,357988,"£322,561.00",Revenue: London LSP 14/15,NW9 6LB,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Service charge,DG: GOAD,BT GROUP PLC,357989,"£666,300.00",Revenue: LSP South 14/15,NW9 6LB,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201374498,"£30,070.80",Capital:CC11284 -Medicode batch charge as part of Lorenzo deployment - Ipswich local charge,PR1 8UQ,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900121636,"£24,491.38","Reprographics - Management Fees @ £24,491.38 mthly FY2014-15",UB8 1HS,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Outsourcing Contract,DG: PHD,SERCO LTD,91007049,"£255,519.82",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,Programme,Private,
Department of Health,Department of Health,04/07/2014,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONSAL STANDARDS AUTHORITY,DH059,"£250,000.00",PSA Grant-In-Aid Revenue Cash Drawdown 2014/15,SW1W 9SP,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR HEALTH LTD,ERS-522944-90541,"£341,000.00",2013/002 - Skills for Health Ltd - project: Workforce development project- policy grant ,,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Provisions cash payment,DG: PHD,MFET LTD,MFET-2/2014-15/MFET,"£1,328,428.70",MFET Ltd funding 2014/15,SW1H 0QS,,Programme,Private,
Department of Health,Department of Health,04/07/2014,Telephone costs,DG: GOAD,NETCALL TELECOM LTD,MINV006097,"£26,343.60",Renewal of the Netcall SolutionCare service & Support. From 01/07/2014 - 30/06/2015,HP1 1BB,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Storage costs,DG: GOAD,IRON MOUNTAIN (UK) LTD,RJ92815-RJ92820,"£50,963.56",File Storage and retrieval for UK346 (RJ92815-RJ92820),,,Admin,Private,
Department of Health,Department of Health,04/07/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2922948,"£35,816.91","Quarry House Leeds - Utilities (Gas/Electricity) April 2014 - March 2015 @£46,667 mthly.",FY5 3TA,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Rates,DG: GOAD,LAMBETH LONDON BOROUGH COUNCIL,325683913-14/03/2014,"£327,555.00","Wellington House - Annual Business Rates 2014 - 2015 @ £3327,550 per quarter Ref:325683913",SW2 1RW,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Rates,DG: GOAD,WESTMINSTER CITY COUNCIL,400871826-14/03/2014,"£496,980.00","Richmond House - Annual Business Rate 2014 - 2015 @ £496,980 per quarter Ref:400871826",WC2N 6NU,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026968,"£102,958.45","Quarry House Leeds - Accomm. Business Rates April 2014 - March 2015 @£120,730.53 mthly.",FY5 3TA,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5026968,"£575,249.05","Quarry House Leeds - Accomm. FUP Rent Charge April 2014 - March 2015 @£589,937.40 mthly.",FY5 3TA,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Rates,DG: GOAD,LEEDS CITY COUNCIL,901349235-03/03/2014,"£71,940.00","Blenheim House - Annual Business Rate 2014 - 2015 @ £71,935 Q1, £71,940 Q2, £71,940 Q3 & £23,980 Q4 - Ref:90319235 - Part ground and whole 1st & 2nd & 3rd Floors",LS1 1UR,,Other,Public,
Department of Health,Department of Health,04/07/2014,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00021061,"£47,449.39",GAD inv 21061 and 21196 Payments for April and May,EC4A 1AB,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00021196,"£38,624.69",GAD inv 21061 and 21196 Payments for April and May,EC4A 1AB,,Admin,Public,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE NATIONAL AUTISTIC SOCIETY,ERS-522908-90381,"£46,548.00",Grant The National Autistic Society - AIMS REF 2533626 - 3 YEAR GRANT,EC1V 1NG,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,FREDERICKS FOUNDATION,ERS-522913-90401,"£55,700.00","IESD 2012-13, AIMS 1758108, Fredericks Foundation: Self management websites",GU18 5SA,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BREAKTHROUGH BREAST CANCER,ERS-522918-90421,"£29,939.00", IESD award 2012/13 - breakthrough Breast Cancer -  AIMS 1753526,WC1V 7EX,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,SHARED LIVES PLUS,ERS-522920-90441,"£42,813.00",2013-14 IESD - Shared Lives Plus - Project: Shared Lives for All AIMS: 2503018,L3 9JR,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,ERS-522938-90461,"£33,137.00",2012-13 IESD - RNIB - SEARCH PROJECT - AIMS 1768298,PE2 6WS,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DARLINGTON ASSOCIATION ON DISABILITY,ERS-522939-90481,"£52,997.00","IESD award 2012/13 for Darlington Association on Disability's ""Stronger Voices...strong support"" project",DL1 5PT,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE,ERS-522940-90501,"£26,581.00","IESD 2013-14 RNIB's ""Electronic Certification of Vision Impairment"" project",PE2 6WS,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE ANNA FREUD CENTRE,ERS-522943-90521,"£36,357.00",IESD Grant AIMS REF 1171321 Anna Freud,NW3 5SD,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BEDFORDSHIRE & LUTON MIND,ERS-522948-90561,"£29,989.00",2011-12 IESD Fund - Workshop in Mind - AIMs Reference Number 1166259,MK45 2NB,,Other,Voluntary,
Department of Health,Department of Health,04/07/2014,Provisions cash payment,DG: PHD,THE MACFARLANE TRUST,MFT02/14-15,"£497,505.00",Macfarlane Trust funding 2014/15,SW1H 0QS,,Programme,Voluntary,
Department of Health,Department of Health,07/07/2014,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000010688,"£122,039.03",Total Reward Statement,NE1 6SN,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ERS-522979-90593,"£52,127.00",EME - ( NETSCC ),LA1 4GG,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ERS-522979-90593,"£127,024.00",EME - ( NETSCC ),LA1 4GG,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-522981-90594,"£69,285.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-522982-90598,"£107,484.00",Programme Grants for NHS Trusts,W12 0HS,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522987-90583,"£38,933.00",Research for Patient Benefit,SE1 9RT,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-522989-90597,"£28,113.00",Research for Patient Benefit,NG7 2UK,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-522991-90588,"£271,634.00",CRFs - CRII,B15 2PR,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,ERS-522992-90589,"£1,777,682.00",Bio-Medical Centres,NW1 2BX,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522993-90592,"£1,766,248.00",Bio-Medical Centres,OX3 7HE,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522994-90591,"£336,107.00",Bio-Medical Centres,NE7 7DN,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,ERS-522994-90591,"£87,700.00",Bio-Medical Centres,NE7 7DN,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-522996-90585,"£1,015,028.00",Bio-Medical Centres,SE1 9RT,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ERS-522997-90587,"£480,195.00",Bio-Medical Centres,EC1V 2PD,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522998-90582,"£2,010,753.00",Bio-Medical Centres,CB2 2QQ,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-522998-90582,"£87,652.00",Bio-Medical Centres,CB2 2QQ,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-523003-90595,"£188,188.00",Programme Grants for NHS Trusts,BR3 3BX,,Programme,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,HAFS-17195,"£238,000.00",,SR3 4AD,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,EAST LANCASHIRE HOSPITALS NHS TRUST,HAFS-17196,"£500,000.00",,BB2 3HH,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-17198,"£574,000.00",,LS9 7TF,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-17199,"£900,000.00",,LS9 7TF,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17200,"£2,371,000.00",,ST16 3SA,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-17201,"£893,000.00",,MK6 5LD,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,HAFS-17202,"£3,500,000.00",,CA2 7HX,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,NORTH EAST LONDON NHS FOUNDATION TRUST,HAFS-17203,"£400,000.00",,CM8 2TL,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-17204,"£35,000.00",,DN15 7BH,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17205,"£567,000.00",,PE3 6DA,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,HAFS-17206,"£26,000.00",,B29 6JS,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,HAFS-17207,"£140,000.00",,B29 6JS,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-17208,"£191,000.00",,IP33 3QZ,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions FT Financing Facility Loans,DG: Central Technical,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-17209,"£1,400,000.00",,SS16 5NL,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions FT Financing Facility Loans,DG: Central Technical,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-17210,"£2,050,000.00",,DN15 7BH,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-17211,"£1,852,000.00",,M20 4BX,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17213,"£3,500,000.00",,CR7 7YE,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,EAST & NORTH HERTFORDSHIRE NHS TRUST,HAFS-17214,"£6,000,000.00",,SG1 4AB,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17215,"£3,233,000.00",,PE3 6DA,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions-PDC temporary,DG: Central Technical,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-17216,"£1,457,000.00",,CM20 1QX,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions-PDC permanent,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17217,"£1,323,000.00",,NG17 4JL,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Additions-PDC temporary,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17218,"£2,785,000.00",,NG17 4JL,,Other,NHS,
Department of Health,Department of Health,07/07/2014,Addition Clearing - IT,DG: GOAD,INSIGHT DIRECT UK LTD,1907447,"£33,787.30",VOIP Deployment Project - headsets and associated equipment as detailed in ITT document,M5 3NN,,Admin,Private,13984
