Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Environment and Rural Group,Dedham Vale ANOB,130112,"£95,090.00",Dedham Vale AREA OFOUTSTANDING NATURAL BEAUTY
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Environment and Rural Group,North Yorkshire County Council,170112,"£93,423.71",GRANT - HOWARDIAN AREA OF NATURAL BEAUTY HILLS
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Environment and Rural Group,Wye Valley AONB,170112,"£111,742.00",WYE VALLEY AREA OF OUTSTANDING NATURAL BEAUTY
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Environment and Rural Group,East Devon AONB,190112,"£132,474.00",EAST DEVON AREA OF OUTSTANDING NATURAL BEAUTY
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Environment and Rural Group,Suffolk Coast & Heaths AONB,190112,"£143,143.05",SUFFOLK COAST AND HEATHS AREA OF NATURAL BEAUTY
DEFRA,DEFRA ORGANISATION,03/01/2012,Grant-in Aid Payments,Environment and Rural Group,Natural England,191211,"£19,000,000.00",GRANT-IN-AID PAYMENT  - NATURAL ENGLAND JANUARY 2012
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Subsidies To Public Corporations,Environment and Rural Group,British Waterways,201211,"£4,654,000.00",BRITISH WATERWAY GRANT CLAIM JANUARY
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Leicester City Council,230112,"£25,000.00", AIR QUALITY GRANT SCHEME-CITY OF LONDON
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Swale Borough Council,230112,"£25,824.00", AIR QUALITY GRANT SCHEME-SWALE COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,City Of London,230112,"£26,750.00",ADDITIONAL AIR QUALITY GRANT SCHEME CITY OF LONDON 
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,South Northamptonshire Council,230112,"£30,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME - SOUTH NORTHAMTONSHIRE COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,London Borough Of Merton,230112,"£30,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME LONDON BOROUGH OF MERTON
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Rotherham Metropolitan Borough Council,230112,"£30,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME ROTHERHAM METROPOLITAN COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Chichester District Council,230112,"£30,300.00",ADDITIONAL AIR QUALITY GRANT SCHEME CHICHESTER COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Southampton City Council,230112,"£41,300.00",ADDITIONAL AIR QUALITY GRANT SCHEME SOUTHAMPTON CITY COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,London Borough Of Wandsworth,230112,"£62,000.00",ADDITIONAL AIR QUALITY GRANT SCHEMELONDON BOROUGH OF WANDSWORTH
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Mid Devon District Council,230112,"£70,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME MID DEVON DISTRICT COUNCIL
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,London Borough Of Ealing,230112,"£100,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME LONDON BOROUGH OF EALING
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Environment and Rural Group,Norfolk Coast AONB,230112,"£108,214.79",NORFOLK COAST AREA OF NATURAL BEAUTY 
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Environment and Rural Group,Stockport Metropolitan Borough Coun,230112,"£141,000.00",ADDITIONAL AIR QUALITY GRANT SCHEME STOCKPORT
DEFRA,DEFRA ORGANISATION,26/01/2012,Grant-in Aid Payments,Environment and Rural Group,The National Forest Co,230112,"£164,578.00",NATIONAL FORESTRY COMPANY PROGRAMME EXPENDITURE FEBRUARY 2012
DEFRA,DEFRA ORGANISATION,30/01/2012,Grant-in Aid Payments,Environment and Rural Group,Natural England,230112,"£17,000,000.00",GRANT IN AID PAYMENT NATURAL ENGLAND FEB 12
DEFRA,DEFRA ORGANISATION,03/01/2012,Grant-in Aid Payments,Environment and Rural Group,Marine Management Organisation,291211,"£3,400,000.00",GRANT IN AID PAYMENT TO MARINE MANAGEMENT ORGANISATION JANUARY 12
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Environment Agency,1139550,"£39,000.00",Collaborative Agreement to Managing Mining Pollution for the Water Framework Directive .
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments UK,Environment and Rural Group,Cranfield University,1330373,"£30,812.50",CONTRACT CLIMATE CHANGE ADAPTATION REPORTING POWER
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Environment and Rural Group,Health Protection Agency,5351401,"£177,600.00",DEVELOPMENT OF A UK HANDBOOK FOR CHEMICAL INCIDENTS
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6145933,"£28,803.00",CHARGES BASELINE MEASUREMENT UK Stratospheric Ozone and Spectral Ultra Violet
DEFRA,DEFRA ORGANISATION,06/01/2012,Evidence Non R&D,Environment and Rural Group,A E A Technology plc,6146010,"£106,141.20",QUALITY ASSURANCE. SERVICES DEC 11
DEFRA,DEFRA ORGANISATION,06/01/2012,Evidence Non R&D,Environment and Rural Group,A E A Technology plc,6146021,"£43,754.00",Pollutant Release and Transfer Register Database Tools and Website
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Environment and Rural Group,A E A Technology plc,6146318,"£106,140.00",Services for the Automatic Urban and Rural Monitoring Networks DATABASE TOOLS AND WEBSITE
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001588,"£26,403.50",FUNDING QUARTER 3 ELEMENTS- UK-JAPAN RESEARCH COLLABORATION ON ENDOCRINE DISRUPTERS IN THE AQUATIC ENVIRONMENT
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001640,"£38,900.05",RESEARCH and DEVELOPMENT Framework Agreement
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001645,"£29,288.00",RESEARCH SUPPORTING THE EXTENDED SMARTBUOY NETWORK
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001650,"£30,000.00",Predation and juvenile salmon populations 
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Environment and Rural Group,C E F A S,8001676,"£2,390,166.63",JAN 2012 HIGH LEVEL AGREEMENT PAYMENT
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Environment and Rural Group,C E F A S,8001677,"£179,980.00",JOINT NATURE CONSERVATION COMMITTEE- JAN 12
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Environment and Rural Group,C E F A S,8001678,"£116,020.00",NATURAL ENGLAND FUNDING FOR JAN 2012
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,C E F A S,8001697,"£90,000.00",Improving Our Understanding of Climate Change in Relation to Marine Habitats and Species - 11/12
DEFRA,DEFRA ORGANISATION,03/01/2012,Consultancy Non-Scheme,Environment and Rural Group,Bureau Veritas UK Ltd,11024742,"£47,399.06",ACOUSTIC ADVISORY SERVICE-31/10/11-11/12/11
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,11024921,"£186,086.40", Automatic Uban and Rural Network
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,12000727,"£172,023.60",MGT FOR AUTO - Air quality data base management of the Automatic Uban and Rural Network
DEFRA,DEFRA ORGANISATION,10/01/2012,Current Grants E,Environment and Rural Group,Lacors,40401259,"£25,630.20",GAS AND OZONE ENFORCEMENT WORK -OCTOBER
DEFRA,DEFRA ORGANISATION,18/01/2012,Current Grants E,Environment and Rural Group,Lacors,40401261,"£29,642.59",GAS AND OZONE ENFORCEMENT WORK -NOVEMBER 
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100845,"£241,300.62", TRANSACTOR SUPPORT FOR DEC 2011
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,University Of Southampton,44098232,"£33,957.00",REVIEW OF LANDSCAPE SCALE APPROACHES TO CONSERVATION and ADAPTATION
DEFRA,DEFRA ORGANISATION,06/01/2012,Overhead Incidental Expenses,Environment and Rural Group,A E A Technology plc,614602026,"£92,212.00",MONITORING NETWORKS OCT-DEC 11
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,NERC Proudman Oceanographic Laboratory,7060001576,"£400,000.00", OCEAN ACIDIFICATION FUNDING 
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,NERC Proudman Oceanographic Laboratory,7060001840,"£400,000.00",Natural Environment Research Council Renewable Programme
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Rothamsted Research.,7130001181,"£129,342.00",Improved tolls to rationalise and support stewardship programmes forfungicides to control.
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Rothamsted Research.,7130001201,"£95,270.50",PEST MANAGEMENT STRATEGY POLLEN BEETLE YR 4
DEFRA,DEFRA ORGANISATION,18/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,6.15E+13,"£52,808.00",AIR QUALITY CHARGES FOR DECEMBER 2012
DEFRA,DEFRA ORGANISATION,27/01/2012,Current Transfers Abroad UK,Environment and Rural Group,Global Bio Info Facility Sec,2012UK15,"£185,937.78",Global Bio Information Facility Secretariat (GBIF Core Funds)
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Environment and Rural Group,The Coal Authority,CA091336,"£407,403.38",CHARGES FOR QUARTERLY JAN-MAR 2013 Operation of Wheal Jane and Management Fee
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Environment and Rural Group,The Planning Inspectorate,CP005374,"£99,475.73",Rights of Way and Planning Inspectorate. 3rd quarterly PINs charges Sept - Dec 2011-12
DEFRA,DEFRA ORGANISATION,05/01/2012,Grant-in Aid Payments,Environment and Rural Group,Environment Agency,EAGIAJAN12,"£56,000,000.00",ENVIRONMENT AGENCY GRANT IN AID
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-491473-37510,"£26,609.67", Variation - Heavy Metal
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-491477-37511,"£43,257.24",2011/12 (G) -Terrrestrial Umbrella - Effects Of Acidification and Eutrophication On Terrestrial and Their Recovery
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Centre For Ecology & Hydrology,ERS-491599-37516,"£37,752.00",2011/12 - Critical Loads and Dynamic Modelling Umbrella Variation 2
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,British Geological Survey.,ERS-492042-37620,"£92,313.91", 'Establishing Data on Normal/ Background Levels of Soil Contamination in England' (3/10/11 to 31/3/12)
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,Cranfield University,ERS-492045-37386,"£28,535.00", 'Indicators of Soil Quality - Physical Properties' (17Oct2011 to 16Oct2012)
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments E,Environment and Rural Group,United Nations Environment Prog,FUND9400UK131011,"£239,275.59",United Nations Environment programme payment
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR044470,"£160,395.80",Contract for HR Wallingford to deliver UK Climate Change Risk Assessment 
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,H R Wallingford Ltd,HR044598,"£54,192.00",UK CLIMATE CHANGE RISK ASSESSMENT SECTOR REPORTS
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,Environment and Rural Group,Meteorological Office,I0079733,"£566,000.00",Quarter 4 - Pitt Recommendation and Operation of the Flood Forecasting Centre
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,Environment and Rural Group,Forest Research Agency,R0006978,"£27,500.00",Slowing the Follow at Pickering - Phase 2
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Environment and Rural Group,Cabi Bioscience (Egham),SI4928,"£79,500.00","QUARTER 3 BIOLOGICAL CONTROL OF CRASSULS, HIMALAYA and HYDROCOTYLE BIOCONTROL."
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Environment and Rural Group,Royal Society Of Wildlife Trusts,SIN004083,"£440,000.00",FIRST INSTALMENT OF THE FRAMEWORK DIRECTIVE FUNDING GRANT
DEFRA,DEFRA ORGANISATION,20/01/2012,Current Transfers Abroad UK,Environment and Rural Group,R S P B,SLINV00021458,"£30,000.00",HOOK POD PRODUCTION and AT SEA TRIALS IN SOUTH AFRICA 2012
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Environment and Rural Group,S N I F F E R,SNO865,"£42,000.00",Contract for Provision of Environmental Standards and Conditions Review
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,New Generation Biogas (NGB) Ltd,12,"£54,914.03",High capacity small volume biogas for UK biogas production 
DEFRA,DEFRA ORGANISATION,13/01/2012,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,30258,"£176,061.89",Payment for the purchase of Tuberculin
DEFRA,DEFRA ORGANISATION,23/01/2012,Payments to Agencies GB,Food and Farming Group,D L O Holding/Prionics AG,30437,"£195,027.47",Payment for the purchase of Tuberculin
DEFRA,DEFRA ORGANISATION,26/01/2012,Evidence Non R&D,Food and Farming Group,Identigen Ltd,Dec-11,"£48,485.90",Funding to private labs for the testing of TSE (Transmissible Spongiform Encephalopathies)
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,University Of York,58256,"£32,327.10",Inorganic Polymer Bio-composites (IPBC)
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,90112,"£78,094.20",Understanding the behaviour of livestock manure multiple pollutants through contrasting cracking clay soils
DEFRA,DEFRA ORGANISATION,18/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,The Royal Veterinary College,120112,"£200,000.00",Payment for Animal Health and Welfare Research Project
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments UK,Food and Farming Group,Soil Association Certification Ltd,172330,"£31,035.50",Organic farming (SACL) soil association certification Ltd  third quarter payment to organic control bodies
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (GB),Food and Farming Group,Rural Payments Agency,330844,"£251,720.78",RPA sheeps and Goats inspections
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (GB),Food and Farming Group,Rural Payments Agency,330871,"£29,348.75",Sheeps and Goats inspections admin work carried out by BCMS
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,1701269,"£38,165.96",Funding for Animal by product as per SLA ( Service Level Agreement)
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments E,Food and Farming Group,Food Standards Agency,1701277,"£67,687.37",CLEANSING and DISINFECTING SUPERVISION costs
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Plymouth,6032302,"£25,840.00",Obstacles to export growth for small and medium sized agrifood companies
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,SAC,10407833,"£96,432.07",The environmental consequences of using home-grown legumes as a protein source in pig diets - SAC
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,Campden Technology Limited,20039945,"£71,170.00",National Country of Origin Labelling evaluation
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,Sac Commercial Ltd,20416397,"£68,806.00",Economic evaluation of the 2005 reform to the European sugar regime and sugar industry restructuring
DEFRA,DEFRA ORGANISATION,26/01/2012,Evidence Non R&D,Food and Farming Group,The Scottish Agricultural College,20417123,"£41,678.40",Research Report: Assessment of the Impact of Agricultural and Trade Policy Reform on Land Use in the EU
DEFRA,DEFRA ORGANISATION,24/01/2012,Evidence Non R&D,Food and Farming Group,L G C Limited,50123250,"£155,171.30",Funding to private labs for the testing of TSE (Transmissible Spongiform Encephalopathies)
DEFRA,DEFRA ORGANISATION,26/01/2012,Evidence Non R&D,Food and Farming Group,Mouchel Ltd,90076328,"£99,600.00",Preparation and publication of CAP Beneficiary data
DEFRA,DEFRA ORGANISATION,26/01/2012,Evidence Non R&D,Food and Farming Group,Mouchel Ltd,90084857,"£57,207.72",Hosting charges for CAP Beneficiary Database
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,B B S R C,150000728,"£202,739.26",Insect Pollinator Initiative
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (GB),Food and Farming Group,Worcestershire County Council,2202034724,"£85,870.59",Local authority supervision and enforcement of animal movement and record-keeping requirements. 
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000004432,"£134,562.80",Funding to protect the food chain from TSE
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000004436,"£4,240,595.93",Funding to AHVLA to cover TB quality assurance 
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000005314,"£170,865.41",Funding to AHVLA to protect the food chain
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000005319,"£4,846,756.55",Funding to AHVLA to cover TB charges
DEFRA,DEFRA ORGANISATION,10/01/2012,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006016,"£318,372.75",Payment for Veterinary and Scientific advice
DEFRA,DEFRA ORGANISATION,03/01/2012,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006041,"£86,868.84",Payment for Veterinary and Scientific advice
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (GB),Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006251,"£70,438.71",Payment for Veterinary Field Surveillance
DEFRA,DEFRA ORGANISATION,10/01/2012,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006252,"£335,443.47",Payment for Veterinary Field Surveillance
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006325,"£136,514.82",Funding of disease resilence for Animal by product
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006326,"£80,259.94",Funding of disease resilence registration and movement charges
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006328,"£1,160,418.14",Funding to Animal Health Veterinary Laboratory Agencies for TB
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (GB),Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006331,"£86,012.61",Payment for Veterinary Field Surveillance
DEFRA,DEFRA ORGANISATION,10/01/2012,Payments to Agencies GB,Food and Farming Group,Animal Health and Veterinary Laboratories Agency,5000006332,"£401,629.59",Payment for Veterinary Field Surveillance
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments IT Projects,Food and Farming Group,IBM United Kingdom Ltd,5801120849,"£96,000.00",APR11D-017 Farming Online CCT and June Survey 2012 Updates (Release 11)
DEFRA,DEFRA ORGANISATION,06/01/2012,Other Current Payments IT Projects,Food and Farming Group,IBM United Kingdom Ltd,5812111468,"£96,000.00",APR11D-017 Farming Online CCT and June Survey 2012 Updates (Release 11)
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.01E+11,"£25,494.33",Greenhouse Gases Platform - Nitrous Oxide Emissions Factors 
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.01E+11,"£28,205.00",Potential for nitrification inhibitors and fertiliser nitrogen application timing strategies to reduce direct and indirect nitrous oxide emissions from UK agriculture
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,9.01E+11,"£29,102.66",Air quality measurements on cracking clay soils 
