Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,07-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,2415,"71,611.83",Grenadier House FM costs for 2012-13 - VAT EXEMPT.,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE LTD,1089718,"89,501.25",Rent & Services charges - 30 Millbank,G2 6UA-COLUMBIN,0,Admin
Ministry of Justice,MoJ HQ,27-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1090321,"90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,27-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LANCASTER CLEANING AND SUPPORT SERVICES,1090321,"90,579.90","Annual cost of cleaning services across the MoJ HQ Estate, 2012-13",DY1 4TA,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1088420,"110,129.83",JOB NO: 00813MOJMF CLIVE HOUSE EMERGENCY LIGHTING,CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,12-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LEGAL SERVICES COMMISSION (LSC),2420,"113,500.00",Rental income - Bristol Co-Location 11/12 - Queens Square,NP20 9FN,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,222001-Maintenance,NZ406-Strategic Estates Feeder,HOME OFFICE,1088382,"235,754.23",Refund HOPG for works at Oakland Hse,NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,06-Dec-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1088747,"242,782.56","PPM monthly costs, June 2012-March 2013, across the MoJ HQ Estate. MTC monthly costs, June 2012-March 2013, across the MoJ HQ Estate.",CIS-CM12 0BT,0,Admin
Ministry of Justice,MoJ HQ,12-Dec-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,LEGAL SERVICES COMMISSION (LSC),2419,"269,170.00",Rental income - Leeds Co-Location 11/12 - Harcourt House,NP20 9FN,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1089761,"455,689.25",Rent - Grenadier House,B4 6AJ-VINCENT,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,YORKE PROPERTY MANAGEMENT LTD,1090125,"506,000.00",Rent & Services charges - 81 Chancery Lane,W1K 6WE,0,Admin
Ministry of Justice,MoJ HQ,13-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1089295,"980,665.75",Rent - Clive House,B4 6AJ-APIA,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1089886,"3,417,471.50",Rent - 102 Petty France,WC2N 5AF-RENT,0,Admin
Ministry of Justice,MoJ HQ,18-Dec-12,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,STEEL HOUSE PROPERTIES#1012/24,1089627,"573,600.00",Rent - Steel House,IRELAND,0,Admin
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"25,444.00",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090311,"25,926.48",HP ICT Other (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"26,319.58",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"26,517.00",CCN A-S 3612-009 - HQ288-01 LSC DR - CCN  3612-009 -Professional services DR (Oct 2012),WV10 6UH,E210,Admin
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1090181,"26,621.45",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090158,"26,742.16","CCN No: 432 - YJB Connectivity Hosting 01/04/12 - 31/07/13					 					 							",WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090158,"26,742.16","CCN No: 432 - YJB Connectivity Hosting 01/04/12 - 31/07/13					 					 							",WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"27,489.00",CCN 2277-01 - Resources SIU Coordinator & Black Sites PM-RS&MH,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090566,"27,665.40",FJS Programme & Project Mgmt   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,2410,"29,166.48",HOIT Testing Services to deliver the stipulated FITS Programme - FITS Level 2 Test Support activities.,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"29,249.12",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1090181,"29,586.37",ICT App Maint & Supp (Schedule),CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1090577,"29,696.94",HP ICT Laptops (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"29,931.41",NDC Filecluster (RFS 105447) (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088744,"30,107.00","CCN L-R-3610-01 CREST EL Full Project Delivery - Logica Direct Costs						 							",CF31 9AP,E001,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1090325,"30,107.00","CCN L-R-3610-01 CREST EL Full Project Delivery - Logica Direct Costs						 							",CF31 9AP,E001,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"32,227.00","CCN A-R-03478-03	CREST EL Full Project Delivery - Third Party Services						 						",WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"33,358.00",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"33,431.62",Atos ICT Other (VAT Rec) FY12/13 (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"33,599.23",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"33,723.97",ICT Network Services (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"33,789.00",ICT Hosting (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"34,464.98",FJS Governance   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE,1088384,"34,842.50",Monthly desktop charges for MOJ staff working on Home Office premises during the 2012/13 financial year,NP20 9BB,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1088590,"34,859.65","FY11-12 Charges, Account Number UKI3134894, Invoice 2012GPI/273691 & GCF Framework Agreement Schedule 18 Call-Off schedule",MK3 5JP,0,Programme
Ministry of Justice,MoJ HQ,10-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1089045,"35,761.90","L-S-03546-02-Production of High Level Design (HLD) and other deliverables						 							",CF31 9AP,0,Admin
Ministry of Justice,MoJ HQ,03-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1088414,"35,931.01","CCN3431-03 - Logica One Off Charge					",CF31 9AP,E154,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1088700,"37,286.10",HP ICT App Maint & Supp (VAT Rec) FY12/13 (Schedule),RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"39,208.75",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1090043,"39,208.75",Steria ICT Network Services (VAT Rec) FY12/13 (Schedule),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090396,"39,306.00","CCN2277 - NOP Programme					",WV10 6UH,E046,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"39,550.00","A-R-2152-01-v04 AO services Oct 10- Sept 11 AO services Oct 11- Mar 12	 AO services Apr 12- Mar 13					 					 				 					 					 					 							",WV10 6UH,E007,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"40,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,10-Dec-12,264000-Consultancy,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1089045,"41,633.62","L-R-03593-01-V01							",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CAPITA BUSINESS SERVICES LTD,1088593,"42,375.00",Consultancy services provided by I2N during April 2012 - March 2013  IAPS Helpdesk & Maintenance (I2N Support & Maintenance),DL1 9HN,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"42,408.42",FJS Service Desk   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090442,"42,408.42",FJS Service Desk   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,STERIA LTD,1090228,"43,198.35",RFS 111878 v.3.0 and ER01 against this proposal - Support for deploy Citrix and Cisco hardware (ongoing charges),M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"44,506.00","CCN2277-01  Resource NOP October 2012 - March 2013 						 							",WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"45,453.90",CCN 2277-01 - CIR_039 Resources Nov 12 to Jan 13 ,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"46,266.00",ICT Laptops (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"46,929.79",ICT Telephony (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090158,"47,558.83",FJS Operations - Production Environment   Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"48,790.00",CCN 2277-01 - Resources SIU Coordinator & Black Sites PM-RS&MH,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"50,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"50,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,03-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088302,"50,376.17",ICT Telephony (Schedule),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1089789,"51,877.25",FJS Licensing  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,31-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090566,"52,122.71",FJS Licensing  Managed Service (Schedule),WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,27-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090259,"52,781.12",CCN 2277-01 -  Resources (CIR - NOP -  1181v2) - One off charge,WV10 6UH,E149,Programme
Ministry of Justice,MoJ HQ,17-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1089556,"52,792.72",ICT Printing - Liberata Print Charges,NP10 9XA,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1090158,"54,664.03",CJSE Transition (E204) Fujitsu CCNF452-02 Exit Assistance T&M ,WA3 9BD,E204,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"55,163.00","A-R-02707-11-V01 LSC Outstanding EIT activities						 							",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,20-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089665,"56,319.54","A-R-02707-03 - LSC Unix Servers for Test Development Environments On going charges					 					 							",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,21-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1090129,"56,991.00","A-S-03673-01 - HQ287-DSE-AS3673 - PMO Team  - 2 Resources - AH & TE Aug 2012 - Mar 2013.							",WV10 6UH,E196,Programme
Ministry of Justice,MoJ HQ,28-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1090434,"58,635.00",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to non-rechargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"60,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"60,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,13-Dec-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1089239,"60,000.00","CCN3481-03 - Atos						",WV10 6UH,E154,Programme
Ministry of Justice,MoJ HQ,06-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,DETICA LTD,1088627,"60,262.00",This PO is for the services of the IA Managed Service. For the period October 2012 onwards.   It relates to non-rechargeable costs (Schedule),GU2 7YP,0,Admin
Ministry of Justice,MoJ HQ,17-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LIBERATA UK LTD,1089556,"62,648.80",ICT Printing - Liberata Print Charges,NP10 9XA,0,Programme
Ministry of Justice,MoJ HQ,10-Dec-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1088887,"63,001.00",CCN2277-01 - NOP Main CCN,WV10 6UH,E149,Programme
