Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core CORE NETWORK UPGRADE,NDC ITL Limited,MS0183198      ,9955,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0183198      ,10818.5,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0183198      ,10710,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,NDC ITL Limited,MS0183198      ,9091.5,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0183179      ,34427.26,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0183200      ,31663,Not known
Defra,Royal Botanic Gardens Kew,15-Jun-10,General rates                 ,Estates Kew Section Core -----,LONDON BOROUGH OF RICHMOND UPON THAMES,MS0183208      ,281232,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,480,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,2139,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,1880,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,940,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,1260,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,2420,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,11940,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,640,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,1480,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,290,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,14760,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,3970,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,1150,Not known
Defra,Royal Botanic Gardens Kew,23-Jun-10,New works-Pt II-other costs   ,Catering Head Section Non-core Catering Enabling Works,Salix Stainless Steel Fabrications Ltd,MS0183412      ,650,Not known
Defra,Royal Botanic Gardens Kew,30-Jun-10,"Computer eqpt £2,000 and over   ",IT Computing Support Services Core CORE NETWORK UPGRADE,Network Technology Solutions (UK) Ltd,MS0183674      ,23214,Not known
Defra,Royal Botanic Gardens Kew,30-Jun-10,"Computer eqpt £2,000 and over   ",IT Computing Support Services Core CORE NETWORK UPGRADE,Network Technology Solutions (UK) Ltd,MS0183674      ,1500,Not known
,,,,,,,1022124.09,
