Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,SKILLSHARE INTERNATIONAL,400136126,"517,500.00"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,INTERPEACE,400136132,"394,258.77"
DFID,DFID,05/01/2011,Medical & Health Supplies/Services,West and Southern Africa,THE CROWN AGENTS,400136135,"222,384.57"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Centre for the Study of Violence and Reconciliation,400136138,"269,839.67"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Asia Division,SAVE THE CHILDREN,400136140,"90,000.00"
DFID,DFID,05/01/2011,Medical & Health Supplies/Services,West and Southern Africa,THE CROWN AGENTS,400136144,"153,923.24"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,International Planned Parent,400136147,"2,150,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,VSO,400136148,"7,137,500.00"
DFID,DFID,05/01/2011,Technical & Advisory services,West and Southern Africa,HLSP LIMITED,400136149,"309,080.61"
DFID,DFID,05/01/2011,Technical & Advisory services,West and Southern Africa,HLSP LIMITED,400136150,"34,138.84"
DFID,DFID,05/01/2011,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400136153,"599,084.78"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400136155,"26,960.17"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Communications Division,THE CROWN AGENTS,400136156,"35,100.67"
DFID,DFID,05/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Crown Agents Bank,400136159,"91,000.00"
DFID,DFID,05/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",Crown Agents Bank,400136160,"94,691.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,THE RAINFOREST FOUNDATION UK,400136167,"110,624.81"
DFID,DFID,05/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136168,"3,600,000.00"
DFID,DFID,05/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136168,"268,500.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,OXFAM,400136169,"30,000.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,POPULATION  SERVICES INTERNATIONAL,400136172,"209,833.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,TROCAIRE,400136174,"211,395.00"
DFID,DFID,06/01/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",United Nations General Trust Fund Account,400136177,"1,184,256.00"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,FSD Kenya,400136179,"91,388.50"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,CLINTON FOUNDATION,400136180,"758,860.05"
DFID,DFID,05/01/2011,Direct Programme training / facilitation,West and Southern Africa,The World Bank (EFO),400136182,"30,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Asia Division, MERLIN,400136185,"160,554.00"
DFID,DFID,06/01/2011,Aid to international organisations,International Finance Division,SG HAMBROS BANK & TRUST LTD (USD),400136187,"375,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,STAKEHOLDER DEMOCRACY NETWORK,400136191,"236,092.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Clinton Health Access Initiative,400136192,"611,562.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,Triple Line Consulting Limited,400136196,"235,529.90"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,CHEMONICS,400136197,"253,915.16"
DFID,DFID,06/01/2011,Emergency / Humanitarian Assistance,West and Southern Africa,WFP CONTRIBUTIONS UNIT,400136198,"3,000,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,KPMG ANGOLA & MOZAMBIQUE,400136201,"32,905.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,KPMG ANGOLA & MOZAMBIQUE,400136201,"11,302.24"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,Internews Europe,400136202,"173,948.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,ONE WORLD,400136203,"60,672.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,International Centre for Trade and Sustainable Development,400136204,"425,000.00"
DFID,DFID,12/01/2011,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",OXFAM,400136207,"500,000.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,CAFOD,400136208,"1,135,000.00"
DFID,DFID,05/01/2011,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400136210,"165,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,ONE WORLD,400136211,"40,444.00"
DFID,DFID,10/01/2011,Emergency / Humanitarian Assistance,East and Central Africa,UNDP (USD) ACCOUNT,400136212,"40,000,000.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,CIP (Centro de Integridade Publica),400136213,"48,600.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,ONE WORLD,400136214,"148,855.00"
DFID,DFID,06/01/2011,Emergency / Humanitarian Assistance,West and Southern Africa,WFP CONTRIBUTIONS UNIT,400136216,"1,950,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,WWF-UK,400136220,"872,500.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,PANOS LONDON,400136221,"52,053.00"
DFID,DFID,21/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,KPMG DEVELOPMENT SERVICE,400136223,"2,359,648.83"
DFID,DFID,05/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",DAI EUROPE LIMITED,400136226,"23,825.83"
DFID,DFID,05/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",DAI EUROPE LIMITED,400136228,"42,201.24"
DFID,DFID,09/01/2011,Aid to other bilateral donors,East and Central Africa,UNDP CONTRIBUTIONS GBP,400136229,"500,000.00"
DFID,DFID,05/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,THE CROWN AGENTS,400136232,"2,300,000.00"
DFID,DFID,10/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",CIPFA,400136233,"53,103.00"
DFID,DFID,05/01/2011,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400136234,"306,000.00"
DFID,DFID,06/01/2011,Emergency / Humanitarian Assistance,East and Central Africa,WFP CONTRIBUTIONS UNIT,400136235,"4,000,000.00"
DFID,DFID,05/01/2011,Technical & Advisory services,International Relations Division,OXFORD POLICY MANAGEMENT,400136240,"109,433.52"
DFID,DFID,05/01/2011,Technical & Advisory services,East and Central Africa,OXFORD POLICY MANAGEMENT,400136241,"67,441.33"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Banja La Mtsogolo,400136243,"600,000.00"
DFID,DFID,05/01/2011,Technical & Advisory services,Policy and Research Directorate,THE CROWN AGENTS,400136244,"44,729.61"
DFID,DFID,05/01/2011,Aid to international organisations,Policy and Research Directorate,INTERNATIONAL AIDS VACCINE INITIATIV,400136245,"2,000,000.00"
DFID,DFID,05/01/2011,Aid to partner government,Western Asia and Stabilisation Division,THE CROWN AGENTS,400136246,"10,000,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,Western Asia and Stabilisation Division,BRITISH COUNCIL,400136277,"80,766.69"
DFID,DFID,06/01/2011,Technical & Advisory services,Western Asia and Stabilisation Division,BRITISH COUNCIL,400136282,"33,201.58"
DFID,DFID,07/01/2011,Aid to international organisations,Policy and Research Directorate,Institute for OneWorld Health,400136315,"2,200,000.00"
DFID,DFID,06/01/2011,Communications,Business Solutions Division Level,CABLE & WIRELESS COMMUN,400136328,"143,649.62"
DFID,DFID,06/01/2011,Aid to international organisations,International Relations Division,ASSOCIATION OF COMMONWEALTH UNIVER,400136329,"282,494.38"
DFID,DFID,06/01/2011,Communications,Business Solutions Division Level,CABLE & WIRELESS COMMUN,400136334,"58,768.21"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400136341,"39,112.00"
DFID,DFID,06/01/2011,Consultancy Services,Human Resources Division,TURNER & TOWNSEND,400136342,"76,087.00"
DFID,DFID,11/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,POPULATION  SERVICES INTERNATIONAL,400136343,"58,131.00"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",NORWEGIAN REFUGEE COUNCIL,400136359,"80,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,OPTIONS CONSULTANCY SERVICES LIMITED,400136360,"98,409.37"
DFID,DFID,06/01/2011,"Property Repairs, Maintenance & Alterations","Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",TURNER & TOWNSEND,400136363,"37,825.00"
DFID,DFID,07/01/2011,Aid to international organisations,Policy and Research Directorate,EITI Secretariat,400136371,"69,100.00"
DFID,DFID,06/01/2011,Aid to international organisations,East and Central Africa,UNDP CONTRIBUTIONS GBP,400136381,"4,500,000.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,BioClimate Research and Development Limited,400136383,"39,071.37"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,OVERSEAS DEVELOPMENT INSTITUTE (ODI),400136385,"212,519.00"
DFID,DFID,06/01/2011,Aid to international organisations,International Relations Division,BRITISH COUNCIL,400136394,"177,316.31"
DFID,DFID,10/01/2011,Aid to international organisations,International Relations Division,EUROPEAN INVESTMENT BANK,400136399,"10,616,454.00"
DFID,DFID,06/01/2011,Aid to international organisations,Policy and Research Directorate,INTERNATIONAL TRADE CENTRE,400136400,"269,136.00"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,UNITED NATIONS ASSOCIATION INTERN,400136403,"402,500.00"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400136404,"960,082.15"
DFID,DFID,21/01/2011,Aid to civil society organisations / NGOs,International Relations Division,EAST WEST MANAGEMENT INSTITUTE,400136406,"51,874.00"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,UNDP CONTRIBUTIONS GBP,400136407,"29,731.50"
DFID,DFID,06/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400136409,"157,847.56"
DFID,DFID,06/01/2011,Technical & Advisory services,West and Southern Africa,ADAM SMITH INTERNATIONAL  LTD,400136410,"209,894.01"
DFID,DFID,06/01/2011,Technical & Advisory services,East and Central Africa,ADAM SMITH INTERNATIONAL  LTD,400136413,"247,579.04"
DFID,DFID,06/01/2011,Aid to international organisations,International Relations Division,CEB SECRETARIAT,400136416,"390,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,400136418,"25,708.41"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,Population Council,400136421,"159,118.92"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,400136422,"49,471.05"
DFID,DFID,06/01/2011,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400136424,"42,003.84"
DFID,DFID,06/01/2011,Aid to international organisations,Asia Division,IBRD (HSBC)  C/O THE WORLD BANK,400136425,"1,130,250.00"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,400136429,"47,468.42"
DFID,DFID,06/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,BOND,400136439,"156,795.00"
DFID,DFID,06/01/2011,Technical & Advisory services,East and Central Africa,ATOS CONSULTING LIMITED,400136445,"325,806.18"
DFID,DFID,06/01/2011,Aid to international organisations,Asia Division,UNDP CONTRIBUTIONS GBP,400136451,"50,000.00"
DFID,DFID,06/01/2011,Aid to international organisations,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",UN RELIEF AND WORKS AGENCY,400136470,"1,500,000.00"
DFID,DFID,07/01/2011,Aid to other bilateral donors,International Relations Division,UNICEF,400136477,"150,000.00"
DFID,DFID,06/01/2011,Technical & Advisory services,East and Central Africa,NAO VOTE A/C,400136493,"30,320.84"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400136513,"67,639.27"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400136514,"25,365.69"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400136515,"50,729.18"
DFID,DFID,06/01/2011,"Property Repairs, Maintenance & Alterations",East and Central Africa,TURNER & TOWNSEND,400136517,"36,404.00"
DFID,DFID,11/01/2011,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400136521,"83,000.00"
DFID,DFID,10/01/2011,Aid to international organisations,Policy and Research Directorate,INTERNATIONAL CENTER FOR TROPICAL AGRICULTURE (CIAT),400136526,"501,615.00"
DFID,DFID,10/01/2011,Technical & Advisory services,East and Central Africa,HTSPE LTD,400136527,"28,957.50"
DFID,DFID,06/01/2011,Technical & Advisory services,Asia Division,HTSPE LTD,400136528,"71,487.26"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,Asia Division,WINROCK INTERNATIONAL INDIA,400136550,"46,824.15"
DFID,DFID,07/01/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400136592,"818,146.00"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,International Relations Division,United Nations General Trust Fund Account,400136594,"68,000.00"
DFID,DFID,07/01/2011,Technical & Advisory services,West and Southern Africa,THE CROWN AGENTS,400136598,"3,000,000.00"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,Asia Division,Centre for Project Supervision & Management,400136619,"100,000.00"
DFID,DFID,07/01/2011,Aid to partner government,Asia Division,THE CROWN AGENTS,400136629,"3,160,220.00"
DFID,DFID,07/01/2011,Aid to partner government,West and Southern Africa,THE CROWN AGENTS,400136630,"68,078.00"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,SIDBI FOUNDATION,400136642,"452,545.74"
DFID,DFID,18/01/2011,Technical & Advisory services,East and Central Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400136648,"40,960.79"
DFID,DFID,10/01/2011,Emergency / Humanitarian Assistance,East and Central Africa, UNHCR,400136652,"350,000.00"
DFID,DFID,07/01/2011,Communications,Asia Division,THE CROWN AGENTS,400136663,"35,971.22"
DFID,DFID,09/01/2011,Technical & Advisory services,Policy and Research Directorate,COFFEY INTERNATIONAL DEVELOPMENT LTD,400136669,"33,682.40"
DFID,DFID,07/01/2011,Technical & Advisory services,Communications Division,CHRISTIAN AID,400136670,"125,304.00"
DFID,DFID,07/01/2011,Technical & Advisory services,Communications Division,CHRISTIAN AID,400136670,"15,266.53"
DFID,DFID,09/01/2011,Technical & Advisory services,Central Department Division,THE CROWN AGENTS,400136678,"36,250.00"
DFID,DFID,07/01/2011,Research & Development,Policy and Research Directorate,Crown Agents Bank,400136679,"422,980.10"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,GHK CONSULTING LTD,400136682,"70,895.00"
DFID,DFID,13/01/2011,Aid to international organisations,Policy and Research Directorate,CROPS FOR THE FUTURE (USD),400136694,"134,999.00"
DFID,DFID,07/01/2011,Aid to international organisations,International Relations Division,OHCHR,400136701,"2,500,000.00"
DFID,DFID,10/01/2011,Aid to civil society organisations / NGOs,Asia Division,Simon Fraser University,400136703,"27,130.94"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,Communications Division,VSO,400136704,"52,317.00"
DFID,DFID,07/01/2011,Aid to civil society organisations / NGOs,Policy and Research Directorate,HELPAGE INTERNATIONAL,400136705,"467,500.00"
DFID,DFID,10/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ALLNATIVE  SERVICES,400136707,"45,072.85"
DFID,DFID,07/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136710,"362,319.00"
DFID,DFID,20/01/2011,Aid to international organisations,Evaluation Department, OECD,400136714,"28,500.00"
DFID,DFID,10/01/2011,Technical & Advisory services,Asia Division,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL),400136726,"128,240.00"
DFID,DFID,08/01/2011,Technical & Advisory services,West and Southern Africa,COFFEY INTERNATIONAL DEVELOPMENT LTD,400136728,"52,103.90"
DFID,DFID,08/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",ADAM SMITH INTERNATIONAL  LTD,400136735,"98,136.03"
DFID,DFID,08/01/2011,Aid to international organisations,East and Central Africa,International Monetary Fund (GBP),400136738,"2,000,000.00"
DFID,DFID,08/01/2011,Research & Development,Policy and Research Directorate,Practical Action (GBP),400136739,"63,552.43"
DFID,DFID,10/01/2011,Technical & Advisory services,Policy and Research Directorate,THE IDL GROUP,400136747,"29,557.39"
DFID,DFID,10/01/2011,Technical & Advisory services,Policy and Research Directorate,THE IDL GROUP,400136747,"54,566.58"
DFID,DFID,11/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,A A PeaceWorks,400136756,"65,601.10"
DFID,DFID,20/01/2011,Technical & Advisory services,Western Asia and Stabilisation Division,RIVER PATH ASSOCIATES,400136762,"33,193.75"
DFID,DFID,08/01/2011,Aid to partner government,East and Central Africa,THE CROWN AGENTS,400136771,"600,000.00"
DFID,DFID,08/01/2011,Accomodation costs,Human Resources Division,SOUTH LANARKSHIRE COUNCIL,400136772,"207,414.00"
DFID,DFID,10/01/2011,Technical & Advisory services,West and Southern Africa,CARE INTERNATIONAL UK,400136777,"286,668.96"
DFID,DFID,08/01/2011,Technical & Advisory services,International Relations Division,ECOTEC RESEARCH AND CONSULTING LTD,400136778,"111,069.00"
DFID,DFID,11/01/2011,Technical & Advisory services,West and Southern Africa,Cowater International Inc.,400136781,"62,948.72"
DFID,DFID,16/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136786,"152,857.00"
DFID,DFID,28/01/2011,Aid to civil society organisations / NGOs,East and Central Africa,HIVOS,400136790,"700,000.00"
DFID,DFID,08/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136791,"483,092.00"
DFID,DFID,13/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136799,"200,000.00"
DFID,DFID,13/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136799,"-6,763.00"
DFID,DFID,08/01/2011,Technical & Advisory services,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",GRM INTERNATIONAL LTD,400136800,"43,432.58"
DFID,DFID,08/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136801,"314,010.00"
DFID,DFID,08/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136803,"241,546.00"
DFID,DFID,08/01/2011,Technical & Advisory services,East and Central Africa,HAREWELLE INTERNATIONAL LIMITED,400136805,"41,235.72"
DFID,DFID,08/01/2011,Aid to partner government,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400136807,"48,310.00"
DFID,DFID,08/01/2011,Technical & Advisory services,Asia Division,HEALTH PARTNERS INTERNATIONAL,400136812,"32,175.65"
DFID,DFID,08/01/2011,Technical & Advisory services,Asia Division,HTSPE LTD,400136820,"59,079.38"
DFID,DFID,10/01/2011,Technical & Advisory services,Policy and Research Directorate,INTER PRESS SERVICES AFRICA,400136824,"25,112.20"
DFID,DFID,08/01/2011,Aid to international organisations,East and Central Africa,FAO,400136829,"1,172,000.00"
DFID,DFID,10/01/2011,Technical & Advisory services,West and Southern Africa,LIVERPOOL ASSOCIATES IN TROP. HEALTH,400136834,"31,485.03"
DFID,DFID,08/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF HYGIENE AND TR,400136836,"192,604.27"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,"-26,327.53"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,-437
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,"213,660.64"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,"-32,688.89"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,"406,619.76"
DFID,DFID,12/01/2011,Technical & Advisory services,Policy and Research Directorate,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,400136837,"176,770.54"
DFID,DFID,12/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Tearfund (Malawi),400136839,"-1,746.22"
DFID,DFID,12/01/2011,Aid to civil society organisations / NGOs,West and Southern Africa,Tearfund (Malawi),400136839,"92,898.78"
