Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",The Pirbright Institute,ERS-568320-54079,76051.67 ,SE1128 - Planned R&D in support of FMD diagnostic capability - The Pirbright Institute -  Feb 16,GU24 0NF,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",The Pirbright Institute,ERS-568329-54081,66567.41 ,SE2815 - Developing improved methods to quantify transmission of foot-and-mouth disease virus - Pirbright Institute - Feb 16,GU24 0NF,,SE2815,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR118,41479.07 ,CHAPS PAYMENT- DEFRA CAPITA FUNDING REQUEST INVOICE NO - CAPFR118,EC2V 7NQ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",University Of Reading,ERS-568358-54048,49636.66 ,AC0122 - Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems -  University of Reading - Feb 16,RG6 6AH,,,SFFS0005,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Other Current Payments (Evidence R&D),"Strategy, International, Food and Farming DG Group",The Pirbright Institute,ERS-568330-54082,35008.83 ,SE2940 - Molecular epidemiology of foot-and-mouth disease virus - The Pirbright Institute  Feb 16,GU24 0NF,,SE2940,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,National Poisons Information Centre,ERS-568428-54058,46772.58 ,PS2617: FY 15-16- Use of NPIS systems to monitor adverse health effects of pesticides and biocides in the UK population VAR FY 2015-16 & 2016-17,EH16 4SA,SME,PS2617,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,KEW,02/02/2016,Capital/Equipment,Temperate House,101542,7012375,31433.40 ,TEMPERATE HOUSE Restoration - Project Management Fees,WC2E 9HE,Turner & Townsend Project Management Ltd,N/A,WC2E 9HE,New Works - pt1 - prof fees,,,,,,,,,,,,,,,
DEFRA,KEW,02/02/2016,Consumables & Materials,Director of Marketing & Commercial,101630,7012309,133957.00 ,3200 GROW WILD SEED FOILS FOR ENGLAND & WALES & DELIVERY CHARGE,L16 3NA,Landlife Wildflowers Ltd,N/A,L16 3NA,Publication production costs,548405729,,,,,,,,,,,,,,
DEFRA,KEW,02/02/2016,Capital/Equipment,Estates,102046,7012371,32126.29 ,REPLACEMENT OF COOLING HERBARIUM WING D,WD3 9SW,Skanska Rashleigh Weatherfoil,N/A,WD3 9SW,New works-Pt II-other costs,,,,,,,,,,,,,,,
DEFRA,KEW,02/02/2016,Property Related,Estates,102148,7012342,31522.68 ,INVOICE FOR NOVEMBER - monthly cleaning services,SW8 3NS,Julius Rutherfoord Commercial Cleaning,N/A,SW8 3NS,Office and window cleaning,,,,,,,,,,,,,,,
DEFRA,KEW,03/02/2016,Consultancy & Professional Services,Horticulture,104546,7012645,45555.00 ,RELOCATION OF UK PAVILION HIVE TO KEW GARDENS,M60 3JA,Building Design Partnership,RBGKEW/212,M60 3JA,Consultancy Finance,732382542,,,,,,,,,,,,,,
DEFRA,KEW,09/02/2016,Pay Agency,Director Of Science,100153,7012649,32532.34 ,PAY COSTS RE SECONDMENT COSTS NOV/DEC 2015 & JAN 2016,OX1 2XN,University Of Oxford,N/A,OX1 2XN,Agency - Interim Snr Managers,,,,,,,,,,,,,,,
DEFRA,KEW,16/02/2016,Property Related,Estates,101714,7012866,143533.75 ,MONTHLY PPN MAINTENANCE PERIOD 11/09/15-10/10/15 - Facilities Management,HP12 3TA,Cofely Ltd,RBGKEW/049,HP12 3TA,Planned Maintenance,,,,,,,,,,,,,,,
DEFRA,KEW,16/02/2016,Property Related,Estates,101714,7012873,143533.75 ,MONTHLY MAINTENANCE  PERIOD 11/10/15-10/11/15 - Facilities Management,HP12 3TA,Cofely Ltd,RBGKEW/049,HP12 3TA,Planned Maintenance,,,,,,,,,,,,,,,
DEFRA,KEW,16/02/2016,Capital/Equipment,Temperate House,102638,7012731,627318.12 ,TEMPERATE HOUSE PROJECT REF 102638 CONTRACT NO LOC0035 - Main contractor,EC3N 1AG,ISG Construction Ltd,LOC0035,EC3N 1AG,New works-Pt I-other costs,,,,,,,,,,,,,,,
DEFRA,KEW,23/02/2016,Property Related,Estates,101714,7012878,143533.75 ,MONTHLY PAYMENT PERIOD 11/11/15-10/12/15 - Facilities Management,HP12 3TA,Cofely Ltd,RBGKEW/049,HP12 3TA,Planned Maintenance,,,,,,,,,,,,,,,
DEFRA,KEW,23/02/2016,Consumables & Materials,Director of Marketing & Commercial,101780,7012821,34237.60 ,FOIL PACKETS OF SEED MIX FOR GROW WILD SCOTLAND COMMUNITY SEED KITS BALANCE 80%,DD9 6TR,Scotia Seeds Ltd,N/A,DD9 6TR,Publication production costs,,,,,,,,,,,,,,,
DEFRA,KEW,23/02/2016,Capital/Equipment,Estates,104028,7012972,26470.97 ,INTERIM PAYMENT FOR VALUED WORKS TO CAMBRIDGE COTTAGE REFURBISHMENT,NW2 6AX,Lily Green Ltd,RBGKEW/183,NW2 6AX,New works-Pt II-other costs,173048122,,,,,,,,,,,,,,
DEFRA,KEW,23/02/2016,Capital/Equipment,Estates,104168,7013035,46510.03 ,PROJECT AA145 - Refurbishment 35 Kew Green,EN8 8LU,Lengard Ltd.,RBGKEW/150,EN8 8LU,New works-Pt II-other costs,907869968,,,,,,,,,,,,,,
DEFRA,KEW,25/02/2016,Utilities,Estates,101205,7012945,60013.13 ,EDF DIRECT DEBIT DD16/P10 - Electricity,PL3 5RG,EDF Energy Customers plc,N/A,PL3 5RG,Electricity - Grid,,,,,,,,,,,,,,,
DEFRA,KEW,29/02/2016,Utilities,Estates,101205,7013117,59196.71 ,EDF DIRECT DEBIT DD18/P11 SUP 06/01/16-03/02/16 - Electricity,PL3 5RG,EDF Energy Customers plc,N/A,PL3 5RG,Electricity - Grid,,,,,,,,,,,,,,,
DEFRA,AHDB,04/02/2016,Invoice,,Good Relations Ltd,2102055,41769.08 ,Marketing: AHDB Pork - British Sausage Week associated costs. Spending Controls ref no SC 15-16/1513 ,NG7 2RD,,,,,-,,,,,,,,,,,,,,
DEFRA,AHDB,15/02/2016,Invoice,,University of Nottingham,6986295,25000.00 ,"Research: AHDB Beef & Lamb - The role of nutrition during pregnancy on heifer productivity, 5th instalment ",GL55 6LD,,,,,729848087,,,,,,,,,,,,,,
DEFRA,AHDB,15/02/2016,Invoice,,NIAB,NI11132,40699.98 ,"Research: AHDB Cereals  Oilseeds - Recommended Lists Project Grain Quality testing (Barley & Wheat), 1st instalment",GL55 6LD,,,,,729848087,,,,,,,,,,,,,,
DEFRA,AHDB,15/02/2016,Invoice,,NIAB,NI11453,48714.50 ,Research: AHDB Cereals & Oilseeds - Cereal Pathogen Virulence Survey (UKCPVS) 3rd quarter costs,CV8 2LY,,,,,-,,,,,,,,,,,,,,
DEFRA,AHDB,17/02/2016,Invoice,,NGM Creations,602,36821.71 ,"Exports: AHDB Beef & Lamb - Stand build for SIA event in Paris, March 2016. Spending Controls ref no SC 15-16/1519 ",W5 1UA,,,,,210325428,,,,,,,,,,,,,,
DEFRA,AHDB,22/02/2016,Invoice,,Cattle & Sheep Health & Welfare Councils,2016/02,30000.00 ,Technical Development: AHDB Beef & Lamb: Annual grant for the work of the  Sheep and Cattle Health and Welfare Councils,foreign supplier,,,,,-,,,,,,,,,,,,,,
DEFRA,AHDB,22/02/2016,Invoice,,TNS UK Ltd,260158729,30000.00 ,Market Research: AHDB Beef & Lamb - To conduct an evaluation of the mini-roast campaign in line with the methodology outlined in September 2015 proposal. Provide an analysis of results and presentation of the findings by the end of February 2016.,CB3 0LE,,,,,100132207,,,,,,,,,,,,,,
DEFRA,AHDB,29/02/2016,Invoice,,Campden BRI (Chipping Campden) Limited,20114040,26571.00 ,"Research: AHDB Cereals & Oilseeds - Recommended Lists project, analysis on crop samples for winter wheat bread, spring wheat, autumn wheat bread and winter wheat biscuit",WC2A 1PQ,,,,,238822251,,,,,,,,,,,,,,
DEFRA,AHDB,29/02/2016,Invoice,,Campden BRI (Chipping Campden) Limited,20114959,26671.00 ,"Research: AHDB Cereals & Oilseeds - Recommended Lists project, analysis on crop samples for winter wheat bread, spring wheat, autumn wheat bread and winter wheat biscuit. Plus travel expenses related to appeal",CB3 0LE,,,,,100132207,,,,,,,,,,,,,,
DEFRA,AHDB,29/02/2016,Invoice,,NIAB,NI11331,54153.62 ,Research: AHDB Cereals & Oilseeds - Recommended List Project Seed Handling - 1st quarter costs,CB3 0LE,,,,,100132207,,,,,,,,,,,,,,
DEFRA,AHDB,29/02/2016,Invoice,,SRUC,20841728,97500.00 ,"Research: AHDB Dairy - Genetics Evaluation, operational services Oct-Dec 2015",EH9 3JG,,,,,435882817,,,,,,,,,,,,,,
DEFRA,CCW,29/02/2016,Hire and Maintenance,Consumer Relations,CAPRICORN VENTIS LTD,CVUK2428,28728.77 ,Oracle Cloud Service Subscription from 1 Mar 2016 to 28 Feb 2017,EC2A 1DS,LARGE,N/A,N/A,Programme,GB977681063,,,,,,,,,,,,,,
DEFRA,MMO,02/02/2016,Other Current Payments E,,Cornwall Development Company Ltd,FEF1132COR235,31260.92 ,European Fisheries Fund grant payment,TR15 3QG,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,02/02/2016,Other Current Payments E,,East Riding Of Yorkshire Council,FEF1737MUHOL57F,47407.37 ,European Fisheries Fund grant payment,HU17 9BA,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,08/02/2016,Clearing Construction in Progress (I.T.),,Fivium Ltd,MMO051,71185.50 ,Development work to the Marine Case Management System,WC2E 9EZ,SME,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,MMO,16/02/2016,Other Current Payments E,,National Federation of Fishermens Organisations,FEF11241,54648.24 ,European Fisheries Fund grant payment,YO31 7PF,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,16/02/2016,Other Current Payments E,,National Federation of Fishermens Organisations,FEF1755F,25750.32 ,European Fisheries Fund grant payment,YO31 7PF,Supplier,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,18/02/2016,Other Current Payments E,,The Prince's Trust,FEF1184COR0034,73080.22 ,European Fisheries Fund grant payment,EC2M 7LS,Supplier,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,24/02/2016,Other Current Payments E,,Underwoods Shellfish Ltd,FEF14434,41837.16 ,European Fisheries Fund grant payment,PL4 0LH,Supplier,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,24/02/2016,Other Current Payments E,,Underwoods Shellfish Ltd,FEF14433,69827.81 ,European Fisheries Fund grant payment,PL4 0LH,Supplier,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,MMO,26/02/2016,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,119295,65962.11 ,Marine Management Organisation Redfern travel bill for January 2016,BD1 3AZ,Supplier,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,NE,01/02/2016,"IT services, equipment & consumables",Finance and Governance,Atos IT Services UK Ltd,5584204593,391006.80 ,Service delivery for Genesis IT system - December 2015,WV10 6UH,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,01/02/2016,Asset purchases,Finance and Governance,Atos IT Services UK Ltd,5584204595,59599.24 ,"Work on the Natural England Casework Management System, enabling customers to apply for wildlife licences more easily - December 2015-February 2016",WV10 6UH,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,01/02/2016,"IT services, equipment & consumables",Finance and Governance,Atos IT Services UK Ltd,5584204592,145340.40 ,Hosting Genesis IT system plus quarterly charge for document scanning - December 2015,WV10 6UH,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,05/02/2016,"IT services, equipment & consumables",Finance and Governance,IBM United Kingdom Ltd,5801161596,48410.57 ,Work package order to implement ArcGIS IT system on the Citrix environment for up to 110 users - 2015-16,GU1 2LD,Supplier,10040,,,,,,,,,,,,,,,,,
DEFRA,NE,05/02/2016,RBS purchases,Finance and Governance,Royal Bank Of Scotland,5.5695E+23,420755.63 ,Monthly payment for Government Procurement Card expenditure - January 2016,EC2M 4BA,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,09/02/2016,Land Management payments,Operations,Open Space,1862,67425.00 ,LIFE Project (European funded) - Tree and scrub clearance at Roudsea Mosses National Nature Reserve - 2015-16,CA5 6NA,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,09/02/2016,Service charges,Finance and Governance,Shared Services Connected Ltd,100002296,113109.48 ,SSCL Shared Services provision for Natural England - February 2016,HP2 7AH,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,17/02/2016,Grants & contributions,Strategy and Reform,Devon County Council,ERS-988948-54015,78381.00 ,Grant for South West Coast Path - 2015-16,EX2 4QW,Local Authority,ECM 42512,,,,,,,,,,,,,,,,,
DEFRA,NE,17/02/2016,Audit services,Finance and Governance,K P M G LLP,5501153670,64056.00 ,Internal audit services - 2015-16,E14 5GL,Supplier,ECM 6715,,,,,,,,,,,,,,,,,
DEFRA,NE,19/02/2016,"IT services, equipment & consumables",Finance and Governance,ExeGesIS SDM Ltd,15308,41958.42 ,Hosting and support for the Natural England Designated Sites Application (CSMi) - 2015-16,LD3 0AH,Supplier,ecm_6996,,,,,,,,,,,,,,,,,
DEFRA,NE,19/02/2016,Land Management payments,Operations,Tilhill Forestry Ltd,SI5716141,36570.04 ,"Life Project (European funded) - Restoration at Humberhead Peatlands, flail to ground scrub clearance at Stainforth A and B and Southern Canals areas - 2015-16",YO17 6QX,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,NE,23/02/2016,Staff costs,Finance and Governance,Cabinet Office - Civil Superannuation,1.00216E+13,160407.05 ,Staff Voluntary Exit Payments for 2014-15,RG24 9NW,OGD,,,,,,,,,,,,,,,,,,
DEFRA,NE,23/02/2016,Land Management payments,Operations,Tilhill Forestry Ltd,SI5716156,42606.00 ,"Life Project (European funded) - Restoration at Humberhead Peatlands, flail to ground scrub clearance at Belton Moor South area - 2015-16",YO17 6QX,Supplier,ECM42991,,,,,,,,,,,,,,,,,
DEFRA,NE,23/02/2016,Land Management payments,Operations,Tilhill Forestry Ltd,SI5716155,27220.50 ,"Life Project (European funded) - Restoration at Humberhead Peatlands, flail to ground scrub clearance at Belton Moor North area - 2015-16",YO17 6QX,Supplier,ECM42991,,,,,,,,,,,,,,,,,
DEFRA,NE,29/02/2016,Grants & contributions,Strategy and Reform,Northumberland National Park Authority,SIN001510,30000.00 ,Water Framework Directive grant for Peatland restoration at Simonside Hills SSSI (Site of Special Scientific Interest) and Kielderhead and Emblehope Moors SSSI - 2015-16,NE46 1BS,Local Authority,ecm_42391,,,,,,,,,,,,,,,,,
DEFRA,NE,29/02/2016,Travel & subsistence costs,Finance and Governance,Redfern Travel Ltd,1172,222190.02 ,Monthly charge for rail travel costs - February 2016,BD1 3AZ,Supplier,,,,,,,,,,,,,,,,,,
DEFRA,RPA,02/02/2016,IT Application Support & Maintenance,Service Management  (Admin),IBM,5801161598,41616.79 ,14 113 Virtualised SQL Server Platform,PO6 3AE,Supplier,PO101295 & PO101330,"IBMBS000
IBMAPRS",Admin,GB107328000,,,,,,,,,,,,,,
DEFRA,RPA,03/02/2016,IT Software Assurance,CAP DP,Computacenter,3880738896,69444.13 ,"1 Spatial, 1 Integrate 1 yr. Contract",Blank,Supplier,PO101803,Blank,Admin,GB888800181,,,,,,,,,,,,,,
DEFRA,RPA,03/02/2016,"Customer Related Printing
Outsourced Scanning Costs",Managed Document Services,Williams Lea,DEFRA-RPA16010001,28766.33 ,PRINT - Data Capture,EC1M 4NA,Supplier,PO101623,MDSBCMS01,Admin,GB662774703,,,,,,,,,,,,,,
DEFRA,RPA,04/02/2016,Agency Staff,Various,Brook Street,30566658,56728.70 ,Various agency w/e 15/01/2016,Blank,Supplier,Blank,Blank,Admin,Blank,,,,,,,,,,,,,,
DEFRA,RPA,04/02/2016,IT Outsourced Services,Service Management  (Admin),IBM,5801161597,1111056.20 ,Baseline Charges - January,PO6 3AE,Supplier,PO101816,IBMBS000,Admin,GB107328000,,,,,,,,,,,,,,
DEFRA,RPA,05/02/2016,Contractors - Implementation,Various,Capita Business Services,LO10091472,57497.82 ,Various contractors week ending 30/01/2016,SW1P 1JB,Supplier,Blank,Blank,Admin,GB618184140,,,,,,,,,,,,,,
DEFRA,RPA,05/02/2016,Vehicle Scheme Costs,Various,Environment Agency (Fleet),2002098,65699.32 ,Fleet Charges   ,PE2 8YD,Supplier,"PO101714, PO101737, PO101717, PO101759
PO101728, PO101708
PO101730",Blank,Admin,GB662490134,,,,,,,,,,,,,,
DEFRA,RPA,08/02/2016,"Telecoms Service Charge, Inc. Telecom & Videoconferencing Services",Telecoms,Vodafone,601208731/78908600,36062.09 ,Mobile phone charges,RG14 9LE,Supplier,PO101021 & PO101022,Blank,Admin,GB569953277,,,,,,,,,,,,,,
DEFRA,RPA,09/02/2016,Contractors - Implementation,Design Resources,Badenoch & Clark,4761172,30681.60 ,"Contractor Costs w/e
 20/11/15, 27/11/15, 18/12/15, 01/01/16, 08/01/16, 15/01/16. 22/01/16",EV4V 4VG,Supplier,PO101499,Blank,Admin,GB232347975,,,,,,,,,,,,,,
DEFRA,RPA,11/02/2016,Various,Various,Barclaycard,47153206490/01Feb'16,29170.49 ,GPC spend for Jan'16,TS17 6YG,Supplier,Blank,Blank,Admin,Blank,,,,,,,,,,,,,,
DEFRA,RPA,11/02/2016,IT Outsourced Services,Service Management  (Admin),IBM,5802160175,1111501.37 ,Baseline Charges -February,PO6 3AE,Supplier,PO101816 ,IBMBS000,Admin,GB107328000,,,,,,,,,,,,,,
DEFRA,RPA,15/02/2016,IT Outsourced Services,Service Management  (Admin),IBM,5802160479,105939.47 ,October Volumetrics,PO6 3AE,Supplier,PO101755,IBMBSVOL,Admin,GB107328000,,,,,,,,,,,,,,
DEFRA,RPA,16/02/2016,Agency Staff,Various,Brook Street,30530149,58264.65 ,Various agency w/e 18/12/2015,Blank,Supplier,Blank,Blank,Admin,Blank,,,,,,,,,,,,,,
DEFRA,RPA,16/02/2016,Various,Various,Redfern Travel,1069,147350.37 ,Travel & Accommodation for Jan'16,BD1 3AZ,Supplier,Blank,n/a,Admin,GB708374133,,,,,,,,,,,,,,
DEFRA,RPA,19/02/2016,Child Care Costs,Various,Fideliti,496086,25057.76 ,Childcare vouchers for February 2016 - cost neutral as reclaimed from staff salaries,WA3 7GB,Supplier,Blank,Blank,Admin,GB861436032,,,,,,,,,,,,,,
DEFRA,RPA,22/02/2016,IT Subscription Licences,CAP DP,SCC,OP/M116938,25744.56 ,SAV Interface - and Licence Direct Delivery,B11 2LE,Supplier,PO101828,Blank,Admin,GB313651680,,,,,,,,,,,,,,
DEFRA,RPA,23/02/2016,Contractors - Implementation,Various,Capita Business Services,LO10094546,77896.75 ,Various contractors week ending 06/02/2016,SW1P 1JB,Supplier,Blank,Blank,Admin,GB618184140,,,,,,,,,,,,,,
DEFRA,RPA,24/02/2016,"IT O/S Services
IT Consultancy /Implementation","Service Management (Admin)
CAP DP
Service Management (Programme)",Accenture,3003309720,567082.98 ,Various projects for January,EC3M 3BD,Supplier,Various,SPSS0110,Admin,GB888800181,,,,,,,,,,,,,,
DEFRA,RPA,29/02/2016,Agency Staff,Various,Brook Street,30598395,72363.15 ,Various Agency Staff week ending 05/02/2015,Blank,Supplier,Blank,Blank,Admin,Blank,,,,,,,,,,,,,,
DEFRA,RPA,29/02/2016,Contractors - Implementation,Various,Capita Business Services,LO10095680,71939.77 ,Various contractors week ending 20/02/2016,SW1P 1JB,Supplier,Blank,Blank,Admin,GB618184140,,,,,,,,,,,,,,
DEFRA,RPA,29/02/2016,Cartographic & Digitising,Cyient Contracts,Cyient,970006157,432000.00 ,Fixed digitisation rate,WC1V 6RL,Supplier,PO101905,Blank,Admin,GB606138069,,,,,,,,,,,,,,
DEFRA,JNCC,09/02/2016,CONTRACTED OUT CONSERVATION SERVICES,Surveillance and monitoring,BRITISH TRUST FOR ORNITHOLOGY,12329,119062.25 ,Monitoring of birds and the environment,IP24 2PU,SME,A09-0056-0259,100,,Administration,,,,,,,,,,,,,,
DEFRA,JNCC,25/02/2016,CONTRIBUTIONS TO PROJECTS WITH PARTNERS,Marine ecosystem assessment & advice,CEFAS,12395,28877.00 ,MPA assessment pilot work,NR33 0HT,Large,P15-0233-0975,70,,Programme,,,,,,,,,,,,,,
DEFRA,CEFAS,05/02/2016,Lab Services,Corporate,Rivo Software Limited,20085548,30000.00 ,Licences and Service fees for 'Safeguard' Health and safety IT system,CV34 6UW,STANSME,,,,,,,,,,,,,,,,,,
DEFRA,CEFAS,11/02/2016,Assets Under Construction,Monitoring and Programme Management,SEAL Analytical Ltd,20083762,62334.00 ,Laboratory equipment called an AA3 HR Analyser (Continuous Flow Analyser) used for the determination of nutrients in seawater.,SO31 7GA,STANSME,,70000,,,,,,,,,,,,,,,,
DEFRA,CEFAS,18/02/2016,VAT Settlement,Corporate,DEFRA RECEIPTS,20086175,575663.81 ,Vat due Qtr. 3 2015/16,Y01 7PX,OGD,,67406,Health and Safety IT System,797 6805 58,,,,,,,,,,,,,,
DEFRA,VMD,11/02/2016,42411,RESIDUES SURVEILLANCE UNIT,FOOD STANDARDS AGENCY,72067,38601.03 ,Collection of samples of food animal products for laboratory testing under the Statutory Residues Surveillance Programme,YO1 7PX,GOVN,,,ADMINISTRATION,,,,,,,,,,,,,,,
DEFRA,VMD,12/02/2016,42412,INFORMATION TECHNOLOGY,SOFTCAT PLC,72091,25929.00 ,Purchase of low-value IT hardware/software,SL7 1LW,LGEN,,,ADMINISTRATION,,,,,,,,,,,,,,,
DEFRA,APHA,01/02/2016,Sub Contracted Services,,The Scottish Government,84083092,29608.00 ,"Variety testing of Vegetable, Potatoes and Agricultural crops Quarter 3, October to December 2015",EH6 6QQ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,09/02/2016,VDP Services,Chief Operating Officer DG,XL FARMCARE SOUTH EAST LIMITED~178831566,SE012016A,138247.52 ,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,09/02/2016,VDP Services,Chief Operating Officer DG,XL FARMCARE NORTH LTD. ~175942866,N012016A,274790.75 ,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,09/02/2016,VDP Services,Chief Operating Officer DG,XL Farmcare Devon & Cornwall Ltd,DC012016A,477411.80 ,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,09/02/2016,Sub Contracted Services,,University Of Exeter,GHA0127399,59504.00 , Post-Doctoral Internship Agreement - Contract Period Post-Doctoral Internship Agreement - Contract Period 01/04/2015 To 31/03/2016.,EX4 4QJ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,09/02/2016,VDP Services,Chief Operating Officer DG,XL FARMCARE MIDLANDS LTD~114213469,M012016A,423859.16 ,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,11/02/2016,Carriage of goods,Chief Operating Officer DG,Promotional Logistics Ltd,SIN16011208,27471.61 ,Letters produced and generated from disease time recording system and sent to Livestock holders informing them of their livestock tests and results.,CO10 2XG,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,11/02/2016,RBS GPC credit cards,Central Finance Group,Royal Bank Of Scotland,556950010668482303022016,52004.65 ,Payment of the February 2016 invoice for purchases made through Royal Bank of Scotland card.,EC2M 4BA,,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,APHA,11/02/2016,VDP Services,Chief Operating Officer DG,XL Farmcare Wessex Ltd,W012016A,479170.20 ,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,11/02/2016,Software Services/Non-Standard Software,,Rivo Software Limited,4233,83160.00 ,Cost of the 2016/17 annual software licence for the Agency’s Health and Safety (H&S) safety management system.,CV34 6UW,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,11/02/2016,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,119292,134017.48 ,Payment of January 2016  APHA travel charges to Redfern Travel Ltd,BD1 3AZ,SME,,00000000,Asset,,,,,,,,,,,,,,,
DEFRA,APHA,15/02/2016,VDP Services,Chief Operating Officer DG,Iechyd Da (Gwledig) Ltd,26,352415.24 ,Providing services for the Veterinary Delivery Partnership Project,SY23 2WB,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,15/02/2016,VDP Services,Chief Operating Officer DG,Menter A Busnes,7315,183322.50 ,Providing services for the Veterinary Delivery Partnership Project,SY23 3AH,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,15/02/2016,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5801160301,56345.32 ,On-boarding the former Veterinary Laboratory Agency (VLA) to IBM Information Communication & Technology (ICT)services.,GU1 2LD,SME,,TAC00251,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,17/02/2016,Service Level Agreement Costs,,W T G Technologies Ltd,0000003250,49200.67 ,Software Development of Web Portal for Surveillance 2014 - Beta Phase Professional services for 1 January to 31 January 2016,W14 8UD,SME,,NSED1054,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,17/02/2016,Service Level Agreement Costs,,W T G Technologies Ltd,0000003249,26525.00 ,Software Development of Web Portal for Surveillance 2014 - Beta Phase Professional services for 1 December to 31 December 2015,W14 8UD,SME,,NSED1054,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,19/02/2016,Clearing - CIP - IBM Capital Projects,Chief Operating Officer DG,Sogeti UK Ltd,XSUK1601197,59925.00 ,"Services supplied by Sogetti for the period of May 2015 - 31 March 2016 for the design and build of the systems that are part of the County Parish Holding (CPH) England project,",EC2M 7AD,SME,,P10199OT,Asset,,,,,,,,,,,,,,,
DEFRA,APHA,19/02/2016,Hardware Services/Other Consumables,,Food & Environment Research Agency,6138005480,45600.00 ,"IT Project: Spend on IT Systems Delivery, Design and Development, 1st April 2015 to 5th April 2016",YO41 1LZ,,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,19/02/2016,Emergency Management/Stand-by Goods and Services,,Livetec Systems Ltd,LSL069,169882.78 ,"Avian Influenza Outbreak -  Telehandler & operator hire, Biosecurity tent hire etc.",MK45 4HR,SME,,AVISCO01,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,19/02/2016,IT & Other consumables,,S F W Ltd,13946,34965.28 ,Application and Managed service support for the period 1/10/15 to 31/12/15,GU22 7UY,SME,,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,APHA,19/02/2016,Training - Learning & Development,,Calder Conferences Ltd,170281,55208.81 ,"APHA Plant Health Annual Technical Meeting, 11th to 13th January 2016,  for Plant Health Inspectors and delegates from the Devolved Authorities. Accommodation, food and conference venue hire.",LS16 6RF,SME,,00000000,Expense,,,,,,,,,,,,,,,
