Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,30/05/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,SL02434,1281000,,GSCC Grant-In-Aid Revenue Cash Drawdown 2012/13,Admin,
Department of Health,Department of Health,31/05/2012,Outsourcing Contract,External Relations Directorate,FAMILY PLANNING ASSOCIATION,VCS,EC1Y 8QU,581431,30500,,Contact centre services - provision of specialist sexual health and family planning advice,Programme,
Department of Health,Department of Health,31/05/2012,Publicity & advertising,External Relations Directorate,DRAFTFCB LONDON LTD,SME,SW1V 1PX,9045000978,32043,,"Health Visitor recruitment, creative agency Q4",Programme,
Department of Health,Department of Health,31/05/2012,Publicity & advertising,External Relations Directorate,DRAFTFCB LONDON LTD,SME,SW1V 1PX,9045000987,83785,,"Health Visitor recruitment, creative agency Q4",Programme,
Department of Health,Department of Health,31/05/2012,Publicity & advertising,External Relations Directorate,DRAFTFCB LONDON LTD,SME,SW1V 1PX,9045000979,108184.83,,"Health Visitor recruitment,creative agency Q4",Programme,
Department of Health,Department of Health,01/05/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00231938RI,15352.15,,"SKH, WEL & RH - Fire Risk Assessment Remedial works Ref: 3748",Admin,
Department of Health,Department of Health,01/05/2012,Addition Clearing - OLB,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00231938RI,15352.16,,"SKH, WEL & RH - Fire Risk Assessment Remedial works Ref: 3748",Admin,
Department of Health,Department of Health,01/05/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00231938RI,15352.16,,"SKH, WEL & RH - Fire Risk Assessment Remedial works Ref: 3748",Admin,
Department of Health,Department of Health,02/05/2012,Building repairs & maintenance,Group Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2896252,82153.07,,Quarry House - HPA - CPAR 6th Floor SE - Refurb works.,Admin,
Department of Health,Department of Health,04/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201284308,26193.96,,Managed Print Click Charges from 1 April - 30 September 2012,Admin,
Department of Health,Department of Health,04/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201284483,39541.83,,CSC Lotus Notes Backend Upgrade on WAF,Admin,
Department of Health,Department of Health,04/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201284486,120721.45,,Exit Team Stage Two,Admin,
Department of Health,Department of Health,04/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201284480,221345.45,,IMS2.1 deployment pre IMS3 - Other ALBs,Admin,
Department of Health,Department of Health,08/05/2012,Utilities,Group Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5025055,2677.17,,"Quarry House Leeds - Accomm. Costs April 2012 - March 2013 Utilities Charge@£42,990.05 mthly.",Admin,
Department of Health,Department of Health,08/05/2012,Utilities,Group Operations & Assurance,SCOTTISH AND SOUTHERN ENERGY PLC,LARGE,PO9 5YN,191304511/0060,35970.1,,Skipton House - Electricity Charges for 2011 - 2012,Admin,
Department of Health,Department of Health,08/05/2012,Rates,Group Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5025055,122621.26,,"Quarry House Leeds - Accomm. Costs April 2012 - January 2013 Business Rates@£119,304.32 mthly.",Admin,
Department of Health,Department of Health,08/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201284533,210048.89,,Managed Telecom Service Charge - From 1 April to 30 September 2012,Admin,
Department of Health,Department of Health,08/05/2012,Rent of Land & Buildings (non-PFI operating lease),Group Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,5025055,515819.8,,"Quarry House Leeds - Accomm. Costs April 2012 - March 2013 Facilty Price Rent@£514,167.05 mthly.",Admin,
Department of Health,Department of Health,09/05/2012,Recruitment,Group Operations & Assurance,INTERNATIONAL RESOURCES GROUP LTD,LARGE,W1S 1JJ,CHAPS9/5/12,2628,,Odgers Berndtson trading as International Resource Group Ltd  Advertisng costs,Admin,
Department of Health,Department of Health,09/05/2012,Recruitment,Group Operations & Assurance,INTERNATIONAL RESOURCES GROUP LTD,LARGE,W1S 1JJ,CHAPS9/5/12,10260,,Odgers Berndtson trading as International Resource Group Ltd  Psychometric Assessments,Admin,
Department of Health,Department of Health,09/05/2012,Recruitment,Group Operations & Assurance,INTERNATIONAL RESOURCES GROUP LTD,LARGE,W1S 1JJ,CHAPS9/5/12,12000,,Odgers Berndtson trading as International Resource Group Ltd  Stage 2 retainer,Admin,
Department of Health,Department of Health,09/05/2012,Recruitment,Group Operations & Assurance,INTERNATIONAL RESOURCES GROUP LTD,LARGE,W1S 1JJ,CHAPS9/5/12,12000,,Odgers Berndtson trading as International Resource Group Ltd  Stage 1 retainer,Admin,
Department of Health,Department of Health,09/05/2012,Recruitment,Group Operations & Assurance,INTERNATIONAL RESOURCES GROUP LTD,LARGE,W1S 1JJ,CHAPS9/5/12,12515.51,,Odgers Berndtson trading as International Resource Group Ltd  Stage 3 retainer & disbursements,Admin,
Department of Health,Department of Health,14/05/2012,Telephone costs,Group Operations & Assurance,BOW TIE TV LTD,SME,DA8 1EW,10363,30000,,Houses of Parliament TV Service delivered to Richmond House from 1 April 2012 to 31 March 2013,Admin,
Department of Health,Department of Health,14/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606388,38170.17,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,14/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606433,75466.55,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,14/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606487,88955.94,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,14/05/2012,IT minor costs non capital,Group Operations & Assurance,ORACLE CORPORATION UK LTD,LARGE,RG6 1RA,1366507,134366.33,,Renewal of Software Update Licences  & Support for Service Contract Number: 2731707 from  25 April 2012 - 24 April 2013. ,Admin,
Department of Health,Department of Health,14/05/2012,Outsourcing Contract,Group Operations & Assurance,STERIA LTD,LARGE,HP2 7AH,100032396,196374.59,,Club Managed Service from  April 2012 to March 2013,Admin,
Department of Health,Department of Health,15/05/2012,Printing,Group Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900089224,30268,,Xerox - Reprographics  - Management Fees 2012 - 2013,Admin,
Department of Health,Department of Health,15/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201285322,210048.89,,Managed Telecom Service Charge - From 1 April to 30 September 2012,Admin,
Department of Health,Department of Health,16/05/2012,Conferences & seminars,Group Operations & Assurance,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,794823,47604.29,,DH - Hotel Accommodation Bookings for period 01/04/2012 to 31/03/13,Admin,
Department of Health,Department of Health,16/05/2012,Hotels Accomodation (UK),Group Operations & Assurance,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,795164,91150.55,,DH - Bulk Conference / Seminar Bookings for period 01/04/2012 to 31/03/13,Admin,
Department of Health,Department of Health,17/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606546,2929,,DH - Travel Services Consol Apr 2012 - Jun 2012 (Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,17/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201285744,26193.96,,Managed Print Click Charges from 1 April - 30 September 2012,Admin,
Department of Health,Department of Health,17/05/2012,Policy Payments,Group Operations & Assurance,APPOINTMENTS COMMISSION,PUBLIC,M14 7LU,1220002196,42811.69,,Transition Resourcing Team (Appointments Commission),Admin,
Department of Health,Department of Health,17/05/2012,Policy Payments,Group Operations & Assurance,APPOINTMENTS COMMISSION,PUBLIC,M14 7LU,1220002221,64490.4,,Transition Resourcing Team (Appointments Commission),Admin,
Department of Health,Department of Health,17/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606546,76571.6,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,18/05/2012,Utilities,Group Operations & Assurance,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.8E+13,150437.44,,New Kings Beam House - Accommodation Costs 2011-12 - Utilities,Admin,
Department of Health,Department of Health,18/05/2012,Rates,Group Operations & Assurance,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.8E+13,382140.28,,New Kings Beam House - Accommodation Costs 2011-12 - Business Rates,Admin,
Department of Health,Department of Health,18/05/2012,Rent of Land & Buildings (non-PFI operating lease),Group Operations & Assurance,HM REVENUE AND CUSTOMS (HMRC),PUBLIC,BN12 4XH,1.8E+13,1483957.92,,New Kings Beam House - Accommodation Costs 2011-12 - Facility Price Rent,Admin,
Department of Health,Department of Health,21/05/2012,Addition Clearing - F&F,Group Operations & Assurance,HERMAN MILLER LTD,LARGE,SN14 0GF,370810,102817.2,,"DH Furniture - Provision of general office furniture, relocation and storage services and disposal services of unwanted furniture - re:PO:449665",Admin,
Department of Health,Department of Health,22/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606396/2,49085.3,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,28/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201287988,656.04,,SMPT-0001000134: Renewal of RSA - Envision 12 Month Premium Support,Admin,
Department of Health,Department of Health,28/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201287988,22550.89,,"Renewal of RSA - Envision PSP - 7560 12 Month Enhanced Support	",Admin,
Department of Health,Department of Health,28/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606307,52029.34,,DH - Travel Services for Passengers for Rail  - Feb & March 2012,Admin,
Department of Health,Department of Health,28/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606566,57188.22,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,29/05/2012,Travel -Trains,Group Operations & Assurance,FCM TRAVEL SOLUTIONS,SME,KT3 7NW,1049606588,87211.9,,DH - Travel Services Apr 2012 - Jun 2012 (Non-Vatable) - Accounts Ref:203600102,Admin,
Department of Health,Department of Health,30/05/2012,Conferences & seminars,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201288525,1821.96,,Expenses - Cost of travel only to DH Premises when journey is necessary to complete the work for this WAF,Admin,
Department of Health,Department of Health,30/05/2012,Conferences & seminars,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201288525,20554,,"CSC Labour charges for Road Shows, Travel and One-to-One meetings",Admin,
Department of Health,Department of Health,30/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201288357,26955,,LAN upgrade 1st and 3rd floor SKH,Admin,
Department of Health,Department of Health,30/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201288363,108313.58,,Exit Team Stage Two,Admin,
Department of Health,Department of Health,30/05/2012,Outsourcing Contract,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201288334,641787.95,,CSC Baseline charges - From April to September 2012,Admin,
Department of Health,Department of Health,02/05/2012,Outsourcing Contract,Health Protection,AFRICAN HEALTH POLICY NETWORK,VCS,EC1V 9FR,AHPN12/13-002,218750,,AHPN - Contract Variation 2012/13 until June 30th,Programme,
Department of Health,Department of Health,03/05/2012,Professional fees,Health Protection,THE MET OFFICE,PUBLIC,EX1 3PB,I0081375,43800,,Provision of an alert Service to support the Cold Weather Planning and overall winter preparedness programme.,Programme,13516
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-209,25495.17,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-317,25505.5,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-320,25728.405,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during December 2011",Health Protection,Fresh Direct (UK) Ltd,,,28525868,27721.92,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-306,29786.77,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-316,32127.285,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-845,34743.17,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during December 2011",Health Protection,Fresh Direct (UK) Ltd,,,28525865,38824.26,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-938,53413.285,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during December 2011",Health Protection,Fresh Direct (UK) Ltd,,,28525855,53619.57,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-935,66619.06,,,,
Department of Health,Department of Health,04/05/2012,"School Fruit & Vegetable Scheme - product & distribution cost, during March 2012",Health Protection,Peacheys Catering services Ltd,,,NHS0312-936,79823.995,,,,
