Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,ROYAL BOROUGH OF KENSINGTON AND CHELSEA,3000056567,38255.14,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF ISLINGTON,3000056491,41852.69,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF EALING,3000056577,44670.39,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF CROYDON,3000056580,48235.44,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF LEWISHAM,3000056576,48431.95,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,OPEN DATA PROGRAMME,TRAFFORD COUNCIL,3000056549,50000.00,Speed up identification and release of open data by creating an Innovation Lab,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,SME GOVERNANCE LEAD,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000509,54482.03,Internal audit services,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF HARINGEY,3000056488,55541.95,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF SOUTHWARK,3000056532,57042.86,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF LAMBETH,3000056573,57737.61,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS CENTRAL GOV,OPEN DATA PROGRAMME,DEFRA,3000056538,58000.00,Grant to measure the open data transparency maturity of DEFRA open data network organisations,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF ENFIELD,3000056556,59213.77,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF TOWER HAMLETS,3000056566,59863.65,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,OTHER TRAVEL COSTS,OVERSEAS MISSIONS,HRG,3000056535,73653.08,Official travel,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF NEWHAM,3000056505,82245.82,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF WESTMINSTER,3000056501,82957.60,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,RSA,3000056527,85200.00,Grant to help make available information about the quality of mental health counselling services,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF BARNET,3000056564,89646.72,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000056553,99070.85,Estate Services,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,SME GOVERNANCE LEAD,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000510,112158.59,Internal audit services ,,,,,
Cabinet Office,CABINET OFFICE,23/01/2015,OTHER IS IT COSTS VAT RECOV,CERT,RISUAL LTD,3000056518,162582.00,IT Support for CERT UK,,,,,
Cabinet Office,CABINET OFFICE,26/01/2015,MANAGEMENT CONFERENCES,CSHR STRATEGY AND COMMS,CALDER WORLD OF TRAVEL,3000056620,25605.75,Civil Service HR conference costs,,,,,
Cabinet Office,CABINET OFFICE,26/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,E SYNERGY SOLUTIONS LTD,3000056624,26840.00,Service Desk IT support staff costs,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,CANTERBURY CITY COUNCIL,3000056758,25365.86,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,ROYAL BOROUGH OF KINGSTON UPON THAMES,3000056789,25517.49,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,GATESHEAD METROPOLITAN BOROUGH COUNCIL,3000056659,26122.50,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,ARUN DISTRICT COUNCIL,3000056650,26213.79,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,RHONDDA CYNON TAFF COUNCIL,3000056716,26221.53,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SANDWELL MBC,3000056701,26366.98,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,OXFORD CITY COUNCIL,3000056720,26456.73,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,GWYNEDD COUNCIL,3000056781,27009.12,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,NORTHUMBERLAND COUNTY COUNCIL,3000056793,27049.35,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,MAIDSTONE BOROUGH COUNCIL,3000056715,28281.03,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,HEREFORDSHIRE COUNCIL,3000056651,28550.27,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,CENTRE4 TESTING,3000056725,30525.00,Support and testing services for a range of resources requiring core test analysts and additional analysts,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,PORTSMOUTH CITY COUNCIL,3000056804,33696.70,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CAPITA RESOURCING LTD,3000056727,34061.99,Individual Electoral Registration costs,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,DURHAM COUNTY COUNCIL,3000056770,37939.49,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,CARDIFF COUNTY COUNCIL,3000056760,38332.51,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BRIGHTON & HOVE CITY COUNCIL,3000056768,40823.71,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,CONSULTANTS VAT RECOVERABLE,ERG CIVIL SERVICE REFORM,ETHNIC DIMENSION,3000056740,45000.00,Consultancy support on diversity in the Civil Service in relation to the talent action plan,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,COVENTRY CITY COUNCIL,3000056762,48662.50,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,WILTSHIRE COUNCIL,3000056673,49369.64,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,PLYMOUTH CITY COUNCIL,3000056799,50790.09,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,NEWCASTLE CITY COUNCIL,3000056802,56309.43,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,RESOURCE GRANTS PRIVATE SECTOR,PROGRAMME & STRATEGY OFFICE,THE POLICE TREATMENT CENTRES,3000056723,66000.00,Grant to improve facilities to aid the physical rehabilitation of police officers,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,CESG,3000056695,125000.00,Support for the Verify Identity Assurance Programme ,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,CAPITAL GRANTS PRIV SEC - CDEL,PROGRAMME & STRATEGY OFFICE,THE POLICE TREATMENT CENTRES,3000056723,125700.00,Grant to improve facilities to aid the physical rehabilitation of police officers,,,,,
Cabinet Office,CABINET OFFICE,27/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,SKYSCAPE CLOUD SERVICES LTD,3000056693,145957.49,Hosting services for GOV.UK,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BATH & NORTH EAST SOMERSET COUNCIL,3000056916,25446.32,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SALFORD CITY COUNCIL,3000056861,26026.57,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,EAST DEVON DISTRICT COUNCIL,3000056939,26382.45,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,CHESHIRE EAST BOROUGH COUNCIL,3000056830,27395.96,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS GOV UK TRANSITION,CAPITA RESOURCING LTD,3000056895,29187.00,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BOURNEMOUTH BOROUGH COUNCIL,3000056858,29658.16,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,TRAFFORD METROPOLITAN BOROUGH COUNCIL,3000056843,31827.52,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,METROPOLITAN BOROUGH OF WIRRAL,3000056853,32502.16,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SOUTHAMPTON CITY COUNCIL,3000056840,35172.85,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BOLTON METROPOLITAN BOROUGH COUNCIL,3000056827,35446.73,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,STAFF RELATED COSTS,GOVERNMENT COMMS,HMRC,3000056868,40800.00,Recruitment campaign costs for 34 Information Officer/Assistant Information Officer posts,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BRISTOL CITY COUNCIL,3000056866,49142.18,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF GREENWICH,3000056927,50209.84,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,MANCHESTER CITY COUNCIL,3000056936,50246.97,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF CAMDEN,3000056857,56276.93,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LONDON BOROUGH OF BRENT,3000056854,56722.56,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,OPERATING LEASES - RENT,10 GREAT GEORGE STREET,HOME OFFICE,3000056879,66990.00,Rent for accommodation,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),A & I PROGRAMME EXPENDITURE,TNS UK LTD,3000056901,96940.17,Delivery of People Survey ,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LIVERPOOL CITY COUNCIL,3000056847,104473.27,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,OPEN DATA PROGRAMME,BIRMINGHAM CITY COUNCIL,3000056897,123745.00,Release of Data programme grant,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,LEEDS CITY COUNCIL,3000056836,129509.12,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,BIRMINGHAM CITY COUNCIL,3000056922,165866.80,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,CONSULTANTS VAT RECOVERABLE,ERG CATEGORY PROCUREMENT,BAIN & COMPANY,3000056896,168000.00,Commercial Capability Reviews - provision of organisational strategy consultancy,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000056881,245117.33,Individual Electoral Registration Live Service running costs,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000056865,2944547.41,Civil Service pension administration services,,,,,
Cabinet Office,CABINET OFFICE,28/01/2015,RESOURCE GRANTS TO NDPB'S,LEGAL ADVICE FUND,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000056872,4062500.00,"Grant to Advice Services Transition Fund to enable local, not for profit providers of advice services in England give free advice, help and support to people relating to welfare benefits, debt, housing and employment",,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000056960,26344.32,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000056962,26723.04,Facilities Management Services,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,SOFTWARE BOX LTD,3000056947,27111.10,"Analyst Licenses, Fixed Analyst Licenses and LANDesk Service Enterprise License costs ",,,,,
Cabinet Office,Crown Commercial Service,29/01/2015,Maintenance & Repairs - IT,IT,Software Box Ltd,PINDOH 42182,27340.89,Security Threat Prevention Software,,,,,
Cabinet Office,Crown Commercial Service,29/01/2015,Payroll Solutions COS,Payroll Solutions,CGI IT UK Ltd,PINDOH 42171,28646.20,Implementation of Pension Reform Changes ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000056960,31143.16,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000056960,32625.91,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,SEFTON METROPOLITAN BOROUGH COUNCIL,3000056964,32788.41,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS GOV UK TRANSITION,CAPITA RESOURCING LTD,3000056960,34063.57,Interim IT Specialists ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,CONSULTANTS VAT RECOVERABLE,SOCIAL OUTCOMES FUND,DELOITTE LLP,3000056952,34827.00,Due diligence work on a new market development foundation,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,TELECOM RENTALS,NSS CRISIS MANAGEMENT,BRITISH TELECOMMUNICATIONS PLC,3000056958,59750.71,BT Telephone Line Rental,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,CORNWALL COUNCIL,3000056971,63493.69,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,STAFF TRAINING,CO IT SYSTEMS,CLOUD TECHNOLOGY SOLUTIONS LTD,3000056973,71318.40,Provision of training personnel and application deployment ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,CLOUD TECHNOLOGY SOLUTIONS LTD,3000056973,99000.00,Provision of training personnel and facilitation of  new applications for deployment within CO,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,BRITISH COUNCIL CHINA,3000056997,125000.00,"UK-China Year of Culture campaign, including local media, branding opportunities and regional activities",,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,GRANT FUND MANAGEMENT VAT RECOVERABLE,COMMUNITY ORGANISERS,LOCALITY,3000056951,233599.00,Community Organisers Programme Fund Management,,,,,
Cabinet Office,Crown Commercial Service,29/01/2015,MOTO Charges RC,Estates Management,CABINET OFFICE VOTES CASH ACCO,PINDOH 41946,480586.77,Rent for accommodation ,,,,,
Cabinet Office,CABINET OFFICE,29/01/2015,SECURITY AND CUSTODY SERVICES,GOVERNMENT SECURITY ZONE,METROPOLITAN POLICE AUTHORITY,3000056949,757500.00,Payment on behalf of Whitehall Departments for the cost of the Whitehall Security Zone,,,,,
Cabinet Office,CABINET OFFICE,30/01/2015,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,GDS COMMUNICATIONS AND CREATIVE,KNOCK KNOCK PRODUCTIONS LTD,3000057027,39201.29,Video production and media services ,,,,,
Cabinet Office,CABINET OFFICE,30/01/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,MUTUAL VENTURES,3000057030,42242.00,NHS Trust mutualisation support,,,,,
Cabinet Office,CABINET OFFICE,30/01/2015,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,ERG CIVIL SERVICE PEOPLE SURVEY,ORC INTERNATIONAL LIMITED,3000057020,388963.90,People Survey development costs,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
