DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION ,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,TORBRIDGE VETERINARY HOSPITAL/TORB~143028794,LVI148004,35009.33,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX39 3DX,SME,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,Penbode Veterinary Group~143290584,LVI148007,51373.96,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX22 6HB,SME,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,MILFEDDYGON Y WERN/  WERN VETERINAR~159252551,LVI148024,25067.94,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,LL15 ITG,SME,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,TYNDALE VETS LTD~713119763,LVI148333,25665.68,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,GL11 6DD,,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,CASTLE VETERINARY GROUP LTD~807674214,LVI148361,27212.24,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,PL15 7ED,SME,,0,Expense,
DEFRA,Animal Health,30/01/2012,LVI Claims,Food and Farming Group,Non Supplier,SYNERGY FARM HEALTH LTD~979392255,LVI148424,40063.17,Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT2 0LD,SME,,0,Expense,
DEFRA,Animal Health,04/01/2012,Service Level Agreement Costs,Food and Farming Group,Defra NDPB,Joint Nature Conservation Committee,SIJ628,33287.46,Quarterly payment to the Joint Nature Conservation Committee for the advisory service required for issuing CITES licences  ,PE1 1JY,,,JNCCXXXX,Expense,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,370698,30145.12,Accommodation charges for Shrewsbury Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,370723,40886.96,Accommodation charges for Penrith,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,16/01/2012,Project Misc Expend,EU Programmes,,Veterinary Services - MANRE,371533,95834.93,EU Project: Resistance to scrapie genotype of Cypriot goats,,Large,704679,EU1003,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,17/01/2012,VLA Annual Conference Costs,Commercial,,Royal Holloway&Bedford College,372198,68600.86,Deposit for the venue of the International Symposium on Avian Influenza,TW20 0EX,Large,,VC1004,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,12/01/2012,Sub Contracts,Research Programmes,,ADAS Consulting Ltd,372245,136131.99,Research Studies: Maintenance of a TSE-free flock,WV6 8TQ,Large,700571,SE1931,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/01/2012,Carriage of Goods,Corporate - Stock & Stores,,DX Network Services Ltd,372546,112220.47,Movement of internal mail and biological samples within the VLA network,SL0 9JQ,Large,134488,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,19/01/2012,Sub Contracts,Research Programmes,,ADAS Consulting Ltd,372590,30815,Research Studies: Detection of scrapie in environmental samples within a penned environment ,WV6 8TQ,Large,700544,SE1863,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,16/01/2012,Library Services,CPCU - Corporate,,Science Direct,372637,53243.9,Electronic subscription fee for journals,,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/01/2012,Project Misc Expend,Surveillance Programmes,,DX Network Services Ltd,372739,25804.1,Movement of samples for the fallen stock project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/01/2012,Project Misc Expend,Surveillance Programmes,,DX Network Services Ltd,372740,25804.1,Movement of samples for the fallen stock project,SL0 9JQ,Large,133525,TS5902,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,26/01/2012,Sub Contracts,Research Programmes,,ADAS Consulting Ltd,373253,45377.33,Research Studies: Maintenance of a TSE-free flock,WV6 8TQ,Large,700571,SE1931,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373404,49242.73,Accommodation charges for Weybridge,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,27/01/2012,Royalty Payments,Finance - Corporate,,F Hoffmann la Roche Ltd,373415,39205.04,Royalty payments for performance of licensed tests,,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,23/01/2012,Sub Contracts,Surveillance Programmes,,Institute For Animal Health,373487,165137.66,Provision of national reference laboratory requirements to AHVLA,RG20 7NN,Large,701245,SV3900,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,26/01/2012,Sub Contracts,Research Programmes,,University of Cambridge,373512,39539,"Research studies: TB herd characterisation, prediction and resolution",CB3 0ES,Large,23798,SE3230,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,26/01/2012,Sub Contracts,Surveillance Programmes,,Royal Veterinary College,373516,43403,"Provision of veterinary surveillance, diagnostic necropsy and laboratory testing",NW1 0TU,Large,700580,ED1008,Programme,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373719,920409.07,Accommodation charges for Weybridge,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373720,49242.73,Accommodation charges for Weybridge,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373721,49242.73,Accommodation charges for Weybridge,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373727,42925.32,Accommodation charges for Penrith,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,05/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373733,-36448.8,Recharge for Winchester Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,30/01/2012,ED Accommodation Costs,Corporate - Accommodation,,DTZ,373748,29084.6,Accommodation charges for Langford Regional Laboratory,B4 6AJ,Large,,ZZZ0000,Administration,
"Department for Environment, Food and Rural Affairs",Veterinary Laboratories Agency,26/01/2012,Capital Expend #2000 and above,Various,,(LT) Applied Biosystems,373904,34914.13,Equipment: ViiA 7 FAST 96-Well Instrument and Laptop,PA4 9RF,Large,173299,ZZZ0000,Administration,
