Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071277,30.95,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2013,Hire of Agency Staff (Clerical/Secretariat/Other),"Strategy, Analysis and Better Regulation - DG & Group Support",ADECCO UK LTD,1071479,768.61,RUNNING COSTS DEVOLVED - Hire of Agency Staff (Clerical/Secretariat/Other),B37 7YE,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/01/2013,Air Fares (Programme),Government Office for Science - Government Office for Science,PROFESSOR STEPHEN MACHIN,1071649,1000.00,FORESIGHT - Air Fares (Programme),WC1E 6BT,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/01/2013,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,METHODS CONSULTING LTD,1071773,11985.00,RUNNING COSTS NON DEVOLVED - ICT Maintenance & Upkeep,WC2H 8AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/01/2013,ICT Maintenance & Upkeep,Finance & Commercial Group - Commercial Directorate,METHODS CONSULTING LTD,1071773,3525.00,RUNNING COSTS NON DEVOLVED - ICT Maintenance & Upkeep,WC2H 8AD,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/01/2013,Secondees (not paid directly),Shareholder Executive - Shareholder Executive,BLACKROCK INVESTMENT MANAGEMENT (UK) LTD,1071787,4860.00,RUNNING COSTS DEVOLVED - Secondees (not paid directly),EH3 8JB,EXT,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071892,3237.56,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071893,421.03,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071894,421.03,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071895,16626.37,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071896,205.21,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071896,236.06,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071897,441.27,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071898,294.18,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071899,147.09,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071900,973.00,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071901,968.70,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071902,384.01,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071903,1334.76,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071904,198.09,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071905,431.94,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071906,210.96,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071907,421.92,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071908,2666.32,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071910,43.41,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071912,6.12,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071913,269.60,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071914,123.48,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071915,222.35,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071921,93.27,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071922,269.60,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071923,246.27,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071924,225.02,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071925,377.83,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071927,104.84,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071928,154.57,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071929,55.96,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071930,3.11,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071931,5220.00,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071933,199.30,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071934,431.33,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071935,211.33,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071936,160.43,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071939,278.92,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071986,162.66,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1071991,84.73,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1071992,31.47,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1071993,24.21,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Other Overseas Travel & Subsistence,"People, Communications and Effectiveness Group - Human Resources",FOREIGN AND COMMONWEALTH OFFICE (FCO),1071995,24.21,RUNNING COSTS NON DEVOLVED - Other Overseas Travel & Subsistence,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Taxis Overseas,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,FOREIGN AND COMMONWEALTH OFFICE (FCO),1071996,136.48,RUNNING COSTS DEVOLVED - Taxis Overseas,MK10 1PX,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2013,Cash Expenditure during the Year - Other Programme Provisions,Business & Skills Group - Advanced Manufacturing Services,CHANCE HUNTER SOLICITORS LLP,1072190,11512.70,VOSPER GAP- BRITISH SHIPBUILDERS - Cash Expenditure during the Year - Other Programme Provisions,M5 4PF,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,CARA Approved Research & Development Expenditure (Programme),Government Office for Science - Government Office for Science,SUSAN CUTTER,1072236,937.05,FORESIGHT - CARA Approved Research & Development Expenditure (Programme),29223,SME,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,CARA Approved Research & Development Expenditure (Programme),Government Office for Science - Government Office for Science,KRISTIE L EBI,1072240,750.00,FORESIGHT - CARA Approved Research & Development Expenditure (Programme),CA 94022,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072258,194.60,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/01/2013,Learning & Development CS Skills,Shareholder Executive - Shareholder Executive,CABINET OFFICE,1072260,250.00,RUNNING COSTS DEVOLVED - Learning & Development CS Skills,CF14 3UW,GOV,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/01/2013,Maintenance,Finance & Commercial Group - Corporate Shared Services,BAXTERSTOREY LTD,1072267,-1118.00,RUNNING COSTS NON DEVOLVED - Maintenance,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/01/2013,Maintenance,Finance & Commercial Group - Corporate Shared Services,BAXTERSTOREY LTD,1072267,-1118.00,RUNNING COSTS NON DEVOLVED - Maintenance,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/01/2013,Maintenance,Finance & Commercial Group - Corporate Shared Services,BAXTERSTOREY LTD,1072267,-1118.00,RUNNING COSTS NON DEVOLVED - Maintenance,RG6 1PT,,,,Administration
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grant in Aid - Current -Other,Knowledge & Innovation Group - Higher Education - Student Funding,STUDENT LOANS  CO LTD (INVEST TO SAVE),1072326,268598.42,SLC GRANT IN AID - Grant in Aid - Current -Other,G2 7JD,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/01/2013,Grant in Aid - Current -Other,Knowledge & Innovation Group - Higher Education - Student Funding,STUDENT LOANS  CO LTD (INVEST TO SAVE),1072326,8220522.70,SLC GRANT IN AID - Grant in Aid - Current -Other,G2 7JD,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/01/2013,External Training (Programme),Markets and Local Growth - Europe Trade & International Directorate,CITY INN LTD T/A HILTON GARDEN INN BIRMINGHAM BRINDLEYPLACE,1072421,2357.50,NON-PROLIFERATION AWARENESS SEMINARS - External Training (Programme),B1 2HW,EXT,,,Programme
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072423,2002.40,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072424,1255.44,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072425,234.06,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072426,68.11,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072427,5.10,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072428,234.06,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072429,293.38,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072430,3453.40,IKIU GLOBAL SCIENCE AND INNOVATION NETWORK - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072431,3129.66,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072432,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072433,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072434,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072435,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072436,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072437,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072438,234.06,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072439,247.44,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/01/2013,Grants - Current - Other,Knowledge & Innovation Group - Research Base,FOREIGN AND COMMONWEALTH OFFICE (FCO),1072441,260.82,GLOBAL PARTNERSHIP FUND - Grants - Current - Other,MK10 1PX,GOV,,,Grants
