Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Corporate,20-Apr-12,Consultancy Fee,COO,PIERCE GLYNN LTD,1005217,"Ł28,000",Professional Services,Legal,Legal
Department for Work and Pensions,Corporate,24-Apr-12,TELEPHONE CHARGES,COO,NEST CORPORATION,1005221,"Ł2,739,334",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,25-Apr-12,GRANTS IN AID,COO,PENSION PROTECTION FUND,1005222,"Ł2,125,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,25-Apr-12,GRANTS IN AID,COO,PENSION PROTECTION FUND,1005223,"Ł3,385,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,25-Apr-12,GRANTS IN AID,COO,PENSION PROTECTION FUND,1005224,"Ł225,000",Non Commercial Costs,Grants,Grants in Aid
Department for Work and Pensions,Corporate,27-Apr-12,BANKING AND ENCASHMENT COSTS,COO,POST OFFICE LTD,1005226,"Ł5,365,148",Encashment & Banking,Bank Charges,Card Account Fees
Department for Work and Pensions,Corporate,30-Apr-12,AOS CONTRACTED OUT SERVICES,COO,JLT SPECIALITY LTD,1005229,"Ł125,810",Professional Services,Consultancy,Business Consultancy
Department for Work and Pensions,Corporate,30-Apr-12,AOS CONTRACTED OUT SERVICES,COO,CAPITA BUSINESS SERVICES LTD,1005231,"Ł419,550",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,"Pension, Disability Carers Services",16-Apr-12,TEMPORARY (TEMP) STAFF COSTS,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,"Ł20,448",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,"Pension, Disability Carers Services",16-Apr-12,STAFF COSTS,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł17,Business & Financial Services,Catering,Meals & Vending
Department for Work and Pensions,"Pension, Disability Carers Services",16-Apr-12,TELEPHONE CHARGES,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł1,Information & Communications Technology,Networks,Equipment
Department for Work and Pensions,"Pension, Disability Carers Services",16-Apr-12,MISCELLANEOUS EXPENDITURE,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł107,Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,16-Apr-12,TEMPORARY (TEMP) STAFF COSTS,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,"Ł3,025",Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,16-Apr-12,STAFF COSTS,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł645,Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,16-Apr-12,TELEPHONE CHARGES,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł235,Information & Communications Technology,Networks,Equipment
Department for Work and Pensions,Corporate,16-Apr-12,TELEPHONE AND POSTAGE,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł168,Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,16-Apr-12,MISCELLANEOUS EXPENDITURE,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł60,Non Commercial Costs,Other Non Commercial Costs,Other Non Commercial Costs
Department for Work and Pensions,Corporate,16-Apr-12,TOTAL SUPPLIES & SERVICES,COO,FOREIGN & COMMONWEALTH OFFICE,2003169,Ł44,Business & Financial Services,Other Business Services,Other Business Services - Other
Department for Work and Pensions,Corporate,20-Apr-12,OTHER GOODS AND SERVICES,COO,VALUATION OFFICE AGENCY,2003180,"Ł1,066,087",Business & Financial Services,Financial Services,Valuations Office
Department for Work and Pensions,Corporate,23-Apr-12,COMPUTER SERVICES,COO,HMRC,2003182,"Ł146,960",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Corporate,30-Apr-12,ACCOMMODATION,COO,INLAND REVENUE,2003204,"Ł5,260,019",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Corporate,30-Apr-12,ACCOMMODATION,COO,INLAND REVENUE,2003204,"Ł1,369,153",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Corporate,30-Apr-12,ACCOMMODATION COSTS,COO,INLAND REVENUE,2003204,"Ł158,575",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,European Social Fund,13-Apr-12,INTRA DWP PAYABLES,STR,EUROPEAN COMMISSION,3005220,"Ł1,558,232",European Social Fund,European Social Fund,European Social Fund
Department for Work and Pensions,European Social Fund,13-Apr-12,INTRA DWP PAYABLES,STR,EUROPEAN COMMISSION,3005227,"Ł2,717,009",European Social Fund,European Social Fund,European Social Fund
Department for Work and Pensions,European Social Fund,13-Apr-12,INTRA DWP PAYABLES,STR,EUROPEAN COMMISSION,3005228,"Ł16,727,042",European Social Fund,European Social Fund,European Social Fund
Department for Work and Pensions,Corporate,02-Apr-12,Consultancy Fee,PS,HM TREASURY,2024848138,"Ł85,500",Professional Services,HR Services,Corporate Subscriptions
Department for Work and Pensions,Jobcentre Plus,02-Apr-12,EMPLOYMENT ZONES,COO,REED IN PARTNERSHIP LTD,2024848611,"Ł22,226",Welfare to Work,Client Facing,EMPLOYMENT ZONES
Department for Work and Pensions,Corporate,02-Apr-12,TELEPHONE AND POSTAGE,F&C,UK MAIL,2024848782,"Ł23,237",Document Management,Post & Courier,Domestic Mail Services
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł3,333",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł800,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł6,400",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł9,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł4,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł3,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł6,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł800,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,400",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł3,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł2,400",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł8,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł800,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,"Ł1,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2024851541,Ł600,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Corporate,03-Apr-12,COMPUTER SERVICES,CIT,ACCENTURE,2024851552,"Ł401,596",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,MEDICAL SERVICES,Change PMU,ATOS HEALTHCARE,2024851598,"Ł61,998",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,MEDICAL SERVICES,Change PMU,ATOS HEALTHCARE,2024851599,"Ł79,404",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,MEDICAL SERVICES,Change PMU,ATOS HEALTHCARE,2024851599,"Ł175,439",Medical Services,PDCS Medical Services,PDCS Medical Services
Department for Work and Pensions,Corporate,03-Apr-12,COMPUTER SERVICES,CIT,ATOS ORIGIN IT SERVICES UK LTD,2024851600,"Ł1,146,232",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł22,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł28,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł2,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł5,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł11,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł800,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł800,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł6,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł12,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł20,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł3,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł6,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł3,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł3,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł10,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł22,400",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł4,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł6,400",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł6,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł1,800",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2024851603,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł15,169",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł2,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł3,600",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,Ł400,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł2,000",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,03-Apr-12,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2024851724,"Ł1,200",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,EU PROGRAMMES,COO,BLUE ORCHID SUPPORT SERVICES,2024851734,"Ł26,220",Welfare to Work,Client Facing,EU PROGRAMMES
Department for Work and Pensions,"Pension, Disability Carers Services",03-Apr-12,CONTRACTED OUT SERVICES,COO,CAPITA BUSINESS SERVICES LTD,2024852076,"Ł19,825",Record Storage,Record Storage,Record Storage
Department for Work and Pensions,Jobcentre Plus,03-Apr-12,CONTRACTED OUT SERVICES,COO,CAPITA BUSINESS SERVICES LTD,2024852076,"Ł17,000",Record Storage,Record Storage,Record Storage
Department for Work and Pensions,Corporate,03-Apr-12,AOS CONTRACTED OUT SERVICES,PS,CAPITA CUSTOMER MANAGEMENT LTD,2024852077,"Ł53,898",Business & Financial Services,Financial Services,Other Financial Services
Department for Work and Pensions,Corporate,03-Apr-12,TEMPORARY (TEMP) STAFF COSTS,Change PMU,CAPITA RESOURCING LTD,2024852078,"Ł4,815",Professional Services,Professional Staff,Interim Personnel
