Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-556584-52004,"26,915.25",Development of enhanced methods for outbreak investigation and source attribution of Salmonella - 2015-16,KT15 3NB,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060116,"131,724.36",Laboratory surveillance - Ebola - February 2015,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060478,"671,000.00",Memorandum of Understanding - Plant health - surveillance and eradication,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059756,"424,500.00",Memorandum of Understanding - Bee health Inspectorate,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059736,"341,700.00",Memorandum of Understanding - Plant health Inspectorate (core delivery),YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059776,"60,000.00",Memorandum of Understanding - Plant health Inspectorate ,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060402,"383,616.55",Laboratory surveillance (Zoonoses) - March 2015,YO1 7PX,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059618,"342,647.32",Inspections of live animal consignments at border controls - February 2015,YO1 7PX,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060318,"753,206.14",Inspections of live animal consignments at border controls - March 2015,YO1 7PX,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060400,"4,276,842.00",Core Facilities services - March 2015,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060398,"75,030.00",Laboratory Surveillance (Exotics) - March 2015,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060396,"106,964.65",Laboratory surveillance (Bovine Tuberculosis) final payment - 2014-15,YO1 7PX,SME,DFP,AHVLA001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059416,"313,564.68",Laboratory Surveillance - February 2015,YO1 7PX,SME,DFP,AHVLA001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060329,"629,722.00",Laboratory surveillance (Bovine Tuberculosis) - March 2015,YO1 7PX,SME,DFP,AHVLA001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060319,"909,551.84",Animal Welfare Inspections - March 2015 ,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000059624,"275,406.28",Animal Welfare inspections - February 2015 ,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000060326,"614,632.89",Animal Welfare Inspections - February 2015 ,YO1 7PX,SME,EXEMPT,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,5000057146,"73,110.29",Animal Welfare Inspections - January 2015 ,YO1 7PX,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-556589-52009,"33,636.37",Improving Classical Swine Fever Virus (CSFV) control through enhanced diagnostic and intervention tools - 2015-16 ,KT15 3NB,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-556580-52003,"28,953.00",Research and development towards novel field-based approaches to the diagnosis of Bovine Tuberculosis in badgers - 2015-16,KT15 3NB,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-556583-51988,"38,108.00",Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - 2015-16,KT15 3NB,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060328,"6,095,901.42",Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - March 2015,KT15 3NB,SME,DFP,AHVLA001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059622,"4,258,303.37",Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - February 2015,KT15 3NB,SME,DFP,AHVLA001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060407,"255,513.73",Laboratory Surveillance 2014-15 - March 2015,KT15 3NB,SME,IGS,VLAL0001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060296,"30,305.00",Laboratory surveillance (Bovine Tuberculosis) balance - 2014-15,YO1 7PX,SME,,FERA0001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059958,"46,946.00",Laboratory Surveillance - Badger Vaccine Deployment Project - 2014-15,YO1 7PX,SME,,FERA0001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000044726,"169,244.97",Egg Marketing Inspectorate final payment - 2013-14,YO1 7PX,SME,FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000061236,"56,831.57",Fallen stock sampling fee - February 2015,YO1 7PX,SME,DFP Funding,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060325,"104,175.99",Transmissible Spongiform Encephalopathy - Field Services - March 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059616,"200,693.89",Animal by-products - Field Services - February 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060316,"517,430.74",Animal by-products - Field Services - March 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060405,"73,519.77",Transmissible Spongiform Encephalopathy surveillance - March 2015,KT15 3NB,SME,Funding DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059437,"212,445.52",Transmissible Spongiform Encephalopathy surveillance - February 2015,KT15 3NB,SME,Funding DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060406,"30,550.16",Laboratory Surveillance - March 2015 ,KT15 3NB,SME,Funding IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059439,"43,344.51",Laboratory Surveillance - February 2015 ,KT15 3NB,SME,Funding IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060401,"168,440.43",Laboratory surveillance (emerging diseases) - March 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059436,"981,969.42",Laboratory surveillance (emerging diseases) - February 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059621,"141,735.16",Field services - Reportable Diseases and Zoonoses - February 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060324,"133,896.58",Field services - Reportable Diseases and Zoonoses - March 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060408,"242,225.26",Laboratory surveillance (Transmissible spongiform encephalopathies) - March 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059440,"92,266.98",Laboratory surveillance (Transmissible spongiform encephalopathies) - February 2015,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060403,"89,091.89",Laboratory surveillance (exotic diseases) - March 2015,YO1 7PX,SME,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059296,"225,813.38",Laboratory surveillance (exotic diseases) - February 2015,YO1 7PX,SME,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5010582,"243,773.69",Providing effective services to minimise risk of exotic disease incursion - February 2015,YO1 7PX,SME,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060322,"680,224.69",Providing effective services to minimise risk of exotic disease incursion - March 2015,YO1 7PX,SME,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059619,"743,588.16",Hardware and software depreciation - February 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060399,"3,532,324.67",Recharge for the running costs for former Veterinary Laboratories Agency estate - February 2015,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060317,"356,633.95",Work undertaken by Animal Health Veterinary Laboratory Agency on Animal Identification - March 2015,KT15 3NB,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000059617,"167,645.18",Work undertaken by Animal Health Veterinary Laboratory Agency on Animal Identification - February 2015,KT15 3NB,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060297,"75,464.00",Research on Cost of Tuberculosis controls - 2014-15,YO1 7PX,SME,IGS/Funding,BCP00001,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000057147,"83,043.64",Wildlife Licensing Registration Service - February 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060327,"42,995.13",Wildlife Licensing Registration Service - March 2015,KT15 3NB,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5010581,"72,677.38",Egg Marketing Inspectorate - February 2015,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments E,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,5000060323,"42,216.39",Poultry Meat Marketing - March 2015,YO1 7PX,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,20/04/2015,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060476,"90,193.78","Animal identification, movement and tracing holdings database provision - February 2015",YO1 7PX,SME,DFP Funding,EREPMACD,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000060320,"144,191.00",England Epidemiology Requirement Plan - March 2015,YO1 7PX,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-556283-51963,"35,001.00",Understanding the molecular mechanisms and risk factors for highly pathogenic avian influenza evolution and virulence - April 2015,KT15 3NB,SME,SE2204 IDS,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-556363-51980,"99,515.00",Continued vaccine development: Improving Bacillus Calmette–Guérin (BCG) and developing non-sensitising vaccines for cattle  - 2014-15 ,KT15 3NB,SME,SE3266,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-556579-51986,"60,211.00","Antigen mining, differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - November 2014",KT15 3NB,SME,Exempt,00000000,Expense,,,,,
DEFRA,DEFRA,24/04/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-556173-51958,"30,000.47",Understanding infection dynamics and survival properties of Avian Influenza viruses and Avian paramyxovirus serotype-1 (APMV-1) in poultry and the environment - January 2015,KT15 3NB,SME,Exempt,00000000,Expense,,,,,
DEFRA,DEFRA,16/04/2015,Other Current Payments E,Policy Delivery DG,Arun District Council,8132880511,"50,000.00",Grant - Local Development Orders for Food Enterprise Zones - 2015-16,BN17 5LF,,,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Current Grants E,"Strategy, International and Biosecurity DG",Ascension Island Government,110315,"26,230.50",Ascension Island Marine Sustainability (AIMS) - a fisheries and marine biodiversity project - April-June 2015,ASCN 1ZZ,,Grant,DARWPLUS,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Assimila Limited,20141304,"93,600.00",Review of Earth Observation priorities within the UK - 2014 Milestone 4,RG6 6AU,SME,SD0603,EOBSTEAM,Expense,,,,,
DEFRA,DEFRA,22/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Association of IFCAs,1501,"70,000.00",Fisheries Management in Marine Protected Areas and in particular Marine Conservation Zones. Purchase of Research equipment for Inshore Fisheries and Conservation Authorities,IP33 2NH,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Bedford Borough Council,310315,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,MK42 9AP,,20469 grant,00000000,Expense,,,,,
DEFRA,DEFRA,29/04/2015,Current Grants E,"Strategy, International and Biosecurity DG",Beijing Normal University,270415,"36,964.00",Darwin Initiative Grant scheme - Strengthening enforcement capability to combat illegal wildlife trafficking in China - 2014-15 Quarter 4 and 2015-16 Quarter 1,100875,SME,,IWTXXXXX,Expense,,,,,
DEFRA,DEFRA,30/04/2015,Current Grants E,"Strategy, International and Biosecurity DG",Birdlife Cyprus,2.10415E+12,"27,297.75",Darwin Initiative Grant scheme - Fastouri marsh restoration and a flagship wetland in the Cyprus Sovereign Base Areas (SBAs) - 2015-16 Quarter 1,2090,SME,,DARWPLUS,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Current Grants E,"Strategy, International and Biosecurity DG",Birdlife International,120315,"28,949.50",Darwin Initiative Grant scheme - Delivering sustainable forest management for Fiji's people and wildlife - 2014-15 Quarter 4 and 2015-16 Quarter 1,CB3 ONA,SME,20056,DARWDFID,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Birmingham City Council,270315,"74,300.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,B1 1BB,,20546,00000000,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Capital LA Grant E,Policy Delivery DG,Birmingham City Council,9001696162,"32,443.00",Air Quality Grant - 2014-15,B1 1BB,,,00000000,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Blackburn With Darwen Borough Cncl,270315,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,BB1 7DY,,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Blackpool Council,270315,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,FY3 7HW,,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,20/04/2015,Capital LA Grant E,Policy Delivery DG,Boston Borough Council,A0000906,"335,392.85",Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,PE21 8QR,,GRANT,00000000,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Bracknell Forest Borough Council,270315,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,RG12 7AE,SME,,00000000,Expense,,,,,
DEFRA,DEFRA,30/04/2015,IT Software,Chief Operating Officer DG,BravoSolution UK Ltd,BUK15V0005742,"261,972.00",Network Procurement Electronic-Procurement Systems Phase 1 initial deployment - March 2015,EC2M 7AD,,21398,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Current Grants E,Policy Delivery DG,Broads Authority,160315,"797,238.00",Grant - Broads Authority National Park - 2015-16 Quarter 1,NR1 1RY,SME,GIA,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Broadstock Office Furniture Ltd,OPI100826,"31,200.00","National Agri-Food Innovation Centre, Sand Hutton, Atrium refurbishment - Reception desk",SK11 0TA,SME,RM1501,B281P014,Asset,,,,,
DEFRA,DEFRA,08/04/2015,Agency temps - clerical,Policy Delivery DG,Brook Street (UK) Ltd,30897417,"40,622.27",Interim staff engaged across Defra - March 2015,AL1 4JB,,,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Buckinghamshire County Council,2209004795,"123,250.00",Flood Resilience Community Pathfinder grant - 2014-15 Third Instalment,HP20 1UD,,,00000000,Expense,,,,,
DEFRA,DEFRA,02/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Bury Metropolitan Borough Council,270315,"37,150.00",Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,BL9 0EJ,,,00000000,Expense,,,,,
DEFRA,DEFRA,08/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C A G Consultants,INV0273,"55,911.00",Flood Water Management Act 2010 - evaluation and consultation fee,EC3N 1LS,SME,Funding,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004613,"47,287.50",UK /Japan Research Endocrine Disruptors in the Aquatic Environment - 2014-15 Quarter 4,NR33 0HT,SME,CB0436,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004742,"133,471.19",Research and Development Services to Chemicals and Emerging Technologies (CET) Division - 2014-15 Quarter 4,NR33 0HT,SME,CB0469,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004712,"177,718.00",Research project 'Can chemical mixture toxicity be predicated to aid environmental risk assessment and regulation?' - 2014-15,NR33 0HT,SME,CB0457,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004718,"77,050.00",Electronic data capture for under 10 metre Vessels - 2014-15,NR33 0HT,SME,MF1235,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8004735,"61,644.72",Aquatics evidence - March 2015,NR33 0HT,SME,DFP,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",C E F A S,8004736,"247,431.00",Aquatic health funding - March 2015,NR33 0HT,SME,DFP FUNDING,00000000,Expense,,,,,
DEFRA,DEFRA,07/04/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8004740,"368,335.00",Data and Evidence Coordination Programme for recommended Marine Protected Areas - 2014-15,NR33 0HT,SME,MB0129,00000000,Expense,,,,,
DEFRA,DEFRA,28/04/2015,Evidence Non R&D,Policy Delivery DG,C E F A S,8004798,"1,558,422.00","High Level Agreement for the Provision of Services - Evidence, Research and Development - April 2015",NR33 0HT,SME,IGS,00000000,Expense,,,,,
DEFRA,DEFRA,14/04/2015,Other Current Payments E,Policy Delivery DG,C E S G,34384,"33,000.00",Tailored Advice on Cyber risks in relation to water sector companies and associated networks and systems - Severn-Trent - November 2014,,,,00000000,Expense,,,,,
DEFRA,DEFRA,20/04/2015,Current Grants - Local Authorities,Policy Delivery DG,Calderdale M B C,IN14298805,"128,250.00",Flood Resilience Community Pathfinder grant - 2014-15 final payment,HX1 1UN,,,00000000,Expense,,,,,
