Departmental Family,Entity,Date,Expense Type,Expense Area ,Supplier,Expenditure Description,Supplier type,"Transaction
Number",Amount
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,40.85
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,207.91
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Families Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,181.47
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,059.73"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,563.9
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,800.98
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,93.4
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,78.72
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,204.75
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,799.71"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,046.34"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,916.97
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,248.08
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,571.07
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,314.26
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,401.34
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,373.56
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,752.11"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,174.78"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,068.52"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,74.86
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,348.98
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,449.93
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,440.34
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,527.41
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,812.85
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,300.53
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,409.67
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,214.67
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,380.69
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Supporting Children and Young People Group 1,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,900.64
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"2,274.57"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"2,526.69"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,909.80"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,307.97
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,002.46"
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"3,496.07"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"3,284.35"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,372.7
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,807.89
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,559.05
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,186.35
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Improving Information Sharing and Management Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,75.83
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,412.9
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,430.89
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,855.83
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,429.83
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,514.39
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,155.24
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,148.64
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,"1,031.48"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Professional Services Consultancy,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,"Costs related to fees and expenses of professionals from the private sector such as auditors, accountants, lawyers engaged to provide advice or opinion on how to affect something",Commercial,4000064880,16.97
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,402.93
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,516.76
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,103.76
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,466.65
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial,4000064880,33.49
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,515.5
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,566.58
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,151.27
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,359.87
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,36.62
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,8.28
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,207
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,ATLANTIC DATA LTD,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial,4000065518,"32,358.58"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA EDUCATION RESOURCING,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial,4000065522,"151,048.20"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,Costs related to staff expenses including membership fees to professional bodies and CRB checks,Commercial,4000065570,"268,523.80"
Department for Education,DEPARTMENT FOR EDUCATION,18/11/2011,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,PRICE WATERHOUSE COOPERS LLP,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Specifically for the Achievement for All programme",Commercial,4000065638,"351,113.00"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,302
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,"15,506.08"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,130.53
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,"6,930.28"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,550.06
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,421.08
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,205.54
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,9.72
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,211.55
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,66.99
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,"2,261.99"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Families Group,PROLOG,Publications and related services,Commercial,4000065555,577.52
Department for Education,DEPARTMENT FOR EDUCATION,09/11/2011,ICT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,"Costs related to the provision of IT costs.
Specifically for system maintenance in relation to National electronic Common Assessment Framework",Commercial,4000065102,"184,704.60"
Department for Education,DEPARTMENT FOR EDUCATION,08/11/2011,ICT,Children Young People and Families Safeguarding Group,CAPGEMINI UK PLC,"Costs related to the provision of computer equipment and components (non capital).
Specifically for system maintenance for the national Common Assessment Framework ",Commercial,4000065015,"102,204.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Safeguarding Group,PROLOG,Publications and related services,Commercial,4000065555,"7,653.38"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,244.72
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Supporting Delivery Group,PROLOG,Publications and related services,Commercial,4000065555,2.08
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,PEN GREEN RESEARCH,"Current grant to third sector organisation / not for profit organisation.
Specifically part of the Voluntary and Community Organisations £60m grant. Theme 2: early years and childcare",Commercial,4000065552,"57,750.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,98.6
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,417.76
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,IPSOS MORI,"Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation.
Specifically for Early Years Research and Evaluation survey",Commercial,4000064955,"38,280.00"
Department for Education,DEPARTMENT FOR EDUCATION,17/11/2011,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Publications and related services,Commercial,4000065555,"1,495.67"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,141.04
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,730.96
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,140.13
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,197.87
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,215.54
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,738
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel to attend training events,Commercial,4000064880,185.81
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,291.21
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,116.78"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel to attend training events,Commercial,4000065995,148.65
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,551.25
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,"Costs related to staff travel expenses for official duty.
This transaction is an amalgamation of several lower value travel costs
",Commercial,4000064880,"6,253.24"
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to subsistence and lodging allowances for official duty,Commercial,4000064880,267.58
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"2,545.72"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,"Costs related to staff travel expenses for official duty.
This transaction is an amalgamation of several lower value travel costs
",Commercial,4000065995,"4,407.01"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to subsistence and lodging allowances for official duty,Commercial,4000065995,251.91
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,119.51
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,95.61
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,12.07
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,People and Change,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,343.02
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,793.56
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,"1,668.51"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,"1,306.45"
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Personnel Related,People and Change,EDENRED,Costs related to childcare services provided for staff including the management fee and subsidy costs,Commercial,4000066006,"58,106.48"
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,ALB Reform Group,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,721.94
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,942.62
Department for Education,DEPARTMENT FOR EDUCATION,07/11/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064946,702.8
Department for Education,DEPARTMENT FOR EDUCATION,23/11/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000065995,349.23
Department for Education,DEPARTMENT FOR EDUCATION,03/11/2011,Travel and Events,Children Young People and Families Directorate,EXPOTEL HOTEL RESERVATIONS LTD,Costs related to staff travel expenses for official duty,Commercial,4000064820,100.06
Department for Education,DEPARTMENT FOR EDUCATION,04/11/2011,Travel and Events,Children Young People and Families Directorate,CARLSON WAGONLIT TRAVEL,Costs related to staff travel expenses for official duty,Commercial,4000064880,532.76
