Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) ,VAT Registration Number
FCO,FCO,04-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FIELD FISHER WATERHOUSE,1002471,"29,122.90",
FCO,FCO,04-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FIELD FISHER WATERHOUSE,1002471,"5,096.51",
FCO,FCO,08-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,COLLIERS,1002623,"49,250.00",
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"31,573.92",
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"20,636.25",
FCO,FCO,09-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1002718,"9,136.78",
FCO,FCO,09-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1002718,-0.01,
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"-31,573.92",
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"-20,636.25",
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"31,573.92",
FCO,FCO,09-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1002718,"20,636.25",
FCO,FCO,03-Nov-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007516,"221,336.05",
FCO,FCO,03-Nov-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,4000347,"75,282.31",
FCO,FCO,05-Nov-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,MEX EMPLOYEE EXPENSES,7001208,"55,761.80",
FCO,FCO,24-Nov-10,CFER Payments to The Exchequer,NON CASH & UNALLOCATED COSTS,H M EXCHEQUER,3000462,"1,033,951.31",
FCO,FCO,12-Nov-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CUH EMPLOYEE EXPENSES,2004335,"48,289.46",
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,"11,000.00",
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,550,
FCO,FCO,02-Nov-10,IT/IS Consultancy,DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1002227,"15,649.20",
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,"4,032.30",
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,17.92,
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,-17.92,
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,215.04,
FCO,FCO,02-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,"4,759.86",
FCO,FCO,02-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,743.28,
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,"-4,032.30",
FCO,FCO,02-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1002227,"4,032.30",
FCO,FCO,01-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002142,"100,000.00",
FCO,FCO,01-Nov-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002142,"17,500.00",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"25,430.00",
FCO,FCO,05-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002584,"4,450.25",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"-25,430.00",
FCO,FCO,05-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002584,"-4,450.25",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"25,430.00",
FCO,FCO,05-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002584,"4,450.25",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"-25,430.00",
FCO,FCO,05-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002584,"-4,450.25",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"25,430.00",
FCO,FCO,05-Nov-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1002584,"4,450.25",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"-25,430.00",
FCO,FCO,05-Nov-10,IT/IS Consultancy,DG CENTRAL GROUP,HEWLETT-PACKARD LTD,1002584,"25,430.00",
FCO,FCO,10-Nov-10,P.A.Y.E Income Tax (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,3000407,"3,547,702.78",
FCO,FCO,10-Nov-10,National Insurance (NI) (Oracle PAY Control Account),NON CASH & UNALLOCATED COSTS,HM REVENUE & CUSTOMS,3000407,"1,994,714.56",
FCO,FCO,24-Nov-10,Consultants Travel and Disbursements (CLOSED),DG DEFENCE AND INTELLIGENCE,HOME OFFICE,3000464,"125,154.63",
FCO,FCO,24-Nov-10,Consultants Travel and Disbursements (CLOSED),DG DEFENCE AND INTELLIGENCE,HOME OFFICE,3000464,"-125,154.63",
FCO,FCO,24-Nov-10,Temp Duty Staff and Air Travel,DG DEFENCE AND INTELLIGENCE,HOME OFFICE,3000464,"125,154.63",
FCO,FCO,04-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"4,416.02",
FCO,FCO,04-Nov-10,Maintenance B and Ce,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,149.69,
FCO,FCO,04-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"1,368.55",
FCO,FCO,04-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,19.87,
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"4,521.10",
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,196.25,
FCO,FCO,04-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,162.1,
FCO,FCO,04-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,153.04,
FCO,FCO,04-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"1,971.16",
FCO,FCO,04-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"2,540.12",
FCO,FCO,04-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,492.79,
FCO,FCO,04-Nov-10,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,339.82,
FCO,FCO,04-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"4,569.69",
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"5,169.68",
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,193.8,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,971.52,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,32.93,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,301.08,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,4.37,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,994.64,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,43.18,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,35.66,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,33.67,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,433.65,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,558.83,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,108.41,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,74.76,
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"1,005.33",
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,"1,137.33",
FCO,FCO,04-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9856,42.64,
FCO,FCO,04-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"2,458.87",
FCO,FCO,04-Nov-10,Maintenance B and Ce,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,252.84,
FCO,FCO,04-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,883.85,
FCO,FCO,04-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,226.43,
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"9,952.54",
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,407.89,
FCO,FCO,04-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,112.4,
FCO,FCO,04-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,508.52,
FCO,FCO,04-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"6,760.95",
FCO,FCO,04-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"5,297.60",
FCO,FCO,04-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"1,690.24",
FCO,FCO,04-Nov-10,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,146.4,
FCO,FCO,04-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"11,406.65",
FCO,FCO,04-Nov-10,Rematching / Reinstatement,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,172.87,
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9859,"5,966.66",
FCO,FCO,04-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"2,458.87",
FCO,FCO,04-Nov-10,Maintenance B and Ce,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,252.84,
FCO,FCO,04-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,883.85,
FCO,FCO,04-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,226.43,
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"9,952.54",
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,407.89,
FCO,FCO,04-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,112.4,
FCO,FCO,04-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,508.52,
FCO,FCO,04-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"6,760.95",
FCO,FCO,04-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"5,297.60",
FCO,FCO,04-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"1,690.24",
FCO,FCO,04-Nov-10,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,146.4,
FCO,FCO,04-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"11,406.65",
FCO,FCO,04-Nov-10,Rematching / Reinstatement,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,172.87,
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9860,"5,966.66",
FCO,FCO,04-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"3,103.61",
FCO,FCO,04-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,614.69,
FCO,FCO,04-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,445.31,
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"3,596.18",
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,305.01,
FCO,FCO,04-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,60.86,
FCO,FCO,04-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,308.19,
FCO,FCO,04-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"6,179.30",
FCO,FCO,04-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"4,410.23",
FCO,FCO,04-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"1,544.82",
FCO,FCO,04-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,924.53,
FCO,FCO,04-Nov-10,Rematching / Reinstatement,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,653.7,
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9861,"4,780.74",
FCO,FCO,04-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"3,103.61",
FCO,FCO,04-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,614.69,
FCO,FCO,04-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,445.31,
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"3,596.18",
FCO,FCO,04-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,305.01,
FCO,FCO,04-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,60.86,
FCO,FCO,04-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,308.19,
FCO,FCO,04-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"6,179.30",
FCO,FCO,04-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"4,410.23",
FCO,FCO,04-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"1,544.82",
FCO,FCO,04-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,924.53,
FCO,FCO,04-Nov-10,Rematching / Reinstatement,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,653.7,
FCO,FCO,04-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9862,"4,780.74",
FCO,FCO,23-Nov-10,Maintenance M and E,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"6,189.67",
FCO,FCO,23-Nov-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"1,107.31",
FCO,FCO,23-Nov-10,Grounds Mainteance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,637.84,
FCO,FCO,23-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"5,399.54",
FCO,FCO,23-Nov-10,Cleaning,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,416.23,
FCO,FCO,23-Nov-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,411.19,
FCO,FCO,23-Nov-10,Waste Disposal,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,491.87,
FCO,FCO,23-Nov-10,Reception Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"3,310.48",
FCO,FCO,23-Nov-10,Contract Porterage,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"4,086.75",
FCO,FCO,23-Nov-10,Stationery - General,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,827.62,
FCO,FCO,23-Nov-10,Corporate Strategy Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,251.21,
FCO,FCO,23-Nov-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"10,708.73",
FCO,FCO,23-Nov-10,Contract Fees,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"9,047.44",
FCO,FCO,23-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,"1,237.93",
FCO,FCO,23-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,221.46,
FCO,FCO,23-Nov-10,FM Interserve Overseas Reclaimable Tax,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9956,127.56,
