Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000038018,1949800.00 ,2013-14 Animal Welfare Inspections - April-October 2013,KT15 3NB,SME,DFP/FUNDING,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041355,429721.02 ,2013-14 Animal Welfare Inspections - January-February 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000025117,156758.53 ,2012-13 Animal Welfare monitoring - April 2012-January 2013,KT15 3NB,SME,DFP/FUNDING,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies UK,Chief Operating Officer DG,Animal Health and Veterinary Laboratories Agency,5000041184,924210.96 ,2013-14 Laboratory Surveillance - January-February 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000042171,40231.15 ,Project Costs for work on Sheep Database - April 2014,YO1 7PX,SME,IDS FUNDING,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041186,375000.00 ,Laboratory services for surveillance of exotic diseases - January-February 2014,YO1 7PX,SME,IGS,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041347,247282.49 ,"Animal Identification and Gatherings: Registrations, approvals and inspections - January-February 2014",KT15 3NB,SME,Funding/DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041350,588111.80 ,2013-14 Exotic Disease Requirements Plan England - January-February 2014,YO1 7PX,SME,IGS,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,07/04/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041188,54000.00 ,International Trade Surveillance New and Emerging Evidence Plan - March 2014,KT15 3NB,SME,IGS,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/04/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-537726-48364,25357.50 ,Maintenance of a Transmissible Spongiform Encephalopathy (TSE)-free sheep flock after importation from New Zealand - April 2014,KT15 3NB,SME,exempt,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/04/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-537769-48384,61168.74 ,"Antigen mining, Differentiation of Infected and Vaccinated Animals (DIVA) assays and other diagnostic approaches - April 2014",KT15 3NB,SME,Exempt,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041348,588258.29 ,International Trade Border Controls - January-February 2014,KT15 3NB,SME,IGS,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000039703,644974.39 ,2013-14 Voluntary Early Retirement/Voluntary Early Severance funding,KT15 3NB,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,29/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000042270,277280.94 ,The Veterinary Surveillance Strategy,YO1 7PX,SME,DFP FUNDING,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/04/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-537767-48393,75173.00 ,2014-15 Development of an oral BCG vaccine for badgers (research component) - April 2014,KT15 3NB,SME,,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041190,492000.00 ,2013-14 Laboratory Surveillance - January-February 2014,KT15 3NB,SME,IDS,VLAL0001,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/04/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-537766-48392,98381.00 ,Development of an oral Bacille Calmette Guerin (Badger TB) vaccine for badgers - regulatory component - April 2014,KT15 3NB,SME,IGS,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,17/04/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040034,754456.00 ,2013-14 Badger control advice and support Final invoice,YO1 7PX,SME,DFP,BCP00001,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,25/04/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-537637-48362,104703.00 ,2014-15 Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle - April 2014,KT15 3NB,SME,SE3266,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041353,11788758.08 ,2013-14 Bovine Tuberculosis requirements plan - January-February 2014,KT15 3NB,SME,FUNDING - DFP,AHVLA001,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000039702,262871.97 ,2012-13 Voluntary Early Retirement/Voluntary Early Severance funding,KT15 3NB,SME,,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000039868,1404557.68 ,2012-13 Voluntary Early Retirement/Voluntary Early Severance funding ,KT15 3NB,SME,,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041346,388853.63 ,2013-14 England Animal By-Product Requirements Plan - January-February 2014,YO1 7PX,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041187,266192.22 ,2013-14 Contract E: Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - January-February 2014,YO1 7PX,SME,FUNDING,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFRA,DEFRA,01/04/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000041354,122750.02 ,2013-14 Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance -January-February 2014,YO1 7PX,SME,DFP,00000000,Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
