Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,
DEFRA,DEFRA,28/03/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5803140453,"30,254.24",Office Move - Closure of Rural Payments Agency and Natural England Northallerton Office - time and materials - 31 January-21 February 2014.,GU1 2LD,SME,10040,B516P005,Asset,,,
DEFRA,DEFRA,20/03/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031132,"106,201.55",Dover - Carry out minor refurbishment works on behalf of Animal Health and Veterinary Laboratory Agency - December 2013.,BS32 4NH,,10195L,AHVLA103,Asset,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032750,"197,489.56",Nobel House Main Reception Works - February 2014.,BS32 4NH,,10195L,B196P010,Asset,,,
DEFRA,DEFRA,28/03/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031108,"128,000.00","Installation of door access controls to Block 11G and 04 Offices and Laboratories at The Food and Environment Research Agency, Sand Hutton, York - December 2013",BS32 4NH,,10195L,FERA1001,Asset,,,
DEFRA,DEFRA,26/03/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031109,"85,556.80","3-8 Whitehall Place, London - Scottish and Southern Energy (SSE) Contracting Services to install cabling and gantry access to switchgear - December 2013.",BS32 4NH,,17705,B1910000,Asset,,,
DEFRA,DEFRA,26/03/2014,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00028179,"93,652.01","Food and Environment Research Agency, Sand Hutton, York. This is for the provision of spare Building Management System controllers on site which will enable quick replacements should any units fail - August 2013.",BS32 4NH,,15782,FERAREDE,Asset,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032745,"55,951.60","Nobel House, London - the creation of new meeting room suites - February 2014",BS32 4NH,,10195L,B196P010,Asset,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032732,"50,600.70","Nobel House - Works being undertaken on new lighting, to include all strip out and removal from the existing set up - February 2014.",BS32 4NH,,17567,B196P010,Asset,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,T N S Uk Ltd,260132879,"25,873.20",Rural Ageing Research project - The Impact of an Ageing Population on Service Design and Delivery in Rural Areas ,W5 1UA,,RE0259,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,URS Infrastructure & Environment UK Ltd,5810361,"30,843.60",Production of a framework and baseline for monitoring and evaluating the impact of the rural tourism measures of the Rural Economy Growth Review - 18 November 2013-31 January 2014.,RG21 7PP,,RE0272,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,Other Current Payments (GB),Policy Delivery DG,North Wales Police,F0004218,"136,000.00",National Wildlife Unit core funding - 2013-14.,LL29 8AW,,20242,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,International Subscriptions (Foreign Payments),Policy Delivery DG,United Nations Environment Prog,FUND9130UK200314,"54,108.64",Payment to general trust fund for Eurobats 2014.,00100,,,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Health & Safety Laboratory,036523,"46,428.00",Support for Health and Safety Executive pesticide study 2013-14.,SK17 9JN,,PS2622,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Sac Commercial Ltd,20753724,"33,697.00",Determining fungicide resistance - 2013-14,EH9 3JG,,exempt,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Warwick,ERS-535891-47904,"27,815.00",Combined applications of microbial bio-insecticides and chemical pesticides for integrated pest management of key insect pest species - 2013-14,CV4 7AL,,PS2154,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1398832,"30,125.00",Evaluating the potential of constructed wetland features for mitigating the impact of pesticide losses from agricultural land - 01 April 2013-30 March 2014.,MK43 0AL,,PS2248,00000000,Expense,,,
DEFRA,DEFRA,20/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Sinclair Knight Merz (Europe) Ltd,JW03250,"41,131.50","Project to look at ""Estimates of Commercial and Industrial Waste Generation in England in 2012"" - 2013-14",CB3 6DP,,EV0804,00000000,Expense,,,
DEFRA,DEFRA,10/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Institute Of Development Studies,25157,"29,820.00",Global Food Security Modelling: A Review of Approaches and Results,BN1 9RE,,DO0139,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",University Of Warwick,ERS-535347-47899,"52,736.66",Study to review and recommend enhancements to the Animal Health and Veterinary Laboratory Agency welfare compliance farm inspections risk model - March 2014,CV4 7AL,,,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",University Of Bristol,ERS-10-MAR-14-47873,"31,608.09",Construction of nest areas in enriched colony cages - March 2014 ,BS40 5DU,,AW0237,00000000,Expense,,,
DEFRA,DEFRA,12/03/2014,Application Services/Minor Enhancements,Chief Operating Officer DG,IBM United Kingdom Ltd,5802140633,"51,038.52",eDomero (a plant health services online facility) enhancements - 01-28 February 2014,GU1 2LD,SME,10040,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Inwards Secondments,Chief Operating Officer DG,Natural England,8000016515,"25,064.05",One member of staff on secondment to Information Services - October-December 2013.,YO1 7PX,,exempt,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Contractor - Management Cover,Chief Operating Officer DG,Food & Environment Research Agency,F0035115,"32,349.92",Economics support for the future of Food and Environment Research Agency - 2013-14,YO41 1LZ,,DFP,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032705,"81,191.70",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0820000,Expense,,,
DEFRA,DEFRA,14/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031877,"111,862.28","Animal Health Wildlife Unit - To supply a special delivery service, additional security support at Aston Down house and hire of three chillers, X-ray equipment, scales and compound equipment - 27 September-25 October 2013",BS32 4NH,,10195L,B2160000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032708,"87,570.07",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032709,"109,374.71",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0720000,Expense,,,
DEFRA,DEFRA,14/03/2014,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032608,"2,102,082.00",Facilities Management core contract costs - February 2014,BS32 4NH,,10321,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00033153,"114,473.55",Consumables provided to various sites as part of the Facilities Management contract - February 2014,BS32 4NH,,10226,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032643,"127,320.10",Consumables provided to various sites as part of the Facilities Management contract - January 2014,BS32 4NH,,10226,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032706,"316,883.90",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10159L,B0610000,Expense,,,
DEFRA,DEFRA,14/03/2014,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032609,"579,830.69",Facilities Management core reactive contract costs - February 2014,BS32 4NH,,10321,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031875,"109,052.38",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0870000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032710,"43,117.38",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0870000,Expense,,,
DEFRA,DEFRA,14/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00031876,"78,815.75",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0610000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032707,"124,162.30",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,B0870000,Expense,,,
DEFRA,DEFRA,18/03/2014,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00032704,"141,704.75",Estates maintenance projects over multiple sites - February 2014,BS32 4NH,,10195L,00000000,Asset,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (GB),Chief Operating Officer DG,Policy Profession Support Unit,1117840,"30,000.00",Contribution to the Civil Service-wide Policy Professional Support Unit to develop the Policy Profession - 2013-14.,NP20 9PP,,Funding,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Food & Environment Research Agency,F0034949,"35,745.00",Validation of the transfer of the method developed to determine the species provenance of blood-based binding agent to a range of commercially available processed meals - 2013-14,YO41 1LZ,,exempt,SFFS0007,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Campden Bri,20078445,"30,000.00",Optimising energy management in food production project - 2012-13,GL55 6LD,,exempt,SFFS0003,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Campden Bri,20078426,"57,093.03","Surface pasteurisation of food packages project - Understanding the issues, reducing waste and saving energy and water - October-December 2013.",GL55 6LD,,Exempt,SFFS0003,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Best Foot Forward Ltd,101400,"92,510.00",Evaluation of EU Food Information to Consumers - Extension of business and consumer survey 2013-14,OX4 1RE,SME,FA0132,SFFS0003,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Food Standards Agency,1702549,"25,200.00",Food Information for Consumers (FIC) e-learning: Phase 2 - 2013-14,YO1 2YX,,FA0128,SFFS0003,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Food Standards Agency,1702526,"39,712.00",Food Information for Consumers (FIC) e-learning: Phase 1 - 2013-14,YO1 2YX,,FA0128,SFFS0003,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments UK,Policy Delivery DG,Climate Partnership UK t/a Climate UK,7750,"37,200.00",Funding for Business Advisors Training towards OFQUAL (The Office of Qualifications and Examinations Regulation) Qualification - Cost is for 16 workshops (2 workshops for each of the 8 climate change partnership regions)  ,SW1P 2AL,SME,Funding,PROGMGMT,Expense,,,
DEFRA,DEFRA,20/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Sheffield,1800105232,"35,000.00",Project to look at water quality risks from light industrial estate runoff - Payment 2,S10 2UH,,WT0998,00000000,Expense,,,
DEFRA,DEFRA,12/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Wales Aberystwyth,20039648,"96,337.33",Treatment of non-coal mine water - establishing new pilot trials using alternative technologies - 2013-14 Quarter 3,SY23 2AX,,Exempt,00000000,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cascade Consulting (Environment & Planning) Ltd,3059,"25,000.00",Assessing opportunities for aligning planning and delivery mechanisms for water management at the catchment scale 2013-14 - Milestones 1 and 2.,M15 6SE,SME,WT1526,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Wales Aberystwyth,20041056,"41,396.64",Treatment of non-coal mine water - establishing new pilot trials using alternative technologies - 2013-14 Quarter 4,SY23 2AX,,,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535447-48045,"66,275.00",Developing improved methods to quantify transmission of foot-and-mouth disease virus - March 2014,GU24 0NF,,SE2815,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Food Standards Agency,1702499,"38,045.15",Cleaning and disinfecting livestock vehicles - January 2014.,YO1 2YX,,FUNDING,MHS00946,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535454-48050,"50,000.00",The development of novel subunit vaccines and viral delivery mechanisms for African Horse Sickness (AHS) viral antigens - 2013-14 ,GU24 0NF,,,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Advisory Services,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000040049,"221,490.00","Echinococcus multilocularis surveillance - 01 April 2013-31 March 2014 
 
",YO1 7PX,SME,FUNDING,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Rural Payments Agency,336887,"49,968.00",Sheep and Goat inspections - February 2014.,RG1 3YD,SME,IDS/Funding,SGTINSP1,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535452-48047,"35,008.83",Molecular epidemiology of foot-and-mouth disease virus - March 2014,GU24 0NF,,SE2940,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535448-48046,"206,666.66",Developing improved methods to quantify transmission of foot-and-mouth disease virus - March 2014,GU24 0NF,,SE2815,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",B B S R C,BBSR11411,"1,790,000.00",Contract and delivery plan for the provision of national reference laboratory requirements - April 2013-March 2014.,SN2 1UH,,20411,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535440-48042,"81,658.91",Further development of Real Time Polymerase Chain Reaction (RT-PCR) technology in support of Foot and Mouth Disease diagnosis - March 2014,GU24 0NF,,exempt,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Food Standards Agency,1702445,"58,390.88",Cleaning and disinfecting livestock vehicles - December 2013.,YO1 2YX,,FUNDING,MHS00946,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535473-48013,"61,277.75","Antigen mining, Differentiation of Infected and Vaccinated Animals (DIVA) assays and other diagnostic approaches - March 2014",KT15 3NB,SME,Exempt,00000000,Expense,,,
DEFRA,DEFRA,26/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",A D A S UK Ltd,210314,"53,060.00",The detection of low levels of bovine spongiform encephalopathy (BSE) in the presence of an excess of scrapie - March 2014,WV9 5AP,,,00000000,Expense,,,
DEFRA,DEFRA,19/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",I N R A Jouy-en-Josas,1303147476412,"74,764.12",Assessing the zoonotic potential of atypical transmissible spongiform encephalopathy's with human transgenic mouse models - Payment 2.,78352,SME,,00000000,Expense,,,
DEFRA,DEFRA,27/03/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-535456-48051,"31,329.91",Understanding and predicting the spread of vector- and aerosol-borne livestock pathogens in the UK - March 2014,GU24 0NF,,Exempt,00000000,Expense,,,
DEFRA,DEFRA,24/03/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",C E F A S,8003685,"318,140.32",High Level Agreement Payment - Aquatics Evidence (Research and Development) - March 2014.,NR33 0HT,SME,FUNDING,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535379-47985,"51,156.41",Maintenance of a Transmissible Spongiform Encephalopathy (TSE)-free sheep flock after importation from New Zealand - March 2014,KT15 3NB,SME,exempt,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535381-47987,"45,564.08",Studies of natural and experimental Transmissible Spongiform Encephalopathies (TSE) - Animal Health and Veterinary Laboratories Agency (AHVLA) - March 2014,KT15 3NB,SME,exempt,00000000,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-535639-48025,"38,713.12",The molecular biology of antimicrobial bacteria affecting food producing animals in England and Wales - 2013-14,KT15 3NB,SME,IGS,00000000,Expense,,,
DEFRA,DEFRA,04/03/2014,Civil service Pension Administration,Chief Operating Officer DG,JSS Pensions Administration,RCPS10216,"37,789.28",Provision of Horticulture Research International Staff Pension Scheme Payments - March 2014,SN2 1FF,,16500,00000000,Expense,,,
DEFRA,DEFRA,14/03/2014,Contractor - Management Cover,Chief Operating Officer DG,LA International Comp Cons Ltd,LA264704,"25,800.72","Contractor costs for one project manager to work on the Common Agricultural Policy delivery programme - Weeks Ending 29 December 2013, 12 January 2014 and 19 January 2014.",ST1 5UB,SME,CAP145,CAPDBA00,Expense,,,
DEFRA,DEFRA,24/03/2014,Overhead Incidental Expenses,Chief Operating Officer DG,Specialist Computer Centres,OPL810620,"398,186.04",Common Agricultural Policy Delivery - Agile Developers Milestone 5 - 11 March 2013-10 September 2015,B11 2LE,SME,CAP010,00000000,Asset,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPL806335,"397,821.62",Common Agricultural Policy Delivery - Agile Developers Milestone 6 - 11 March 2013-10 September 2015,B11 2LE,SME,CAP010,CAPDFA01,Asset,,,
DEFRA,DEFRA,14/03/2014,Computer & IT Services,Chief Operating Officer DG,Specialist Computer Centres,OPL807097,"320,917.30",100 software licenses for Business Objects XI,B11 2LE,SME,,00000000,Asset,,,
DEFRA,DEFRA,10/03/2014,Inwards Secondments,Chief Operating Officer DG,Natural England,8000016518,"27,238.56",Inward Secondment for Common Agricultural Policy Delivery Programme From Natural England - October-December 2013.,YO1 7PX,,IGS,CAPDPMO0,Expense,,,
DEFRA,DEFRA,28/03/2014,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPL803134,"345,023.81",Year 1 Abaco Siti Agri software which is an Integrated Administration and Control System for the subsidies paid to European farmers in the Common Agricultural Policy (CAP) - January 2014.,B11 2LE,SME,CAP081,CAPDFA01,Asset,,,
DEFRA,DEFRA,14/03/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260003992,"90,538.00",Software for the Finance and Human Resources Implementation costs - Year 1 P-RC (Programme Running Cost) 2 - Inception,SE1 2AP,SME,CAP080,CAPDFA03,Expense,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPL810621,"289,156.04",Common Agricultural Policy Delivery - Agile Developers Milestone 10 - 11 March 2013-10 September 2015,B11 2LE,SME,CAP010,CAPDFA01,Asset,,,
DEFRA,DEFRA,14/03/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260003989,"306,212.00",Software for the Finance and Human Resources Implementation costs - Year 1 P-RC2 - Inception,SE1 2AP,SME,CAP080,CAPDFA03,Expense,,,
DEFRA,DEFRA,10/03/2014,IT Consultancy Non-Scheme,Chief Operating Officer DG,Visionware Ltd,4442,"27,600.00",Re-configuration and expansion of the Rural Payment Agency's Master Data Management Application - Cost rechargeable to Rural Payments Agency - Delivery phase 2.,G2 1PB,SME,CAP072,CAPDFA10,Expense,,,
DEFRA,DEFRA,24/03/2014,Overhead Incidental Expenses,Chief Operating Officer DG,Specialist Computer Centres,OPL810619,"468,600.12",Common Agricultural Policy Delivery - Agile Developers Milestone 4 - 11 March 2013-10 September 2015,B11 2LE,SME,CAP010,00000000,Asset,,,
DEFRA,DEFRA,20/03/2014,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPL807098,"409,213.69",Common Agricultural Policy Delivery - Agile Developers Milestone 9 - 11 March 2013-10 September 2015,B11 2LE,SME,CAP010,CAPDFA01,Asset,,,
DEFRA,DEFRA,18/03/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260003991,"445,822.00",Software for the Finance and Human Resources Implementation costs - Year 1 P-RC4 Construction - Prototype on DEFRA infrastructure,SE1 2AP,SME,CAP080,CAPDFA03,Expense,,,
DEFRA,DEFRA,18/03/2014,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260003990,"295,420.00",Software for the Finance and Human Resources Implementation costs - Year 1 P-RC (Programme Running Cost) 3  Elaboration,SE1 2AP,SME,CAP080,CAPDFA03,Expense,,,
DEFRA,DEFRA,10/03/2014,Inwards Secondments,Chief Operating Officer DG,Natural England,8000016504,"30,643.70",Inward Secondment of one person to the Common Agricultural Policy Delivery Programme From Natural England - October-December 2013.,YO1 7PX,,IGS,CAPDFA01,Expense,,,
DEFRA,DEFRA,28/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Cranfield University,1399452,"51,033.00",Fusion of multi-source and multi-sensor information on soil and crop for optimised crop production system - Stage 2,MK45 4DT,,exempt,SFFS0006,Expense,,,
DEFRA,DEFRA,14/03/2014,Evidence Non R&D,Policy Delivery DG,Global Bio Info Facility Sec,2014UK15,"110,899.35",2014 payment to the Global Biodiversity Information Facility (GBIF),,SME,,BIODECOS,Expense,,,
DEFRA,DEFRA,25/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-535761-48027,"66,392.80",A multi-site field project assessing the potential of badger fertility control for reducing damage in urban areas - 2013-14,KT15 3NB,SME,WM0324,00000000,Expense,,,
DEFRA,DEFRA,18/03/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Department Of Energy and Climate Change,1100014444,"35,000.00",Avoiding Dangerous Climate Change (AVOID) Grant -Phase 2,SW1A 2HD,SME,Grant,THEMELED,Expense,,,
