Department of Health,Department of Health,06/07/2012,Policy Payments,External Relations Directorate,MINISTRY OF JUSTICE (MOJ),PUBLIC,SW1P 4DH,10/RL110/134,31250,,Work undertaken by Law Commission on its review of legislation relating to professional regulation - 2012/14,Admin
Department of Health,Department of Health,06/07/2012,Arm Length Bodies-Revenue Subsidy,External Relations Directorate,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,SL02438,949000,,GSCC Specific Grant Revenue Cash Drawdown 2012/13,Admin
Department of Health,Department of Health,09/07/2012,Outsourcing Contract,External Relations Directorate,NHS EMPLOYERS LTD,SME,SW1E 5DD,9384,1799967.25,,NHS Employers Core contract,Programme
Department of Health,Department of Health,10/07/2012,Outsourcing Contract,External Relations Directorate,SERCO LISTENING LTD,LARGE,PO1 2RX,90723102,26738.2,,Provision of specialist contact centre services to support the Smokefree campaign.,Programme
Department of Health,Department of Health,10/07/2012,Outsourcing Contract,External Relations Directorate,SERCO LISTENING LTD,LARGE,PO1 2RX,90723100,27617.61,,Provision of specialist contact centre services for the Worth Talking About sexual health campaign. ,Programme
Department of Health,Department of Health,10/07/2012,Publicity & advertising,External Relations Directorate,Data Lateral Ltd,LARGE,NG17 5FB,107815,43725,,"Games4Life - Scoping and Strategy Support, Questionnaire Website Design, Build, Mobile Version of Site, Facebook App, launch to email audience & 6 weekly eCRM, pURL mirosite for existing audience AND Action plan recipients, CRM Mailing, AP",Programme
Department of Health,Department of Health,10/07/2012,Outsourcing Contract,External Relations Directorate,CALLCREDIT MARKETING LTD,SME,LS3 1EP,INV01827,44281.39,,Smokefree contact centre and related database service provision.,Programme
Department of Health,Department of Health,10/07/2012,Outsourcing Contract,External Relations Directorate,SERCO LISTENING LTD,LARGE,PO1 2RX,90723101,68850.45,,"Provision of specialist contact centre services covering the drink, drugs and sexual health portfolio.",Programme
Department of Health,Department of Health,10/07/2012,Outsourcing Contract,External Relations Directorate,CWM TAF HEALTH BOARD,PUBLIC,CF47 0SJ,53711,79624,,NHS Jobs - Cwm Taf work for 2012/13,Programme
Department of Health,Department of Health,10/07/2012,Publicity & advertising,External Relations Directorate,Data Lateral Ltd,LARGE,NG17 5FB,107824,88006.32,,Lazytown - Term 3 activity 2012,Programme
Department of Health,Department of Health,11/07/2012,Provisions cash payment,External Relations Directorate,NHS INJURY BENEFITS SCHEME,PUBLIC,FY7 8LG,ERS-465527-61941,4403243.97,,Injury Allowance Recharging,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008065,22371.74,,CPA for ESR Contract - Smart T&A Executable Option (Pass Through costs) FY12-13,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008069,22371.74,,CPA for ESR Contract - Smart T&A Executable Option (Pass Through costs) FY12-13,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008168,59034.82,,CPA for ESR and nLMS Contract - CCN 414 - ESR Warwick Accommodation Apr10 to Mar12,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008063,71461.7,,CPA for ESR Contract CCN 126 ESR NHS Payslip Printing and Courier solution,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008165,101802.21,,CPA for DH ESR Contract - nLMS Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008185,111973.66,,"CPA for DH ESR Contract - CCN 126 NHS Payslip Production, Printing and Courier Charges FY12-13",Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008165,123723.91,,CPA for DH ESR Contract - RPP Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,13/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008165,2703357.8,,CPA for DH ESR Contract - ESR Monthly Service Charge,Programme
Department of Health,Department of Health,16/07/2012,CIP Addition Clearing - IT_IDS,External Relations Directorate,IMC (UK) LEARNING LTD,SME,TN13 1BL,IUK2012-128,80132.4,,Contract for the provision of an lms for E-lfh -Delivery of IMC services,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812583,25507.11,,Smokefree Search June -Aug 2012,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812580,28329.12,,Lung cancer campaign - online advertising,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812559,31374.69,,"Change4Life - booking of summer 2012 Games4Life TV space, June - July 2012",Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,SPINNING CLOCK LTD,SME,NG9 2ND,100522,47500,,"Change4Life experiential event at School Games, Olympic Park 8 May 2012",Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812557,50722.28,,Lung cancer campaign -online advertising,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812560,70273.8,,S4L -  press advertising,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812322,73925.59,,March - May online media costs for Secondhand smoke campaign,Programme
Department of Health,Department of Health,17/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,812561,98519.24,,Games4Life Digital Search and Display activity 8 May 12- 20 Aug 2012,Programme
Department of Health,Department of Health,17/07/2012,Printing,External Relations Directorate,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,IN315265,156393.43,,Estimated monthly call off charges for storage and distribution for June 2012 ,Admin
Department of Health,Department of Health,17/07/2012,Outsourcing Contract,External Relations Directorate,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,1035003,196000,,Provision of services to meet the MoU to deliver Specialty Recruitment activity,Programme
Department of Health,Department of Health,18/07/2012,Outsourcing Contract,External Relations Directorate,CALLCREDIT MARKETING LTD,SME,LS3 1EP,INV01487,49572.96,,Smokefree contact centre and related database service provision.,Programme
Department of Health,Department of Health,18/07/2012,Admin Revenue Grant-in-Aid ENDPBs,External Relations Directorate,GENERAL SOCIAL CARE COUNCIL (GSCC),PUBLIC,SE1 2HB,SL02439,1700000,,GSCC Closure Funding Drawdown 2012/13,Admin
Department of Health,Department of Health,23/07/2012,Outsourcing Contract,External Relations Directorate,BT PLC,LARGE,B3 1JX,SW16160043Q001W2,38843.41,,BT services - inbound calls to the current contact centre real estate,Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12060023,25241.6,,Games4Life campaign June 2012 printing of Fun Wheels and recipe books,Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12060027,38912.5,,"Games4Life questionnaire printing of second batch for seven million examples, delivery June 2012",Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12060022,51854.32,,Games4Life branded collateral items to support partner activity for the C4L campaign June 2012,Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,WILLIAMS LEA LTD,LARGE,W2 6LG,DH12060027,122841.38,,"Games4Life questionnaire printing of second batch.  Paper order for seven million examples, delivery June 2012",Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,814036,132893.38,,"Change4Life - booking of summer 2012 Games4Life TV space, June - July 2012",Programme
Department of Health,Department of Health,24/07/2012,Publicity & advertising,External Relations Directorate,GROUPM UK LTD,LARGE,WC7X 8RX,814035,135749.48,,"Change4Life - booking of summer 2012 Games4Life TV space, June - July 2012",Programme
Department of Health,Department of Health,27/07/2012,Professional fees,External Relations Directorate,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS1 3NU,S0000153,1250000,,Skills for Health-DH 12/13 contract,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008061,50796.4,,CPA for ESR Contract FY10-12 In Year CCN support costs,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008255,78011.94,,"CPA for DH ESR Contract - CCN 126 NHS Payslip Production, Printing and Courier Charges FY12-13",Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008166,101802.21,,CPA for DH ESR Contract - nLMS Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008267,101802.21,,CPA for DH ESR Contract - nLMS Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008377,101802.21,,CPA for DH ESR Contract - nLMS Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008166,123723.91,,CPA for DH ESR Contract - RPP Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008267,123723.91,,CPA for DH ESR Contract - RPP Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008377,123723.91,,CPA for DH ESR Contract - RPP Monthly Service Charges FY12-13,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008267,2690615.57,,CPA for DH ESR Contract - ESR Monthly Service Charge,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008166,2704350.92,,CPA for DH ESR Contract - ESR Monthly Service Charge,Programme
Department of Health,Department of Health,30/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008377,2705296.6,,CPA for DH ESR Contract - ESR Monthly Service Charge,Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008392,22371.74,,CPA for ESR Contract - Smart T&A Executable Option (Pass Through costs) FY12-13,Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008394,22371.74,,CPA for ESR Contract - Smart T&A Executable Option (Pass Through costs) FY12-13,Programme
Department of Health,Department of Health,31/07/2012,Publicity & advertising,External Relations Directorate,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI11166,23000,,"Games4Life PR Activation inc. Photography at School Games, News Story, Football Story, Children's competition, Feature ideas, Press Office Costs",Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,External Relations Directorate,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV008393,25343.62,,CPA for ESR Contract - Smart T&A Executable Option (Pass Through costs) FY12-13,Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,External Relations Directorate,FAMILY PLANNING ASSOCIATION,VCS,EC1Y 8QU,582626,30500,,FPA contact centre services - provision of specialist sexual health and family planning advice,Programme
Department of Health,Department of Health,31/07/2012,Outsourcing Contract,External Relations Directorate,CARDIFF UNIVERSITY,PUBLIC,CF24 0DE,1034148,380684,,Provision of services to meet the MoU to deliver the activity of the UKFPO in relation to the Improving Selection to the Foundation Programme initiative.,Programme
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241205RI,-90236,,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance@£35,756.01 mthly",Admin
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241204RI,-58190.61,,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£36,259.76mthly",Admin
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241206RI,-48703.97,,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance@£26,814.04 mthly.",Admin
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241194RI,-32645.17,,"Maple Street - Fixed Building Maintenance Costs from 01/04/12 - 31/03/2013 @13,107.33 mthly",Admin
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241208RI,-5385.18,,"Accommodation Central - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£50,048.95 mthly",Admin
Department of Health,Department of Health,01/07/2012,Building repairs & maintenance,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241174RI,-3497.75,,"CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Building Maintenance @£31,875.08 mthly",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241174RI,3497.75,,"CQC Buildings - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management @£3,497.75 mthly",Admin
Department of Health,Department of Health,01/07/2012,Cleaning: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241194RI,4947.75,,"Maple Street - Fixed Cleaning Costs from 01/04/12 - 31/03/2013 @4,947.75 mthly",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241208RI,5385.19,,"Accommodation Central - FM Fixed Costs from Apr 2012 - Mar 2013 @£5,385.19 mthly",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241206RI,9772.88,,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management@£9,772.88 mthly.",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241194RI,11209.92,,"Maple Street - Fixed FM Costs from 01/04/12 - 31/03/2013 @11,209.92 mthly",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241204RI,12533.53,,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management @£12,533.53mthly",Admin
Department of Health,Department of Health,01/07/2012,Cleaning: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241206RI,13028.68,,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning@£13,028.68 mthly.",Admin
Department of Health,Department of Health,01/07/2012,Security: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241194RI,16487.5,,"Maple Street - Fixed Security Costs from 01/04/12 - 31/03/2013 @16,487.50 mthly",Admin
Department of Health,Department of Health,01/07/2012,Facilities management: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241205RI,19049.25,,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Facilities Management@£19,049.25 mthly",Admin
Department of Health,Department of Health,01/07/2012,Cleaning: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241204RI,19251.42,,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning @£19,251.42mthly",Admin
Department of Health,Department of Health,01/07/2012,Security: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241206RI,25902.42,,"Wellington House - Fixed Costs from Apr 2012 - Mar 2013 - Security@£25,902.42 mthly.",Admin
Department of Health,Department of Health,01/07/2012,Security: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241204RI,26405.67,,"Skipton House - Fixed Costs from Apr 2012 - Mar 2013 - Security @£26,405.67mthly",Admin
Department of Health,Department of Health,01/07/2012,Cleaning: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241205RI,27299.1,,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Cleaning@£27,299.10 mthly",Admin
Department of Health,Department of Health,01/07/2012,Security: contract,Group Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00241205RI,43887.65,,"Richmond House - Fixed Costs from Apr 2012 - Mar 2013 - Security@£43,887.65 mthly",Admin
Department of Health,Department of Health,02/07/2012,Contractor/Staff Substitution,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201292077,4850.98,,Expenses -  to complete the work for this WAF,Admin
Department of Health,Department of Health,02/07/2012,Contractor/Staff Substitution,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201292073,26400,,IT support Analyst,Admin
Department of Health,Department of Health,02/07/2012,Rent of Land & Buildings (non-PFI operating lease),Group Operations & Assurance,MAPELEY BETA ACQUISITION CO LTD,LARGE,SE1 0TA,D0024/30024/122362-24/06/2011,91985,,"Premier House Reading - Accommodation Annual Rent 25/06/2012 - 24/06/2013 - Ref:786338 @ £91,985 per qtr.",Admin
Department of Health,Department of Health,02/07/2012,Contractor/Staff Substitution,Group Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201292077,172853.34,,CSC Labour charges for Discovery Phase work,Admin
Department of Health,Department of Health,02/07/2012,Rent of Land & Buildings (non-PFI operating lease),Group Operations & Assurance,LONDON AND REGIONAL PROPERTIES LTD,LARGE,W1U 7DA,IW1774/194646/5491858260-24/6/2011,1511906,,"Skipton House - Annual Rent 25th Jun 2012 - 24th Jun 2013 (Property Ref:194646) @ £1,511,906 per qtr.",Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,1368,,84372/ETS - WNDW SAS/ETS - 3 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/GRAPH - WNDW SAS/GRAPH - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/FSP - WNDW SAS/FSP - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/EIS - WNDW SAS/EIS - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/CONNECT - WNDW SAS/CONNECT - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/ASSIST - WNDW SAS/ASSIST - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/AF WNDW SAS/AF - 8 Users,Admin
Department of Health,Department of Health,03/07/2012,IT minor costs non capital,Group Operations & Assurance,SAS SOFTWARE LTD,LARGE,SL7 2EB,UK1200877,3384,,84372/ACCPCFF - WNDW SAS/ACESS Interface to PC Files - 8 Users,Admin
