Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,group
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,72,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,164,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RG999-CFLAP Accumulator,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1146216,14.13,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RJ999-JPG - International,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,6.38,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,6.38,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,6.38,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,6.38,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,6.38,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,RZ500-Arms Length Bodies (JPG),ATOS IT SERVICES UK LTD,1146216,82.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1146216,50.9,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,847.86,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,66.86,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1146216,11.17,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1146216,198,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,25.78,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,25.78,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,25.78,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,25.78,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,11.62,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,11.62,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,11.62,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,11.62,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,111.45,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,11.17,IT software required for the MOJ (Phoenix and Aramis Merge project),
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1146216,37.37,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1146216,82.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1146216,25.78,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,24-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1147951,"1,404,726.26",ATOS Monthly ongoing Network Services charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,119,648.35",ATOS Monthly ongoing Hosting charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"644,909.94",ATOS Monthly ongoing Desktop charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"548,404.00",ATOS Monthly ongoing SIAM charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"161,680.00",ATOS Monthly ongoing Laptops charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"131,289.08",ATOS Monthly ongoing Hosting charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"114,174.39",ATOS Monthly ongoing General charges,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"65,352.47","ATOS Monthly ongoing Application, Maintenance & Support charges",
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,168.02,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,33.33,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,205.63,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,46,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,398.30",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,398.30",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,398.30",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,398.30",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,381.33,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"2,859.02",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,48.07,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,615.02,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,265.63,IT peripherals/individual ordered software and equipment,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,718.74",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,859.37,One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"1,398.30",One-off charge for Power down service,
Ministry of Justice,MoJ HQ,03-Nov-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1146216,"2,128.66",One-off charge for Power down service,
