Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type
Defra,EA,19/04/2012,Professional Services Other,SW Wessex North- Flood Risk,White Young Green,1064319,"£26,084.02",Bridgwater west quay emergency ground investigation carry out re-measure of contract works at Bridgwater West Quay.,LS6 2WQ,,30309584,RESW001177,Project
Defra,EA,03/04/2012,Construction,SE Capital WiP,WES Ltd,1061574,"£74,100.00","First stage payment application water treatment (Hydrogen Peroxide Dosing) Facility, Hackney Marshes, East London",RG24 8PP,,,IMSE100117,Project
Defra,EA,03/04/2012,Environmental Services ,AN Northern-AEM - Northampton/Kettering,Welland Rivers Trust,1060655,"£35,000.00",Collaborative working with farmers project river Welland,LE1 7RH,,,REAN001599,Project
Defra,EA,24/04/2012,Environmental Services ,NE Capital WiP,Wear Rivers Trust,1067893,"£56,000.00",Delivery of fish easement project along the Lumpley Park Burn.  Habitat restoration ,DL14 0AG,,,IMNE960008,Project
Defra,EA,17/04/2012,Environmental Services ,MI SEP Manager,Warwickshire Rural Hub Ltd,1065181,"£35,650.00",West Midlands soils group project,CV8 2LZ,,,REMI001499,Project
Defra,EA,24/04/2012,Professional Services Consultancy,National Permitting Service,Wardell Armstrong LLP,1068582,"£28,314.50",Permitting support services,ST1 5BD,,30149984,,Administration
Defra,EA,10/04/2012,Environmental Services ,NE Capital WiP,Wakefield Metropolitan District Council,1064874,"£140,000.00",Flood alleviation scheme for South Kirkby and Minsthorpe Lane. Contribution to partnership with Wakefield Council to construct 2 flood storage facilities.,WF1 1ZS,,,IMNE000162,Project
Defra,EA,24/04/2012,Construction,AN Eastern - Flood Risk,VSL Systems UK Ltd,1068262,"£59,985.80",Thameside ground anchor testing.,LU1 5AT,,,REAN001244,Project
Defra,EA,03/04/2012,Construction,SE Capital WiP,Volkerstevin Ltd,1045036,"£49,545.77",Thames Barrier Gate arm synchronisation trial,EN11 9BX,,30142737,IMTH001493,Project
Defra,EA,05/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1062484,"£31,160.00",Remedial works - Design and build contract.,EN11 9BX,,30142737,IMNW000252,Project
Defra,EA,12/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1065160,"£342,632.02",Cockermouth Town phase 1 engineering construction works,EN11 9BX,,30142737,IMNW000190,Project
Defra,EA,17/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1065163,"£429,144.72",Keswick flood risk engineering construction Works,EN11 9BX,,30142737,IMNW000686,Project
Defra,EA,25/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1068875,"£90,074.50",Scotshaw Bank engineering construction works,EN11 9BX,,30142737,IMNW000323,Project
Defra,EA,25/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1068876,"£117,316.10",Michaels refurbishment high impact risk programme - procurement of piles.,EN11 9BX,,30142737,IMNW000324,Project
Defra,EA,25/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1068877,"£204,843.60",Recondition North Antley Syke to include pipe jack operation under highway and garage.,EN11 9BX,,30142737,IMNW000243,Project
Defra,EA,25/04/2012,Construction,NW Capital WiP,Volkerstevin Ltd,1068878,"£198,704.06",Recondition North Little Harwood culvert repairs.,EN11 9BX,,30142737,IMNW000319,Project
Defra,EA,03/04/2012,Professional Services Technical Services,E and B Land and Water,University Of Oxford,1061429,"£35,000.00",Investigations of the effectiveness of acoustic deterrents in reducing otter visitation at stillwater fisheries,OX1 2XN,,,EBPLW11011,Project
Defra,EA,05/04/2012,Professional Services Other,NE Capital WiP,University of Hull,1063142,"£28,450.00","Ornithological survey work. Bird surveys, breeding bird programme, data analysis, mapping and reporting for the Skeffling",HU6 7RX,,,IMNE000195,Administration
Defra,EA,03/04/2012,Professional Services Technical Services,SW Capital WiP,UK Flood Barriers Ltd,1062158,"£37,585.80",Station Road household level flood protection scheme,WR9 0NX,,,IMSW001985,Project
Defra,EA,19/04/2012,Construction,HO NCPMS National,Turner & Townsend Project Management,1049757,"£25,972.84",National cost management framework contract administation; Business support officer,LS18 4CH,,30314194,,Project
Defra,EA,24/04/2012,Construction,HO NCPMS National,Turner & Townsend Project Management,1067185,"£37,492.48",National cost management framework; Co-located cost advisor secondments; Business support officer,LS18 4CH,,30314194,,Project
Defra,EA,17/04/2012,Environmental Services ,SE Capital WiP,Tunbridge Wells Borough Council,1066429,"£50,000.00","Brewer Street, Lamberhurst property level flood protection.",TN2 9HX,,,IMSE100155,Project
Defra,EA,05/04/2012 | 03/04/2012,ICT,Nat Trading and Reg Services,Trustis Ltd,1060700,"£234,355.20","Design, build and implement. To provide software solution to allow secure access to the EU Emissions Trading System (ETSwap)",RG19 6HN,,,EBOCC40005L03,Project
Defra,EA,10/04/2012,Professional Services Other,Data and Information Management,Thomson Reuters Scientific,1063153,"£34,452.00",Web of science citation database 2012/2013,EC1N 8JS,,,HOEV101104,Administration
Defra,EA,05/04/2012,Clinical & Medical,NLS Capital WiP,Thermo Fisher Scientific,1063408,"£104,740.56",THERMO FISHER  X Series 2 ICPMS to include bench printer and 1 year extended warranty,HP2 7GE,,30290668,NL00000048,Administration
Defra,EA,24/04/2012,Operational Goods & Services,SE North East Thames - Ops Delivery | SE SSD - Ops Delivery,Thermo Fisher Scientific,1056427,"£35,061.60",Supply and install S200 Sarasota Ultrasonic Multipath open channel flowmeter gauge at Guildbourne House,CW7 3GA,,,RESE100065 | RESE100054,Administration
Defra,EA,10/04/2012,Operational Goods & Services,SE SSD - AEM Monitoring,Thermo Fisher Scientific,1064678,"£43,974.60","Design, supply, installation and Maintenance of Ultrasonic/Electro Magnetic Flow Gauges",CW7 3GA,,30339567,,Project
Defra,EA,17/04/2012,Construction,SW Capital WiP,Team Van Oord,1065963,"£97,553.52",Wessex reconditioning package. Engineering construction works,RG14 5QS,,30142735,IMSW001960,Project
Defra,EA,24/04/2012,Construction,SW Capital WiP,Team Van Oord,1067439,"£97,307.44","Work at Braunton for the reconstruction of memorial shelter, resurface car park, additional drainage to playing field, relocate access ramp, stump removal.",RG14 5QS,,30142735,IMSW001850,Project
Defra,EA,05/04/2012,Construction,National Facilities Manager,Team Q Maintenance Ltd,1062606,"£56,640.00",Osney Yard - electrical switch gear replacement - March 2012,EN8 0NJ,,30173392,HOFAC00001,Project
Defra,EA,03/04/2012,Professional Services Other,NE Capital WiP,Sumo Services Ltd,1061325,"£31,426.01",Utility detection and mark out services supplied at Morpeth flood alleviation scheme. Works for surface mark out and record drawing - area 1 at Morpeth.,PO9 2NL,,30322178,IMNE000794,Project
Defra,EA,03/04/2012,Environmental Services ,MI West-Plan & Corp Services,Stroud District Council,1061362,"£45,000.00",Collaboration on the Cotswold Canals (Stoud Canal). Water framework directive works on Cotswold Canals restoration phase 1a,GL5 4UB,,,,Project
Defra,EA,10/04/2012,Office Solutions,E and B Regulated Industry,Stationery Office,1063304,"£90,218.16",Revision of Environment Agency forms,NR3 1QZ,,30238453,EBPRI11014,Administration
Defra,EA,12/04/2012,ICT,NLS Central Functions,Starlims Europe Ltd,1065227,"£65,650.80",One year Starlims silver support contract. Bronze level support contract for english laboratories,BL1 8SW,,30274775,,Administration
Defra,EA,10/04/2012,Professional Services Other,E and B Land and Water,Staffordshire University,1064043,"£26,624.53",Provision of tools for morphology for 2011/12,ST18 0AD,,,EBPLW11008,Administration
Defra,EA,24/04/2012,Construction,NW Capital WiP,SP Manweb Plc,1067998,"£33,961.20",Pendlebury Pumping Station - electricity supply diversion.,ML4 3NJ,,,IMNW000184,Project
Defra,EA,17/04/2012,Environmental Services ,Strategic Environmental Planning,Sniffer,1066363,"£360,000.00",Coordinated environmental regulation programme 2012/3,EH1 3AA,,,,Project
Defra,EA,10/04/2012,Environmental Services ,MI Regional Flood Programme Manager,Shropshire Council,1063997,"£30,000.00","Collaboration project with Shropshire council to reduce flood risk in Church Stretton, Shropshire",SY2 6ND,,,REMI001630,Project
Defra,EA,10/04/2012,Environmental Services ,MI Regional Flood Programme Manager,Shropshire Council,1064000,"£30,000.00",Contribution to joint flood asset improvement project in Much Wenlock,SY2 6ND,,,REMI001627,Project
Defra,EA,03/04/2012,Facilities,FM Operating Unit - Northern,Sheffield City Council,1059539,"£178,620.00","Rates 2012/13 Quadrant 2, 99 Parkway, Sheffield S9 4WG",S1 1UY,,,,Administration
Defra,EA,17/04/2012,Professional Services Technical Services,SE Regional Flood & Coastal Risk Manager,Serck Controls Ltd,1065531,"£58,259.76",Proprietry software - Leigh Barrier telemetry upgrade,CV3 4FH,,,FCOAM40029L01,Project
Defra,EA,05/04/2012,ICT,HO Capital WiP,Scisys UK Ltd,1057207,"£141,674.44",IT transformation project for Integrated Regulation Permitting Release 2,SN14 0GB,,30301794,CIS3302981,Project
Defra,EA,05/04/2012,ICT,Nat Trading and Reg Services,Scisys UK Ltd,1061758,"£42,369.60",Carbon reduction commitment - two factor authentication,SN14 0GB,,,EBOCC40003L03,Project
Defra,EA,17/04/2012,ICT,CI SD Management MRA,Scisys UK Ltd,1065918,"£30,081.30",Carbon reduction commitment support,SN14 0GB,,,,Administration
Defra,EA,24/04/2012,Environmental Services ,MI Planning and Performance,Sandwell Metropolitan Borough Council,1067451,"£38,750.00",Tipton Brook improvement project - collaboration with Sandwell Council,B69 3BS,,,REMI001565,Project
Defra,EA,05/04/2012,Environmental Services ,NE Capital WiP,Ryedale District Council,1062945,"£32,145.00","Providing flood protection to properties in Romanby, Northallerton.",YO17 7HH,,,IMNE000176,Project
Defra,EA,05/04/2012,Construction,FM Operating Unit - Central and South West,Roshal Space Consultants Ltd,1062653,"£26,365.80",Building maintenance of offices and depots Supply and installation of bespoke washbay area,LE67 8QT,,30144299,HOFAC00004,Project
Defra,EA,12/04/2012,Construction,National Facilities Manager,Roshal Space Consultants Ltd,1062683,"£43,560.00",Resurfacing works at Eign depot,LE67 8QT,,30144299,HOFAC00001,Project
Defra,EA,24/04/2012,Vehicles,HO Capital WiP,Roger Young Land Rover,1056727,"£37,666.86",Purchase of heavy duty 4x4s,PL12 6LF,,30326830,HOFOFRM005,Project
Defra,EA,05/04/2012,Environmental Services ,NW Capital WiP,Rochdale Metropolitan Borough Council,1063280,"£30,000.00",Local levy funding contribution for flood risk coordinator in Greater Manchester,OL16 1XL,,,IMNW000885,Project
Defra,EA,03/04/2012,Environmental Services ,AN Strategic Env Planning Mgr,Renewables East,1061179,"£30,000.00",Resource efficiency programme development 01/04/12 - 30/06/12,NR4 7TJ,,,REAN001734,Project
Defra,EA,05/04/2012,Operational Goods & Services,HO Capital WiP,Reactec Ltd,1063551,"£37,500.00","LABEL PRINTERS FOR TOOL TAGS (part of Hand arm vibration Meters for all Operations Delivery teams, to allow monitoring of vibration in hand held tools.)",EH10 4JW,,,FROAM40018L01,Administration
Defra,EA,03/04/2012,Operational Goods & Services,AN Capital WiP,R S Aqua Ltd,1060210,"£128,472.00",Purchase of 3 wave buoys,GU34 3PL,,,IMAN002290,Project
Defra,EA,17/04/2012,Construction,MI Capital WiP,R & K Contractors & Consultants,1065039,"£82,755.15",Installation property level flood protection,NG17 7JZ,,30296933,IMMI001280,Project
Defra,EA,12/04/2012,Facilities,SW Regional Facilities,Property Income & Reversion Trust Ltd,1065044,"£129,714.30",Rent for Rivers House Bridgwater for 2012/2013,LE10 1AW,,,,Administration
Defra,EA,05/04/2012,Construction,SE North East Thames - Ops Delivery,PowerPerfector Plc,1063254,"£47,839.20","Voltage Optimisation Power Perfector 560 kVA - All costs (includes unit, installation of unit to completion, preliminaries, delivery, bypass switching, switch fuses etc)",W2 1QY,,30255702,RESE500057,Project
Defra,EA,05/04/2012,Professional Services Technical Services,SE Capital WiP,Port Of London Authority,1060921,"£60,615.74",Radar transceivers partial reimbursement of Port of London Authority costs (under section 49 of the Thames Barrier and Flood Protection Act 1972),DA12 2BG,,,IMTH000608,Administration
Defra,EA,24/04/2012,Professional Services Technical Services,SE Kent & South London- Tidal Flood Risk Manager,Port Of London Authority,1068570,"£74,821.53",Thames Barrier Running costs for 2012. Provision of services for control and direction of navigation and the regulation of traffic in accordance with section 49 11 of the Thames Flood protection act 1972 for the period 01-04-12 to 31-3-13,DA12 2BG,,,,Administration
Defra,EA,05/04/2012,Construction,SE Capital WiP,Pevensey Coastal Defence Ltd,1061749,"£136,543.72",Pevensey Bay sea defences,PO15 5SS,,,IMSO000584,Project
Defra,EA,24/04/2012,Facilities,FM Operating Unit - Central and South East,Peterborough City Council,1057451,"£53,586.00",Rates Aqua House 2012/13,PE1 1AY,,,,Administration
Defra,EA,05/04/2012,Construction,MI Water Manager,PD Hughes Ltd,1062006,"£26,400.00",Fencing work on Brimfield Brook,DY8 3YW,,30282855,REMI001487,Project
Defra,EA,03/04/2012,Professional Services Technical Services,AN Capital WiP,P & R Plant Lincolnshire Ltd,1061047,"£27,000.00",Completion of embankment fencing works. ,PE12 8NG,,30258388,IMAN002072,Project
Defra,EA,03/04/2012,Professional Services Technical Services,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1061068,"£36,000.00",Reservoir bank improvements Cowbit Washes. ,PE12 8NG,,30258388,REAN001560,Project
Defra,EA,03/04/2012,Professional Services Technical Services,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1061099,"£37,200.00",Installation of rabbit netting. ,PE12 8NG,,30258388,REAN001652,Project
Defra,EA,03/04/2012,Professional Services Technical Services,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1061104,"£36,000.00",Minor maintenance works at Ailsworth,PE12 8NG,,30258388,REAN001620,Project
Defra,EA,03/04/2012,Professional Services Technical Services,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1061113,"£43,790.40",Minor maintenance works at Barlings Eau.,PE12 8NG,,30254546,REAN001440,Project
Defra,EA,17/04/2012,Professional Services Technical Services,AN Northern-Ops Delivery,P & R Plant Lincolnshire Ltd,1065917,"£32,400.00",Bank improvements works on the Coronation Channel,PE12 8NG,,30258388,"REAN001447				",Project
Defra,EA,05/04/2012,Construction,SE Capital WiP,Ove Arup & Partners Ltd,1063621,"£37,433.47",Tanners Brook and Holly Brook flood alleviation and river restoration scheme.,NE1 3PL,,30072279,IMSO000680,Project
Defra,EA,05/04/2012,Construction,NE Capital WiP,Ove Arup & Partners Ltd,1057818,"£41,047.67",Embankment Works 2 - High Impact Asset Refurbishment Programme - North East Region,NE1 3PL,,30072279,IMNE790166 | IMNE000181,Project
Defra,EA,03/04/2012,Construction,NE Capital WiP,Ove Arup & Partners Ltd,1060612,"£33,095.06",Upper Don and Sheffield Flood Risk standard of service assessment,NE1 3PL,,30072279,IMNE000153,Project
Defra,EA,03/04/2012,Construction,NW Capital WiP,Ove Arup & Partners Ltd,1061003,"£30,054.05",Modelling study and topographic survey on Fishhouse Brook.,NE1 3PL,,30072279,IMNW000404,Project
Defra,EA,17/04/2012,Construction | Professional Services Other,AN Capital WiP,OPUS International Consultants,1064985,"£67,839.80",Great Yarmouth framework for action for additional borehole investigation works including ground anchor testing works.,NG2 4GT,,30309577,IMAN002228,Project
Defra,EA,12/04/2012,Professional Services Other,SE Capital WiP,OPUS International Consultants,1064162,"£68,029.52",Hadleigh Marshes land contamination. National site investigation framework,NG2 4GT,,30309577,IMTH001659,Project
Defra,EA,17/04/2012,MI West - Ops Delivery,MI West - Ops Delivery,OnSite Central Ltd,1064316,"£36,420.00",Culvert clearance at Sedgberrow,WR3 8TJ,,30319000,,Project
Defra,EA,05/04/2012,Professional Services Other,Head of Research,NPL Management Ltd,1063169,"£27,630.00",Investigation of dispersed networks of low cost monitors to reduce air pollution monitoring uncertainty and cost Feb 2012,TW11 0LW,,30229065,,Project
Defra,EA,05/04/2012,Environmental Services ,Nat Trading and Reg Services,Northern Ireland Environment Agency,1061679,"£31,895.00",Inter agency activities producer responsibility,BT1 4NN,,,,Project
Defra,EA,19/04/2012,Professional Services Technical Services,SW Wessex-Ops Delivery,Nomenca Ltd,1066743,"£28,169.26","Mechanical and electrical, instrumentation, control and automation maintenance and repairs 2011-2012",NG17 2HW,,30165560,RESW001083,Administration
Defra,EA,19/04/2012,Professional Services Technical Services,SW Capital WiP,Nomenca Ltd,1066746,"£45,358.20","Pulteney contingency measures should gate or floats fail; North Wessex Area mechanical and electrical, instrumentation, control and automation contract",NG17 2HW,,30165560,IMSW001902,Project
Defra,EA,19/04/2012,Professional Services Technical Services,SW Capital WiP,Nomenca Ltd,1066749,"£39,554.30","North Wessex Area mechanical and electrical, instrumentation, control and automation  contract; South Hill pumping station refurbishment",NG17 2HW,,30165560,IMSW001870,Project
Defra,EA,05/04/2012,Professional Services Consultancy,"E and B Land and Water | Economics, Social Science & Statistics",NERA UK Ltd,1062999,"£71,412.00",Consultant services via National Economic Consultancy Framework Agreement,W1C 1BE,,30249232,EBPLW11017 | HOEV101109,Administration
Defra,EA,24/04/2012,ICT,HO Corp Comms and Media,Moxie Software,1067485,"£27,720.00","Webchat 12 month licence. To include implementation, proactive chat and 6 concurrent licences",W1G 0PW,,,BBXXX20001L04,Administration
Defra,EA,17/04/2012,ICT,HO Flood Warning Systems,MM Teleperformance Ltd,1066490,"£63,938.51",Call centre and managment costs for Floodline live agent and Recorded Messaging Service (RMS),BS1 3LG,,30146474,,Administration
Defra,EA,05/04/2012,Facilities,SE Kent & South London- Tidal Flood Risk Manager,MITIE Security London Ltd,1063204,"£75,084.10",Security guard services at Thames Barrier and associated sites ,E1W 1XY,,30239724,,Administration
Defra,EA,19/04/2012,Construction,NE North East Area FCERM,Middlesbrough Council,1061195,"£50,064.54",River maintenance works for Middlesbrough becks.,TS1 1LY,,,NRNE640023,Project
Defra,EA,05/04/2012,Clinical & Medical,NLS Capital WiP,Metrohm UK Ltd,1063166,"£33,549.38",Supply of new Grans plot Autotitrator system for Starcross Laboratory,MK18 1TH,,,NL00000048,Administration
Defra,EA,03/04/2012 | 17/04/2012,Professional Services Other,NE Yorkshire Area Manager,Metoc Plc,1061836,"£42,000.00",Staithes harbour model coastal model to assess the impact of harbour wall on Staithes bathing water,GU30 7DW,,,RENE970016,Project
Defra,EA,10/04/2012,Professional Services Technical Services,HO Head of Monitoring & Analytical Services,Meteor Communications Europe Ltd,1063839,"£322,171.56",Meteor suitcases for Fobney Mead.,AL1 5HT,,30319528,NL00000060,Administration
Defra,EA,12/04/2012,Construction,Incident Management Manager,Met Office,1065318,"£36,000.00",Lining Surger ensemble to Wave Hindcast. Extension of forecast lead time of surge ensemble system and make copability operational,EX1 3PB,,30045904,FCPIM00046B00,Project
Defra,EA,05/04/2012,Professional Services Other,E and B Climate Change and Communities,Met Office,1062053,"£41,209.20",National Met Office Services Framework contribution towards website project,EX1 3PB,,30324303,EBPCC11003,Administration
Defra,EA,19/04/2012,Vehicles,SE Capital WiP,MEP Pelligrini,1068516,"£148,175.41",Supply and delivery of cranes to Thames Barrier,"VERONA, Italy, 37137",,N/A,N/A,Project
Defra,EA,03/04/2012,Construction,Operations Technical Services,Mayson Brothers Ltd,1060631,"£27,756.00",Installation of flow monitoring equipment at Gategill,CA22 2DU,,30246174,HOOP000136,Project
Defra,EA,03/04/2012,Operational Goods & Services,Operations Technical Services,Mayson Brothers Ltd,1060629,"£44,563.07",Procurement of flow monitoring equipment for Force Crag mine,CA22 2DU,,30246174,HOOP000136,Administration
Defra,EA,03/04/2012,Professional Services Learning & Development,HR Strategy,Mayo Learning International Ltd,1061297,"£30,702.50",Deliver 5 Coaching for Performance workshops in March,AL3 4AS,,,HOL&D00005,Administration
Defra,EA,05/04/2012,Professional Services Technical Services,SW Wessex North- Flood Risk,May Gurney Ltd,1063629,"£41,148.67",Generator Upgrades,NR14 8SZ,,30165561,RESW001174,Project
Defra,EA,17/04/2012,Vehicles,MI East - Flood Risk,Marco Trailers Ltd,1066400,"£38,852.40",Mobile incident command unit,BN9 0AP,,,REMI001634,Project
Defra,EA,10/04/2012,Professional Services Other,MI Regional Flood Programme Manager,Maltby Land Surveys Ltd,1061863,"£54,372.00",Surveying Services Framework (Midlands),TW13 7QD,,30285290,REMI001644,Administration
Defra,EA,03/04/2012,Operational Goods & Services,MI East-AEM - 1,Macartney UK Ltd,1057637,"£104,079.16","ARIS Explorer 3000 Underwater Camera with recommended laptop computer, rotator unit, concentrator and spreader lens.",AB21 0GL,,,,Administration
Defra,EA,03/04/2012,Professional Services Other,HO Geomatics,Longdin & Browning Surveys Ltd,1061248,"£26,640.30",Geomatics Global Satellite Navigation System Contract,SA1 1HE,,,SCLI0001,Administration
Defra,EA,19/04/2012,Construction,SE Capital WiP,London Borough Of Southwark,1067075,"£40,000.00",Left Bank of Southwark to carry out surface water schemes and prepare an initial assessment and benefit calculator for Peckham Rye Flood Storage Scheme.,SE17 1JJ,,,IMSE100089,Project
Defra,EA,03/04/2012,Environmental Services ,SE Capital WiP,London Borough Of Redbridge,1060437,"£25,000.00",Cranebrook Surface Water Flood Alleviation. Information gathering and preparation,IG1 1BD,,,IMSE100094,Project
Defra,EA,03/04/2012,Construction,SE Capital WiP,London Borough Of Lambeth,1061400,"£39,886.45",Investigations on surface water scheme for Ruskin Park and prepare an initial assessment and benefit calculator,SW9 9SP,,,IMSE100088,Project
Defra,EA,19/04/2012,Environmental Services ,NE Capital WiP,Leeds City Council,1067080,"£28,000.00",Partnership Agreement with Leeds Council to provide property resilience to house on Wortley Beck Leeds,LS2 8JR,,,IMNE000147,Project
Defra,EA,03/04/2012,Construction,SE Kent & South London - Ops Delivery,Land & Water Services Ltd,1061334,"£36,000.00",Pioneering works within the Medway catchment removal of bushes sapling and overhanging branches,GU5 9AF,,30150847,,Project
Defra,EA,17/04/2012,Construction,SE Capital WiP,Land & Water Services Ltd,1065953,"£50,303.64",Dollar Street Manhole Investigations. New purchase for land and water to carry out work on Beeches Road flood defences,GU5 9AF,,30134437,IMTH001238,Project
Defra,EA,19/04/2012,Construction,SE West Thames - Waterways Ops Mgr 1,Land & Water Services Ltd,1066572,"£28,725.74",Upper Thames Dredging minor Works contractors framework,GU5 9AF,,30134437,WWTH000003,Project
Defra,EA,25/04/2012,Construction,SE North East Thames - Flood Risk,Land & Water Services Ltd,1067787,"£90,600.00",River restoration works on the River Crane,GU5 9AF,,30134437,RETH135110,Project
Defra,EA,10/04/2012,Environmental Services ,NW North-Area Mgr,Lancashire Manchester & North Merseyside Wildlife Trust,1064661,"£66,000.00",Contribution to partnership project with Lancashire Wildlife Trust for Brockholes wetland nature reserve,PR5 6BY,,,RENW001875,Project
Defra,EA,03/04/2012,Professional Services,SE North East Thames - Ops Delivery,Knowlton & Newman Portsmouth Ltd,1060670,"£39,126.12",Ebony Pumping Station overhaul,PO3 5RQ,,,RESOA20044,Project
Defra,EA,05/04/2012,Facilities,National Accomodation Change Fund,Kinnarps UK Ltd,1062470,"£50,633.09",Appleton House relocation project - Telecommunication booths for the 1st wing at Richard Fairclough House,SL3 0DX,,30231889,HORES00023,Administration
Defra,EA,10/04/2012,Construction,SW Capital WiP,Kingcombe Aquacare Ltd,1062492,"£46,088.14",Thorne Farm minor works framework,TA18 7HQ,,30192014,IMSW001958,Project
Defra,EA,10/04/2012,Construction,SW Capital WiP,Kingcombe Aquacare Ltd,1064169,"£34,509.91",Swanage Out Turn minor works framework,TA18 7HQ,,30192014,IMSW001867,Project
Defra,EA,17/04/2012,Professional Services Technical Services,NE North East Area FCERM,Keyhole Security,1066550,"£41,286.24",Various camera installs. CCTV security and monitoring sysyems,ME14 5SF,,,NRNE640028,Administration
Defra,EA,05/04/2012,Professional Services Technical Services,SE Capital WiP,Kerrco Automation Ltd,1063309,"£51,012.00",Supply of Thames Barrier control system spares,G4 9UD,,,IMTH000526,Administration
Defra,EA,17/04/2012,Construction,SE Capital WiP,JT Mackley & Co Ltd,1066021,"£60,065.57","Southern - Works, flap valve and winch overhaul at Lambay",BN5 9XQ,,30203237,IMSE100011,Project
Defra,EA,24/04/2012,Construction,SE Capital WiP,JT Mackley & Co Ltd,1059168,"£286,431.30",Seaford beach recycling,BN5 9XQ,,30203237,IMSO000948,Project
Defra,EA,05/04/2012,Construction,SE Capital WiP,JT Mackley & Co Ltd,1063122,"£52,139.34",Minor works framework construction for Cousin Lane stairs capital project. Highways licence and notice to mariners extension,BN5 9XQ,,30134439,IMSE500009,Project
