Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"10,400.40",expenses,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,23/02/2015,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90183847,"42,680.40",business support,GU21 6QX,LARGE,,,Programme
Department of Health,Department of Health,24/02/2015,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,13981,"42,000.00",Reservist promotion - NHS employers,LS10 1JR,SME,,,Programme
Department of Health,Department of Health,24/02/2015,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-534680-101401,"4,263,792.80","Injury Allowance Recharge Payment, Feb 2015",FY7 8LG,PUBLIC,,,Programme
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: ERD,IBM UK LTD,CBI0001911,"1,101,643.43",ESR Transition - GMPTC,PO6 3AU,LARGE,,,Programme
Department of Health,Department of Health,25/02/2015,Professional fees,DG: ERD,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00022150,"70,385.77",GAD Payments,EC4A 1AB,PUBLIC,,,Admin
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016072,"8,644.80",Choice,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016072,0.00,Hutton,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016072,"18,444.26",Independant Healthcare Providers,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016072,"223,191.17",Pensions Service Re-procurement,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016073,"216,207.73",Total Reward Statement,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016076,0.00,Hutton,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000016076,"100,578.64",Total Reward Statement,NE1 6SN,PUBLIC,,,Programme
Department of Health,Department of Health,27/02/2015,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,13888,"33,750.00",NHS Confed European Office,LS10 1JR,SME,,,Programme
Department of Health,Department of Health,27/02/2015,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,14093,"33,750.00",NHS Confed European Office,LS10 1JR,SME,,,Programme
Department of Health,Department of Health,27/02/2015,Outsourcing Contract,DG: ERD,METHODS CONSULTING,SIN012987,"160,096.26",NHS Jobs 1/2/12- 31/1/17,EC1A 4EN,SME,,,Programme
Department of Health,Department of Health,02/02/2015,Hire of external accommodation,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2923980,"230,777.00",DWP Legal Services Accommodation at Caxton House Q2-Q4 2014-15,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,02/02/2015,Hire of external accommodation,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2924816,"238,677.00",DWP Legal Services Accommodation at Caxton House Q2-Q4 2014-15,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,03/02/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584176908,"1,544,501.09",December 2014 IMS3 Open Service charges,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,03/02/2015,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584176910,"27,260.40",WR0252-02: DH and Small ALBs Managed Print Proposal,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,03/02/2015,Other Admin expenditure,DG: GOAD,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0056791,"56,220.00",,ST16 3AG,PUBLIC,,,Admin
Department of Health,Department of Health,03/02/2015,Storage costs,DG: GOAD,IRON MOUNTAIN UK LTD,RY34764-RY34765,"21,673.28",File Storage and retrieval for ELX71,EH54 5DL,LARGE,,,Admin
Department of Health,Department of Health,04/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880400439,"6,753.60",DH - Plantronics Black Wire C325-M,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,04/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880400439,"3,069.60",DH - Plantronics Black Wire C315-M,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,04/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880400439,"15,774.00","DH - Apple ipad Air WiFi + Cellular - Tablet - 16GB - 9.7"" IPS (2048 x 1536) - rear camera + front camera - WiFi, Bluetooth - 4G - space grey (without contract)",AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,05/02/2015,Utilities,DG: GOAD,EDF ENERGY PLC,0037RICHMONDHSE,"27,092.22",Richmond House - Electricity Charges from April 2014 - March 2015,SW1E 5JL,LARGE,,,Admin
Department of Health,Department of Health,06/02/2015,Utilities,DG: GOAD,EDF ENERGY PLC,0037SKH,"39,399.08",Skipton House - Electricity Charges From April 2014 - March 2015,SW1E 5JL,LARGE,,,Admin
Department of Health,Department of Health,06/02/2015,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584176966,"69,777.00",IWS2 Programme - IWS Service Improvement,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,09/02/2015,Other programme expenditure,DG: GOAD,EAST & NORTH HERTFORDSHIRE NHS TRUST,4107254,"26,626.00",,BS1 2NP,PUBLIC,,,Programme
Department of Health,Department of Health,09/02/2015,Hire of external accommodation,DG: GOAD,NHS PROPERTY SERVICES LTD,48326269,"46,569.90",,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,09/02/2015,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027555,"104,312.61",Quarry House Leeds - Accomm. Business ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,09/02/2015,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027555,"581,821.93",Quarry House Leeds - Accomm. FUP Rent Charge ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,09/02/2015,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027555,"3,371.51",Quarry House Leeds - Prime Utilities Recovery ,FY5 3TA,PUBLIC,,,Admin
Department of Health,Department of Health,10/02/2015,Other programme expenditure,DG: GOAD,SUSSEX COMMUNITY NHS TRUST,11115918,"51,557.63",,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Other programme expenditure,DG: GOAD,SUSSEX COMMUNITY NHS TRUST,11120146,"1,369,209.07",,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Other programme expenditure,DG: GOAD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,144128,"2,389,655.00",,BN2 3EW,PUBLIC,,,Programme
Department of Health,Department of Health,10/02/2015,Utilities,DG: GOAD,EDF ENERGY PLC,8177210000,"39,832.48",Skipton House - Electricity Charges ,SW1E 5JL,LARGE,,,Admin
Department of Health,Department of Health,10/02/2015,Utilities,DG: GOAD,EDF ENERGY PLC,8177210000,-9.08,,SW1E 5JL,LARGE,,,Admin
Department of Health,Department of Health,10/02/2015,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900128422,"23,029.98",Reprographics - Management Fees,UB8 1HS,LARGE,,,Admin
Department of Health,Department of Health,10/02/2015,Other programme expenditure,DG: GOAD,NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,HP0000218984,"334,227.09",,CM8 2TL,PUBLIC,,,Programme
Department of Health,Department of Health,11/02/2015,Addition Clearing - SW LIC,DG: GOAD,Optevia Ltd,DFH012,"49,572.00",CRM Consultancy and Project Management Resources for extended Project Plan,ME18 5JH,SME,,,Admin
Department of Health,Department of Health,11/02/2015,Addition Clearing - SW LIC,DG: GOAD,Optevia Ltd,DFH012,"5,000.00",MS Word Sharepoint Plug-In Development,ME18 5JH,SME,,,Admin
Department of Health,Department of Health,11/02/2015,Other programme expenditure,DG: GOAD,NHS ENGLAND CBA033,FROM STOKE ON TRENT PCT,"31,500.00",,,PUBLIC,,,Programme
Department of Health,Department of Health,11/02/2015,Other Admin expenditure,DG: GOAD,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0056792,"56,220.00",,ST16 3AG,PUBLIC,,,Admin
Department of Health,Department of Health,11/02/2015,Other programme expenditure,DG: GOAD,ROYAL FREE LONDON NHS FOUNDATION TRUST,I0072794,"322,000.00",,NW3 2QG,PUBLIC,,,Programme
Department of Health,Department of Health,12/02/2015,Policy Payments,DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000038292014,"992,713.82",Corporate Fast Stream Funding - 2014/15,BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,13/02/2015,Professional fees,DG: GOAD,MYCSP LTD,3439,"26,474.08",My CSP informing scheme members of pension changes from April 2015,S3 7UF,LARGE,,,Admin
Department of Health,Department of Health,16/02/2015,Outsourcing Contract,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100030075,"92,563.50",Annual Support Costs for BMS as per CCN Number: DHBMS.006.01/14 - From April 2014 - March 2015,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,16/02/2015,Facilities management: contract,DG: GOAD,NHS PROPERTY SERVICES LTD,48356079,"23,275.00",Accommodation services for Records Transfer Project - Soho Centre,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,16/02/2015,Facilities management: contract,DG: GOAD,NHS PROPERTY SERVICES LTD,48356079,"7,093.00",Accommodation services for Records Transfer Project - Soho Centre - final costs and service charge,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,17/02/2015,Utilities,DG: GOAD,EDF ENERGY PLC,000000005052,"28,549.87",Richmond House - Electricity Charges from April 2014 - March 2015,SW1E 5JL,LARGE,,,Admin
Department of Health,Department of Health,17/02/2015,Addition Clearing - OLB,DG: GOAD,Faithful and Gould,14038659,"45,402.18",Richmond House -  Block (A) Construction and Design Stage Professional Fees for Design stage to Practical Completion,NW1 3AT,LARGE,,,Admin
Department of Health,Department of Health,17/02/2015,Addition Clearing - OLB,DG: GOAD,Faithful and Gould,14043067,"47,080.57",Richmond House -  Block (A) Construction and Design Stage Professional Fees for Design stage to Practical Completion,NW1 3AT,LARGE,,,Admin
Department of Health,Department of Health,17/02/2015,Training (Learning and Development),DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000041832014,"12,000.00",HMRC Courses: SLS,BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,17/02/2015,Training (Learning and Development),DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000041832014,"30,000.00",HMRC Courses: FLS,BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,17/02/2015,Training (Learning and Development),DG: GOAD,DEPARTMENT FOR BUSINESS INNOVATION AND SKILLS (BIS),615110003248,"70,000.00",BIS DH Contribution to BIS G6 & G7 Development Centres,NP10 8QQ,PUBLIC,,,Admin
Department of Health,Department of Health,18/02/2015,Other creditors (ST),DG: GOAD,NHS PROPERTY SERVICES LTD,FUNDS TRANSFER,"176,762.20",,SE1 6LH,PUBLIC,,,Programme
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00360862RI,"58,942.88",DH - Provision of Variable Works at Various DH Buildings Apr 14 - Mar 15 (SKH / RH / WEL / PRH / BLH Building Maintenance) 01/10/2014 to 31-03-2015,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361200RI,"7,250.17",Building Maintenance Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361200RI,"4,526.33",Cleaning Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361200RI,"7,518.17",FM Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361200RI,"1,623.83",Security Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361204RI,"57,066.43",Building Maintenance Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361204RI,"11,055.48",FM Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361205RI,"46,676.46", Building Maintenance Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361205RI,"22,528.31",Cleaning Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361205RI,"13,007.45",FM Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361205RI,"29,340.24",Security Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361206RI,"49,138.93",Building Maintenance Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361206RI,"29,049.98",Cleaning Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361206RI,"26,261.22",FM Costs,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361206RI,"47,483.26",Security Costs ,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361209RI,"33,717.46","Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,19/02/2015,Other programme expenditure,DG: GOAD,HM REVENUE AND CUSTOMS HMRC,FASTER PAYT19/2/15,"30,585.00",,NE98 1ZZ,PUBLIC,,,Programme
Department of Health,Department of Health,20/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361390RI,"35,021.66",NHS England - Provision of building and associated works on the 3rd and 6th floors of Skipton House,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,20/02/2015,Addition Clearing - L-DW,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361392RI,"26,892.49",Skipton House - Installation of new gates to replace the current heavily corroded ones,SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,20/02/2015,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00361402RI,"28,957.87","Provision of additional access control units to doors on the 4th floor and the Ground floor in Skipton House, for NHS Protect",SO53 3YE,LARGE,,,Admin
Department of Health,Department of Health,20/02/2015,Other Admin expenditure,DG: GOAD,HIGHDORN CO LTD,MU9/3000112,"180,000.00",,WC2B 5AB,LARGE,,,Admin
Department of Health,Department of Health,24/02/2015,Outsourcing Contract,DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000042272014,"31,476.00",HMRC Assessments for SCS 'Gateway',BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,24/02/2015,Outsourcing Contract,DG: GOAD,HIP SHOOT PHOTOGRAPHY LTD,HSP006,"57,600.00","Hip Shoot Photography - data invoice imaging for North London, Coventry and Hertfordshire",TN17 1JX,SME,,,Admin
Department of Health,Department of Health,25/02/2015,Outsourcing Contract,DG: GOAD,HM REVENUE AND CUSTOMS HMRC,18000042072014,"89,760.00","HMRC Fast Stream Bids for 2015 (For September 2015 to 17 at £4,400 each",BN12 4XH,PUBLIC,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,"2,752.92",DH - ThinkPad Pro Dock with 90W AC Adapter (UK Power Chord),AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,"1,647.00","DH - Lenovo disk drive - DVDRW (R DL)/DVD-RAM - 6x/6x/5x Serial ATA - plug in module - 2.5"" business black for ThinkCentre M92p (tiny desktop); M93p",AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,"43,377.12",DH - Lenovo ThinkPad X240 ultrabook,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,"188,013.36",DH - Lenovo ThinkCentre M93p Tiny PC,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,382.50,DH - Lenovo 65W AC Adaptor for X240 - UK Plug,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Addition Clearing - IT,DG: GOAD,COMPUTACENTER UK LTD,3880427814,229.50,DH - Lenovo 65W AC Adaptor for X230 - UK Plug,AL10 9TW,LARGE,,,Admin
Department of Health,Department of Health,25/02/2015,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584178484,"1,827,841.99",January 2015 IMS3 Open Service charges,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,27/02/2015,Building repairs & maintenance,DG: GOAD,FLEXIFORM BUSINESS FURNITURE LTD,114669,"30,889.37",Skipton House - 3rd Floor Area D -NTDA Furniture..,BD3 7AE,SME,,,Admin
Department of Health,Department of Health,01/02/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,5037001-11-FEB-15,"39,137.57",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,02/02/2015,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,5037001-11-FEB-15,"2,687.71",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,02/02/2015,Additions FT Financing Facility Loans,DG: Holding CT Core,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,HAFS-17886,"170,000.00",,TQ2 7AN,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17901,"20,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17902,"14,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17903,"467,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17904,"1,250,000.00",,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),HAFS-17905,"220,000.00",,EC1Y 8HF,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HUMAN TISSUE AUTHORITY (HTA033),HAFS-17906,"244,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17907,"6,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17908,"7,000,000.00",,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17909,"17,700,000.00",,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17910,"3,186,185,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17911,"4,912,232,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-17912,"15,000,000.00",,LS1 4AD,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17913,"4,000,000.00",,SW1E 6QT,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17914,"64,500,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-17915,"5,200,000.00",,M13 0JR,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,BURTON HOSPITALS NHS FOUNDATION TRUST,HAFS-17916,"2,289,000.00",,DE13 0RB,PUBLIC,,,Other
Department of Health,Department of Health,02/02/2015,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-17917,"500,000.00",,NN16 8UZ,PUBLIC,,,Other
