ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,DISTRIBUTION_AMOUNT,DESCRIPTION,SUPPLIER_POSTCODE,PROJECT_CODE,PROG / ADMIN?,Contract Number,SUPPLIER_TYPE,INV_NUM
MoJ HQ,10-Oct-11,RC999-Criminal Justice Group - OMS,246000-Current Grants,CLINKS,1058896,"$25,000.00 ",Reducing re-offending national voluntary sector infrastructure grant funding ,YO1 6JH,0,Grant,,,QA10011352
MoJ HQ,10-Oct-11,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,HOME OFFICE IT,1058929,"$46,364.20 ",Provision and support of Secure Remote Access (RWSII) Capability RAS laptop charges for 2011/12,NP20 9BB,0,Programme,,,1102994
MoJ HQ,24-Oct-11,RG999-CFLAP Accumulator,246000-Current Grants,REUNITE INTERNATIONAL,1059939,"$28,125.00 ","reunite International Child Abduction Centre. Third and fourth quarter funding for the 24/7 operation of its advice line which deals with queries on the prevention of international parental child abduction, contact and relocation-RG703",LE1 7XX,0,Grant,,,AS11/14
MoJ HQ,13-Oct-11,RG999-CFLAP Accumulator,212001-Agency staff,OFFICE FOR LEGAL COMPLAINTS,1059223,"$34,673.66 ",Contracted staff and resources for the Office of the Legal Services Ombudsman (this includes the renumeration payment to the statutory appointment of the Legal Services Ombudsman) RG705,B1 2ND,0,Admin,,,20110000167
MoJ HQ,24-Oct-11,MF600-Directorate of Judicial Offices,266000-Judicial Costs,MAGISTRATES ASSOCIATION,1059908,"$14,750.00 ",Funding to develop an information DVD on managing case management  to support the continuing professional development of magistrates,W1T 6DD,0,Programme,,SME,SI11/0014
MoJ HQ,24-Oct-11,MF600-Directorate of Judicial Offices,266000-Judicial Costs,MAGISTRATES ASSOCIATION,1059908,"$14,000.00 ","Funding to develop some on line learning materials which will help to maintain competence and provide opportunities to refresh skills and knowledge, offering flexible training more cost effective than face to face training",W1T 6DD,0,Programme,,SME,SI11/0014
MoJ HQ,3-Oct-11,MF600-Directorate of Judicial Offices,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$264.00 ,"Small Form Laptop - HP EliteBook 2540p (12.1"" screen)",WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$200.22 ,1GB Memory Stick,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,RB999-JPG - CJRD,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060315,$164.00 ,"Standard Form Laptop - HP EliteBook 8440p (14"" screen)",WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,3-Oct-11,MF600-Directorate of Judicial Offices,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$76.90 ,HP 2400 Series Docking Station for 2540p laptop,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,MF600-Directorate of Judicial Offices,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$58.00 ,Installation of a single desktop device,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,MF600-Directorate of Judicial Offices,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$46.00 ,Provision and support of Secure Remote Access (RWSII) Capability,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,RB999-JPG - CJRD,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060315,$46.00 ,Provision and support of Secure Remote Access (RWSII) Capability,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,3-Oct-11,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$21.38 ,Return unwanted device or broken/faulty device,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1058296,$21.38 ,Return unwanted device or broken/faulty device,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,RB999-JPG - CJRD,265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Project Professional,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",265000-IT & Telecommunications,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Access,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,6-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6408,"$43,010,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050515
MoJ HQ,6-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6408,"$35,990,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050515
MoJ HQ,20-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6420,"$16,124,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050517
MoJ HQ,20-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6420,"$14,876,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050517
MoJ HQ,13-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6415,"$14,026,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050516
MoJ HQ,13-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6415,"$13,974,000.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050516
MoJ HQ,27-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6422,"$13,250,800.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050518
MoJ HQ,27-Oct-11,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6422,"$12,749,200.00 ",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1P 2BS#NO5A/C,0,Programme,,,MA50050518
MoJ HQ,17-Oct-11,710600-Creditor < 1 year - Payable to Consolidated Fund,WW000-Balance Sheet,HM TREASURY - CFER PAYOVER,1158,"$11,496,994.03 ",Surrender of Consolidated Fund Extra Receipts and Fine Income to HM Treasury,NP10 8BA,0,Balance Sheet,,,WW00090095
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1162,"$1,739,116.39 ","Payments in relation to PAYE, NIC and Corporation Tax",BD98 8AA-PAYE,0,Balance Sheet,,,WW00001087
MoJ HQ,24-Oct-11,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1059901,"$1,171,532.29 ",FY 11-12 - Financial and Accounting Services as provided for in the contract with Liberata.,NP10 8BA,0,Admin,,,81396
MoJ HQ,4-Oct-11,710200-Creditors < 1 year - Trade & Other Creditors,QY100-GPC Management - MoJ,HM PRISON SERVICE,1157,"$1,009,033.92 ",Government Procurement Card Management,NP20 9BB,0,Admin,,,358475
MoJ HQ,7-Oct-11,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,THE PAROLE BOARD,6412,"$600,000.00 ",Grant-in-aid requirement for Arm's Length Body,SW1P 2DX,0,Grant,,,KY14811354
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,962.79 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$475,487.30 ",Rates Invoice,RATES,0,Balance Sheet,,,400555110200-1112
MoJ HQ,10-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,ACCENTURE (UK) LIMITED,1058861,"$350,338.00 ",Shared Service Programme Accenture Milestone 3 Payments-NX111,EC3M 3BD,0,Admin,,,3003164332
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,INFORMATICA SOFTWARE LTD,1058367,"$300,000.00 ",Informatica ILM software to provide data anonymisation capability,SL6 3TN,0,Admin,,,6122
MoJ HQ,27-Oct-11,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1060158,"$291,137.09 ",Liberata Payroll Services - Monthly Payroll Charge for the new financial year 11-12 - NX416.,NP10 8BA,0,Admin,,,81427
MoJ HQ,27-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,SAVVIS UK LTD,1060243,"$227,120.00 ",MILESTONE 0.1 Cost element of unplanned work by Savvis to assist in aligning the methods and deliverables of the SSP Other Lot Providers (OLP)-NX111,RG41 5TS,0,Admin,,,B1-677786
MoJ HQ,17-Oct-11,710600-Creditor < 1 year - Payable to Consolidated Fund,WW000-Balance Sheet,HM TREASURY - CFER PAYOVER,1159,"$184,560.02 ",Surrender of Consolidated Fund Extra Receipts and Fine Income to HM Treasury,NP10 8BA,0,Balance Sheet,,,WW00090096
MoJ HQ,19-Oct-11,811000-Interdepartmental - MoJHQ,WW000-Balance Sheet,HMRC,1164,"$123,263.65 ",Intra MOJ transfers,BD98 8AA-PAYE,0,Balance Sheet,,,WW00001089
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$112,465.32 ",Rates Invoice,RATES,0,Balance Sheet,,,400242807000-1112
MoJ HQ,20-Oct-11,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1059657,"$85,521.50 ",MoJ Lease Car charges FY 11-12,BL9 8RT,0,Admin,,,MOJOCT11
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1160,"$77,642.69 ","Payments in relation to PAYE, NIC and Corporation Tax",BD98 8AA-PAYE,0,Balance Sheet,,,WW00001079
MoJ HQ,24-Oct-11,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1059901,"$68,359.09 ",Monthly Variable Service charge - Contractor Arrangements for Finance Service Management,NP10 8BA,0,Admin,,,81394
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1059790,"$68,255.21 ",Rates Invoice,RATES,0,Balance Sheet,,,400684301108-1112
MoJ HQ,6-Oct-11,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1058807,"$66,352.22 ",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin,,,9495976
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1059793,"$63,889.09 ",Rates Invoice,RATES,0,Balance Sheet,,,01160008100015-1112
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1161,"$58,346.86 ","Payments in relation to PAYE, NIC and Corporation Tax",BD98 8AA-PAYE,0,Balance Sheet,,,WW00001080
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1162,"$43,316.96 ","Payments in relation to PAYE, NIC and Corporation Tax",BD98 8AA-PAYE,0,Balance Sheet,,,WW00001087
MoJ HQ,13-Oct-11,263000-Other Contracted Out Services,NX900-MOJ Shared Services,CAPITA HARTSHEAD LTD,1059087,"$41,949.38 ",Capita Hartshead Pension Services - Monthly Pension Charges for the new financial year 11-12 - NX416,DL1 9HN,0,Admin,,,92221161
MoJ HQ,27-Oct-11,223000-Other Expenditure,NZ401-Finance Group Feeder,KPMG,1060149,"$38,230.00 ",Project Management of Accounts Production 174 days from 24 January 2011,E14 5AG,0,Admin,,,5500427210
MoJ HQ,24-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1059803,"$37,084.00 ",ePayfact access for MoJ Shared Services - One Off Charges incl. Contingency,WV10 6UH,0,Admin,,,5584092403
MoJ HQ,24-Oct-11,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1059901,"$35,371.38 ",Managed Service charge - Shared Service Programme engagement,NP10 8BA,0,Admin,,,81392
MoJ HQ,6-Oct-11,262000-SCA Costs,NX900-MOJ Shared Services,LIBERATA UK LTD,1058635,"$35,068.83 ",Managed Service charge - Shared Service Programme engagement,NP10 8BA,0,Admin,,,81270
MoJ HQ,27-Oct-11,223000-Other Expenditure,NZ401-Finance Group Feeder,KPMG,1060149,"$33,772.00 ",Project Management of Accounts Production 174 days from 24 January 2011,E14 5AG,0,Admin,,,5500399085
MoJ HQ,21-Oct-11,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF ISLINGTON,1059794,"$32,842.50 ",Rates Invoice,RATES,0,Balance Sheet,,,26480231-1112
MoJ HQ,13-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,LOGICA UK LTD,1059184,"$25,654.00 ",Shared Services Programme Intial Scoping- One Off Charge,CF31 9AP,0,Admin,,,358412
MoJ HQ,24-Oct-11,212001-Agency staff,NZ401-Finance Group Feeder,CAPITA RESOURCING LTD,1059826,"$24,800.00 ",Services of Financial Accounts Transition Contractor for a maximum of 130 days from 24/07/2011 to 31/12/2011,SL6 1DP,0,Admin,,,WN70094224
MoJ HQ,3-Oct-11,223000-Other Expenditure,QY300-Fleet Car Mgmt,ARVAL UK LTD,1058295,"$22,938.43 ",MoJ Lease Car Service and Fuel Costs FY 11-12,SN5 6PQ,0,Admin,,,1017075405
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1162,"$12,963.07 ",,BD98 8AA-PAYE,0,Balance Sheet,,,WW00001087
MoJ HQ,19-Oct-11,811000-Interdepartmental - MoJHQ,WW000-Balance Sheet,HMRC,1164,"$5,069.00 ",,BD98 8AA-PAYE,0,Balance Sheet,,,WW00001089
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1058296,"$3,055.00 ",Provision of user access to Fiserv,WV10 6UH,0,Admin,zx,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,19-Oct-11,710100-Creditors < 1 year - Other Taxation & Social Security,WW000-Balance Sheet,HMRC,1161,$326.35 ,,BD98 8AA-PAYE,0,Balance Sheet,,,WW00001080
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$164.00 ,"Large Form Laptop - HP EliteBook 8540p (15.6"" screen)",WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,RE999-CJG - Research & Analysis,ATOS IT SERVICES UK LTD,1060315,$164.00 ,"Standard Form Laptop - HP EliteBook 8440p (14"" screen)",WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,LZ510-Combined CFO/OSPT Operations,ATOS IT SERVICES UK LTD,1060315,$144.00 ,Relocation of 2-5 desktop client devices within the same building,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,LZ510-Combined CFO/OSPT Operations,ATOS IT SERVICES UK LTD,1060315,$72.00 ,Relocation of 2-5 desktop client devices within the same building,WV10 6UH,0,Programme,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,RE999-CJG - Research & Analysis,ATOS IT SERVICES UK LTD,1060315,$58.00 ,Relocation of a single desktop client device within the same building,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$51.52 ,HP 90W Smart AC Adapter,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$46.00 ,Provision and support of Secure Remote Access (RWSII) Capability,WV10 6UH,0,Admin,zx,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,RE999-CJG - Research & Analysis,ATOS IT SERVICES UK LTD,1060315,$46.00 ,Provision and support of Secure Remote Access (RWSII) Capability,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1060315,$41.41 ,HP 65W Smart AC Adapter,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1058296,$22.34 ,MS Access,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$11.17 ,MS Project Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$11.17 ,MS Project Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1058296,$11.17 ,MS Visio Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,3-Oct-11,265000-IT & Telecommunications,NZ401-Finance Group Feeder,ATOS IT SERVICES UK LTD,1058296,$11.17 ,MS Project Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-99
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Access,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,NQ901-MOJ Procurement Feeder,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Visio Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Visio Std,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,OZ501-HRD Feeder,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Visio Std,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
MoJ HQ,31-Oct-11,265000-IT & Telecommunications,NX900-MOJ Shared Services,ATOS IT SERVICES UK LTD,1060315,$11.17 ,MS Project Professional,WV10 6UH,0,Admin,,,ERS-MOJ-ATOS-ERS-113
