Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,01/11/2010,Flexible New Deal,EG EMPLOYMENT PROGRAMMES,CALDER UK LTD,2017836031,"1,428.00"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,132.61
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,50.01
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,211.00
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,74.74
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,699.99
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,289.43
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,218.50
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,462.07
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,156.74
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,595.54
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,165.17
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,26.28
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,126.80
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,232.57
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,820.05
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,73.79
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,24.23
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,WWG ,CARLSON WAGONLIT TRAVEL,2017836038,"1,082.67"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,161.57
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,71.61
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,105.42
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,465.63
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,830.32
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,349.61
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,66.92
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,239.21
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,950.81
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,181.67
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,"1,459.72"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,71.24
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,260.88
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,87.50
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,"1,007.15"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,528.53
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,58.50
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,724.94
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,59.66
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,120.45
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,59.67
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,22.91
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,585.36
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,61.58
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,668.24
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,461.46
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,247.06
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,324.31
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,17.20
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,212.56
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,284.07
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,191.76
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,43.06
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,EG,CARLSON WAGONLIT TRAVEL,2017836038,19.89
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,"3,526.12"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,284.91
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,63.32
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,195.07
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,91.78
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,851.84
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,230.63
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,22.30
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,84.75
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,53.34
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,185.48
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,301.92
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,361.75
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,545.22
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,128.60
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,172.68
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,325.42
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,28.48
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,741.18
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,202.29
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,58.33
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,416.50
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,117.94
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,50.01
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,328.24
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,74.61
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,58.81
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,161.36
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,44.70
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,116.30
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,102.94
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,174.10
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,44.60
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,-5.19
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,91.17
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,28.34
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,843.22
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,485.06
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,415.92
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,248.58
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,-65.50
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,271.59
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,31.98
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,480.80
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,47.71
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,48.29
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,89.58
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,182.17
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,206.81
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,49.09
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,21.84
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,447.11
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,137.44
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,50.06
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,96.70
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,23.96
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,77.40
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,180.85
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,122.56
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,140.11
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,358.68
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,GROUP FINANCE,CARLSON WAGONLIT TRAVEL,2017836038,10.88
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,DIRECTGOV ,CARLSON WAGONLIT TRAVEL,2017836038,"1,044.23"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,DIRECTGOV ,CARLSON WAGONLIT TRAVEL,2017836038,123.84
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,DIRECTGOV ,CARLSON WAGONLIT TRAVEL,2017836038,142.46
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,645.52
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,64.68
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,88.08
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,108.71
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,-69.36
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,67.06
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,96.52
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CORPORATE IT,CARLSON WAGONLIT TRAVEL,2017836038,97.96
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,439.80
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,"1,449.70"
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,258.16
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,507.72
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,485.87
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,374.05
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,180.71
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,48.90
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,209.81
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,618.90
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,447.85
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,53.53
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,101.17
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,193.21
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,665.24
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,46.43
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,293.96
Department for Work and Pensions,Corporate,01/11/2010,STAFF COSTS,CHANGE MANAGEMENT DIRECTORATE,CARLSON WAGONLIT TRAVEL,2017836038,266.78
