Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Discription,Contract Number,Project Code
,,02/12/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical ,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,PUBLIC,PE3 6DA,HAFS-16237,"4,100,000",,,
,,02/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,PUBLIC,DN4 8QN,HAFS-16238,"50,000",,,
,,02/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,ROYAL FREE LONDON NHS FOUNDATION TRUST,PUBLIC,NW3 2QG,HAFS-16239,"150,000",,,
,,02/12/2013,Additions PDC Capital Support NHS T Permenant,DG: Central Technical ,WYE VALLEY NHS TRUST,PUBLIC,HR1 2ER,HAFS-16240,"205,000",,,
,,02/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,PUBLIC,B31 2AQ,HAFS-16241,"91,000",,,
,,02/12/2013,Additions FT Financing Facility Loans,DG: Central Technical ,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,HAFS-16242,"4,000,000",,,
,,02/12/2013,Additions FT Financing Facility Loans,DG: Central Technical ,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16243,"5,000,000",,,
,,02/12/2013,Other programme expenditure,DG: PHD,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/I128548,"175,000",Hosting of the NHS National Genetics Educational and Development Centre (NGEDC) 2013/14.  ,,
,,03/12/2013,Contractor/Staff Substitution,DG: GOAD,NHS Central Southern CSU,PUBLIC,,CHAPS22/11/13,"224,217",,,
,,03/12/2013,Service charge,DG: GOAD,GEORGE ELIOT HOSPITAL NHS TRUST,PUBLIC,CV10 7DJ,T0114544,"363,351",Revenue: LSP NME  F/Y 2013/14 STAF & LC costs for Lorenzo deployment,,
,,03/12/2013,Service charge,DG: GOAD,GEORGE ELIOT HOSPITAL NHS TRUST,PUBLIC,CV10 7DJ,T0114554,"220,362",Revenue: LSP NME  F/Y 2013/14 STAF & LC costs for Lorenzo deployment,,
,,04/12/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100019764,"37,764",PCT/SHA closedown agreement - Variable service charges for July and August 2013,,
,,04/12/2013,Professional fees,DG: GOAD,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100019764,"696,953",PCT/SHA closedown agreement - Fixed service charges for July and August 2013,,
,,05/12/2013,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,6283731,"199,167",Monthly charge for hosting of the Ambulance Radio Programme,,
,,30/12/2013,Other Admin expenditure,DG: GOAD,KERNOW CCG,PUBLIC,PL25 5AS,PAID IN ERROR,"1,652,001",,,
,,05/12/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-509547-83141,"53,086",Programme Grants for NHS Trusts,,
,,06/12/2013,Outsourcing Contract,DG: ERD,NHS EMPLOYERS LTD,SME,LS10 1JR,13293,"414,000",Contract Variation 8: Supporting NHS Pay Modernisation,,
,,30/12/2013,Other Admin expenditure,DG: GOAD,THE CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,PUBLIC,PE27 4LG,DUPLICATED PAYMENT,"88,000",,,
,,30/12/2013,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,9044000028,"2,905,228",NHS Supply Chain - SFVS Distributor funding 2013/14,,
,,30/12/2013,Other Admin expenditure,DG: GOAD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,8610003436,"381,825",,,
,,30/12/2013,Policy Payments,DG: PHD,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,1014154069,"27,416",Healthy Start vitamin reimbursements (HSVR) - quarter ending September 2013 (Including set up and processing costs),,
,,30/12/2013,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,1014154069,396,Healthy Start vitamin reimbursements (HSVR) - quarter ending September 2013 (Including set up and processing costs),,
,,09/12/2013,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical ,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,PUBLIC,ME16 9QQ,HAFS-16244,"8,000,000",,,
,,09/12/2013,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical ,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16245,"459,000",,,
,,09/12/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical ,ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,HAFS-16246,"500,000",,,
,,09/12/2013,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical ,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16247,"1,596,000",,,
,,09/12/2013,Additions FT Financing Facility Loans,DG: Central Technical ,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,HAFS-16248,"2,000,000",,,
,,09/12/2013,Additions FT Financing Facility Loans,DG: Central Technical ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,NE27 0QJ,HAFS-16249,"12,600,000",,,
,,11/12/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-509839-83523,"27,291",Research for Patient Benefit,,
,,11/12/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7LD,ERS-509841-83524,"33,007",HS & DR,,
,,11/12/2013,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,PUBLIC,E1 1RD,ERS-509843-83525,"106,005",Programme Grants for NHS Trusts,,
,,12/12/2013,Additions Other loans,DG: SFNHS,NHS PROPERTY SERVICES LTD,PUBLIC,SE1 6LH,NHSPS  LOAN,"30,000,000",,,
,,16/12/2013,Outsourcing Contract,DG: PHD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12666190,"117,795",Local Health and WEllbeing Survey of Young people for period covering 2013/14,,
,,16/12/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,950185,"5,100,000",NHSBT Drawdown 2013/14.  ,,
,,16/12/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-510137-83790,"20,775",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-510137-83790,"36,364",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-510138-83848,"51,819",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-510141-83920,"49,837",Health Technology Co-operatives,,
,,16/12/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-510141-83920,"145,927",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-510141-83920,"109,290",Biomedical Units,,
,,16/12/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-510141-83920,"22,800",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-510141-83920,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,B15 2PZ,ERS-510142-83873,"52,746",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,PUBLIC,B13 8JL,ERS-510144-83917,"33,863",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-510147-83784,"40,079",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-510148-83868,"38,525",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-510148-83868,"54,545",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-510152-83803,"17,405",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-510152-83803,"50,000",Health Technology Co-operatives,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-510152-83803,"197,255",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-510152-83803,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-510152-83803,"464,108",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,PUBLIC,CB1 5EE,ERS-510154-83835,"221,099",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-510155-83913,"59,767",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,PUBLIC,NW1 7QY,ERS-510156-83844,"77,620",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"31,582",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"100,000",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"24,784",NIHR Biomedical Research Fellowship,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"91,667",Biomedical Units,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"7,000",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-510157-83853,"97,231",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SW10 9NH,ERS-510158-83828,"39,089",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SW10 9NH,ERS-510158-83828,"14,636",Expand Fellowships,,
,,16/12/2013,Research & development,DG: RDD,COVENTRY & WARWICKSHIRE PARTNERSHIP NHS TRUST,PUBLIC,CV6 6NY,ERS-510161-83875,"31,136",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,PUBLIC,CT1 3NG,ERS-510165-83850,"27,397",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,EAST LONDON NHS FOUNDATION TRUST,PUBLIC,E1 1RD,ERS-510167-83859,"38,585",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,PUBLIC,NG8 3LL,ERS-510168-83865,"39,569",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-510173-83822,"164,591",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-510174-83839,"65,326",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-510175-83823,"44,724",Clinician Scientist Awards,,
,,16/12/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,M25 3BL,ERS-510176-83874,"29,294",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,PUBLIC,M25 3BL,ERS-510176-83874,"13,833",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"271,724",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"14,745",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"1,036,674",Bio-Medical Centres,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"102,604",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-510178-83809,"17,435",Health Technology Co-operatives,,
,,16/12/2013,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,PUBLIC,B9 5TA,ERS-510179-83829,"12,328",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,HEART OF ENGLAND NHS FOUNDATION TRUST,PUBLIC,B9 5TA,ERS-510179-83829,"21,232",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,HU16 5JQ,ERS-510180-83855,"68,247",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"486,503",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"7,000",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"1,934,031",Bio-Medical Centres,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"118,911",Quality and Safety Research Centres,,
,,16/12/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-510182-83876,"70,273",NIHR Diagnostic Evidence Cooperatives,,
,,16/12/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-510186-83812,"54,003",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-510186-83812,"5,875",Translational Research Partnerships,,
,,16/12/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-510186-83812,"24,927",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-510189-83854,"25,693",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,ERS-510189-83854,"12,771",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-510191-83801,"60,593",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,"70,136",NIHR Diagnostic Evidence Cooperatives,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,"47,726",Health Technology Co-operatives,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,"13,068",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,510,CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,"112,276",Biomedical Units,,
,,16/12/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-510192-83831,"130,544",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-510202-83912,"60,217",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-510206-83824,"89,481",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-510206-83824,"98,109",CRFs - CRII,,
,,16/12/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,ERS-510208-83910,"107,347",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS Bradford Districts CCG 02R,PUBLIC,WF3 1WE,ERS-510209-83929,"37,246",PRU,,
,,16/12/2013,Research & development,DG: RDD,NHS BRISTOL CCG 11H,PUBLIC,BS1 3NX,ERS-510210-83926,"189,015",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,PUBLIC,CB2 8FH,ERS-510211-83925,"44,160",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS DIRECT NHS TRUST,PUBLIC,MK14 6DY,ERS-510213-83909,"42,812",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS LEICESTER CITY CCG 04C,PUBLIC,LE1 6NB,ERS-510214-83927,"54,324",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS NORTH STAFFORDSHIRE CCG 05G,PUBLIC,ST5 1QG,ERS-510215-83928,"96,793",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS NOTTINGHAM CITY CCG 04K,PUBLIC,WF3 1WE,ERS-510216-83923,"100,121",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NHS OXFORDSHIRE CCG 10Q,PUBLIC,OX4 2LH,ERS-510217-83924,"211,448",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-510219-83816,"49,392",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,PUBLIC,BS1 2NP,ERS-510221-83847,"56,443",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,PUBLIC,BS1 2NP,ERS-510221-83847,"13,778",NIHR Fellowships,,
,,16/12/2013,Research & development,DG: RDD,NORTH EAST LONDON NHS FOUNDATION TRUST,PUBLIC,CM8 2TL,ERS-510222-83787,"79,955",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",PUBLIC,NE3 3XT,ERS-510224-83864,"72,210",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,NE12 8EW,ERS-510225-83840,"46,409",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-510226-83861,"119,900",Research Capability Funding,,
,,16/12/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-510226-83861,"104,288",Biomedical Units,,
,,16/12/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-510226-83861,"121,090",Biomedical Units,,
