Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,PO Line discription,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667157,259354,Capital: HSCIC Spine - FY 2013/14 Staff Capitalisation,LS1 6AE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667159,2963411.99,Capital: Spine 2 HSCIC - F/Y 2013/14 Staff Capitalisation,LS1 6AE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667159,0.01,,LS1 6AE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,318341,28720.8,Revenue: LSP NME Derby FT - F/Y 2013/14  STAF & LC costs for Lorenzo Deployment,DE22 3NE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,318543,96920.85,Capital: LSP NME Derby FT - F/Y 2013/14  STAF & LC costs for Lorenzo Deployment,DE22 3NE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,DERBY HOSPITALS NHS FOUNDATION TRUST,318543,216549.87,Revenue: LSP NME Derby FT - F/Y 2013/14  STAF & LC costs for Lorenzo Deployment,DE22 3NE,,Programme,PUBLIC,,
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,11481,80334.12,Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,SME,,GB613295452
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,11493,76511.88,Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,SME,,GB613295452
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,11539,229211.58,Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,SME,,GB613295452
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,BJSS LTD,11542,295168.75,Capital: Spine 2 - CCN BJSS increase in contract value,LS1 2TW,,Programme,SME,,GB613295452
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353086,81306.42,Revenue -- BT Spine revenue shortfall,NW9 5BA,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,02/05/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4295001-07-MAY-14,943.21,,TS17 6YG,,Other,SME,,
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444427,36824.48,Revenue: NHS Mail - March 2013 -March 2014 AVAS on going support charge,RG12 1RW,,Programme,LARGE,,GB232303710
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444430,579287.55,Revenue: NHS Mail Core Contract to cover spend for services between July 1st 2013 and March 31st 2014,RG12 1RW,,Programme,LARGE,,GB232303710
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444470,1132200,Revenue: NHS Mail Core Contract to cover spend for services between July 1st 2013 and March 31st 2014,RG12 1RW,,Programme,LARGE,,GB232303710
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444522,22630.25,Capital: NHS Mail Core Contract Capacity Enhancement up to  March 31st 2014,RG12 1RW,,Programme,LARGE,,GB232303710
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201364980,41411.84,Capital: NME - Resource to continue support to the Lorenzo implementation - Walsall STAFA,PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365305,47791.08,Capital: LSP NME - Resource to continue to provide support to the Lorenzo implementation - Walsall STAFA 063,PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,02/05/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365621,2000000,Capital: FY 2013/14 Deployment Capital Cash Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365633,158971.61,Revenue: FY 2013/14 Service Charge Revenue Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,02/05/2014,Service charge,DG: GOAD,BT GROUP PLC,CHAPS 2/5/14,22898.13,,NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,02/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,TIMEBANK,ERS-519893-87981,29074,2010/059 TIMEBANK - Project: Mentoring support for ex-service personnel,SE1 9BG,,Other,VCS,,
Department of Health,Department of Health,02/05/2014,Outsourcing Contract,DG: SCLGCP,HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP HQIP,S02245,26940,Healthcare Quality Improvement Partnership (HQIP) - Dementia Care Pilot,EC3V 5AW,,Programme,VCS,,GB929034520
Department of Health,Department of Health,03/05/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4295001-07-MAY-14,23.39,,TS17 6YG,,Other,SME,,
Department of Health,Department of Health,04/05/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4295001-07-MAY-14,45.71,,TS17 6YG,,Other,SME,,
Department of Health,Department of Health,06/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-17068,34000,,SE1 9RT,,Other,PUBLIC,,GB654923417
Department of Health,Department of Health,06/05/2014,Rent,DG: ERD,NHS PROPERTY SERVICES,50007796,311111,,WF3 1WE,,,,,
Department of Health,Department of Health,06/05/2014,Other programme expenditure,DG: SCLGCP,FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,FASTERPAYT6/5/14,25000,,EC4A 3AE,,Programme,SME,,GB979254466
Department of Health,Department of Health,07/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584157617,1861190.13,March 2014 IMS3 Open Service charges,WS11 0JA,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,07/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BRITISH SCHOOL OF OSTEOPATHY,ERS-519997-88001,41011,2013-14 IESD - British School of Osteopathy - Project: Osteomap AIMS: 2527190,SE1 1JE,,Other,PUBLIC,,
Department of Health,Department of Health,07/05/2014,Other programme expenditure,DG: GOAD,MINISTRY OF JUSTICE (MOJ),INCORRECT PAYMENT TO LAMBETH PCT,122000,,SW1H 9AJ,,Programme,PUBLIC,,
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000000,122711,NHS Supply Chain - SFVS Pesticides 2012/13,DE55 4QJ,,Programme,PUBLIC,,
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000000,58598.7,NHS Supply Chain - SFVS Distributor funding 2013/14,DE55 4QJ,,Programme,PUBLIC,,
Department of Health,Department of Health,08/05/2014,IT minor costs non capital,DG: GOAD,ORACLE CORPORATION UK LTD,1442277,85729.07,Renewal of software Update Licence & Support for Service Contract NR 2731707from 25 April 2014 to 05 April 2015,RG6 1RA,,Admin,LARGE,,GB391313073
Department of Health,Department of Health,08/05/2014,IT minor costs non capital,DG: GOAD,NQC LTD,220636,36000,Procurement of service to evaluate and monitor carbon and environment sustioanability in the supply chain (CAESER),M4 6DL,,Admin,SME,,GB803375838
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,SAPIENT LTD,30725,69147.5,13-14 EESSI-OHT System software design and related services Sapient costs,E1 6DU,,Programme,LARGE,,GB718603436
Department of Health,Department of Health,08/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353602,472276.57,PACS London: 13/14 costs (all revenue),NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,08/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353602,3898.95,Revenue - PACS London - shortfall due to indexation,NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,08/05/2014,Service charge,DG: GOAD,BT GROUP PLC,353602,0.43,,NW9 6LB,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,08/05/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201365634,5157327,Capital: FY 2013/14 Deployment Capital Cash Requirements (committed costs only),PR1 8UQ,,Programme,LARGE,,GB584686581
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,EXEL EUROPE LTD,6455646,200000,Exel Europe Ltd - SFVS Management Fee 2013/14,MK40 2XQ,,Programme,LARGE,,GB230113042
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: GOAD,FRONTIER ECONOMICS LTD,7087,51792,NHS PAM remodel,WC1V 6DA,,Programme,SME,13954,
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,SERCO LTD,90990726,211045.71,Serco Ltd - For services provided on the Healthy Start Issuing Unit - extension period April 2013 to March 2014,RG27 9UY,,Programme,LARGE,,GB207523388
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: PHD,SERCO LTD,90990727,79600.39,Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,Programme,LARGE,,GB207523388
Department of Health,Department of Health,08/05/2014,Publicity & advertising,DG: PHD,WILLIAMS LEA LTD,DH14040006,59860.32,Williams Lea - Healthy Start Information Materials 2014/15,W1F 8PR,,Programme,LARGE,,GB662774703
Department of Health,Department of Health,08/05/2014,Printing,DG: SFNHS,WILLIAMS LEA LTD,DH14040010,54344.08,DO1001 Printing & Mailing of Dental Patient Charges Uplifts Leaflets & Posters 2014/15,W1F 8PR,,Programme,LARGE,,GB662774703
Department of Health,Department of Health,08/05/2014,IT minor costs non capital,DG: GOAD,OBJECTIVE CORPORATION UK LTD,INVOUK000470,31798.88,CMU Objective Licence Renewal - 01-04-2014 to 31-03-2015,SL6 8XD,,Admin,SME,,GB727446224
Department of Health,Department of Health,08/05/2014,Outsourcing Contract,DG: SCLGCP,CITY UNIVERSITY,90302487,41824,My Home Life/City University - supporting sustainable improvements in community engagement in care homes,EC1V 0HB,,Programme,PUBLIC,,
Department of Health,Department of Health,09/05/2014,Research & development,DG: RDD,HEALTH EDUCATION ENGLAND T1510,49293235,13813915.5,"Other formal training, (Mentoring TCC, Experimental training camp AD, Psychiatry Master Class IoP, meeeting/workshops organised by TCC, NIHR Research Methods advisor - Leeds  ",LS1 4PL,,Programme,PUBLIC,,
Department of Health,Department of Health,09/05/2014,Contractor/Staff Substitution,DG: GOAD,NHS Central Southern CSU,7311700530,35970.28,,WF3 WE,,Admin,PUBLIC,,GB654442045
Department of Health,Department of Health,09/05/2014,IT minor costs non capital,DG: GOAD,INOVEM LTD TAS KAHOOTZ,1256,50940,1000 user licences for 'Kahootz' the DH external-facing collaboration service (Replacement for Quickr),RG20 8JE,,Admin,SME,,
Department of Health,Department of Health,09/05/2014,Outsourcing Contract,DG: GOAD,HIP SHOOT PHOTOGRAPHY LTD,HSP002,44000,Data extraction and formatting for 12 legacy bodies (100 days) including 20 for additional complexity in data extraction and formatting.,TN17 1JX,,Admin,SME,,
Department of Health,Department of Health,09/05/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,GIVING WORLD,ERS-520114-88021,37692,"IESD 2012-13, AIMS 1775521, Giving World: Patient Care Packs",LE1 3BD,,Other,VCS,,GB943252824
Department of Health,Department of Health,12/05/2014,Publicity & advertising,DG: SCLGCP,HEALTH AND SOCIAL CARE INFORMATION CENTRE,12667389,33915.47,Development and launch of a data visualisation tool for the ASCOF.,LS1 6AE,,Programme,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,ERS-520180-88041,109504,CLAHRCs,NG3 6AA,,Programme,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions FT Financing Facility Loans,DG: Central Technical,LANCASHIRE CARE NHS FOUNDATION TRUST,HAFS-17069,2300000,,PR5 6XT,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions FT Financing Facility Loans,DG: Central Technical,THE ROYAL BOURNEMOUTH & CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,HAFS-17070,2450000,,BH7 7DW,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions FT Financing Facility Loans,DG: Central Technical,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17071,20000000,,BS99 1YF,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Revenue Support NHS FT Permenant,DG: Central Technical,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17072,756000,,ST16 3SA,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17073,1200000,,ST16 3SA,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17075,268000,,PE3 6DA,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17076,3836000,,PE3 6DA,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17077,37000,,NG17 4JL,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17078,2360000,,NG17 4JL,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17079,164000,,PE3 6DA,,Other,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Research & development,DG: RDD,ASHRIDGE CONSULTING LTD,15629,144816.24,NIHR Faculty Leadership,HP4 1NS,,Programme,SME,,GB596272403001
Department of Health,Department of Health,12/05/2014,Storage costs,DG: SFNHS,MYLAN,1800001650,0.01,,,,,LARGE,,GB421623781
Department of Health,Department of Health,12/05/2014,Storage costs,DG: SFNHS,MYLAN,1800001650,83088.16,,,,,LARGE,,GB421623781
Department of Health,Department of Health,12/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584157750,991.03,PPR 199 - Custom Reports - Remedy reporting centre,WS11 0JA,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,12/05/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584157750,28729.24,PPR 199 - IWS Training Sessions,WS11 0JA,,Admin,LARGE,,GB232327983
Department of Health,Department of Health,12/05/2014,IT minor costs non capital,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV010845,218658,ESR CCN 874 - Total Rewards Statement Solution (pass through cost to BSA),CV34 6NZ,,Programme,LARGE,,GB927438206
Department of Health,Department of Health,12/05/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,ERS-520178-88042,250000,NPRI - National Prevention Research Initiative,SN2 1FF,,Programme,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,ERS-520178-88042,269966.8,NPRI - National Prevention Research Initiative,SN2 1FF,,Programme,PUBLIC,,
Department of Health,Department of Health,12/05/2014,Research & development,DG: RDD,MEDICAL RESEARCH COUNCIL MRC,ERS-520178-88042,220000,E-Health Joint Call,SN2 1FF,,Programme,PUBLIC,,
Department of Health,Department of Health,13/05/2014,Rent,DG: ERD,NHS PROPERTY SERVICES,50007802,46569.9,,WF3 1WE,,,,,
Department of Health,Department of Health,13/05/2014,Outsourcing Contract,DG: PHD,NHS ENGLAND CBA033,7000007157,246081.56,Funding for the provision of regional prevent co-ordinators - 2013/14 FY.,LS2 7UE,,Programme,PUBLIC,,GB654442045
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325585RI,33717.46,"Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325586RI,57066.43,"Building Maintenance Costs from 01/04/14 - 31/03/15 @£57,066.43",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325586RI,11055.48,"FM Costs from 01/04/14 - 31/03/15 @£11,055.48",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325587RI,46676.46," Building Maintenance Costs from 01/04/14 -31/03/201515 @ £46,676.46 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325587RI,22528.31,"Cleaning Costs from 01/04/14 -31/03/201515 @ £22,528.31 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325587RI,13007.45,"FM Costs from 01/04/14 -31/03/201515 @ £13,007.45 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325587RI,29340.24,"Security Costs from 01/04/14 -31/03/201515 @ £29,340.24 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325588RI,49138.93,"Building Maintenance Costs from 01/04/14 - 31/03/15 @£49,138.93",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325588RI,29049.98,"Cleaning Costs from 01/04/14 - 31/03/15 @£29,049.98",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325588RI,26261.22,"FM Costs from 01/04/14 - 31/03/15 @£26,261.22",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325588RI,47483.26,"Security Costs from 01/04/14 - 31/03/15 @£47,483.26",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325589RI,38449.46,"Building Maintenance Costs from 01/04/14 -31/03/15 @38,449.46 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325589RI,21923.22,"Cleaning Costs from 01/04/14 -31/03/15 @21,923.22 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325589RI,13060.08,"FM Costs from 01/04/14 -31/03/15 @13,060.08 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325589RI,28817.96,"Security Costs from 01/04/14 -31/03/15 @28,817.96 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325590RI,7250.17,"Building Maintenance Costs from 01/04/14 - 31/03/15 @£7,250.17 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325590RI,4526.33,"Cleaning Costs from 01/04/14 - 31/03/15 @£4,526.33 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325590RI,7518.17,"FM Costs from 01/04/14 - 31/03/15 @£7,518.17 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325590RI,1623.83,"Security Costs from 01/04/14 - 31/03/15 @£1,623.83 mthly",SO53 3YE,,Admin,LARGE,,GB188414046
Department of Health,Department of Health,13/05/2014,Service charge,DG: GOAD,BT GROUP PLC,352403,102184.52,Revenue:  BT Spine2. For CCN837- BT Leased line,NW9 5BA,,Programme,LARGE,,GB245719348
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,-0.01,,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,113.76,phenobarbital_200mg/ml 1ml_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,113.51,paracetamol_125mg_suppository10,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,79549.02,methadone_1mg/ml_liquid500ml,RM3 8UG,,Admin,LARGE,,GB701725270
Department of Health,Department of Health,13/05/2014,Raw materials & consumables,DG: SFNHS,MARTINDALE PHARMACEUTICALS LTD,90087177,342.1,magnesium sulphate_50% 2ml_injection10,RM3 8UG,,Admin,LARGE,,GB701725270
