Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-12219," 2,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-12254," 2,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-12247," 3,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NATIONAL PATIENT SAFETY AGENCY (NPSA),PUBLIC,W1T 5HD,HAFS-12248," 4,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DARLINGTON PCT,PUBLIC,DL14 6WA,HAFS-12192," 12,652,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-12163," 14,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-12272," 14,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HARTLEPOOL PCT,PUBLIC,TS7 0NJ,HAFS-12216," 15,100,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-12257," 18,200,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-12260," 18,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-12306," 18,625,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,ISLE OF WIGHT NHS PCT,PUBLIC,PO30 5TG,HAFS-12227," 19,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-12276," 19,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,KINGSTON PCT,PUBLIC,KT5 9AL,HAFS-12230," 20,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-12277," 20,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-12304," 20,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-12288," 20,700,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-12258," 21,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-12160," 22,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,TORBAY CARE TRUST,PUBLIC,TQ9 6JE,HAFS-12307," 22,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BURY PCT,PUBLIC,BL9 0EN,HAFS-12180," 23,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-12245," 23,150,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-12170," 23,151,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-12171," 23,353,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LUTON TEACHING PCT,PUBLIC,LU1 2PJ,HAFS-12241," 23,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,KNOWSLEY PCT,PUBLIC,L33 7XW,HAFS-12232," 23,820,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-12292," 24,100,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,GATESHEAD PCT,PUBLIC,NE11 0NB,HAFS-12207," 24,200,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-12284," 24,650,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HASTINGS & ROTHER PCT,PUBLIC,TN40 2DZ,HAFS-12217," 25,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-12314," 25,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-12164," 26,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-12305," 26,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-12290," 26,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-12181," 27,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HAMMERSMITH AND FULHAM PCT,PUBLIC,WF3 1WE,HAFS-12212," 27,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HAVERING PCT COMMISSIONING,PUBLIC,RM12 6RS,HAFS-12218," 27,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-12261," 27,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HEREFORDSHIRE PCT,PUBLIC,HR2 9RP,HAFS-12221," 27,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HARROW PCT,PUBLIC,HA1 3EX,HAFS-12215," 28,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,MILTON KEYNES PCT,PUBLIC,MK6 5NG,HAFS-12246," 28,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-12262," 28,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-12320," 28,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-12168," 28,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-12270," 29,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-12274," 29,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-12298," 29,160,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-12263," 29,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-12159," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DERBY CITY PCT,PUBLIC,WF3 1WE,HAFS-12193," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EAST MIDLANDS SHA,PUBLIC,WF3 1WE,HAFS-12201," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HEYWOOD MIDDLETON & ROCHDALE PCT,PUBLIC,M24 1AY,HAFS-12223," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-12295," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-12308," 30,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,GREAT YARMOUTH AND WAVENY PCT,PUBLIC,NR31 0LT,HAFS-12209," 31,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,KENSINGTON AND CHELSEA PCT,PUBLIC,W10 6DZ,HAFS-12229," 31,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-12252," 31,204,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-12275," 32,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-12287," 32,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-12311," 32,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-12297," 33,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-12316," 33,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CAMDEN PCT,PUBLIC,NW1 0PE,HAFS-12183," 33,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-12176," 34,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HILLINGDON PCT,PUBLIC,TW3 3HR,HAFS-12224," 34,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-12278," 34,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-12321," 34,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BOLTON PCT,PUBLIC,B11 1PP,HAFS-12172," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,COVENTRY TEACHING PCT,PUBLIC,CV1 2GQ,HAFS-12189," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HOUNSLOW PCT,PUBLIC,UB2 4SA,HAFS-12225," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,HAFS-12243," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-12273," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-12309," 35,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BROMLEY PCT,PUBLIC,WF3 1WE,HAFS-12178," 35,250,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-12165," 36,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-12294," 36,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-12312," 36,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NEWCASTLE PCT,PUBLIC,NE27 0QJ,HAFS-12250," 36,400,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-12324," 36,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CITY AND HACKNEY TEACHING PCT,PUBLIC,E1 1RD,HAFS-12186," 37,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-12313," 37,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-12299," 37,100,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SALFORD PCT,PUBLIC,M6 5FW,HAFS-12279," 37,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-12283," 37,983,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-12173," 38,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-12267," 38,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-12289," 38,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EAST RIDING OF YORKSHIRE PCT,PUBLIC,HU10 6DT,HAFS-12203," 38,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,ENFIELD PCT,PUBLIC,EN1 1NJ,HAFS-12206," 38,600,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-12162," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DONCASTER PCT,PUBLIC,DN4 5DJ,HAFS-12196," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,DUDLEY PCT,PUBLIC,DY2 8PP,HAFS-12198," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LEWISHAM PCT,PUBLIC,SE12 8RN,HAFS-12237," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-12296," 40,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-12280," 40,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-12259," 40,502,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-12301," 40,800,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-12175," 41,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,EAST SUSSEX DOWNS & WEALD PCT,PUBLIC,BN21 3UN,HAFS-12204," 41,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HEART OF BIRMINGHAM TEACHING PCT,PUBLIC,B7 4WH,HAFS-12220," 41,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-12256," 41,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WEST MIDLANDS SHA,PUBLIC,B16 9RG,HAFS-12318," 41,100,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-12303," 41,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,GREENWICH TEACHING PCT,PUBLIC,SE10 8EX,HAFS-12210," 42,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HALTON & ST HELENS PCT,PUBLIC,WA10 2AP,HAFS-12211," 42,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HULL PCT,PUBLIC,HU1 3HA,HAFS-12226," 42,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-12310," 42,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,NEWHAM PCT,PUBLIC,E1 1RD,HAFS-12251," 42,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,HARINGEY TEACHING PCT,PUBLIC,N15 3TH,HAFS-12214," 43,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SEFTON PCT,PUBLIC,L13 1HN,HAFS-12281," 43,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-12323," 43,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,LEICESTER CITY PCT,PUBLIC,LE1 6NB,HAFS-12235," 43,500,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,ISLINGTON PCT,PUBLIC,NW1 2LT,HAFS-12228," 43,900,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-12293," 44,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-12177," 45,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,CROYDON PCT,PUBLIC,CR0 6SR,HAFS-12190," 45,000,000.00 ",,,Other,
Department of Health,Department of Health,01/02/2012,CASH FUNDING Rev Inside RAB,NHS FC,MID ESSEX PCT,PUBLIC,CM8 2TL,HAFS-12244," 45,000,000.00 ",,,Other,
