Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,04/07/2014,FM CONTRACT FIXED COSTS,ADMIRALTY ARCH,BOUYGUES E&S FM UK LTD,3000050353,46118.44,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,04/07/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,SPINK & SON LTD,3000050356,46648.8,Medals and insignia for Honours,WC1B4ET,SME,Programme
Cabinet Office,CABINET OFFICE,04/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,DUMFRIES & GALLOWAY,3000050350,84382,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS DG12HP,#N/A,Grants
Cabinet Office,CABINET OFFICE,04/07/2014,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,1001060,141075,Rent for accommodation ,NR103JU,Large,Admin
Cabinet Office,CABINET OFFICE,04/07/2014,OPERATING LEASES - RENT,ROSEBERY COURT FM CONTRACT,J KING NORFOLK COORDINATION LTD,1001058,159165.9,Legal services ,NR103JU,Large,Admin
Cabinet Office,CABINET OFFICE,04/07/2014,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000050353,547066.58,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,04/07/2014,PENSIONER PAYROLL CONTRACTOR,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000050346,2944547.41,MyCSP administration charges ,LS27UA,Non-SME,Admin
Cabinet Office,CABINET OFFICE,04/07/2014,RESOURCE GRANTS TO NDPB'S,LEGAL ADVICE FUND,BIG LOTTERY ADVICE SERVICES TRANSITION FUND,3000050341,4062500,Advice Service Transition fund grant,ERS B151TR,Non-SME,Grants
Cabinet Office,CABINET OFFICE,07/07/2014,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,NORTH HIGHLAND LTD,3000050394,26910,Payment for interim IT specialists,SL61NJ,SME,Programme
Cabinet Office,CABINET OFFICE,07/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000050406,32332.55,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,07/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BASSETLAW DISTRICT COUNCIL,3000050400,32434,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS S802AH,#N/A,Grants
Cabinet Office,CABINET OFFICE,07/07/2014,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,SE EQUITY FUND,BRIDGES VENTURES LTD,3000050419,35158.77,Investment in a risk capital fund for social enterprise,W23EN,Non-SME,Programme
Cabinet Office,CABINET OFFICE,07/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PMO,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,3000050423,38047.54,IT support ,ST15UB,SME,#N/A
Cabinet Office,CABINET OFFICE,07/07/2014,RESOURCE GRANTS PRIVATE SECTOR,VOLUNTEERING,VINSPIRED,3000050420,"375,000.00",Delivering Youth Volunteering Opportunities grant ,ERS SW1P2AF,Non-SME,Grants
Cabinet Office,Crown Commercial Service,08/07/2014,FM Service charges,Estates Management,DTZ,PINDOH 39193,18005.5,Facilities Management Services ,B4 6AJ,Large,Admin
Cabinet Office,Crown Commercial Service,08/07/2014,Service charges,Estates Management,DTZ,PINDOH 39193,34340,Facilities Management Services ,B4 6AJ,Large,Admin
Cabinet Office,Crown Commercial Service,08/07/2014,Rent for accommodation in The Capital building,Estates Management,DTZ,PINDOH 39193,39060,Rent for accommodation ,B4 6AJ,Large,Admin
Cabinet Office,Crown Commercial Service,08/07/2014,Rent for accommodation in The Capital building,Estates Management,DTZ,PINDOH 39193,39215,Rent for accommodation,B4 6AJ,Large,Admin
Cabinet Office,CABINET OFFICE,08/07/2014,PROFESSIONAL SERVICES NON VAT RECOVERABLE,CCS RESILIENT TELECOMMUNICATIONS,ORDNANCE SURVEY,3000050433,412800,Support and maintenance of ResilienceDirect,SO164XH,Government Department,Programme
Cabinet Office,CABINET OFFICE,09/07/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,SME IDR & PENSIONS TECHNICAL LEAD,TREASURY SOLICITORS DEPARTMENT,3000050453,182817.54,Legal services ,WC2B4TS,#N/A,#N/A
Cabinet Office,CABINET OFFICE,10/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000050519,31436.74,Payment for interim IT specialists,#N/A,Large,Programme
Cabinet Office,CABINET OFFICE,10/07/2014,OTHER IS IT COSTS VAT RECOV,CCS RESILIENT TELECOMMUNICATIONS,CORPORATE DOCUMENT SERVICES LTD,3000050556,36035.1,Support and maintenance of ResilienceDirect,LS27LY,Large,Programme
Cabinet Office,CABINET OFFICE,10/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000050519,41229.95,Payment for interim IT specialists,#N/A,Large,Programme
Cabinet Office,CABINET OFFICE,10/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000050519,63897.88,Payment for interim IT specialists,#N/A,Large,Programme
Cabinet Office,CABINET OFFICE,10/07/2014,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,KPMG,3000050534,77644,Support for the Debt Market Integrator project.,WD171DE,Large,Admin
Cabinet Office,CABINET OFFICE,10/07/2014,PROFESSIONAL SERVICES NON VAT RECOVERABLE,CIVIL SERVICE COMMISSION,KPMG,3000050534,90000,Compliance Monitoring contract charges: auditing adherence to recruitment guidelines in the Civil Service and Public Bodies,WD171DE,Large,Admin
Cabinet Office,CABINET OFFICE,10/07/2014,LEGAL ADVICE FROM TSOL,PMO STAFF TRANSFERS,TREASURY SOLICITOR TSOL,3000050544,153000,Payment relating to legal case work ,WC2B4TS,Government Department,#N/A
Cabinet Office,CABINET OFFICE,10/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,RENFREWSHIRE VALUATION JOINT BOARD,3000050516,183748,Payment to fund the implementation of Individual Electoral Registration in 2014-15,PA13QF,Non-SME,Grants
Cabinet Office,CABINET OFFICE,10/07/2014,ADDITIONSAUC F/H NON RES BLDGS,70 WHITEHALL,BOUYGUES E&S FM UK LTD,3000050537,214844.4,Facilities Management Services ,BN11HG,Large,Programme
Cabinet Office,CABINET OFFICE,10/07/2014,PENSIONER PAYROLL CONTRACTOR,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000050523,394963.75,Royal Mail Statutory Pension Scheme administration charges  ,EC4Y0HQ,Large,Admin
Cabinet Office,CABINET OFFICE,10/07/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000050545,586500,Legal services ,WC2B4TS,Government Department,Admin
Cabinet Office,CABINET OFFICE,10/07/2014,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,NEXT GENERATION HR COSTS,DWP,3000050543,5211890.4,Departmental contributions to the cost of Civil Service HR Expert Services,FY53TA,Government Department,Admin
Cabinet Office,CABINET OFFICE,11/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA RESOURCING LTD,3000050580,30052.34,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,AUC LH NON RES BUILDINGS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000050578,39510.24,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,11/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000050581,39726.26,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA RESOURCING LTD,3000050580,44837.11,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,ADDITI AUC LHNONRESBLDG(OWNED),10 VICTORIA STREET,BOUYGUES E&S FM UK LTD,3000050578,48491.1,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,11/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA RESOURCING LTD,3000050580,63319.62,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,TELECOM RENTALS,CERT,BRITISH TELECOMMUNICATIONS PLC,3000050582,65408.72,"IT hardware to support the formation of CERT UK, which is a key component of the UK’s cyber security strategy. This will protect UK businesses by facilitating the sharing of information on cyber threats in real time using a secure virtual ‘collaboration environment’.  ",SK14LW,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000050580,94601.97,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,Research and Development (VAT recoverable),ERG CIVIL SERVICE REFORM,HAY GROUP LTD,3000050585,99850,Research into comparative staff pay markets ,#N/A,SME,Admin
Cabinet Office,CABINET OFFICE,11/07/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000050574,131760.85,Shared services charges ,M140WN,Non-SME,Admin
Cabinet Office,CABINET OFFICE,11/07/2014,GRANT FUND MANAGEMENT VAT RECOVERABLE,COMMUNITY ORGANISERS,LOCALITY,3000050586,233599,Grant Fund Management charges,ERS N16DR,Large,Programme
Cabinet Office,CABINET OFFICE,11/07/2014,ADDITIONS - F&FS,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000050578,333046.43,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,14/07/2014,OTHER LEGAL FEES,GDS ID ASSURANCE,SLAUGHTER & MAY,3000050607,40064,Legal services ,EC1Y8YY,Large,Programme
Cabinet Office,CABINET OFFICE,14/07/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000050610,40924.44,GOV.UK software development,GU140LX,SME,Programme
Cabinet Office,CABINET OFFICE,14/07/2014,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,ERNST & YOUNG LLP,3000050621,47192.15,"Support for the Independent Shared Service Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",SE12AF,Large,Admin
Cabinet Office,CABINET OFFICE,14/07/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,BLOODHOUND PROGRAMME LTD,3000050627,50000,GREAT Campaign,BS119QD,#N/A,Programme
Cabinet Office,CABINET OFFICE,14/07/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,SKYSCAPE CLOUD SERVICES LTD,3000050610,117218.33,GOV.UK software development ,GU140LX,SME,Programme
Cabinet Office,CABINET OFFICE,14/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CENTRAL SCOTLAND VALUATION JOINT BOARD,3000050640,144035,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ERS FK79,Non-SME,Grants
Cabinet Office,CABINET OFFICE,15/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000050663,31430.12,"Support for the Independent Shared Service Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",#N/A,Large,Admin
Cabinet Office,CABINET OFFICE,15/07/2014,CONSULTANTS VAT RECOVERABLE,ERG FRAUD ERROR AND DEBT,KPMG,3000050672,40000,Review of the Counter Fraud Checking Service project,WD171DE,Large,#N/A
Cabinet Office,CABINET OFFICE,15/07/2014,FM CONTRACT FMP,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000050673,51612.96,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,15/07/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,1001067,68244,Central Chancery charges for administration of Honours,SW1A1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,15/07/2014,FM CONTRACT VARIABLE,70 WHITEHALL,CROWN COMMERCIAL SERVICE,3000050656,72399.43,Facilities Management Services ,L39PP,Non-SME,Programme
Cabinet Office,CABINET OFFICE,15/07/2014,RECORDS AND DATA STORAGE AND ARCHIVING,RECORDS AND ARCHIVES,TNT UK LTD,3000050665,97322.2,Offsite File Storage Costs,CV92RY,Non-SME,#N/A
Cabinet Office,CABINET OFFICE,15/07/2014,ADDITIONS - FH NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000050673,152797.69,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,15/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,GRAMPIAN VALUATION JOINT BOARD,3000050684,275674,Payment to fund the implementation of Individual Electoral Registration in 2014-15,AB165GE,Non-SME,Grants
Cabinet Office,CABINET OFFICE,16/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000050716,25678.08,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,16/07/2014,RESOURCE GRANTS LOCAL AUTHORITY,ERTP ERO CONFIRMATION & VERIFICATION,ORKNEY & SHETLAND ORKNEY VJB,3000050708,31385,Payment to fund the implementation of Individual Electoral Registration in 2014-15,ZE10LZ,#N/A,Grants
Cabinet Office,CABINET OFFICE,16/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,G CLOUD,ALPINE CONSORTIUM,3000050735,31500,Payment for interim IT specialists,EC4A2AB,SME,Programme
Cabinet Office,CABINET OFFICE,16/07/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000050742,35378.09,Reprographic services,NN47YB,Large,Admin
Cabinet Office,CABINET OFFICE,16/07/2014,NON PRIME PROPERTY COSTS,GPU RESIDUAL ESTATE ADMIN,BUCKINGHAMSHIRE COUNTY COUNCIL,3000050754,40000,Rent for accommodation ,HP201UA,Non-SME,Admin
Cabinet Office,CABINET OFFICE,16/07/2014,CENTRAL TRAINING CONTRACTS VAT RECOVERABLE,THE COLLEGE,SERCO LTD,3000050753,40000,Support through the Emergency Planning College training service on the design and delivery of a national nuclear exercise ,YO611EB,Large,#N/A
Cabinet Office,CABINET OFFICE,16/07/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,3000050745,51000,GOV.UK development costs,CF30LW,Government Department,Programme
Cabinet Office,CABINET OFFICE,16/07/2014,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000050714,61594.4,Estate services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,16/07/2014,OTHER LEGAL FEES,ERG DEBT MARKET INTEGRATOR,FIELD FISHER WATERHOUSE LLP,3000050720,80741.8,Legal services ,EC3N2AA,Large,Admin
Cabinet Office,CABINET OFFICE,16/07/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,KAINOS SOFTWARE LTD,3000050722,91762.5,Managed services for the GDS transformation project,BT71NT,SME,Programme
Cabinet Office,CABINET OFFICE,16/07/2014,CONSULTANTS VAT RECOVERABLE,ERG DEBT MARKET INTEGRATOR,KPMG,3000050709,146469,Support for the Debt Market Integrator project,WD171DE,Large,Admin
Cabinet Office,CABINET OFFICE,16/07/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,HIGHLAND & WESTERN ISLES VALUATION JOINT BOARD,3000050757,149024,Payment to fund the implementation of Individual Electoral Registration in 2014-15,IV11QY,#N/A,Grants
Cabinet Office,CABINET OFFICE,16/07/2014,RESOURCE GRANTS PRIVATE SECTOR,YOUTH POLICY,KIDS COMPANY,3000050755,1000000,"Improving Outcomes for Children, Young People and Families grant",ERS SE59BS,Non-SME,Grants
Cabinet Office,CABINET OFFICE,16/07/2014,OPERATING LEASES - RENT,1 HORSEGUARDS ROAD,HM TREASURY,3000050718,2613467.81,Rent for accommodation ,NR70HS,Government Department,Admin
Cabinet Office,CABINET OFFICE,17/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000050814,28111.2,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,17/07/2014,FM CONTRACT VARIABLE,CARLTON GARDENS,INSTITUTE FOR GOVERNMENT,3000050824,43137.91,Estate services ,SW1Y5AA,#N/A,Admin
Cabinet Office,CABINET OFFICE,17/07/2014,ADDITIONSAUC F/H NON RES BLDGS,CORPORATE SERVICES,BOUYGUES E&S FM UK LTD,3000050794,60873.79,Facilities Management Services ,BN11HG,Large,Programme
Cabinet Office,CABINET OFFICE,17/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000050800,75913.83,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,17/07/2014,OTHER IS IT COSTS VAT RECOV,ERTP ERO DIGITAL,SPECIALIST COMPUTER CENTRE PLC,3000050820,193185.34,Delivering the digital capability that supports the business change from household to Individual Electoral Registration ,B112LE,Large,Programme
Cabinet Office,CABINET OFFICE,17/07/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000050799,204396.01,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,17/07/2014,FM CONTRACT VARIABLE,ESTATE CONSOLIDATION,BOUYGUES E&S FM UK LTD,3000050794,208017.73,Facilities Management Services ,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,17/07/2014,ADDITIONSAUC F/H RES CONSULTANCY (FEES) VAT REC,CORPORATE SERVICES,BOUYGUES E&S FM UK LTD,3000050794,360000,Facilities Management Services,BN11HG,Large,Programme
Cabinet Office,CABINET OFFICE,18/07/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,ZENDESK INC,2000509,26284.5,GOV.UK software development ,USA,#N/A,Programme
Cabinet Office,CABINET OFFICE,18/07/2014,ADDITIONS AUC - IT SW,ERTP ERO DIGITAL,CLEARVISION LTD,3000050834,27480,30 software licences needed in connection with the Individual Electoral Registration live service,SO322AH,SME,Programme
Cabinet Office,CABINET OFFICE,18/07/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,E SYNERGY SOLUTIONS LTD,3000050840,30125,Payment for interim IT specialists,EC3M3JY,#N/A,Programme
Cabinet Office,CABINET OFFICE,18/07/2014,OTHER IS IT COSTS VAT RECOV,G CLOUD,AFFINITY DIGITAL TECHNOLOGY LTD,3000050849,31745,G-Cloud hosting services,TR48NE,Large,Programme
Cabinet Office,Crown Commercial Service,18/07/2014,Statutory Audit Fee For the Annual Accounts,Planning & Finance,NATIONAL AUDIT OFFICE,PINDOH 39340,33000,Statutory Audit Fee For the Annual Accounts,SW1W 9SP,Large,Admin
Cabinet Office,CABINET OFFICE,18/07/2014,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000050864,49299.23,Facilities Management Services ,BS167FN-1,Large,Admin
Cabinet Office,Crown Commercial Service,18/07/2014,Rent for accommodation in Rosebery Court,Estates Management,CABINET OFFICE VOTES CASH ACCO,PINDOH 39270,77276.24,Rent for accommodation ,CF14 3UW,Gov Dept,Admin
Cabinet Office,CABINET OFFICE,18/07/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,LOCAL GOVERNMENT ASSOCIATION,3000050833,297630,Support costs to facilitate the release of data not currently available in open reusable format,SW1A2AS,#N/A,Grants
Cabinet Office,CABINET OFFICE,18/07/2014,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000050839,3015472.72,National Citizen Service Trust grant,ERS W1W5BB,Non-SME,Grants
Cabinet Office,CABINET OFFICE,18/07/2014,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000050842,35630470,National Citizen Service Trust grant,ERS W1W5BB,Non-SME,Grants
