Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Voucher Number,Transaction Description,Amount
HM Treasury,HM Treasury,22-Nov-2013,Equitable Life Enquiry VAT recoverable,Equitable Life,TOWERS WATSON,107869,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME  - OCTOBER 2013,74787.79
HM Treasury,HM Treasury,25-Nov-2013,Payroll Services,HR Central Services,CABINET OFFICE RM SHARED SERVICES,107908,PENSION ADMINISTRATION COSTS 2013/14,"47,385.00"
HM Treasury,HM Treasury,25-Nov-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,107670,IMPLEMENTATION COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - AUGUST 2013,348894.56
HM Treasury,HM Treasury,27-Nov-2013,Assets Under Construction Tangible - over £5k,JWS PROJECTS - HMT & OGDs (Shared),FUJITSU SERVICES LIMITED,107940,PROVISION OF IT SERVICES IN SUPPORT OF THE INTERNET PROJECT FULLY RECHARGABLE TO OGD,"35,003.14"
HM Treasury,HM Treasury,27-Nov-2013,Assets Under Construction Tangible - over £5k,JWS PROJECTS - HMT & OGDs (Shared),FUJITSU SERVICES LIMITED,107940,PROVISION OF IT SERVICES IN SUPPORT OF THE INTERNET PROJECT FULLY RECHARGABLE TO OGD,"37,432.99"
HM Treasury,HM Treasury,27-Nov-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,107966,RECORDS MANAGEMENT REVIEW & CLEANSE,"204,308.10"
HM Treasury,HM Treasury,27-Nov-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,107967,RECORDS MANAGEMENT REVIEW & CLEANSE,"143,320.50"
HM Treasury,HM Treasury,27-Nov-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,107968,RECORDS MANAGEMENT REVIEW & CLEANSE,"143,320.50"
HM Treasury,DMO,29-Nov-2013,DMO - Banking Costs,Settlements,BANK OF ENGLAND ,108019,BANKING CHARGES OCTOBER 2013,86943.15
HM Treasury,HM Treasury,29-Nov-2013,Procurement Card Suspense,Hmt Suspense,BARCLAYCARD COMMERCIAL ,108037,HMT GPC NOVEMBER 2013,74977.6
HM Treasury,HM Treasury,29-Nov-2013,RBS LODGE CARD (TRAVEL),Hmt Suspense,BARCLAYCARD COMMERCIAL ,108038,HMT LODGE NOVEMBER 2013,99217.93
HM Treasury,HM Treasury,29-Nov-2013,Recruitment Expenses,Government Social Research Unit,HM REVENUE & CUSTOMS (WORTHING),107946,COST FOR 2014 GES FAST STREAM RECRUITMENT ACROSS GOVERNMENT DEPTS - RECHARGABLE TO OGD's,224400
HM Treasury,HM Treasury,29-Nov-2013,Recruitment Expenses,Government Economic Service,HM REVENUE & CUSTOMS (WORTHING),107947,COST FOR 2014 GSR FAST STREAM RECRUITMENT ACROSS GOVERNMENT DEPTS  - RECHARGABLE TO OGD's,686400
HM Treasury,HM Treasury,29-Nov-2013,Professional Services - IT,Project OSCAR (inc DPI),IBM UK,107928,PROJECT OSCAR - SUPPORT STAFF,36559.9
HM Treasury,HM Treasury,29-Nov-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,107959,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - SEPTEMBER 2013,1043906.16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
