Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,13-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1005017,35,
FCO,FCO,13-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1005017,"8,522.87",
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,-210,
FCO,FCO,13-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1005017,-36.75,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,210,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,-0.01,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,-500,
FCO,FCO,13-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1005017,-87.5,
FCO,FCO,13-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1005017,500,
FCO,FCO,13-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1005017,87.5,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"45,200.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"1,500.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,900,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,224,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,288,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,500,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,200,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"11,106.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"1,943.55",
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,35,
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,"8,507.10",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"-45,200.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"-1,500.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,-900,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,-224,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,-288,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,-500,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,-200,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"-11,106.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"-1,943.55",
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,-35,
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,"-8,507.10",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"45,200.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"1,500.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,900,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,224,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,288,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,500,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,200,
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"11,106.00",
FCO,FCO,23-Dec-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1006152,"1,943.55",
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,35,
FCO,FCO,23-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1006152,"8,467.90",
FCO,FCO,22-Dec-10,Inward Visits/Uk Conferences,DG CHANGE & DELIVERY,BBC - BRITISH BROADCASTING CORPORATION,1006064,"125,813.00",
FCO,FCO,22-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BBC - BRITISH BROADCASTING CORPORATION,1006064,"22,017.28",
FCO,FCO,13-Dec-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,BBC WORLD SERVICE TRUST,1005019,"29,740.00",
FCO,FCO,14-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005302,"122,500.00",
FCO,FCO,14-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005302,70.98,
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BNP PARIBAS REAL ESTATE,1005302,"21,449.92",
FCO,FCO,14-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005302,-70.98,
FCO,FCO,14-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005302,70.98,
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BNP PARIBAS REAL ESTATE,1005302,-12.42,
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"26,807.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"13,693.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"4,691.23",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"2,396.28",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"-26,807.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"-13,693.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"-4,691.23",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"-2,396.28",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"26,807.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"13,693.00",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,BNP PARIBAS REAL ESTATE,1005735,"4,691.23",
FCO,FCO,10-Dec-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,BRIGHT HORIZONS FAMILY SOLUTION LTD,1004927,"41,246.00",
FCO,FCO,08-Dec-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BRITISH ANTARCTIC SURVEY (NERC),1004713,"33,534.07",
FCO,FCO,15-Dec-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008572,"42,831.74",
FCO,FCO,15-Dec-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000515,"3,401,627.75",
FCO,FCO,15-Dec-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000515,"398,807.33",
FCO,FCO,15-Dec-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000515,"64,559.40",
FCO,FCO,20-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1005795,"62,580.00",
FCO,FCO,20-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1005795,"10,951.50",
FCO,FCO,20-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1005795,"-62,580.00",
FCO,FCO,20-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1005795,"62,580.00",
FCO,FCO,20-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1005795,"10,951.50",
FCO,FCO,20-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1005795,"-10,951.50",
FCO,FCO,03-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CAPGEMINI  UK PLC,1004442,"32,772.00",
FCO,FCO,03-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CAPGEMINI  UK PLC,1004442,"18,056.27",
FCO,FCO,03-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1004442,"8,894.95",
FCO,FCO,14-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005109,"144,090.00",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005109,"25,215.75",
FCO,FCO,14-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005309,"144,090.00",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005309,"25,215.75",
FCO,FCO,21-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005861,"300,000.00",
FCO,FCO,21-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1005861,"52,500.00",
FCO,FCO,07-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CASA LAISER MANAGEMENT LIMITED,212936,"306,843.56",
FCO,FCO,08-Dec-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,CCAMLR,10033,"81,337.65",
FCO,FCO,02-Dec-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COB EMPLOYEE EXPENSES,3007561,"218,286.25",
FCO,FCO,15-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,COGENT ELECTRICAL SERVICES LTD (FORM WES),1005500,"76,430.60",
FCO,FCO,06-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,40000000318,"37,910.40",
FCO,FCO,17-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,COLLIERS MEREDITH & GREW / TECHNOLOGY AGENCY ACCT,40000000417,"38,908.74",
FCO,FCO,14-Dec-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005118,801.43,
FCO,FCO,14-Dec-10,Uk Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005118,107.3,
FCO,FCO,14-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1005118,"14,025.00",
FCO,FCO,14-Dec-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005118,889.94,
FCO,FCO,14-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1005118,"14,662.50",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1005118,"5,335.09",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1005118,-0.01,
FCO,FCO,14-Dec-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005318,801.43,
FCO,FCO,14-Dec-10,Uk Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005318,107.3,
FCO,FCO,14-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1005318,"14,025.00",
FCO,FCO,14-Dec-10,Overseas Duty Travel,DG FINANCE,CONCERTO CONSULTING LTD,1005318,889.94,
FCO,FCO,14-Dec-10,Programme and Project Management Consultancy,DG FINANCE,CONCERTO CONSULTING LTD,1005318,"14,662.50",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1005318,"5,335.09",
FCO,FCO,14-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CONCERTO CONSULTING LTD,1005318,-0.01,
FCO,FCO,06-Dec-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,DAPP,700001693,"41,851.78",
FCO,FCO,20-Dec-10,Rent and Condominium Charges Residential,DG CHANGE & DELIVERY,DEBRO LTD,2001365,"60,340.47",
FCO,FCO,06-Dec-10,Customer Refund Account,NON CASH & UNALLOCATED COSTS,DGFM-FMSSC,1004517,"44,867.58",
FCO,FCO,09-Dec-10,Corporate Strategy Consultancy,DG FINANCE,DTZ CONSULTING AND RESEARCH,1004806,"6,529.70",
FCO,FCO,09-Dec-10,Corporate Strategy Consultancy,DG FINANCE,DTZ CONSULTING AND RESEARCH,1004806,"15,236.73",
FCO,FCO,09-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,DTZ CONSULTING AND RESEARCH,1004806,"3,809.13",
FCO,FCO,22-Dec-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000218,"28,851.00",
FCO,FCO,22-Dec-10,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,2000218,"1,442.55",
FCO,FCO,22-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,2000218,252.45,
FCO,FCO,29-Dec-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ENERGY AND ENVIRONMENTAL DEVELOPMENT RESEARCH CENTER,1243740,"64,027.05",
FCO,FCO,21-Dec-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,EOD TECNOLOGY INC,500002191,"190,586.57",
FCO,FCO,15-Dec-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,ETA EMPLOYEE EXPENSES,57,"500,000.00",
FCO,FCO,06-Dec-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,FAUNA & FLORA INTERNATIONAL,10143,"30,315.48",
FCO,FCO,13-Dec-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FISCAL CRIME LIAISON OFFICE,300003307,"52,591.90",
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"31,573.92",
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"20,636.25",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,"9,136.78",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,-0.01,
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"-20,636.25",
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"-31,573.92",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,"-9,136.78",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,0.01,
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"31,573.92",
FCO,FCO,10-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1004946,"20,636.25",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,"9,136.78",
FCO,FCO,10-Dec-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1004946,-0.01,
FCO,FCO,21-Dec-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,GHA EMPLOYEE EXPENSES,808147,"34,933.24",
FCO,FCO,14-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005146,"26,418.75",
FCO,FCO,14-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005146,"4,623.28",
FCO,FCO,15-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005514,"162,991.28",
FCO,FCO,15-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005514,"28,523.47",
FCO,FCO,15-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005514,0.01,
FCO,FCO,16-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005614,"52,624.03",
FCO,FCO,16-Dec-10,FTN Unitary Payment,DG CENTRAL GROUP,GLOBAL CROSSING,1005614,"9,209.21",
FCO,FCO,24-Dec-10,Information Systems Under £3000,DG CENTRAL GROUP,GLOBAL CROSSING,1006328,"148,700.00",
FCO,FCO,24-Dec-10,Information Systems Under £3000,DG CENTRAL GROUP,GLOBAL CROSSING,1006328,"155,960.00",
FCO,FCO,24-Dec-10,Information Systems Under £3000,DG CENTRAL GROUP,GLOBAL CROSSING,1006328,"26,022.50",
FCO,FCO,24-Dec-10,Information Systems Under £3000,DG CENTRAL GROUP,GLOBAL CROSSING,1006328,"27,293.00",
FCO,FCO,21-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GMT HOTELS,200002571,"115,758.44",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"146,291.50",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"25,601.01",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"-146,291.50",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"-25,601.01",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"146,291.50",
FCO,FCO,15-Dec-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,GRAHAM DACRE,1005516,"25,601.01",
FCO,FCO,22-Dec-10,CFER Payments to The Exchequer,NON CASH & UNALLOCATED COSTS,H M EXCHEQUER,3000559,"481,233.93",
FCO,FCO,17-Dec-10,IT/IS Consultancy,DG CENTRAL GROUP,HAYS SPECIALIST RECRUITMENT LTD,1005750,"2,106.00",
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,"1,000.00",
FCO,FCO,17-Dec-10,IT/IS Consultancy,DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1005750,"2,645.00",
FCO,FCO,17-Dec-10,IT/IS Consultancy,DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1005750,"2,041.20",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,486,
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"3,643.20",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"3,466.13",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"4,680.57",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"4,680.54",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"4,680.51",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG FINANCE,HAYS SPECIALIST RECRUITMENT LTD,1005750,"4,667.87",
FCO,FCO,17-Dec-10,Temporary Staff (Admin and Clerical Only),DG CHANGE & DELIVERY,HAYS SPECIALIST RECRUITMENT LTD,1005750,"17,388.00",
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,516.12,
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,"4,903.14",
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,172,
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,412.8,
FCO,FCO,17-Dec-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HAYS SPECIALIST RECRUITMENT LTD,1005750,137.6,
