Departmental Family,Entity,Date,Expense Type Lookup,Expense Area Lookup,Supplier ,Transaction Number,Amount
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DONCASTER MBC,4000018758,6856880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DORSET COUNTY COUNCIL,4000018759,8552200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DUDLEY MBC,4000018760,7983080
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,DURHAM COUNTY COUNCIL,4000018761,11551920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,EAST RIDING OF YORKSHIRE,4000018762,7280480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,EAST SUSSEX COUNTY COUNCIL,4000018763,11025440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ESSEX COUNTY COUNCIL,4000018764,31441200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,GATESHEAD MBC,4000018765,4355920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,GLOUCESTERSHIRE COUNTY COUNCIL,4000018766,13026400
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,HALTON BOROUGH COUNCIL,4000018767,3321320
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,HAMPSHIRE COUNTY COUNCIL,4000018768,28805880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,HARTLEPOOL BOROUGH COUNCIL,4000018769,2473520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,HEREFORDSHIRE COUNCIL,4000018770,3529480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,HERTFORDSHIRE,4000018771,26763320
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ISLE OF WIGHT COUNCIL,4000018772,3042600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,KENT COUNTY COUNCIL,4000018773,32768320
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,KINGSTON UPON HULL COUNCIL,4000018774,5947720
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,KIRKLEES COUNCIL,4000018775,10461640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,KNOWSLEY MBC,4000018776,4026920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LANCASHIRE COUNTY COUNCIL,4000018777,27268920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LEEDS CITY COUNCIL,4000018778,16596840
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LEICESTER CITY COUNCIL,4000018779,8214800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LEICESTERSHIRE COUNTY COUNCIL,4000018780,13985400
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LINCOLNSHIRE COUNTY COUNCIL,4000018781,15088880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LIVERPOOL CITY COUNCIL,4000018782,11040880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BARKING & DAGENHAM COUNCIL,4000018783,6096680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BARNET COUNCIL,4000018784,8536320
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BEXLEY COUNCIL,4000018785,6404240
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BRENT,4000018786,7943120
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF BROMLEY COUNCIL,4000018787,7489840
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF CAMDEN,4000018788,5378840
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF CROYDON COUNCIL,4000018789,8273880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF EALING COUNCIL,4000018790,8639800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF ENFIELD COUNCIL,4000018791,8965360
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF GREENWICH,4000018792,7628960
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HAMMERSMITH & FULHAM COUNCIL,4000018793,3737360
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HARINGEY,4000018794,6857920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HARROW COUNCIL,4000018795,5789440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HAVERING COUNCIL,4000018796,6422400
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HILLINGDON  COUNCIL,4000018797,7351400
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF HOUNSLOW COUNCIL,4000018798,6694640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF ISLINGTON COUNCIL,4000018799,5248120
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF LAMBETH COUNCIL,4000018800,7528080
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF LEWISHAM,4000018801,7495200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF MERTON COUNCIL,4000018802,4215000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF NEWHAM,4000018803,10625360
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF REDBRIDGE,4000018804,7871640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF RICHMOND UPON THAMES,4000018805,4012240
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF SOUTHWARK COUNCIL,4000018806,7071080
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF SUTTON,4000018807,5281600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF TOWER HAMLETS COUNCIL,4000018808,9799360
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF WALTHAM FOREST COUNCIL,4000018809,7072560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LONDON BOROUGH OF WANDSWORTH COUNCIL,4000018810,6240040
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,LUTON BOROUGH COUNCIL,4000018811,5733720
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,MANCHESTER CITY COUNCIL,4000018812,11646560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,MEDWAY COUNCIL,4000018813,6694200
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,METROPOLITAN BOROUGH OF WIRRAL,4000018814,7799520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,MIDDLESBROUGH COUNCIL,4000018815,3246920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,MILTON KEYNES COUNCIL,4000018816,6469800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NEWCASTLE CITY COUNCIL,4000018817,5727560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORFOLK COUNTY COUNCIL,4000018818,17382800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTH EAST LINCOLNSHIRE COUNCIL,4000018819,3792440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTH LINCOLNSHIRE COUNCIL,4000018820,3860000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTH SOMERSET COUNCIL,4000018821,4537800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTH TYNESIDE,4000018822,4469120
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTH YORKSHIRE COUNTY COUNCIL,4000018823,13174880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTHAMPTONSHIRE COUNTY COUNCIL,4000018824,15684800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NORTHUMBERLAND COUNTY COUNCIL,4000018825,6516440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NOTTINGHAM CITY COUNCIL,4000018826,6299760
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,NOTTINGHAMSHIRE COUNTY COUNCIL,4000018827,17709440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,OLDHAM MBC,4000018828,6921760
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,OXFORDSHIRE COUNTY COUNCIL,4000018829,13600560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,PETERBOROUGH CITY COUNCIL,4000018830,4689680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,PLYMOUTH CITY COUNCIL,4000018831,5820680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,POOLE BOROUGH COUNCIL,4000018832,2868440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,PORTSMOUTH CITY COUNCIL,4000018833,4166960
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,READING BOROUGH COUNCIL,4000018834,2970400
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,REDCAR & CLEVELAND BOROUGH COUNCIL,4000018835,3642840
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ROCHDALE MBC,4000018836,5736520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ROTHERHAM MBC,4000018837,6896560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ROYAL BOROUGH OF KINGSTON UPON THAMES COUNCIL,4000018838,3645520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,RUTLAND COUNTY COUNCIL,4000018839,868960
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SALFORD CITY COUNCIL,4000018840,5419080
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SANDWELL MBC,4000018841,7878760
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SEFTON COUNCIL,4000018842,6560600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SHEFFIELD CITY COUNCIL,4000018843,11668320
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SHROPSHIRE COUNCIL,4000018844,6096800
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SLOUGH BOROUGH COUNCIL,4000018845,3944640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOLIHULL MBC,4000018846,5098280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOMERSET COUNTY COUNCIL,4000018847,11136000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOUTH GLOUCEST,4000018848,5679000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOUTH TYNESIDE,4000018849,3650440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOUTHAMPTON CITY COUNCIL,4000018850,4682520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SOUTHEND ON SEA BOROUGH COUNCIL,4000018851,4359600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,ST HELENS MBC,4000018852,4284280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,STAFFORDSHIRE COUNCIL,4000018853,18727280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,STOCKPORT MBC,4000018854,6303280
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,STOCKTON ON TEES,4000018855,4695240
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,STOKE ON TRENT CITY COUNCIL,4000018856,5950920
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SUFFOLK COUNTY COUNCIL,4000018857,15149760
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SUNDERLAND CITY COUNCIL,4000018858,6295600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SURREY COUNTY COUNCIL,4000018859,24078160
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,SWINDON BOROUGH COUNCIL,4000018860,4675680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,TAMESIDE MBC,4000018861,5353160
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,TELFORD & WREKIN COUNCIL,4000018862,4026160
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,THE LONDON BOROUGH OF HACKNEY,4000018863,6529880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,THE ROYAL BOROUGH OF KENSINGTON & CHELSEA COUNCIL,4000018864,2670480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,THE ROYAL BOROUGH OF WINDSOR & MAIDENHEAD,4000018865,3176040
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,THURROCK COUNCIL,4000018866,3916600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,TORBAY COUNCIL,4000018867,2927640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,TRAFFORD MB COUNCIL,4000018868,5664680
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WAKEFIELD MDC,4000018869,7438240
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WALSALL MBC,4000018870,7034960
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WARRINGTON BOROUGH COUNCIL,4000018871,4961880
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WARWICKSHIRE COUNTY COUNCIL,4000018872,12004360
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WEST BERKSHIRE COUNCIL,4000018873,4022560
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WEST SUSSEX COUNTY COUNCIL,4000018874,16447440
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WIGAN MBC,4000018875,7718600
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WILTSHIRE COUNCIL,4000018876,10076080
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WOKINGHAM BOROUGH COUNCIL,4000018877,3714480
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WOLVERHAMPTON CITY COUNCIL,4000018878,6177640
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,WORCESTERSHIRE COUNTY COUNCIL,4000018879,11928520
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,School Resources Group,YORK CITY COUNCIL,4000018880,3697000
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CONTRACT PROGRAMME EXPENDITURE,School Standards Group,ASTON UNIVERSITY,4000018994,33334
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,Supporting Children and Young People Group 2,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000019002,80420
DEPARTMENT FOR EDUCATION,DEPARTMENT FOR EDUCATION,01/04/2010,CURRENT GRANTS,Supporting Children and Young People Group 2,BRIGHTON & HOVE CITY COUNCIL,4000019004,98581
