Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal and Plant Health Agency,ERS-559239-52480,28953.00,Research and development towards novel field-based approaches to the diagnosis of Bovine Tuberculosis in badgers - June 2015,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-558659-52450,38108.00,Control measures for Salmonella on pig farms and their effect on endemic disease and productivity - June 2015,KT15 3NB,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-558539-52451,25700.22,Investigation of the risk of transmission of Scrapie in milk of sheep - September-October 2014,KT15 3NB,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-558582-52444,103028.00,Continued vaccine development: Improving Bacillus Calmette–Guérin (BCG) and developing non-sensitising vaccines for cattle - June 2015 ,KT15 3NB,SME,SE3266,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-558584-52445,94546.30,"Antigen mining, Differentiation of Infected and Vaccinated Animals assays and other diagnostic approaches - April 2015",KT15 3NB,SME,Exempt,00000000,Expense,,
DEFRA,DEFRA,03/06/2015,Capital LA Grant E,Policy Delivery DG,Ashfield District Council,9372042,55045.30,Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,NG17 8DA,,,00000000,Expense,,
DEFRA,DEFRA,11/06/2015,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,389711,306479.83,Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 25 April-22 May 2015,EC2A 2HA,,,00000000,Expense,,
DEFRA,DEFRA,17/06/2015,IT Software,Chief Operating Officer DG,Atos IT Services UK Ltd,5584186338,76493.92,Enhanced onboarding to Cloud platform - March 2015,WV10 6UH,,cap124,CAPDFA08,Expense,,
DEFRA,DEFRA,11/06/2015,IBM Base Services Control,Chief Operating Officer DG,B A E Systems Applied Intelligence,1001004061,272087.80,"Government ""G-Cloud IV"" procurement software services including SIAM (Service Integration And Management) operating model strategy and design - 24 November 2014-13 March 2015",GU2 7YP,,Bravo,00000000,Expense,,
DEFRA,DEFRA,03/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Blue Marine Foundation,INV0141,66092.00,Lyme Bay Experimental Potting Project - 2015-16,WC2R 1LA,SME,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Agency temps - clerical,Policy Delivery DG,Brook Street (UK) Ltd,30129263,36260.96,Interim staff engaged across Defra - April 2015,AL1 4JB,,,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,15009404,172950.00,Staff sourcing fee for Central Management and Control Unit for the Automatic Urban and Rural Network (AURN) - April 2015,SE1 2TX,,,AQNONRDX,Expense,,
DEFRA,DEFRA,17/06/2015,Evidence Non R&D,Policy Delivery DG,Bureau Veritas UK Ltd,15008837,171674.00,Staff sourcing fee for Central Management and Control Unit for the Automatic Urban and Rural Network (AURN) - March 2015,SE1 2TX,,,AQNONRDX,Expense,,
DEFRA,DEFRA,15/06/2015,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",C E F A S,8004909,184245.75,Aquatics evidence - April 2015,NR33 0HT,SME,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Evidence Non R&D,Policy Delivery DG,C E F A S,8004908,1558420.73,"High Level Agreement for the Provision of Services - Evidence, Research and Development - June 2015",NR33 0HT,SME,,00000000,Expense,,
DEFRA,DEFRA,09/06/2015,Evidence Non R&D,Policy Delivery DG,C E F A S,8004871,1558420.73,"High Level Agreement for the Provision of Services - Evidence, Research and Development - May 2015",NR33 0HT,SME,,00000000,Expense,,
DEFRA,DEFRA,23/06/2015,OGD Recharge,Policy Delivery DG,Cabinet Office,07051531968000,319680.00,Grant payment returned as duplicate had been received in error,SW1A 2HQ,,,00000000,Asset,,
DEFRA,DEFRA,25/06/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10050533,56143.98,Various interim staff engaged across Defra - week ending 13 June 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,25/06/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10039522,30435.84,Various interim staff engaged across Defra - week ending 11 April 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,03/06/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10046520,27092.77,Various interim staff engaged across Defra - week ending 23 May 2015,DL1 9HB,,,00000000,Asset,,
DEFRA,DEFRA,11/06/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10047668,144943.85,Various interim staff engaged across Defra - week ending 30 May 2015,SL6 1DP,,,00000000,Asset,,
DEFRA,DEFRA,19/06/2015,Contractor - Management Cover,Chief Operating Officer DG,Capita Business Services Ltd,LO10048644,55661.77,Various interim staff engaged across Defra - week ending 06 June 2015,DL1 9HB,,,00000000,Asset,,
DEFRA,DEFRA,08/06/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR080,562887.37,"Payment of rent, rates and service charges for various properties within the Defra Network - April 2014-April 2016",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR079,133684.73,"Payment of rent, rates and service charges for various properties within the Defra Network - June 2012-May 2015",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,22/06/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR082,1361520.40,"Payment of rent, rates and service charges for various properties within the Defra Network - December 2013-March 2016",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR081,3750199.05,"Payment of rent, rates and service charges for various properties within the Defra Network - April 2013-March 2016",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,22/06/2015,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR084,1195442.92,"Payment of rent, rates and service charges for various properties within the Defra Network - July 2015",EC2V 7NQ,,,00000000,Expense,,
DEFRA,DEFRA,09/06/2015,Other Current Payments E,Policy Delivery DG,Central Bedfordshire Council,7010207490,50000.00,Grant - Local Development Orders for Food Enterprise Zones - 2015-16,SG17 5TQ,,,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Centre For Ecology & Hydrology,7060008097,121940.23,Development and testing of monitoring work to support the National Pollinators Strategy - Citizen Science Milestone 1 - March 2015,SN2 1EU,SME,WC1101,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,7060007862,34840.00,Establishing critical loads from threshold values for a habitat quality metric for the UK’s response to a data request under the Convention on Long-Range Transboundary Air Pollution (CLRTAP) - 2015-16,SN2 1EU,SME,AQ0840,AQRDXXXX,Expense,,
DEFRA,DEFRA,03/06/2015,Current Grants - Local Authorities,Policy Delivery DG,Cheshire East Council,240315,74300.00,Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,CW11 1HZ,,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Other Current Payments E,Policy Delivery DG,Cheshire East Council,44064919,50000.00,Grant - Local Development Orders for Food Enterprise Zones - 2015-16,CW11 1HZ,,,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Current Grants - Local Authorities,Policy Delivery DG,Cheshire West & Chester Council,270315,55730.00,Sustainable Drainage Systems Capability and Capacity Building Grant - 2014-15,CH1 2NP,,Funding,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Capital LA Grant E,Policy Delivery DG,Cheshire West & Chester Council,71099462,40200.00,Grant - Air Quality Programme - 2014-15,CH1 2NP,,,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Capital LA Grant E,Policy Delivery DG,Copeland Borough Council,6381619,40273.55,Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,CA28 7SJ,,GRANT,00000000,Expense,,
DEFRA,DEFRA,05/06/2015,Current Grants E,Policy Delivery DG,Cornwall County Council,260515,66878.68,Grant - Tamar Valley Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,TR1 3AY,,,TAMARVAL,Expense,,
DEFRA,DEFRA,05/06/2015,Gas,Chief Operating Officer DG,Corona Energy,10119312,40750.79,"Gas bill - various meters at Animal and Plant Health Agency, Weybridge - April 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/06/2015,Gas,Chief Operating Officer DG,Corona Energy,10119289,37656.89,"Gas bill - various meters at Animal and Plant Health Agency, Weybridge - April 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/06/2015,Gas,Chief Operating Officer DG,Corona Energy,10119325,36304.51,"Gas bill - various meters at Animal and Plant Health Agency, Weybridge - April 2015",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,05/06/2015,Gas,Chief Operating Officer DG,Corona Energy,10119307,57337.24,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - April 2015",WD17 1JW,,,B2810000,Expense,,
DEFRA,DEFRA,10/06/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,39963,175416.00,"Shipment of Tuberculin used in Tuberculosis testing delivered to Animal Health and Veterinary Laboratories Agency, Weybridge - April 2015",8952,,,TUBP0468,Expense,,
DEFRA,DEFRA,15/06/2015,Other Current Payments E,Policy Delivery DG,D S T L,MST008742,34432.80,"To design and run a Table Top Exercise (TTX) in order to test and ensure Defra's readiness to recover from a Chemical, Biological, Radiological, Nuclear (CBRN) incident",PO17 6AD,,Funding,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Computer & IT Services,Chief Operating Officer DG,Department For Work & Pensions,2926351,557978.00,Annual charge for Government Gateway website used to register for online Government services - 2015-16,FY5 3TA,,EXEMPT,ISONB111,Expense,,
DEFRA,DEFRA,29/06/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Department Of Energy and Climate Change,1100027596,1025000.00,Climate Programme grant - 2015-16 Quarter 1,SW1A 2HD,SME,,RESCOORD,Expense,,
DEFRA,DEFRA,15/06/2015,Current Grants E,Policy Delivery DG,Department Of Energy and Climate Change,1100024676,27417.20,Defra's contribution to independent analysis on the costs and benefits associated with the Transitional National Plan (TNP) to be implemented under the Industrial Emission Directive (IED),SW1A 2HD,SME,DFP,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,300515,250000.00,London Support Grant Services - June 2015,HP2 4XN,,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,01201516,745252.00,Waste Infrastructure Grant - 2014-15 Quarter 4,HP2 4XN,,IGS GRANT,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,290515,833333.00,Local Services Support Grant (LSSG) - June 2015 ,HP2 4XN,,,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Other Current Payments E,Chief Operating Officer DG,Dept For Communities & Local Gov,1800021516,13600000.00,Defra's liability for local land charge property search fees - 2015-16,HP2 4XN,,EXEMPT,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,01201516110615,23548621.00,Grant - Waste Infrastructure - 2015-16 Quarter 1,HP2 4XN,,IGS,00000000,Expense,,
DEFRA,DEFRA,05/06/2015,Current Grants E,Policy Delivery DG,Devon County Council,210515,53580.70,Grant - North Devon Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,EX2 4QJ,,GIA,NORDEVON,Expense,,
DEFRA,DEFRA,01/06/2015,Contractor - Management Cover,Chief Operating Officer DG,DevOpsGuys Ltd,134,41520.00,Web Operations Resource Phase One Consultancy (one person) - April 2015,BN11 1QR,SME,,CAPDTA00,Expense,,
DEFRA,DEFRA,05/06/2015,Current Grants E,Policy Delivery DG,Dorset County Council,290515,80803.00,Grant - Dorset Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,DT1 1XJ,,,DORSET01,Expense,,
DEFRA,DEFRA,03/06/2015,Electricity,Chief Operating Officer DG,E D F Energy,313917,33563.58,"Electricity bill - various meters Animal and Plant Health Agency, Weybridge - April 2015",EX1 3UT,,,B0870000,Expense,,
DEFRA,DEFRA,03/06/2015,Electricity,Chief Operating Officer DG,E D F Energy,301066,415607.48,Electricity bill - various properties within the Defra network - March 2015,EX1 3UT,,,B0790000,Expense,,
DEFRA,DEFRA,03/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Economics For The Environ Consult Ltd,1074,33800.00,Research to produce look-up tables of marginal ecosystem values for appraisal within cost-benefit analysis - 17 October 2014-31 March 2015,W1W 7SQ,SME,BE0111,BIODECOS,Expense,,
DEFRA,DEFRA,01/06/2015,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAJUNE15,15000000.00,Flood and non-flood grant in aid - May 2015,BS1 5AH,,G.I.A,00000000,Expense,,
DEFRA,DEFRA,11/06/2015,Staff Restaurants,Chief Operating Officer DG,Eurest,92838786,26520.00,Annual coffee machine maintenance and pressure vessel testing of 13 coffee machines - 2015,B45 9PZ,SME,,00000000,Expense,,
DEFRA,DEFRA,15/06/2015,Capital LA Grant E,Policy Delivery DG,Exeter City Council,41324675,43342.80,Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,EX1 1RQ,,GRANT,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Fera Science Limited,6138001574,556836.75,Plant and Bee Health Services - June 2015,YO41 1LZ,,FUNDING,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Fera Science Limited,6138001576,317900.00,Specialist Facilities Services - June 2015,YO41 1LZ,,,00000000,Expense,,
DEFRA,DEFRA,23/06/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1703057,26273.29,"Memorandum of Understanding - By-product staining work, Wales and Scotland - April 2015",YO1 2YX,,IGS,ABPO0001,Expense,,
DEFRA,DEFRA,23/06/2015,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Food Standards Agency,1703068,33132.75,"Memorandum of Understanding - By-product staining work, England - April 2015",YO1 2YX,,IGS,ABPO0001,Expense,,
DEFRA,DEFRA,29/06/2015,Translations,"Strategy, International and Biosecurity DG",Foreign & Commonwealth Office,1077983,60192.00,European Union interpreting services - July-December 2014,MK10 1PX,,,00000000,Expense,,
DEFRA,DEFRA,29/06/2015,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA015,98666.67,Aerial photography and height data - June 2015,RG27 8NW,SME,,AERPHOTO,Expense,,
DEFRA,DEFRA,23/06/2015,Agency temps - clerical,Chief Operating Officer DG,H M R C,18000047942014,133026.30,European Union Fast Stream Programme costs - 2014-15,BN12 4XH,,IGS,FSTRMEU0,Expense,,
DEFRA,DEFRA,01/06/2015,Recruitment Charges,Chief Operating Officer DG,H M R C,18000005322015,52800.00,Generalist (including Science and Engineering) Fast Stream Recruitment costs - 2015 ,BN12 4XH,,EXEMPT,FSTRMGEN,Expense,,
DEFRA,DEFRA,29/06/2015,HMRC Penalty Charges,Chief Operating Officer DG,H M R C,240615,1253340.82,Value Added Tax charge for Quarter 4 2014/15,BN12 4XH,,,00000000,Expense,,
DEFRA,DEFRA,11/06/2015,Other Current Payments (GB),Policy Delivery DG,Hampshire Police Authority,3680001364,34000.00,Defra's contribution to the Wildlife Crime Unit - 2015-16 Quarter 1 ,SO22 5DB,,EXMPT,00000000,Expense,,
DEFRA,DEFRA,03/06/2015,Current Grants E,Policy Delivery DG,Herefordshire Council,210515,30500.00,Grant - Wye Valley Area of Outstanding Natural Beauty (AONB) - 2014-15 Quarter 4,HR1 2XW,,,WYEVAL01,Expense,,
DEFRA,DEFRA,11/06/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007204,50913.06,Software for the Finance and Human Resources Implementation costs extension - Cycle Four Go Live,SE1 2AP,SME,CAP080,CAPDFA03,Asset,,
DEFRA,DEFRA,11/06/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007149,32664.38,IT Services for the Common Agricultural Policy Programme - February 2015,SE1 2AP,SME,CAP232,CAPDFA07,Expense,,
DEFRA,DEFRA,03/06/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007141,50220.26,Provision of Third Tier Support and Maintenance - monthly managed service fixed fee - March 2015,SE1 2AP,SME,CAP 275,CAPDFA03,Expense,,
DEFRA,DEFRA,15/06/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Home Office,SR00569,323692.41,Home Office Testers People Resource - March 2015,NP20 9BB,,IGS,CAPDBCFM,Asset,,
DEFRA,DEFRA,15/06/2015,Capital LA Grant E,Policy Delivery DG,Hull City Council,1000208410,97524.11,Repair and Renew grant for flood-affected properties - 2014-15 Quarter 4,HU1 2AB,,Grant,00000000,Expense,,
DEFRA,DEFRA,19/06/2015,Contractor - Management Cover,Chief Operating Officer DG,IBM United Kingdom Ltd,5804151220,71341.44,Common Agricultural Policy Delivery Framework - 30 May-26 December 2014,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,05/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805151604,44927.06,Microsoft Exchange 2003 Upgrade Project implementation - 27 February-27 March 2015,GU1 2LD,SME,10040,PTRS1000,Expense,,
DEFRA,DEFRA,17/06/2015,Application Services/Minor Enhancements,Chief Operating Officer DG,IBM United Kingdom Ltd,5805151600,26273.87,Minor Software Enhancement Requests - May 2015,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,25/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806150391,34835.56,Windows 2003 Upgrade extension as part of the Technology Refresh - 20 March-22 May 2015,GU1 2LD,SME,,PTRS0800,Expense,,
DEFRA,DEFRA,19/06/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5804151219,51670.27,"Resources to assist in the planning, delivery and ongoing management of the Continuous Integration Environment - 27 December 2014-27 March 2015",GU1 2LD,SME,,CAPDFA08,Expense,,
DEFRA,DEFRA,03/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805151610,36829.04,Technology Refresh - Advanced Interactive eXecutive (AIX) Upgrade Extension - 3 April-24 May 2015,GU1 2LD,SME,10040,PTRS0900,Expense,,
DEFRA,DEFRA,05/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805151611,33438.39,Technology Refresh - Advanced Interactive eXecutive (AIX) Upgrade Extension 2 - 3 April-24 May 2015,GU1 2LD,SME,10040,PTRS0900,Expense,,
DEFRA,DEFRA,05/06/2015,IT Software,Chief Operating Officer DG,IBM United Kingdom Ltd,5805150393,129329.96,"SharePoint 2013 – development, build, test and deploy - May 2015",GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803151366,49064.22,Technical Refresh – Structured Query Language (SQL) Server software Legacy Upgrade - Decommissioning - April 2015,GU1 2LD,SME,,PTRS1100,Expense,,
DEFRA,DEFRA,19/06/2015,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5805150392,40187.31,Oracle Business Suite (OBS) IT Health Check Remediations - May 2015,GU1 2LD,SME,10040,PTRS1400,Expense,,
DEFRA,DEFRA,19/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805150395,25417.61,Upgrade to IBM inter-Data Centre link capacity - May 2015,GU1 2LD,SME,10040,PTRS1001,Expense,,
DEFRA,DEFRA,03/06/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805150336,25811.60,IT Exchange Common Store Replacement - May 2015,GU1 2LD,SME,,PTRS1000,Expense,,
DEFRA,DEFRA,17/06/2015,IT Third Party Contracts,Chief Operating Officer DG,IBM United Kingdom Ltd,5805150434,38400.00,Support for office consolidation - Animal and Plant Health Agency (APHA) set up - third party fixed costs - May 2015,PO6 3AU,SME,10040,00000000,Expense,,
DEFRA,DEFRA,17/06/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,IBM United Kingdom Ltd,5805150435,41390.99,Foss House York - hardware reorganisation and delivery - May 2015,GU1 2LD,SME,10040,B516P006,Asset,,
DEFRA,DEFRA,29/06/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5806150179,5718064.67,IT Baseline Services - June 2015,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,DEFRA,17/06/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Imperial College London,115303,84000.00,"Citizen Science and Tree Health Fellowship: Towards a strategic plan for policy, operations and research - 2014-15",SW7 2AZ,,,00000000,Expense,,
DEFRA,DEFRA,09/06/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Innovate UK,001185,2500000.00,Sustainable Agriculture and Food Innovation Platform (SAFIP) contribution - 2014-15 Quarters 3 and 4,SN2 1JF,,,00000000,Expense,,
DEFRA,DEFRA,01/06/2015,IT Consultancy Non-Scheme,Chief Operating Officer DG,InProc Ltd,189,35220.00,"UK Government Procurement ""G-Cloud"" Services - May 2015",BS1 5EH,SME,,00000000,Expense,,
DEFRA,DEFRA,19/06/2015,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,280515,26520.25,Darwin Initiative Grant - Social assessment of protected areas - 2014-15 Quarter 4,WC1X 8NH,SME,20060,DARWDFID,Expense,,
DEFRA,DEFRA,19/06/2015,Current Grants E,"Strategy, International and Biosecurity DG",International Inst For Env & Dev,2805153136325,31363.25,Darwin Initiative Grant - Building capacity for pro-poor responses to wildlife crime in Uganda - 2014-15 Quarter 4,WC1X 8NH,SME,Grant/21063,IWTXXXXX,Expense,,
DEFRA,DEFRA,19/06/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045414,174257.19,Estates maintenance projects over multiple sites - April 2015,BS32 4NH,,10195L,00000000,Expense,,
DEFRA,DEFRA,19/06/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045415,81832.37,Estates maintenance projects over multiple sites - May 2015,BS32 4NH,,10195,B0800000,Expense,,
DEFRA,DEFRA,17/06/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045425,236997.10,"Refurbishment of 3 Whitehall Place - decorations, room reconfiguration and mechanical, electrical and data works - May 2015",BS32 4NH,,10195L,B1910000,Expense,,
DEFRA,DEFRA,23/06/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045420,45244.64,Sustainable Workplace maintenance projects over multiple sites - May 2015,BS32 4NH,,10195L,B0870000,Expense,,
DEFRA,DEFRA,09/06/2015,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045421,92792.27,Weymouth Business Management System replacement - May 2015,BS32 4NH,,21534,B082P003,Asset,,
DEFRA,DEFRA,19/06/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045416,73732.44,Estates maintenance projects over multiple sites - May 2015,BS32 4NH,,10195L,00000000,Expense,,
DEFRA,DEFRA,17/06/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045429,28384.97,"Kings Pool, York - upgrade and replace Closed Circuit Television (CCTV) equipment - December 2014-February 2015",BS32 4NH,,10226,FMR1415A,Asset,,
