Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ITV STUDIOS LTD,3000034077,"552,309.00",Text Santa Fundraising Campaign grant,SE1 9LT,large,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/03/13,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000034111,"1,103,320.98",High Integrity Telecomms System Project costs,L2 3YL ,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/03/13,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,OXFORD SAID BUSINESS SCHOOL LTD,3000034128,"35,059.17",Major Projects Leadership Academy development cost,OX1 5NY,SME,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/03/13,VAT,BALANCE SHEET,HM REVENUE & CUSTOMS,3000283,"281,424.00",VAT received by Cabinet Office for services it has supplied to its customers,BD98 1YY,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000034149,"952,750.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,UNBOXED CONSULTING LTD,3000034179,"28,879.50",Software development ,E16 PL,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Supplies and Services,POLICY COMMUNICATIONS,FOUNDERS FORUM LLP,3000034165,"35,000.00",Great Campaign,W8 4PL,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,18/03/13,Maintenance & Repairs - IT,Enablement Projects,IBM,PINVP2P 1621,"42,564.00",eSourcing system licences,PO6 3AU,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ALPINE CONSORTIUM,3000034178,"43,500.00",Project support services for the Government Cloud programme,EC4A 2BA,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,3000034185,"45,544.43",Interim IT specialists,SL1 1D ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000034204,50429.93,Official Travel,MK10 1PX,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,CREATIVE CHOICE CIC,3000034181,"72,800.00",GOV.UK website cost,SW1H 0DJ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,ATOS ORIGIN IT SERVICES UK LTD,3000034193,"84,328.00",Cost of hosting GOV.UK,NW1 3HG,non-sme,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NAVCA,3000034188,"86,269.00",Strategic Partners Transition Programme Grant,S1 4QL,SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000034177,"99,742.00",National Citizen Service contract,CA10 2HX,Non-SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Supplies and Services,POLICY COMMUNICATIONS,VISIT BRITAIN,3000034203,"132,213.00",Great Campaign,SW1E 5HX,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Consultancy,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000034174,"185,551.91",Software development services to support GOV.uk ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000034190,"253,145.00",National Citizen Service contract,LN2 4WH,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000034174,"429,121.74",Software development services to support GOV.UK ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,19/03/13,Media Procurement,Professional Services CCL,Media.com,PINDOH 35803,"30,000.00",Professional services,WC1X 8RX,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000034233,"38,789.44",Estate services,BS16 7FN,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000034233,49267.62,Facilities Management Services,BS16 7FN,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000034244,"68,750.00",Strategic Partners Transition Programme Grant ,SW8 1UD,SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,CABLE & WIRELESS PLC,1000722,"75,000.00",Service Charges ,RG12 1RW,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,STREETSMART,3000034229,"210,000.00",Xmas Fundraising Campaign grant ,W1B 5RR,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/03/13,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000721,"2,803,126.16",MyCSP Pension administration costs,LS2 7UA,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Consultancy,GOVERNMENT PROPERTY UNIT,INVESTMENT PROPERTY DATABANK LTD,3000034262,55555.56,Property Benchmarking Services ,EC1 4BL,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Accomodation and Utilities,WORKSPACE AND BETTER TOOLS PLAN,ETDE FM,3000034275,56000,Estate services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000034282,"72,511.24","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NCVO,3000034294,"85,025.00",Compact Voice Resource Project Grant 2012/13,N1 9RL,SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000034254,"98,952.63","Support, maintenance and minor developments of e-PIMS and creation of an informational portal",LS2 LY,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE LINCOLNSHIRE & RUTLAND EBP,3000034306,"125,244.00",National Citizen Service contract,LN2 4WH,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000034275,"647,765.42",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/13,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND SOCIAL INCUBATOR FUND,3000034272,"1,887,796.00",Social Incubator Fund grant,NE1 4BE,Non-SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,LAW COMMISSION,3000034333,"31,250.00",Electoral law review cost,SW1H 9LJ,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Other Staff Related Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CAPITA BUSINESS SERVICES LTD,3000034356,"38,425.00",Provision of training through Civil Service Learning ,B15 1TH,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,21/03/13,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1630,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Consultancy,ERG CENTRAL TEAMS,MUTUAL VENTURES,3000034308,"39,909.46",Mutuals Support Programme costs,WC1B 3QJ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,21/03/13,Maintenance & Repairs - IT,Enablement Projects,IBM,PINVP2P 1633,"42,564.00",eSourcing system licences,PO6 3AU,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,21/03/13,Maintenance & Repairs - IT,Enablement Projects,IBM,PINVP2P 1636,"42,564.00",eSourcing system licences,PO6 3AU,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,FOREIGN & COMMONWEALTH OFFICE,3000034307,46236.81,Official Travel,MK10 1PX,Government Department,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000034355,57838.82,Telecomms Line Rental,DH98 1BT,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SKILLS THIRD SECTOR,3000034345,62500,Work to develop voluntary and community sector workforce grant ,S1 4FW,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,21/03/13,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1629,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000034361,"104,069.04","Support, maintenance and minor developments of e-PIMS ",LS2 LY,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000034320,"110,242.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,21/03/13,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,TRANSITION IMB LTD,3000034337,"126,866.00",Marketing grant & associated Intellectual Property Rights agreement for the delivery of the National Citizen Service programme.,W1W 5DW,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/03/13,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1637,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/03/13,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1638,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/03/13,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1641,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/03/13,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1649,"41,650.00",Licences for spend analytics,EC2M 7AD,Large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/03/13,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35866,"90,283.47",Legal services fee,WC2B 4TS,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000034427,"25,216.71",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Consultancy,GOVERNMENT PROPERTY UNIT,INVESTMENT PROPERTY DATABANK LTD,3000034411,"27,777.78",Property Benchmarking Service cost,EC1 4BL,large,Admin,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,ETDE FM,3000034427,"28,000.00",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,IT Costs,ERG STRATEGY AND MANAGEMENT INFORMATION,CORPORATE DOCUMENT SERVICES LTD,3000034405,"30,000.00",ICT development costs,LS2 LY,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY ADVICE SERVICES FUND,3000034434,"30,633.00",Advice Services Fund administration costs grant,EC4A 1DE,Non-SME,Grants,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000034431,"31,139.46",Interim IT specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000034427,"38,705.33",Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,IT Costs,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000034397,51838.87,Cost of hosting GOV.UK,GU14 0LX,SME,Programme,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/13,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000034427,66298.39,Facilities Management Services,BN1  1HG,large,Programme,,,,,,,,,,,,,,,,,,,,,,
