Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,11-May-10,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1163553,"26,572.00",
FCO,FCO,11-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1163553,"4,650.10",
FCO,FCO,07-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,SYNTAO CO LTD,1192261,"44,136.32",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"38,500.00",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"-38,500.00",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"38,500.00",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"6,737.50",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"-38,500.00",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"-6,737.50",
FCO,FCO,12-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1161573,"38,500.00",
FCO,FCO,12-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ELEMENT ENERGY,1161573,"6,737.50",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"40,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"-40,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"40,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"7,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"-40,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"-7,000.00",
FCO,FCO,19-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,ELEMENT ENERGY,1162088,"40,000.00",
FCO,FCO,19-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ELEMENT ENERGY,1162088,"7,000.00",
FCO,FCO,07-Apr-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FISCAL CRIME LIAISON OFFICE,300002352,"45,056.41",
FCO,FCO,06-May-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FISCAL CRIME LIAISON OFFICE,300002462,"44,765.96",
FCO,FCO,09-Apr-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,AL-RAMI MOTORS COMPANY,400000417,"46,529.11",
FCO,FCO,09-Apr-10,Construction Project more than £10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,"28,485.60",
FCO,FCO,09-Apr-10,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,"15,537.60",
FCO,FCO,09-Apr-10,Construction Project more than £10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,"2,289.30",
FCO,FCO,09-Apr-10,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,763.1,
FCO,FCO,09-Apr-10,Construction Project more than £10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,134.55,
FCO,FCO,09-Apr-10,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,1161535,650,
FCO,FCO,01-Apr-10,Energy Saving Measures,DG CHANGE & DELIVERY,ESSENT TRADING INTERNATIONAL SA,1160844,"740,400.00",
FCO,FCO,06-Apr-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,KOFI ANNAN FOUNDATION,1161110,"200,000.00",
FCO,FCO,04-May-10,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ARTICLE 19,1163035,"58,681.00",
FCO,FCO,06-May-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,ASSOC OF COMMONWEALTH UNIVERSITIES,1163241,"29,743.00",
FCO,FCO,06-May-10,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,ASSOC OF COMMONWEALTH UNIVERSITIES,1163241,"5,205.03",
FCO,FCO,14-Apr-10,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"54,935.00",
FCO,FCO,14-Apr-10,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"5,025.00",
FCO,FCO,14-Apr-10,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"-54,935.00",
FCO,FCO,14-Apr-10,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"-5,025.00",
FCO,FCO,14-Apr-10,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"55,970.00",
FCO,FCO,14-Apr-10,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LTD,1161858,"3,990.00",
FCO,FCO,22-Apr-10,Construction Project more than £10k,DG CHANGE & DELIVERY,AAR ENVIRONMENTAL LTD - ASSOCIATED ASBESTOS REMOVAL LTD,1162345,"28,000.00",
FCO,FCO,15-Apr-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008280,"68,349.20",
FCO,FCO,07-May-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008312,"74,554.79",
FCO,FCO,21-Apr-10,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1162292,"113,130.70",
FCO,FCO,21-Apr-10,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1162292,16.82,
FCO,FCO,21-Apr-10,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1162292,"19,797.87",
FCO,FCO,21-Apr-10,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1162292,2.94,
FCO,FCO,21-Apr-10,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1162292,0.01,
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"56,448.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"66,828.42",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"3,537.80",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"3,537.80",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"3,233.73",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-3,233.73",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-3,537.80",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-3,537.80",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-66,828.42",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"57,242.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"9,878.40",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"10,017.35",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-56,448.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-57,242.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-9,878.40",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-10,017.35",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"-19,895.75",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"113,690.00",
FCO,FCO,15-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS,1161910,"19,895.75",
FCO,FCO,06-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1161070,"11,550.00",
FCO,FCO,06-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1161070,"11,550.00",
FCO,FCO,06-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1161070,45,
FCO,FCO,06-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1161070,"4,050.38",
FCO,FCO,22-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1162362,"81,981.50",
FCO,FCO,22-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162362,"14,346.76",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"3,822.50",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"5,180.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"2,284.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,285.5,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"11,441.50",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,934,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"3,552.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"1,392.80",
FCO,FCO,23-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"5,056.15",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-3,822.50",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-5,180.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-2,284.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,-285.5,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-11,441.50",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,-934,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-3,552.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-1,392.80",
FCO,FCO,23-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"-5,056.15",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,76.3,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"5,180.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"2,284.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,285.5,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"11,441.50",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,934,
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"3,552.00",
FCO,FCO,23-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"5,139.00",
FCO,FCO,23-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162482,"5,056.15",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"1,868.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"9,340.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"2,335.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"2,335.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"3,960.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"4,670.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"1,142.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"2,802.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"1,868.00",
FCO,FCO,28-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"5,306.01",
FCO,FCO,28-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,-0.01,
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"-2,802.00",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1162828,"2,802.00",
FCO,FCO,01-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,JOHNSON CONTROLS LTD,1160903,"46,545.00",
FCO,FCO,13-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161688,"73,244.14",
FCO,FCO,13-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161688,"12,817.72",
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"31,573.92",
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"20,636.25",
FCO,FCO,14-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1161826,"9,136.78",
FCO,FCO,14-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1161826,-0.01,
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"-31,573.92",
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"-20,636.25",
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"31,573.92",
FCO,FCO,14-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1161826,"20,636.25",
FCO,FCO,27-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1162619,8.92,
FCO,FCO,27-Apr-10,Information Systems Maintenance,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1162619,"37,900.16",
FCO,FCO,27-Apr-10,Information Systems Maintenance,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1162619,"19,021.44",
FCO,FCO,27-Apr-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1162619,1.56,
FCO,FCO,27-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1162619,"9,961.28",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"2,420.12",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"67,090.38",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,423.52,
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"11,740.82",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,-0.01,
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"-2,420.12",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"-67,090.38",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,-423.52,
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"-11,740.82",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,0.01,
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"39,892.34",
FCO,FCO,05-May-10,Information Systems Maintenance,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"29,618.16",
FCO,FCO,05-May-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1163194,"5,183.18",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"5,983.85",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"-39,892.34",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"-5,983.85",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"39,892.34",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,"6,981.16",
FCO,FCO,05-May-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1163194,-0.01,
FCO,FCO,13-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1001453,"65,588.58",
FCO,FCO,01-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002035,"281,597.93",
FCO,FCO,09-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,1002044,"281,597.93",
FCO,FCO,16-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1162031,"1,523,342.00",
FCO,FCO,16-Apr-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1162031,"266,584.85",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1162767,"171,893.48",
FCO,FCO,28-Apr-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,HEWLETT-PACKARD LTD,1162767,"25,784.02",
FCO,FCO,01-Apr-10,Building Mechanical and Engineering Services,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9163,"2,901.80",
FCO,FCO,01-Apr-10,Minor New Works <10K,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9163,574.72,
FCO,FCO,01-Apr-10,Grounds Maintenance,DG CHANGE & DELIVERY,INTERSERVE FM LTD,9163,416.36,
