Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BROMLEY PCT,HAFS-9069,"36,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BUCKINGHAMSHIRE PCT,HAFS-9070,"60,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,BURY PCT,HAFS-9071,"22,300,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CALDERDALE PCT,HAFS-9072,"23,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CAMBRIDGESHIRE PCT,HAFS-9073,"69,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CAMDEN PCT,HAFS-9074,"38,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CENTRAL & EASTERN CHESHIRE PCT,HAFS-9075,"55,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CENTRAL LANCASHIRE PCT,HAFS-9076,"54,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CITY & HACKNEY TEACHING PCT,HAFS-9077,"39,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CORNWALL & ISLES OF SCILLY PCT,HAFS-9078,"66,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,COUNTY DURHAM PCT,HAFS-9079,"65,294,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,COVENTRY TEACHING PCT,HAFS-9080,"58,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CROYDON PCT,HAFS-9081,"38,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,CUMBRIA PCT,HAFS-9082,"60,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DARLINGTON PCT,HAFS-9083,"11,085,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DERBY CITY PCT,HAFS-9084,"33,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DERBYSHIRE COUNTY PCT,HAFS-9085,"80,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DEVON PCT,HAFS-9086,"98,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DONCASTER PCT,HAFS-9087,"37,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DORSET PCT,HAFS-9088,"48,700,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,DUDLEY PCT,HAFS-9089,"35,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EALING PCT,HAFS-9090,"44,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EAST LANCASHIRE PCT,HAFS-9091,"45,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EAST MIDL&S SHA,HAFS-9092,"28,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EAST OF ENGL& SHA,HAFS-9093,"45,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EAST RIDING OF YORKSHIRE PCT,HAFS-9094,"32,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EAST SUSSEX DOWNS & WEALD PCT,HAFS-9095,"39,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,EASTERN & COASTAL KENT PCT,HAFS-9096,"105,000,000.00",
Department of Health,Department of Health,01/10/2010,Building repairs & maintenance,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176444RI,"34,093.28",
Department of Health,Department of Health,01/10/2010,Building repairs & maintenance,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176444RI,"25,768.92",
Department of Health,Department of Health,01/10/2010,Building repairs & maintenance,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176444RI,"5,022.80",
Department of Health,Department of Health,01/10/2010,Building repairs & maintenance,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176444RI,"18,268.29",
Department of Health,Department of Health,01/10/2010,Addition Clearing - Other L& & Buildings,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176301RI,"30,081.32",
Department of Health,Department of Health,01/10/2010,Addition Clearing - Other L& & Buildings,FINANCE & OPERATIONS,EMCOR FACILITIES SERVICES LTD,00176304RI,"74,575.21",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,ENFIELD PCT,HAFS-9097,"38,312,000.00",
Department of Health,Department of Health,01/10/2010,Travel & subsistence staff,FINANCE & OPERATIONS,FCM TRAVEL SOLUTIONS,1049602270,"86,978.80",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,GATESHEAD PCT,HAFS-9098,"29,800,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,GLOUCESTERSHIRE PCT,HAFS-9099,"67,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,GREAT YARMOUTH & WAVENY PCT,HAFS-9100,"30,297,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,GREENWICH TEACHING PCT,HAFS-9101,"37,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HALTON & ST HELENS PCT,HAFS-9102,"51,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HAMMERSMITH & FULHAM PCT,HAFS-9103,"29,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HAMPSHIRE PCT,HAFS-9104,"123,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HARINGEY TEACHING PCT,HAFS-9105,"32,096,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HARROW PCT,HAFS-9106,"24,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HARTLEPOOL PCT,HAFS-9107,"13,400,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HASTINGS & ROTHER PCT,HAFS-9108,"22,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HAVERING PCT COMMISSIONING,HAFS-9109,"31,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HEALTH & SOCIAL CARE INFORMATION CENTRE,HAFS-9110,"4,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HEART OF BIRMINGHAM TEACHING PCT,HAFS-9111,"45,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HEREFORDSHIRE PCT,HAFS-9112,"23,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HERTFORDSHIRE PCT,HAFS-9113,"123,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HEYWOOD MIDDLETON & ROCHDALE PCT,HAFS-9114,"27,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HILLINGDON PCT,HAFS-9115,"29,400,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HOUNSLOW PCT,HAFS-9116,"32,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,HULL PCT,HAFS-9117,"35,700,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,ISLE OF WIGHT NHS PCT,HAFS-9118,"18,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,ISLINGTON PCT,HAFS-9119,"37,611,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,KENSINGTON & CHELSEA PCT,HAFS-9120,"27,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,KINGSTON PCT,HAFS-9121,"19,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,KIRKLEES PCT,HAFS-9122,"47,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,KNOWSLEY PCT,HAFS-9123,"26,400,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LAMBETH PCT,HAFS-9124,"45,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LEEDS PCT,HAFS-9125,"89,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LEICESTER CITY PCT,HAFS-9126,"43,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LEICESTERSHIRE COUNTY & RUTL& PCT,HAFS-9127,"64,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LEWISHAM PCT,HAFS-9128,"39,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LINCOLNSHIRE PCT,HAFS-9129,"82,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LIVERPOOL PCT,HAFS-9130,"72,975,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LONDON SHA,HAFS-9131,"150,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,LUTON TEACHING PCT,HAFS-9132,"19,700,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,MANCHESTER PCT,HAFS-9133,"76,800,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,MEDWAY TEACHING PCT,HAFS-9134,"37,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,MID ESSEX PCT,HAFS-9135,"43,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,MIDDLESBOROUGH PCT,HAFS-9136,"18,800,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,MILTON KEYNES PCT,HAFS-9137,"26,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-9138,"5,750,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NATIONAL PATIENT SAFETY AGENCY (NPSA),HAFS-9139,"3,050,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),HAFS-9140,"1,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NEWCASTLE PCT,HAFS-9141,"23,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NEWHAM PCT,HAFS-9142,"43,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-9143,"8,630,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Non Discretionary In Resource Accounting Boundary,FINANCE & OPERATIONS,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-9144,"927,100,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORFOLK PCT,HAFS-9145,"86,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH EAST ESSEX PCT,HAFS-9146,"36,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,HAFS-9147,"19,700,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH EAST SHA,HAFS-9148,"24,700,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH LANCASHIRE PCT,HAFS-9149,"41,969,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH LINCOLNSHIRE PCT,HAFS-9150,"15,900,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH SOMERSET PCT,HAFS-9151,"28,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH STAFFORDSHIRE PCT,HAFS-9152,"21,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH TYNESIDE PCT,HAFS-9153,"23,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH WEST SHA,HAFS-9154,"53,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTH YORKSHIRE & YORK PCT,HAFS-9155,"85,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTHAMPTONSHIRE PCT,HAFS-9156,"80,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NORTHUMBERL& CARE TRUST,HAFS-9157,"21,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NOTTINGHAM CITY PCT,HAFS-9158,"38,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,NOTTINGHAMSHIRE COUNTY TEACHING PCT,HAFS-9159,"79,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,OLDHAM PCT,HAFS-9160,"30,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,OXFORDSHIRE PCT,HAFS-9161,"65,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,PETERBOROUGH PCT,HAFS-9162,"24,500,000.00",
Department of Health,Department of Health,01/10/2010,Professional fees,FINANCE & OPERATIONS,PETERS & PETERS SOLICITORS LLP,31011,"47,580.73",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,PLYMOUTH TEACHING PCT,HAFS-9163,"37,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,PORTSMOUTH CITY TEACHING PCT,HAFS-9164,"16,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,REDBRIDGE PCT,HAFS-9165,"29,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,REDCAR & CLEVEL& PCT,HAFS-9166,"19,200,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,RICHMOND & TWICKENHAM PCT,HAFS-9167,"21,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,ROTHERHAM PCT,HAFS-9168,"29,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,S&WELL PCT,HAFS-9170,"43,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SALFORD PCT,HAFS-9169,"36,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SEFTON PCT,HAFS-9171,"38,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SHEFFIELD PCT,HAFS-9172,"72,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SHROPSHIRE COUNTY PCT,HAFS-9173,"34,487,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOLIHULL CARE TRUST,HAFS-9174,"23,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOMERSET PCT,HAFS-9175,"62,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH BIRMINGHAM PCT,HAFS-9176,"48,800,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH CENTRAL SHA,HAFS-9177,"23,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH EAST COAST SHA,HAFS-9178,"20,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH EAST ESSEX PCT,HAFS-9179,"35,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH GLOUCESTERSHIRE PCT,HAFS-9180,"25,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH STAFFORDSHIRE PCT,HAFS-9181,"67,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH TYNESIDE PCT,HAFS-9182,"24,100,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH WEST ESSEX PCT,HAFS-9183,"49,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTH WEST SHA,HAFS-9184,"35,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTHAMPTON CITY PCT,HAFS-9185,"32,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SOUTHWARK PCT,HAFS-9186,"42,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,STOCKPORT PCT,HAFS-9187,"32,500,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,STOCKTON-ON-TEES TEACHING PCT,HAFS-9188,"22,300,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,STOKE ON TRENT PCT,HAFS-9189,"35,000,000.00",
Department of Health,Department of Health,01/10/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,FINANCE & OPERATIONS,SUFFOLK PCT,HAFS-9190,"69,000,000.00",
