Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,798,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,1176,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,1710,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,2076,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,2361,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,3321.53,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,4047,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,4140,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,5820,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Contactor/ Staff Subsitution,CDD CORPORATE DEVELOPMENT,GRANT THORNTON LTD,LARGE,NW1 2EP,6561189,6473.54,,DH Internal Audit review work,Admin,
Department of Health,Department of Health,11/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00208351RI,7496.8,,DH Estates - Lift Inspections (Ref:8626),Admin,
Department of Health,Department of Health,11/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00208351RI,11100.75,,DH Estates - Lift Inspections (Ref:8626),Admin,
Department of Health,Department of Health,11/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00208351RI,17985.5,,DH Estates - Lift Inspections (Ref:8626),Admin,
Department of Health,Department of Health,11/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00208540RI,27080.58,,"CQC Buildings - Provision of Facilities Management Services @ Â£27,080.58 mthly (01/09/2011 - 31/03/2012)",Admin,
Department of Health,Department of Health,11/10/2011,Addition Clearing - L-OLB,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00208350RI,39729.14,,"Upgrading existing motor/gears, replace main ropes, overhaul divertors install new break device on lifts 133 and 134",Admin,
Department of Health,Department of Health,11/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,STERIA LTD,LARGE,HP2 7AH,100024049,62989.69,,Club Managed Service from April 2011 to March 2012,Admin,
Department of Health,Department of Health,12/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,62.1,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 - Cleaning,Admin,
Department of Health,Department of Health,12/10/2011,Porterage & removals,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,8015.52,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 - Porterage & Removals.,Admin,
Department of Health,Department of Health,12/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,10838.56,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 - FM,Admin,
Department of Health,Department of Health,12/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,16157.72,,DH - FM Contract Variable Operational Costs - 1st Dec 2011 - 31st March 2012 (Re:PO:475790),Admin,
Department of Health,Department of Health,12/10/2011,Minor office equipment purchases non capital,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,17590.23,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 - Minor Office Equipt.,Admin,
Department of Health,Department of Health,12/10/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,23152.18,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 - Security,Admin,
Department of Health,Department of Health,12/10/2011,Addition Clearing - OLB,CDD CORPORATE DEVELOPMENT,CAMERON BLACK LTD,SME,W1T 1QD,2654,42421.68,,"Fit Out Costs for Ground, 1st & 2nd Floors of Maple Street. Meeting Rooms 6&7 executive requirements. AV VC Coordination. Feature Lighting to meeting rooms vaulted ceiling. 3rd floor manifestation",Admin,
Department of Health,Department of Health,12/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,0020834ARI,108742.69,,DH - FM Contract Variable Operational Costs - 1st Dec 2010 - 30th Nov 2011 -Building & Engineering,Admin,
Department of Health,Department of Health,13/10/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,COPYRIGHT LICENSING AGENCY,SME,W1P 0LP,445445,4299.73,,,Admin,
Department of Health,Department of Health,13/10/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,COPYRIGHT LICENSING AGENCY,SME,W1P 0LP,445446,4985.2,,,Admin,
Department of Health,Department of Health,13/10/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,COPYRIGHT LICENSING AGENCY,SME,W1P 0LP,445445,21498.68,,Renewal of DH CLA Public Administration Licence (Govt Depts) from 1 April 2011 to 31 August 2011,Admin,
Department of Health,Department of Health,13/10/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,COPYRIGHT LICENSING AGENCY,SME,W1P 0LP,445446,24926,,Renewal of DH CLA Public Administration Licence (Govt Depts) from 1 September 2011 to 31 August 2012  August 2011,Admin,
Department of Health,Department of Health,13/10/2011,Utilities,CDD CORPORATE DEVELOPMENT,SCOTTISH AND SOUTHERN ENERGY PLC,LARGE,PO9 5YN,191304511/0054,37502.66,,Skipton House - Electricity Charges for 2011 - 2012,Admin,
Department of Health,Department of Health,18/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201257141,22714.47,,Decant of staff from New Kings Bean House to facilitate building vacation,Admin,
Department of Health,Department of Health,18/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201257140,29699.03,,Decommission of equipment from New Kings Bean House to facilitate building vacation,Admin,
Department of Health,Department of Health,18/10/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,LARGE,KT3 7NW,1049605265,83172,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,24/10/2011,IT minor costs non capital,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201257717,655754.66,,Baseline Charge CSC provision of IT services,Admin,
Department of Health,Department of Health,25/10/2011,Addition Clearing - OLB,CDD CORPORATE DEVELOPMENT,HERMAN MILLER LTD,LARGE,SN14 0GF,357988,26387.88,,NKBH Moves & Clearance (Ref:DOH 177 & 179),Admin,
Department of Health,Department of Health,25/10/2011,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2889188,31642,,2011-12 Law Charges,Admin,
Department of Health,Department of Health,25/10/2011,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2889190,51830.76,,2011-12 Law Charges,Admin,
Department of Health,Department of Health,25/10/2011,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2889244,52005.76,,2011-12 Law Charges,Admin,
Department of Health,Department of Health,25/10/2011,Travel -Trains,CDD CORPORATE DEVELOPMENT,FCM TRAVEL SOLUTIONS,LARGE,KT3 7NW,1049605291,96026.5,,DH - Travel Services for Rail Apr 2011 - March 2012,Admin,
Department of Health,Department of Health,25/10/2011,Other Admin expenditure,CDD CORPORATE DEVELOPMENT,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,2887852,184459.73,,2011-12 Law Charges,Admin,
Department of Health,Department of Health,26/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259447,24193.96,,Managed Print Click Charges - From 01/04/2011 to 31/03/2012,Admin,
Department of Health,Department of Health,26/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,STERIA LTD,LARGE,HP2 7AH,100024764,28437.81,,Steria development and implementation services from April 2011 to March 20122,Admin,
Department of Health,Department of Health,27/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,1617.63,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,1703.56,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,1835.34,,ABS Central Services-Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,2520.24,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,2543.68,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,3524.46,,New Kings Beam House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,6670.52,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,7099.81,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,7661,,Premier House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,11653.11,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,13560.96,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,16479.08,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,16873.97,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,16961.89,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,23201.81,,Wellington House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Cleaning: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,24705.75,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Facilities management: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00210001RI,27080.58,,"CQC Buildings - Provision of Facilities Management Services @ Â£27,080.58 mthly (01/09/2011 - 31/03/2012)",Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,29484.45,,ABS Central Services-Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,31388.28,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Building repairs & maintenance,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,32333.83,,Skipton House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Security: contract,CDD CORPORATE DEVELOPMENT,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00209982RI,39180.93,,Richmond House Facilities Management Annual Fees 1st Dec 2010 - 30th Nov 2011,Admin,
Department of Health,Department of Health,27/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259676,100361.69,,Cisco Video Conferencing Project NW2742,Admin,
Department of Health,Department of Health,28/10/2011,Outsourcing Contract,CDD CORPORATE DEVELOPMENT,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201259831,216020.83,,Managed Telecom Service  Charge April 2011 to March 2012,Admin,
Department of Health,Department of Health,03/10/2011,Outsourcing Contract,COMMISSIONING,PRIMARY CARE COMMISSIONING CIC,VCS,LS1 4BJ,1237,108000,,Establishment of a Clinical Commissioning Community,Programme,
Department of Health,Department of Health,05/10/2011,Admin Revenue Grant-in-Aid ENDPBs,COMMISSIONING,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,PUBLIC,SW1Y 4RB,IR OF NHS OCT 2011,1580938,,Monitor - transition funding.  Aug 2011.,Programme,
Department of Health,Department of Health,06/10/2011,Outsourcing Contract,COMMISSIONING,RUSSELL REYNOLDS ASSOCIATES LTD,LARGE,SW1Y 4HZ,39071,25000,,Search proces: Chair Appointment for NHSCB + 1 NED,Admin,
Department of Health,Department of Health,18/10/2011,Professional fees,COMMISSIONING,KPMG LLP,LARGE,WD17 1DE,5500433566,33338,,Great Western Ambulance Service NHS Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,24/10/2011,Admin Revenue Grant-in-Aid ENDPBs,COMMISSIONING,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS,PUBLIC,SW1Y 4RB,IR OF NHS OCT 2011 FUNDING,2000000,,Monitor - grant-in-aid payment.  Sept 2011 - March 2012.,Admin,
Department of Health,Department of Health,26/10/2011,Professional fees,COMMISSIONING,ERNST AND YOUNG LLP,LARGE,SE1 2AF,GB1030004167,31139,,Dudley & Walsall MH Partnership Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,26/10/2011,Outsourcing Contract,COMMISSIONING,MARKET AND OPINION RESEARCH INTERNATIONAL LTD,LARGE,SE1 1FY,11001747,31591.67,,GP Patient Survey (Ipsos MORI),Programme,
Department of Health,Department of Health,27/10/2011,Professional fees,COMMISSIONING,DELOITTE LLP,LARGE,MK9 1FD,1110725691,39340,,"West Midlands Ambulance Service NHS Trust.  HDD / WCR Stage 1, 2, & 3.",Programme,
Department of Health,Department of Health,01/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736802,"87,827.00",,Change4life - Development of C4L Adult database postcard mailing print and production Adult September 2011.  ,Programme,
Department of Health,Department of Health,04/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736865,"21,410.00",,Bowel cancer campaign - evaluation,Programme,
Department of Health,Department of Health,04/10/2011,Consultancy/Professional Advice,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736874,"24,624.00",,COI project management for Tobacco Control Marketing - Quarter 2 fees,Programme,
Department of Health,Department of Health,04/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736884,"267,366.50",,Change4Life – Media Buying: Alfie TV Campaign Sept-Oct 2011. ,Programme,
Department of Health,Department of Health,05/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736946,"24,361.00",,Change4Life - Strategic Development and Evaluation for C4L local supporter olympics research ,Programme,
Department of Health,Department of Health,05/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736952,"29,190.00",,Change4Life - Digital development for the C4L Really big summer adventure inc voucher web pages and 3 rounds of e mails for the ECRM and You Tube page set-up,Programme,
Department of Health,Department of Health,05/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736938,"42,309.00",,"website development, maintenace and hosting",Programme,
Department of Health,Department of Health,05/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736888,"52,447.50",,Lung cancer campaign - market research ,Programme,
Department of Health,Department of Health,05/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,736944,"81,475.50",,Change4Life -  Really Big Summer Adventure digital development and advertising ,Programme,
Department of Health,Department of Health,11/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737009,-5.78,,Tobacco paid-for digital search media activity for Quarter 2,Programme,
Department of Health,Department of Health,11/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737009,"39,253.02",,Tobacco paid-for digital search media activity for Quarter 2,Programme,
Department of Health,Department of Health,11/10/2011,Printing,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,OP/I120550,"126,665.78",,Monthly charges for storage and Distribution September 2011 ,Admin,
Department of Health,Department of Health,12/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,734939,"3,018.00",,Change4Life - Additional costs for the Creative Development Research for Change4Life RBSA 2011 campaign ,Programme,
Department of Health,Department of Health,12/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,734939,"22,000.00",,Change4Life - Research and Evaluation for  Summer Campaign 2011 -  Qual Development ,Programme,
Department of Health,Department of Health,12/10/2011,Printing,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737017,"132,000.00",,Fulfilment of Quit Kit for 2012,Programme,
Department of Health,Department of Health,13/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737080,"30,900.00",,Change4Life - Cost for Brand Tracker 2011-12 Sept dip. ,Programme,
Department of Health,Department of Health,13/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737088,"132,777.00",,"Worth Talking About helpline costs, July-Sept 2011",Programme,
Department of Health,Department of Health,21/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737223,"38,175.00",,Local cancer campaigns - research into development of advertising and other materials,Programme,
Department of Health,Department of Health,24/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737255,"140,000.00",,Lung cancer campaign - costs to produce TV and press advertisements,Programme,
Department of Health,Department of Health,28/10/2011,Outsourcing Contract,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737292,"25,669.00",,Change4Life - September Campaign - Adult PR. ,Programme,
Department of Health,Department of Health,28/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737302,"27,371.00",,Change4Life - Lazy Town Parent Pack fulfilment ,Programme,
Department of Health,Department of Health,28/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737289,"27,475.00",,Lung cancer campaign - printing and distribution of leaflets and posters ,Programme,
Department of Health,Department of Health,28/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737294,"218,634.45",,Lung cancer campaign - TV advertising costs. ,Programme,
Department of Health,Department of Health,28/10/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),PUBLIC,SE1 7DU,737295,"267,366.50",,Change4Life - Media Buying for C4L Alfie TV Campaign Sept-Oct 2011.,Programme,
Department of Health,Department of Health,30/08/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement & Protection,GW Price Ltd,,,743390,"£27,661.38",,,,
