Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,528.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,535.21,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,576.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,582.52,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,586.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,587.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,610.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,619.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,620.79,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,628.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,643.39,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,665.60,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,678.21,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,688.16,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,694.90,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,713.18,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,734.82,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,739.85,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,751.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,751.10,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,774.65,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,782.10,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,805.17,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,807.40,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,811.18,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,816.41,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,831.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,836.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,844.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,850.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,863.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,867.65,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,867.80,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,869.68,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,885.20,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,917.70,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,923.30,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,960.59,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,968.00,,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,004.52",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,006.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,016.22",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,034.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,056.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,061.73",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,095.68",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,100.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,100.60",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,125.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,128.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,130.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,137.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,139.10",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,141.30",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,153.70",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,171.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,186.50",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,190.60",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,192.81",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,198.19",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,199.70",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,225.40",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,226.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,227.40",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,234.50",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,250.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,261.10",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,276.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,333.65",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,359.41",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,389.40",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,451.35",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,498.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,516.61",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,576.92",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,591.22",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,605.19",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,678.88",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,694.60",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,757.70",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,785.98",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,788.40",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,858.60",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"1,883.21",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"1,884.20",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691755,"1,968.90",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"2,001.00",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691742,"2,020.80",,,,
Department of Health,Department of Health,02/04/2012,Travel & Subsistence,INFORMATICS,EXPOTEL HOTEL RESERVATIONS LTD,,,14691758,"2,046.30",,,,
