Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NICHOLAS D FOOKS,130031622,"45,226.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JOHN G COOPER Q.C.,130115592,"43,785.05",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MICHAEL J LAVERY,130031192,"42,133.08",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HODGE JONES & ALLEN LLP,130037950,"42,127.40",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DLA PIPER UK LLP,130017783,"41,951.28",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HURLOWS FAMILY LAW PRACTICE SOLICITORS,130102022,"41,923.02",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SAUNDERS GOODIN RIDDLESTON SOLICITORS,130079435,"41,589.35",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NIGEL C MITCHELL,130031764,"41,340.36",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CGLAW SOLICITORS,130079881,"40,360.52",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEEL & SHAMASH,130064535,"40,100.47",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CORNWALL DEFENCE SOLICITORS LLP,130115361,"39,778.55",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,EDWARDS DUTHIE,125527412,"39,464.28",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DUNCAN LEWIS,130054141,"39,041.39",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JONATHAN M.WILKINSON,129849644,"38,592.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NIGEL WELLER & CO,130127473,"38,363.21",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PETER F ANTHONY,128363090,"38,304.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FRISBY & CO,130014197,"38,291.82",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,130006765,"37,750.93",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CHARLOTTE ATHERTON,130039650,"37,730.52",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MACKESYS SOLICITORS,130128043,"37,721.40",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MATTHEW S BUCKLAND,130106367,"37,678.34",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,J D SPICER ZEB,130127662,"37,485.99",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FMW LAW LTD,130065261,"37,079.42",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,WELLS BURCOMBE LLP,130008057,"36,130.98",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DAVID P SPENS QC,130054458,"35,695.87",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FRANCES J JUDD,130105518,"34,592.40",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,OLLIERS,130055023,"34,435.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RICHARD NELSON SOLICITORS,130040479,"34,313.76",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LEE REYNOLDS,130014226,"33,975.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FARLEYS SOLICITORS LLP,130116252,"33,848.28",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LINSKILLS,130053743,"33,717.71",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,QUALITYSOLICITORS  MIRZA,130079892,"33,661.75",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GUNEY CLARK & RYAN LTD CO,130116431,"33,661.75",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,WILSON'S SOLICITORS,130078599,"33,194.14",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MORDI & CO,130079654,"33,084.66",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ANDREW W SMITH,130115531,"33,012.23",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,NAPTHENS LLP,130103816,"32,898.90",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HASSAN KHAN,127974733,"32,884.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RAHMAN RAVELLI SOLICTORS LTD,130106231,"32,001.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,COBLEYS LLP,130116226,"31,921.78",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FRISBY & CO,130067281,"31,584.94",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CARMEL WILDE,130115940,"30,910.10",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JONATHAN C BUTLER,130037335,"30,814.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DAVID P BENTLEY,130115503,"30,598.44",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BERNARD G RICHMOND QC,130007295,"30,544.80",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEPHENSONS SOLICITORS LLP,130127606,"30,263.74",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEPHEN BURDON SOLICITORS,130116733,"29,631.65",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,THOMAS GODFREY,130115301,"29,538.26",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,S A CARR & CO,130101705,"29,531.56",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MALTAS & CO,130124107,"29,476.04",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HATCH & BRENNER LLP,130019069,"29,436.80",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RLE LAW PRACTICE LTD,130018365,"29,303.30",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MARTIN L A HICKS QC,130007483,"29,022.01",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MSB LAW LLP,122721446,"28,952.83",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GREENS SOLICITORS LLP,130038363,"28,659.54",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,REES PAGE,130037694,"28,637.80",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PETER L WILCOCK,130008391,"28,320.34",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BAZELEY BARNES & BAZELEY,130043395,"27,880.74",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,JAMES MURRAY SOLICITORS,130104386,"27,760.97",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,GURNEY HARDEN,130054270,"27,498.52",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ROOTES & ALLIOTT,130098097,"27,414.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ALEXANDRA M KETTLE-WILLIAMS,130031282,"27,349.81",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HARTNELL CHANOT & PARTNERS,129034291,"26,974.65",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MICHELE A O'LEARY,130035822,"26,946.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MARTIN & STRAIN,130054133,"26,791.64",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,DAVIES & CO,130079372,"26,791.64",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,HAIDER SOLICITORS,130115798,"26,717.46",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SARAH F JONES,130007611,"26,532.66",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,SCOTT A IVILL,130007528,"26,409.24",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,ANDREW CAMPBELL-TIECH,130054845,"26,268.10",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,RICHARD M LITTLER,130021828,"26,265.42",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,STEELE FORD & NEWTON,130054155,"26,256.40",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,WARINGS SOLICITORS LTD,129878891,"26,164.99",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,MATTHEW BROOKES-BAKER,130038826,"26,011.57",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,BERKSON GLOBE PARTNERSHIP,130039352,"25,547.31",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PETHERBRIDGE BASSRA SOLICITORS,130054024,"25,538.24",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,PETHERBRIDGE BASSRA SOLICITORS,130131376,"25,530.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,FORBES SOLICITORS,130054193,"25,352.12",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LOCK & MARLBOROUGH,130068808,"25,321.53",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,LLOYDS PR LTD,130079875,"25,301.75",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,CHILDREN & FAMILIES LAW FIRM LLP,130041093,"25,262.92",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LEGAL AID FUND - Programme Costs,OLLIERS,130080018,"25,066.90",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LAA Administration Costs,LEGAL AND GENERAL INVESTMENT MANAGEMENT LTD,1015508,"41,019.43",Legal and General Staff Pension Schemes Investment Management costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LAA Administration Costs,DX NETWORK SERVICES LTD,1015484,"49,277.65","Transaction Mailshot, consigned use etc. estimated",,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,14/8/2013,,LAA Administration Costs,NORTHGATE INFORMATION SOLUTIONS UK LTD,1015518,"32,113.10",Managed Service and Network Connection monthly charges - Line 1  and Line 2,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,BRETT WILSON LLP,130139742,"98,602.86",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,BIRNBERG PEIRCE & PARTNERS,130151403,"93,037.12",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,BURROWS BUSSIN,130251886,"89,420.65",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,STEPHENSONS SOLICITORS LLP,128774119,"84,314.34",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,ADRIAN M WATERMAN QC,130139462,"80,271.92",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,WILLIAMSON & SODEN,130139844,"78,406.35",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,21/8/2013,,LEGAL AID FUND - Programme Costs,HETHERINGTONS SOLICITORS LTD,130139792,"78,061.34",Legal Aid Payments: Crime Higher,,,,,
