Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,
Cabinet Office,CABINET OFFICE,04/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000032078,"1,188,857.00",National Citizen Service contract,PR2 2YF,SME,Programme,,,
Cabinet Office,CABINET OFFICE,04/01/2013,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000032100,"2,803,126.16",MyCSP administration costs,LS2 7UA,Large,Admin,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000032113,"34,142.48",Facilities Management Services,BN1  1HG,Large,Admin,,,
Cabinet Office,Government Procurement Service,07/01/2013,Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1446,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,,,
Cabinet Office,CABINET OFFICE,07/01/2013,"Travel, Subsistence and Hospitality",CENTRAL BUDGETS,DWP,3000032118,"44,577.00",Costs for internships programme as part of the Government's Social Mobility Strategy   ,FY5 3TA ,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Accomodation and Utilities,GOVERNMENT PROPERTY UNIT,HUGHES ELLARD LTD,3000032112,"46,771.50",Rent for Accommodation,W1D 1NN,Large,Programme,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000032121,"59,954.00",Legal costs,WC2B 4TS,Government Department,Admin,,,
Cabinet Office,Government Procurement Service,07/01/2013,Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1444,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Supplies and Services,ESTATE MANAGEMENT,MINISTRY OF DEFENCE,3000032126,"145,208.06",Transfer to fund the work of the international arm of the former National School of Government,L2 3YL,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000032119,"154,166.00",Shared Services charge,FY5 3TA,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,07/01/2013,Supplies and Services,ESTATE MANAGEMENT,MINISTRY OF DEFENCE,3000032126,"289,162.32",Transfer to fund the work of the international arm of the former National School of Government,L2 3YL ,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,08/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000032163,"27,946.32",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,08/01/2013,Accomodation and Utilities,CENTRAL BUDGETS,TELEPERFORMANCE LTD,3000032161,"44,031.40",Payment made in error on 8/01/13 and refunded on 14/01/13,BS1 3LG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,08/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PETROC,3000032174,"252,058.00",National Citizen Service project grant,EX31 2BQ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,08/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,TRANSITION IMB LTD,3000032169,"271,379.00",National Citizen Service project grant,W1W 5DW,SME,Programme,,,
Cabinet Office,CABINET OFFICE,09/01/2013,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000032191,"25,216.71",Facilities Management Services,BN1  1HG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,09/01/2013,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT OF COMMUNITIES & LOCAL GOVERNMENT,3000032192,"49,031.35",Charges for provision of internal audit,HP2 4XN,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,10/01/2013,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000032233,"27,576.74",Legal costs,WC2B 4TS,Government Department,Admin,,,
Cabinet Office,Government Procurement Service,10/01/2013,Maintenance & Repairs - IT,Enablement Projects,Procserve Shared Services Ltd,PINDOH 35297,"37,500.00",eMarketplace development,SW1E 5RS,Large,Admin,,,
Cabinet Office,CABINET OFFICE,10/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000032231,"51,800.00",National Citizen Service project grant ,CA10 2HX,Large,Programme,,,
Cabinet Office,Government Procurement Service,10/01/2013,GPS Systems Support and Training,eCommerce,Procserve Shared Services Ltd,PINVP2P 1436,"53,449.67",eMarketplace development,SW1E 5RS,Large,Admin,,,
Cabinet Office,Government Procurement Service,10/01/2013,GPS Systems Support and Training,eCommerce,Procserve Shared Services Ltd,PINVP2P 1456,"53,449.67",eMarketplace development,SW1E 5RS,Large,Admin,,,
Cabinet Office,CABINET OFFICE,10/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000032232,"175,167.00",National Citizen Service project grant,EC1V 9BW,Large,Programme,,,
Cabinet Office,CABINET OFFICE,10/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,HM REVENUE & CUSTOMS 8899,3000032237,"236,590.31",Estate services,BD98 1YY,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,10/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000032236,"1,206,325.00",Social Action Fund grants,WC1H 8AG,SME,Grants,,,
Cabinet Office,CABINET OFFICE,11/01/2013,IT Costs,FINANCIAL MANAGEMENT,DWP,3000032278,"26,939.45",IT services,FY5 3TA ,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,11/01/2013,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE,LEXIS NEXIS BUTTERWORTHS,3000032284,"27,037.56",Purchase of legal publications,CR9 5AF,Large,Admin,,,
Cabinet Office,CABINET OFFICE,11/01/2013,"Travel, Subsistence and Hospitality",OFFICE OF THE DEPUTY PRIME MINISTER,HOGG ROBINSON TRAVEL LTD,3000032299,"34,401.78",Official travel ,GU14 7NJ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,11/01/2013,"Travel, Subsistence and Hospitality",OFFICE FOR CIVIL SOCIETY,HOGG ROBINSON TRAVEL LTD,3000032299,"44,067.53",Official Travel,GU14 7NJ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,11/01/2013,Assets Under Construction,POLITICAL AND CONSTITUTIONAL REFORM,FCO SERVICES,3000032282,"44,609.00",Hosting environment for the Individual Electoral Registration Digital Service. ,MK19 7BH,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,11/01/2013,"Travel, Subsistence and Hospitality",CENTRAL BUDGETS,SOCIAL MOBILITY FOUNDATION,3000032272,"45,757.81",Internship programme costs,CA 94583,Large,Programme,,,
Cabinet Office,CABINET OFFICE,11/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000032294,"47,019.94",Cost for hosting GOV.UK,GU14 0LX,sme,Programme,,,
Cabinet Office,CABINET OFFICE,11/01/2013,IT Costs,IT AND TELECOMS BRANCH,DWP,3000032278,"75,607.36",Resource Management system development cost,FY5 3TA ,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,11/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000032274,"178,181.96","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,11/01/2013,Accomodation and Utilities,CENTRAL BUDGETS,HMRC,3000032289,"261,616.60",Rent for Accommodation,BD98 1YY,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,11/01/2013,Supplies and Services,OFFICE FOR CIVIL SOCIETY,TNS UK LTD,3000032273,"344,121.00","""Community Life"" Survey 2012-13 costs",W5 1UA,SME,Programme,,,
Cabinet Office,CABINET OFFICE,14/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000032348,"28,781.87",Estate services,BN1  1HG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,14/01/2013,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000032358,"33,600.00",Civil Service recruitment Compliance Monitoring visits,EC2V 7EE,Large,Admin,,,
Cabinet Office,CABINET OFFICE,14/01/2013,Accomodation and Utilities,GOVERNMENT PROPERTY UNIT,BUCKINGHAMSHIRE COUNTY COUNCIL,3000032362,"40,000.00",Rent for Accommodation,SW1W 0BS,Large,Admin,,,
Cabinet Office,CABINET OFFICE,14/01/2013,IT Costs,POLITICAL AND CONSTITUTIONAL REFORM,DEMOCRACY COUNTS,3000032346,"53,000.00",IT services,WA4 9GX,SME,Programme,,,
Cabinet Office,CABINET OFFICE,14/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000032348,"89,600.00",Estate services,BN1  1HG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,14/01/2013,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,LSH CLIENT PROPERTY MANAGEMENT A/C LONDON,1000690,"500,000.00",Rent for Accommodation,HP20 1UA,Large,Programme,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000032386,"36,095.72",Facilities Management Services,BN1  1HG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Supplies and Services,ESTATE MANAGEMENT,RICOH UK LTD,3000032412,"36,332.28",Reprographic Services,CR5 2HR,Large,Admin,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,PRICEWATERHOUSE COOPERS LLP,3000032406,"39,600.00",Professional services,E14 9SQ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SALFORD FOUNDATION,3000032400,"40,165.00",National Citizen Service project grant ,M5 4BD,SME,Programme,,,
Cabinet Office,CABINET OFFICE,15/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,CREATIVE CHOICE CIC,3000032389,"49,146.24",IT services,PO16 8UT,SME,Admin,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000032393,"63,309.50",Legal costs,WC2B 4TS,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,NEW COLLEGE NOTTINGHAM,3000032385,"106,664.00",National Citizen Service contract,NG1 1PR,Large,Programme,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SPORTTRAIN WALES LTD,3000032392,"210,016.00",National Citizen Service project grant ,SA1 6DY,SME,Programme,,,
Cabinet Office,CABINET OFFICE,15/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000032386,"647,765.42",Facilities Management Services,BN1  1HG,Large,Admin,,, 
Cabinet Office,CABINET OFFICE,16/01/2013,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000032432,"46,274.20","Support, maintenance and minor developments of e-PIMS",LS2 LY,Large,Programme,,,
Cabinet Office,CABINET OFFICE,16/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032423,"47,771.24",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,16/01/2013,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000032427,"49,267.62",Facilities Management Services,BS16 7FN,Large,Admin,,,
Cabinet Office,CABINET OFFICE,16/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032423,"54,970.09",Interim IT specialists,SL6 1DP ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,16/01/2013,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000032422,"56,302.40",Facilities Management Services,BN1  1HG,Large,Admin,,,
Cabinet Office,CABINET OFFICE,16/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032423,"75,808.78",Interim IT specialists,SL6 1DP ,Large,Programme,,,
Cabinet Office,Government Procurement Service,17/01/2013,Training - Category Management,Human Resources,Unicorn Training,PINVP2P 1478,"36,000.00",GPS learning hub development,BH8 8DY,SME,Admin,,,
Cabinet Office,Government Procurement Service,17/01/2013,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1476,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,,,
Cabinet Office,CABINET OFFICE,17/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032462,"39,354.90",Interim IT specialists,SL6 1DP ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,17/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032462,"44,680.96",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,17/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032462,"56,957.15",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,Government Procurement Service,17/01/2013,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1475,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme - Cost of Sales,,,
Cabinet Office,CABINET OFFICE,17/01/2013,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000032451,"74,222.43",Telecomms cost,DH98 1BT,Large,Admin,,,
Cabinet Office,CABINET OFFICE,17/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032462,"76,538.89",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,18/01/2013,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000032507,"26,400.00",ePIMS advanced reporting tool (Microstrategy) 2012/13,LS2 LY,Large,Admin,,,
Cabinet Office,CABINET OFFICE,18/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032486,"33,451.69",Interim IT specialists,SL6 1DP ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,18/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032486,"36,825.42",Interim IT specialists,SL6 1DP ,Large,Programme,,,
Cabinet Office,CABINET OFFICE,18/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,3000032491,"52,816.29",Interim IT specialists,SL1 1D,Large,Programme,,,
Cabinet Office,CABINET OFFICE,18/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000032502,"239,265.00",Public Service Network charges,SN13 0RP,SME,Programme,,,
Cabinet Office,CABINET OFFICE,21/01/2013,Resource Grants to NDPB's,OFFICE FOR CIVIL SOCIETY,BIG LOTTERY ADVICE SERVICES FUND,3000032553,"30,320.00",Grant to Big Lottery Advice Services for the administration costs of the Advice Services Fund,EC4A 1DE,Large,Grants,,,
Cabinet Office,CABINET OFFICE,21/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CESG,3000032536,"50,000.40","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",GL51 0EX,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,21/01/2013,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,CAPITA RESOURCING LTD,3000032551,"69,874.66",Technical development of data.gov.uk,SL6 1DP,Large,Admin,,,
Cabinet Office,CABINET OFFICE,21/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000032541,"82,500.00",Strategic partners transition grant ,N1 9HS,Large,Grants,,,
Cabinet Office,CABINET OFFICE,21/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000032532,"174,284.00",Social Action Fund grants,WC1H 8AG,SME,Grants,,,
Cabinet Office,CABINET OFFICE,22/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ALPINE CONSORTIUM,3000032577,"27,750.00",Support services for the Government Cloud programme,EC4A 2BA,SME,Programme,,,
Cabinet Office,CABINET OFFICE,22/01/2013,Consultancy,COMMITTEE ON STANDARDS IN PUBLIC LIFE,TNS UK LTD,3000032575,"39,525.00",Research into the Public’s view of Ethical Standards in Public life,W5 1UA,SME,Admin,,,
Cabinet Office,CABINET OFFICE,22/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000032576,"267,996.00",Software development services,B11 2LE,Large,Programme,,,
Cabinet Office,Government Procurement Service,23/01/2013,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35530,"83,411.17",Legal services fee,WC2B 4TS,Large,Admin,, ,
Cabinet Office,Government Procurement Service,23/01/2013,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35452,"91,672.18",Legal services fee,WC2B 4TS,Large,Admin,,,
Cabinet Office,Government Procurement Service,23/01/2013,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35262,"96,558.05",Legal services fee,WC2B 4TS,Large,Admin,,,
Cabinet Office,Government Procurement Service,23/01/2013,Legal Fees,Legal Services,Treasury Solicitors,PINDOH 35531,"107,536.39",Legal services fee,WC2B 4TS,Large,Admin,,,
Cabinet Office,CABINET OFFICE,24/01/2013,Consultancy,GOVERNMENT PROPERTY UNIT,INVESTMENT PROPERY DATABANK LTD,3000032612,"50,000.00",Property Benchmarking Service fee,EC1 4BL,Large,Programme,,,
Cabinet Office,CABINET OFFICE,24/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000032621,"91,984.75",Software development services ,B11 2LE,Large,Programme,,,
Cabinet Office,CABINET OFFICE,25/01/2013,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000032643,"26,672.08",Interim IT specialists,SL6 1DP,Large,Programme,,,
Cabinet Office,CABINET OFFICE,25/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,CESG,3000032656,"125,000.00",Provision of Identity Assurance support ,GL51 0EX,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,25/01/2013,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CESG,3000032656,"182,780.40","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",GL51 0EX,Government Department,Programme,,,
Cabinet Office,CABINET OFFICE,25/01/2013,Supplies and Services,OFFICE FOR CIVIL SOCIETY,M4C,1000693,"210,000.00","Media Partnership, Brand awareness, advertising, creative and design services for the National Citizenship Service",WC1X 8RX,SME,Programme,,,
Cabinet Office,CABINET OFFICE,25/01/2013,PFI Charge,CENTRAL BUDGETS,DE VERE VENUES LTD,3000032660,"270,629.50",PFI Service Charges,KT24 6DU,Large,Admin,,,
Cabinet Office,CABINET OFFICE,25/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000032638,"640,183.00",National Citizen Service contract,SE1 7HS,SME,Programme,,,
Cabinet Office,CABINET OFFICE,28/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000032692,"226,432.00",National Citizen Service contract,CA10 2HX,Large,Programme,,,
Cabinet Office,CABINET OFFICE,28/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000032693,"506,588.40",National Citizen Service contract,RG27 7FR,Large,Programme,,, 
Cabinet Office,CABINET OFFICE,29/01/2013,Grant fund management services,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000032740,"26,509.20",Grant administration costs for running the Investment and Contract Readiness Fund,WC1H 8AG,SME,Grants,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,3000032728,"32,804.75",Internal Audit services,HP2 4XN,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COOPERATION IRELAND,3000032739,"45,422.00",National Citizen Service project grant ,BT12 5GH,sme,Programme,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SKILLFORCE,3000032725,"53,250.00",National Citizen Service programme costs,NG21 9PR,SME,Programme,,,
Cabinet Office,CABINET OFFICE,29/01/2013,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000032745,"76,917.06",IT services,RG2 6DA,Large,Admin,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000032742,"89,259.00",National Citizen Service project grant,TS18 3TS,SME,Programme,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Supplies and Services,ESTATE MANAGEMENT,MINISTRY OF DEFENCE,3000032738,"126,989.71",Transfer to fund the work of the international arm of the former National School of Government,L2 3YL,0,Admin,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NEW COLLEGE NOTTINGHAM,3000032746,"227,798.00",National Citizen Service project grant ,NG1 1PR,Large,Programme,,,
Cabinet Office,CABINET OFFICE,29/01/2013,Other Staff Related Costs,OFFICE FOR CIVIL SOCIETY,SERCO LTD,3000032733,"424,754.40",National Citizen Service contract,RG27 7FR,Large,Programme,, ,
Cabinet Office,CABINET OFFICE,30/01/2013,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,LAW COMMISSION,3000032772,"31,250.00",Professional services,SW1H 9LJ,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,30/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000032784,"54,330.08",Cost for hosting GOV.UK,GU14 0LX,SME,Programme,,,
Cabinet Office,CABINET OFFICE,30/01/2013,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000032771,"154,166.00",Shared Services charge ,FY5 3TA ,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,30/01/2013,IT Costs,ESTATE MANAGEMENT,HMRC,3000032781,"170,342.14",Estate services,BD98 1YY,Government Department,Admin,,,
Cabinet Office,CABINET OFFICE,30/01/2013,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000032774,"186,406.79",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme,,,
Cabinet Office,Government Procurement Service,31/01/2013,MOTO Charges Capital Building,Estates Management,DTZ,PINDOH 35551,"26,111.34",Rent for accommodation ,B4 6AJ,Large,Admin,,,
Cabinet Office,Government Procurement Service,31/01/2013,Recruitment Costs,Human Resources,TMP (UK) Ltd,PINVP2P 1499,"29,270.50",Recruitment costs,W1T 7RQ,Large,Admin,,,
Cabinet Office,Government Procurement Service,31/01/2013,General Rates,Estates Management,DTZ,PINDOH 35551,"29,795.00",General rates charges,B4 6AJ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,31/01/2013,IT Costs,GOVERNMENT DIGITAL SERVICE,SYSTEM ASSOCIATES LTD,3000032819,"31,050.00",GOV.UK support services ,SL6 8LT,Large,Programme,,,
Cabinet Office,Government Procurement Service,31/01/2013,Recruitment Costs,Human Resources,TMP (UK) Ltd,PINVP2P 1498,"31,536.71",Recruitment costs,W1T 7RQ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,31/01/2013,Consultancy,INDEPENDENT OFFICES,DLA PIPER UK,3000032820,"33,600.00",Civil Service recruitment Compliance Monitoring reports,EC2V 7EE ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,31/01/2013,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000032810,"43,931.52",Facilities Management Services,BN1  1HG,Large,Admin,,,
Cabinet Office,Government Procurement Service,31/01/2013,Service Charges,Estates Management,DTZ,PINDOH 35551,"52,345.50",Service charges,B4 6AJ,Large,Admin,,,
Cabinet Office,CABINET OFFICE,31/01/2013,GRANT FUND MANAGEMENT SERVICES,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000032823,"64,707.00",Grant Fund Management costs for the Social Action Fund grants,WC1H 8AG,SME,Grants,,,
Cabinet Office,CABINET OFFICE,31/01/2013,Resource Grants to Private Sector,GOVERNMENT DIGITAL SERVICE,OPEN IDENTITY EXCHANGE,2000315,"200,000.00",Open Identity Exchange Pilot grant ,SW1H 0DJ,SME,Programme,,,
