Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category
Department for Work and Pensions,Employment Programmes,04-Oct-11,YOUNG PERSON'S GUARANTEE,COO,A4E LTD,2022699696,"Ł86,400.00",Welfare to Work,Client Facing,YOUNG PERSON'S GUARANTEE
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł2,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł5,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł800.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł800.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł0.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł12,666.73",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł11,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł7,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł28,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł12,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł2,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł5,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł7,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł1,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł13,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł800.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł800.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł4,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł21,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł15,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł9,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł15,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł47,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł68,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł48,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł60,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł8,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2022699696,"Ł25,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Corporate,04-Oct-11,COMPUTER SERVICES,CIT,ACCENTURE,2022699707,"Ł14,364.69",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,"Pension, Disability Carers Services",04-Oct-11,COMPUTER SERVICES,Change PMU,ACCENTURE,2022699707,"Ł10,383.43",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,"Pension, Disability Carers Services",04-Oct-11,COMPUTER SERVICES,COO,ACCENTURE,2022699707,"Ł11,055.16",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Employment Programmes,04-Oct-11,ACCESS TO WORK,COO,AME DISABILITY CONSULTANT,2022699742,"Ł11,352.00",Welfare to Work,Client Facing,ACCESS TO WORK
Department for Work and Pensions,Employment Programmes,04-Oct-11,ACCESS TO WORK,COO,AME DISABILITY CONSULTANT,2022699742,"Ł29,328.00",Welfare to Work,Client Facing,ACCESS TO WORK
Department for Work and Pensions,Employment Programmes,04-Oct-11,ACCESS TO WORK,COO,AME DISABILITY CONSULTANT,2022699742,Ł600.00,Welfare to Work,Client Facing,ACCESS TO WORK
Department for Work and Pensions,Corporate,04-Oct-11,COMPUTER SERVICES,CIT,ATOS ORIGIN IT SERVICES UK LTD,2022699755,"Ł124,388.36",Information & Communications Technology,Systems Delivery,Hosting
Department for Work and Pensions,Corporate,04-Oct-11,COMPUTER SERVICES,CIT,ATOS ORIGIN IT SERVICES UK LTD,2022699755,"Ł92,124.00",Information & Communications Technology,Systems Delivery,Application Development
Department for Work and Pensions,Jobcentre Plus,04-Oct-11,EU PROGRAMMES,COO,AVANTA ENTERPRISE LTD,2022699760,"Ł206,856.00",Welfare to Work,Client Facing,EU PROGRAMMES
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł6,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł7,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł7,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł1,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł14,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł4,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł4,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł2,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł18,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł20,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł20,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł14,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł28,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł1,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł3,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł50,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł28,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,AVANTA ENTERPRISE LTD,2022699761,"Ł30,000.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,"Ł6,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - NON-WORK PROGRAMME,COO,BEST LTD,2022699852,-Ł399.18,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - NON-WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,"Ł19,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,"Ł3,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,"Ł54,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,BEST LTD,2022699852,"Ł9,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,"Ł4,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,"Ł35,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,"Ł1,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,Ł800.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,"Ł8,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,CAREERS DEVELOPMENT GROUP,2022700174,"Ł7,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Corporate,04-Oct-11,AOS CONTRACTED OUT SERVICES,PS,COI TRADING FUND,2022700218,"Ł38,727.90",Communications,Marketing & Communications,Direct Marketing
Department for Work and Pensions,Jobcentre Plus,04-Oct-11,Accommodation Costs,COO,COPELAND BOROUGH COUNCIL,2022700230,"Ł41,797.25",Estates,Non-PRIME,Non PRIME Property Costs
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,"Ł7,200.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,Ł600.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,"Ł52,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,"Ł2,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,"Ł46,800.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,EOS WORKS LTD,2022703290,"Ł24,400.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,ESG HOLDINGS LIMITED,2022703294,"Ł6,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,ESG HOLDINGS LIMITED,2022703294,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,ESG HOLDINGS LIMITED,2022703294,Ł400.00,Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
Department for Work and Pensions,Employment Programmes,04-Oct-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,ESG HOLDINGS LIMITED,2022703294,"Ł21,600.00",Welfare to Work,Client Facing,EP PROVIDER PAYMENT - WORK PROGRAMME
