Statutory Bodies - Fines,·         Payments to the Police for advanced driving courses,,,,,,,,,,,,,,
Cable/Pay TV Services,·         Sky installations for MOD establishments and ships,,,,,,,,,,,,,,
Boat Dealers,·         Repairs to ships and boats,,,,,,,,,,,,,,
,·         Purchase of specialist paint for ships,,,,,,,,,,,,,,
Dentists/Orthodontists,·         Dental equipment for Military staff dental check ups,,,,,,,,,,,,,,
General Retail – Women’s Access/Speciality,·         Waterproof Clothing and products for Adventure training ,,,,,,,,,,,,,,
,·         Waterproof Clothing for Search and Rescue teams ,,,,,,,,,,,,,,
Timeshare,·         Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,,,,,,,,,,,,
Pkg Stores/Beer/Wine/Liquor,·         The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,,,,,,,,,,,,
,·         The provision and payment of Catering courses,,,,,,,,,,,,,,
Member Clubs/Sport/Rec/Golf,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,,,,,,,,,,,,
,·         Military training courses,,,,,,,,,,,,,,
,·         Adventure training courses including hire of facilities and instruction,,,,,,,,,,,,,,
Detective/Protective Agency,·         CCTV Equipment,,,,,,,,,,,,,,
,·         Threat Detection Equipment,,,,,,,,,,,,,,
Variety Stores,·         Specialist boots on health grounds for Military staff,,,,,,,,,,,,,,
,·         Security Equipment,,,,,,,,,,,,,,
,·         Survival Equipment,,,,,,,,,,,,,,
,·         Calor Gas Supplies,,,,,,,,,,,,,,
,·         Pressure Washers/Steam Cleaners,,,,,,,,,,,,,,
Public Golf Courses,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,,,,,,,,,,,,
Art Dealers and Galleries,·         Digital images/photographs and the copyright to use those digital images/photographs in Departmental publications/presentations,,,,,,,,,,,,,,
Stamp and Coin stores,"·         The manufacture and payment for coins for ""gifting"" purposes",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
June 2016 Data ,,,,,,,,,,,,,,,
UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,,,,,,,,,,,
MODGPC00147640,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£88,521.86",,,,,,,,,,,
MODGPC00147638,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£88,421.93",,,,,,,,,,,
MODGPC00147642,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£86,247.97",,,,,,,,,,,
MODGPC00147637,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£85,036.13",,,,,,,,,,,
MODGPC00147645,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£83,220.12",,,,,,,,,,,
MODGPC00148118,03-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£82,569.48",,,,,,,,,,,
MODGPC00147639,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£81,547.66",,,,,,,,,,,
MODGPC00147644,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£81,126.65",,,,,,,,,,,
MODGPC00148444,09-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£81,109.93",,,,,,,,,,,
MODGPC00147643,10-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£81,054.55",,,,,,,,,,,
MODGPC00146694,23-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£78,881.80",,,,,,,,,,,
MODGPC00146695,23-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£77,656.07",,,,,,,,,,,
MODGPC00148114,01-Jun-16,Professional Services, MGMT/CONSULT/PUBLIC REL SER,"£67,505.17",,,,,,,,,,,
MODGPC00147049,20-Jun-16,Other Supplies, MISC SPECIALTY RETAIL,"£65,630.10",,,,,,,,,,,
MODGPC00146525,24-Jun-16,Professional Services, MGMT/CONSULT/PUBLIC REL SER,"£62,029.79",,,,,,,,,,,
MODGPC00148200,01-Jun-16,Professional Services, MGMT/CONSULT/PUBLIC REL SER,"£58,925.88",,,,,,,,,,,
MODGPC00147853,08-Jun-16,Government, GOV'T SERV - DEFAULT,"£58,829.31",,,,,,,,,,,
MODGPC00146604,24-Jun-16,Professional Services, MGMT/CONSULT/PUBLIC REL SER,"£56,430.45",,,,,,,,,,,
MODGPC00146442,28-Jun-16,Professional Services, COMPUTER PROGRAM/SYS DESIGN,"£50,913.53",,,,,,,,,,,
MODGPC00147997,07-Jun-16,Utilities, TELECOMMUNICATION SERVICES,"£38,222.85",,,,,,,,,,,
MODGPC00147051,20-Jun-16,Other Supplies, MISC SPECIALTY RETAIL,"£34,812.00",,,,,,,,,,,
MODGPC00147181,16-Jun-16,Business Services, BUSINESS SERVICES - DEFAULT,"£34,432.72",,,,,,,,,,,
MODGPC00148205,01-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£30,000.00",,,,,,,,,,,
MODGPC00148207,01-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£30,000.00",,,,,,,,,,,
MODGPC00148035,06-Jun-16,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£28,387.12",,,,,,,,,,,
MODGPC00148119,03-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£26,320.08",,,,,,,,,,,
MODGPC00148444,08-Jun-16,Hotels And Motels, LA QUINTA MOTOR INN,"£22,957.62",,,,,,,,,,,
MODGPC00148272,02-Jun-16,Utilities, TELECOMMUNICATION SERVICES,"£21,746.85",,,,,,,,,,,
MODGPC00148445,27-May-16,Transportation, TRAVEL AGENCIES,"£19,379.99",,,,,,,,,,,
MODGPC00148444,19-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£18,190.15",,,,,,,,,,,
MODGPC00148105,02-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£17,948.48",,,,,,,,,,,
MODGPC00148218,02-Jun-16,Professional Services, PROFESSIONAL SERVICES - DEF,"£15,390.00",,,,,,,,,,,
MODGPC00148445,28-Jun-16,Transportation, TRAVEL AGENCIES,"£15,198.00",,,,,,,,,,,
MODGPC00148445,09-Jun-16,Transportation, TRAVEL AGENCIES,"£14,178.00",,,,,,,,,,,
MODGPC00148108,02-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£14,091.46",,,,,,,,,,,
MODGPC00148445,31-May-16,Transportation, TRANSPORTATION SVCS - DEFAULT,"£13,621.00",,,,,,,,,,,
MODGPC00146755,23-Jun-16,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,"£12,529.50",,,,,,,,,,,
MODGPC00148445,29-Jun-16,Transportation, CRUISE LINES,"£12,477.50",,,,,,,,,,,
MODGPC00148444,07-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£12,444.00",,,,,,,,,,,
MODGPC00146756,23-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£12,425.88",,,,,,,,,,,
MODGPC00147114,17-Jun-16,Miscellaneous, MEMBER ORGANIZATIONS - DEF,"£12,320.40",,,,,,,,,,,
MODGPC00148373,01-Jun-16,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£12,005.90",,,,,,,,,,,
MODGPC00148444,04-Jun-16,Hotels And Motels, HOLIDAY INN,"£11,864.23",,,,,,,,,,,
MODGPC00148444,03-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£11,740.28",,,,,,,,,,,
MODGPC00148445,07-Jun-16,Transportation, TRAVEL AGENCIES,"£11,619.25",,,,,,,,,,,
MODGPC00146749,23-Jun-16,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,"£11,568.00",,,,,,,,,,,
MODGPC00148444,20-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£11,526.00",,,,,,,,,,,
MODGPC00148087,06-Jun-16,Caterers Food, CATERERS,"£11,108.04",,,,,,,,,,,
MODGPC00147095,17-Jun-16,Auto/Vehicle Rentals, AUTOMOBILE RENTAL AGENCY,"£11,048.24",,,,,,,,,,,
MODGPC00148444,17-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£11,025.20",,,,,,,,,,,
MODGPC00146378,29-Jun-16,Business To Business Facility/, CHEMICALS/ALLIED PRODS - DEF,"£10,920.00",,,,,,,,,,,
MODGPC00146664,24-Jun-16,Retail, ELECTRONICS STORES,"£10,675.20",,,,,,,,,,,
MODGPC00148444,21-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£10,611.32",,,,,,,,,,,
MODGPC00148444,07-Jun-16,Hotels And Motels, MOVENPICK HOTELS,"£10,489.02",,,,,,,,,,,
MODGPC00148275,02-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£10,391.18",,,,,,,,,,,
MODGPC00147694,10-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£10,378.06",,,,,,,,,,,
MODGPC00148444,17-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£10,331.32",,,,,,,,,,,
MODGPC00148444,13-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£10,200.00",,,,,,,,,,,
MODGPC00146583,27-Jun-16,Business To Business Eqpt/Furn, COMMERCIAL EQUIPMENT - DEFAULT,"£10,096.88",,,,,,,,,,,
MODGPC00148316,01-Jun-16,Freight/Courier/Warehouse Svcs, MOTOR FREIGHT CARRIERS,"£10,078.43",,,,,,,,,,,
MODGPC00148318,01-Jun-16,Freight/Courier/Warehouse Svcs, MOTOR FREIGHT CARRIERS,"£10,078.43",,,,,,,,,,,
MODGPC00148319,01-Jun-16,Freight/Courier/Warehouse Svcs, MOTOR FREIGHT CARRIERS,"£10,078.43",,,,,,,,,,,
MODGPC00148444,27-Jun-16,Hotels And Motels, RESIDENCE INN,"£10,032.43",,,,,,,,,,,
MODGPC00146622,24-Jun-16,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£9,987.78",,,,,,,,,,,
MODGPC00148419,31-May-16,Freight/Courier/Warehouse Svcs, MOTOR FREIGHT CARRIERS,"£9,964.05",,,,,,,,,,,
MODGPC00148444,21-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£9,924.40",,,,,,,,,,,
MODGPC00148444,21-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£9,924.40",,,,,,,,,,,
MODGPC00147737,09-Jun-16,Medical, NURSING/PERSONAL CARE FAC,"£9,909.12",,,,,,,,,,,
MODGPC00148353,01-Jun-16,Business To Business Facility/," PAINT, VARNISHES & SUPPLIES","£9,583.39",,,,,,,,,,,
MODGPC00148445,15-Jun-16,Transportation," MARINAS, SERVICE & SUPPLY","£9,564.00",,,,,,,,,,,
MODGPC00148016,06-Jun-16,Facilities/Repair Services, GEN CONTRACTORS RESIDENTL/COML,"£9,553.61",,,,,,,,,,,
MODGPC00146505,28-Jun-16,Business To Business Eqpt/Furn, COMPUTERS/PERIPHERALS/SOFTWARE,"£9,521.28",,,,,,,,,,,
MODGPC00147243,16-Jun-16,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£9,399.28",,,,,,,,,,,
MODGPC00146601,24-Jun-16,Business Services, BUSINESS SERVICES - DEFAULT,"£9,389.83",,,,,,,,,,,
MODGPC00148444,07-Jun-16,Hotels And Motels, COMFORT INN,"£9,253.52",,,,,,,,,,,
MODGPC00148330,01-Jun-16,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£9,215.80",,,,,,,,,,,
MODGPC00148444,02-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£9,180.00",,,,,,,,,,,
MODGPC00147892,08-Jun-16,Miscellaneous, OTHER DIRECT MARKETERS,"£9,164.40",,,,,,,,,,,
MODGPC00146484,28-Jun-16,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£9,064.88",,,,,,,,,,,
MODGPC00147534,13-Jun-16,Government, GOV'T SERV - DEFAULT,"£8,987.82",,,,,,,,,,,
MODGPC00148277,02-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£8,947.87",,,,,,,,,,,
MODGPC00147096,17-Jun-16,Auto/Vehicle Rentals, AUTOMOBILE RENTAL AGENCY,"£8,886.57",,,,,,,,,,,
MODGPC00147360,15-Jun-16,Medical," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT","£8,873.63",,,,,,,,,,,
MODGPC00148375,01-Jun-16,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£8,857.66",,,,,,,,,,,
MODGPC00147130,17-Jun-16,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£8,766.72",,,,,,,,,,,
MODGPC00148445,08-Jun-16,Transportation," MARINAS, SERVICE & SUPPLY","£8,526.00",,,,,,,,,,,
MODGPC00147698,10-Jun-16,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,"£8,467.20",,,,,,,,,,,
MODGPC00148429,31-May-16,Business To Business Eqpt/Furn, DURABLE GOODS - DEFAULT,"£8,316.83",,,,,,,,,,,
MODGPC00148445,22-Jun-16,Transportation, PARKING LOTS & GARAGES,"£8,312.24",,,,,,,,,,,
MODGPC00148444,04-Jun-16,Hotels And Motels, DRURY INN,"£8,274.93",,,,,,,,,,,
MODGPC00146873,21-Jun-16,Clothing/Uniform Services, DRY CLEANERS,"£8,178.00",,,,,,,,,,,
MODGPC00146768,23-Jun-16,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£8,173.80",,,,,,,,,,,
MODGPC00147428,14-Jun-16,Facilities/Repair Supplies, GLASS/PAINT/WALLPAPER STORES,"£8,148.00",,,,,,,,,,,
MODGPC00147596,10-Jun-16,Facilities/Repair Services, GEN CONTRACTORS RESIDENTL/COML,"£8,073.83",,,,,,,,,,,
MODGPC00147255,16-Jun-16,Clothing/Shoes/Uniforms, MEN/BOYS CLOTHING/ACC STORES,"£8,071.20",,,,,,,,,,,
MODGPC00148444,13-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£8,027.64",,,,,,,,,,,
MODGPC00148444,22-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£7,916.06",,,,,,,,,,,
MODGPC00147167,17-Jun-16,Utilities, TELECOMMUNICATION SERVICES,"£7,908.43",,,,,,,,,,,
MODGPC00147213,16-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£7,879.00",,,,,,,,,,,
MODGPC00147429,14-Jun-16,Facilities/Repair Supplies, GLASS/PAINT/WALLPAPER STORES,"£7,794.00",,,,,,,,,,,
MODGPC00146748,23-Jun-16,Clothing/Shoes/Uniforms, MENS/WOMENS CLOTHING STORES,"£7,605.84",,,,,,,,,,,
MODGPC00148444,13-Jun-16,Hotels And Motels, OTANI HOTEL,"£7,591.94",,,,,,,,,,,
MODGPC00147695,10-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£7,563.58",,,,,,,,,,,
MODGPC00148401,31-May-16,Entertainment, MEMBER CLUBS/SPORT/REC/GOLF,"£7,440.00",,,,,,,,,,,
MODGPC00147471,14-Jun-16,Retail, ELECTRONICS STORES,"£7,437.40",,,,,,,,,,,
MODGPC00148377,01-Jun-16,Equipment And Furniture, FURNITURE/EQUIP STORES,"£7,380.44",,,,,,,,,,,
MODGPC00148444,01-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£7,378.56",,,,,,,,,,,
MODGPC00148444,01-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£7,378.56",,,,,,,,,,,
MODGPC00147948,07-Jun-16,Government, COLLEGES/UNIV/JC/PROFESSION,"£7,375.00",,,,,,,,,,,
MODGPC00148361,01-Jun-16,Caterers Food, CATERERS,"£7,368.86",,,,,,,,,,,
MODGPC00147134,16-Jun-16,Business To Business Other Sup, NON-DURABLE GOODS - DEFAULT,"£7,320.73",,,,,,,,,,,
MODGPC00147135,17-Jun-16,Business To Business Other Sup, NON-DURABLE GOODS - DEFAULT,"£7,320.73",,,,,,,,,,,
MODGPC00147456,14-Jun-16,Business To Business Facility/, ELECTRICAL PARTS/EQUIPMENT,"£7,235.11",,,,,,,,,,,
MODGPC00147888,08-Jun-16,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£7,206.79",,,,,,,,,,,
MODGPC00147460,14-Jun-16,Business To Business Eqpt/Furn, COMPUTERS/PERIPHERALS/SOFTWARE,"£7,206.72",,,,,,,,,,,
MODGPC00147904,08-Jun-16,Medical," LABORATORY, MEDICAL AND HOSPITAL EQUIPMENT","£7,161.60",,,,,,,,,,,
MODGPC00147556,13-Jun-16,Facilities/Repair Supplies," NURSERIES, LAWN/GARDEN SUPPLY","£7,149.99",,,,,,,,,,,
MODGPC00148444,04-Jun-16,Hotels And Motels, DRURY INN,"£7,122.79",,,,,,,,,,,
MODGPC00148263,02-Jun-16,Other Supplies, CAMERA & PHOTO SUPPLY STORE,"£7,115.94",,,,,,,,,,,
MODGPC00148343,01-Jun-16,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£7,106.45",,,,,,,,,,,
MODGPC00147256,16-Jun-16,Clothing/Shoes/Uniforms, MEN/BOYS CLOTHING/ACC STORES,"£7,104.00",,,,,,,,,,,
MODGPC00147257,16-Jun-16,Clothing/Shoes/Uniforms, MEN/BOYS CLOTHING/ACC STORES,"£7,104.00",,,,,,,,,,,
MODGPC00148444,03-Jun-16,Hotels And Motels, MILLENNIUM BROADWAY HOTEL,"£7,042.82",,,,,,,,,,,
MODGPC00148206,01-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£6,990.07",,,,,,,,,,,
MODGPC00147232,16-Jun-16,Miscellaneous, CONTINUITY/SUBSCRIPTION MERCHT,"£6,862.32",,,,,,,,,,,
MODGPC00147810,09-Jun-16,Utilities, CABLE/PAY TV SERVICES,"£6,720.00",,,,,,,,,,,
MODGPC00148444,25-Jun-16,Hotels And Motels, HAMPTON INNS,"£6,653.45",,,,,,,,,,,
MODGPC00148444,13-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,560.88",,,,,,,,,,,
MODGPC00147097,17-Jun-16,Auto/Vehicle Rentals, AUTOMOBILE RENTAL AGENCY,"£6,552.42",,,,,,,,,,,
MODGPC00148444,23-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,530.59",,,,,,,,,,,
MODGPC00146465,28-Jun-16,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,"£6,526.00",,,,,,,,,,,
MODGPC00147577,13-Jun-16,Business To Business Eqpt/Furn, COMPUTER SOFTWARE STORES,"£6,455.54",,,,,,,,,,,
MODGPC00148444,18-Jun-16,Hotels And Motels, HAMPTON INNS,"£6,438.72",,,,,,,,,,,
MODGPC00148444,14-Jun-16,Hotels And Motels, HAMPTON INNS,"£6,430.86",,,,,,,,,,,
MODGPC00148350,01-Jun-16,Business To Business Eqpt/Furn, DURABLE GOODS - DEFAULT,"£6,423.93",,,,,,,,,,,
MODGPC00147934,07-Jun-16,Medical, DOCTORS & PHYSICIANS,"£6,401.32",,,,,,,,,,,
MODGPC00147578,13-Jun-16,Business To Business Eqpt/Furn, COMPUTER SOFTWARE STORES,"£6,367.92",,,,,,,,,,,
MODGPC00148445,27-Jun-16,Transportation, AIRPORTS/FIELDS/TERMINALS,"£6,365.43",,,,,,,,,,,
MODGPC00147598,10-Jun-16,Facilities/Repair Services, GEN CONTRACTORS RESIDENTL/COML,"£6,340.27",,,,,,,,,,,
MODGPC00147920,07-Jun-16,Business To Business Services, MISC PUBLISHING & PRINTING,"£6,300.00",,,,,,,,,,,
MODGPC00147116,17-Jun-16,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£6,299.09",,,,,,,,,,,
MODGPC00148444,04-Jun-16,Hotels And Motels, HAMPTON INNS,"£6,293.72",,,,,,,,,,,
MODGPC00148444,14-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,260.48",,,,,,,,,,,
MODGPC00148444,14-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,260.48",,,,,,,,,,,
MODGPC00148444,17-Jun-16,Hotels And Motels, OTANI HOTEL,"£6,243.95",,,,,,,,,,,
MODGPC00148444,19-Jun-16,Hotels And Motels, MARRIOTT,"£6,198.64",,,,,,,,,,,
MODGPC00148444,06-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,177.99",,,,,,,,,,,
MODGPC00148444,22-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£6,168.07",,,,,,,,,,,
MODGPC00148329,01-Jun-16,Professional Services, ARCHITECTURAL/ENG/SURVEY,"£6,163.92",,,,,,,,,,,
MODGPC00147359,15-Jun-16,Business To Business Facility/, CONSTRUCTION MATERIALS - DEF,"£6,099.00",,,,,,,,,,,
MODGPC00147081,19-Jun-16,Automobile Services & Supplies, SERVICE STATIONS,"£6,051.76",,,,,,,,,,,
MODGPC00146876,21-Jun-16,Business Services, EMPLOYMENT/TEMP HELP AGEN,"£6,000.00",,,,,,,,,,,
MODGPC00146712,23-Jun-16,Business To Business Facility/, INDUSTRIAL SUPPLIES - DEF,"£5,929.00",,,,,,,,,,,
MODGPC00147921,07-Jun-16,Facilities/Repair Services, ELECTRICAL CONTRACTORS,"£5,886.64",,,,,,,,,,,
MODGPC00146799,22-Jun-16,Miscellaneous, SPORT/RECREATIONAL CAMPS,"£5,846.55",,,,,,,,,,,
MODGPC00147750,09-Jun-16,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,"£5,826.20",,,,,,,,,,,
MODGPC00148107,02-Jun-16,Professional Services, DETECTIVE/PROTECTIVE AGEN,"£5,820.38",,,,,,,,,,,
MODGPC00148444,06-Jun-16,Hotels And Motels, RAMADA INN,"£5,800.42",,,,,,,,,,,
MODGPC00148444,01-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£5,794.00",,,,,,,,,,,
MODGPC00148444,10-Jun-16,Hotels And Motels, HOLIDAY INN,"£5,775.21",,,,,,,,,,,
MODGPC00148444,31-May-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£5,757.88",,,,,,,,,,,
MODGPC00148252,02-Jun-16,Other Supplies, MISC SPECIALTY RETAIL,"£5,749.00",,,,,,,,,,,
MODGPC00148445,28-Jun-16,Transportation, AIRPORTS/FIELDS/TERMINALS,"£5,744.53",,,,,,,,,,,
MODGPC00147221,15-Jun-16,Business To Business Facility/, CHEMICALS/ALLIED PRODS - DEF,"£5,724.58",,,,,,,,,,,
MODGPC00148444,06-Jun-16,Hotels And Motels, HOTELS/MOTELS/RESORTS,"£5,696.93",,,,,,,,,,,
