Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,Amount,Contract Number,Publish/Redact,Project Code
,,07/11/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,PUBLIC,B13 8JL,ERS-507511-81920,30408,,Publish,
,,07/11/2013,Research & development,DG: RDD,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,PUBLIC,CT1 3NG,ERS-507519-81893,38496.2,,Publish,
,,07/11/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-507524-81889,92613.5,,Publish,
,,07/11/2013,Research & development,DG: RDD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,PUBLIC,GL1 2EL,ERS-507528-81891,59471.3,,Publish,
,,11/11/2013,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000007849,38147.96,,Publish,
,,11/11/2013,Professional fees,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,0000007850,101558.4,,Publish,
,,26/11/2013,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,PUBLIC,FY7 8LG,ERS-508806-82881,4200308.55,,Publish,
,,11/11/2013,Research & development,DG: RDD,HEALTH EDUCATION ENGLAND T1510,PUBLIC,LS1 4PL,49291614,14540650,,Publish,
,,11/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,LANCASHIRE CARE NHS FOUNDATION TRUST,PUBLIC,PR5 6XT,HAFS-16178,2343000,,Publish,
,,11/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16179,340000,,Publish,
,,11/11/2013,Additions FT Financing Facility Loans,DG: CENTRAL TECHNICAL,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,TQ2 7AN,HAFS-16180,490000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,BARKING HAVERING & REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,HAFS-16181,181000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,HAFS-16182,700000,,Publish,
,,11/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,MID YORKSHIRE HOSPITALS NHS TRUST,PUBLIC,WF1 4TU,HAFS-16183,1500000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,PUBLIC,MK6 5LD,HAFS-16184,315000,,Publish,
,,11/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,PLYMOUTH HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,HAFS-16185,2500000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,PUBLIC,WD18 0BH,HAFS-16186,2743000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,BARKING HAVERING & REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,WF3 1WE,HAFS-16187,3600000,,Publish,
,,11/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,PUBLIC,WD18 0BH,HAFS-16188,1213000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,WHITTINGTON HOSPITAL NHS TRUST,PUBLIC,N19 5NF,HAFS-16217,4700000,,Publish,
,,12/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-507783-82121,42060.67,,Publish,
,,12/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-507797-82122,31971,,Publish,
,,12/11/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-507799-82125,58430.99,,Publish,
,,12/11/2013,Research & development,DG: RDD,VALE OF YORK CCG 03Q,PUBLIC,YO1 6GA,ERS-507802-82144,97102,,Publish,
,,12/11/2013,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-507803-82124,87295.83,,Publish,
,,12/11/2013,Revenue Grants to Other Bodies,DG: ERD,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,ERS-507807-82161,13118000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS FT Permenant,DG: CENTRAL TECHNICAL,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,PUBLIC,LA1 4GG,HAFS-16216,1000000,,Publish,
,,25/11/2013,Additions PDC Revenue Support NHS T Temporary,DG: CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,PUBLIC,TF6 6TF,HAFS-16215,3000000,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS T Permenant,DG: CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,PUBLIC,TF6 6TF,HAFS-16214,1621000,,Publish,
,,25/11/2013,Additions PDC Capital Support NHS FT Permenant,DG: CENTRAL TECHNICAL,ROYAL BERKSHIRE NHS FOUNDATION TRUST,PUBLIC,RG1 5AN,HAFS-16213,93000,,Publish,
,,13/11/2013,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,950046,5100000,,Publish,
,,13/11/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-507911-82322,100390,,Publish,
,,13/11/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-507913-82345,80905,,Publish,
,,13/11/2013,Research & development,DG: RDD,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,PUBLIC,BA1 3QE,ERS-507914-82329,25306.5,,Publish,
,,13/11/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-507916-82328,35000,,Publish,
,,13/11/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,PUBLIC,B13 8JL,ERS-507926-82344,46091,,Publish,
,,13/11/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-507930-82325,72655.38,,Publish,
,,13/11/2013,Research & development,DG: RDD,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,CH44 5UF,ERS-507934-82331,5720,,Publish,
,,13/11/2013,Research & development,DG: RDD,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,CH44 5UF,ERS-507934-82331,19460,,Publish,
,,13/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-508000-82381,38693,,Publish,
,,14/11/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-508031-82403,20775,,Publish,
,,14/11/2013,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-508031-82403,36364,,Publish,
,,14/11/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-508032-82450,145927,,Publish,
,,14/11/2013,Research & development,DG: RDD,BARTS HEALTH NHS TRUST R1H,PUBLIC,E1 8PR,ERS-508032-82450,109290,,Publish,
,,14/11/2013,Research & development,DG: RDD,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST RYW,PUBLIC,B13 8JL,ERS-508033-82449,33863,,Publish,
,,14/11/2013,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-508034-82402,40079,,Publish,
,,14/11/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-508035-82436,38525,,Publish,
,,14/11/2013,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-508035-82436,109090,,Publish,
,,14/11/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-508036-82406,464108,,Publish,
,,14/11/2013,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-508036-82406,197255,,Publish,
,,14/11/2013,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,PUBLIC,NW1 0PE,ERS-508038-82447,59767,,Publish,
,,14/11/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-508039-82433,100000,,Publish,
,,14/11/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-508039-82433,91667,,Publish,
,,14/11/2013,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-508039-82433,97231,,Publish,
,,14/11/2013,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SW10 9NH,ERS-508040-82422,39089,,Publish,
,,14/11/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-508041-82418,164591,,Publish,
,,14/11/2013,Research & development,DG: RDD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,PUBLIC,WC1N 3JH,ERS-508041-82418,30065,,Publish,
,,14/11/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-508042-82411,271724,,Publish,
,,14/11/2013,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-508042-82411,205208,,Publish,
,,14/11/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-508043-82438,118911,,Publish,
,,14/11/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-508043-82438,1934031,,Publish,
,,14/11/2013,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-508043-82438,486503,,Publish,
,,14/11/2013,Research & development,DG: RDD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,SE5 9RS,ERS-508045-82412,54003,,Publish,
,,14/11/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-508048-82423,130544,,Publish,
,,14/11/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-508048-82423,224552,,Publish,
,,14/11/2013,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,ERS-508048-82423,1020,,Publish,
,,14/11/2013,Research & development,DG: RDD,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,PUBLIC,M21 9UN,ERS-508050-82446,60217,,Publish,
,,14/11/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-508052-82419,196218,,Publish,
,,14/11/2013,Research & development,DG: RDD,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-508052-82419,89481,,Publish,
,,14/11/2013,Research & development,DG: RDD,NHS BLOOD AND TRANSPLANT (NHSBT),PUBLIC,LS15 7TW,ERS-508054-82445,107347,,Publish,
,,14/11/2013,Research & development,DG: RDD,NHS Cambridgeshire and Peterborough CCG 06H,PUBLIC,CB2 8FH,ERS-508055-82451,44160,,Publish,
,,14/11/2013,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-508057-82414,49392,,Publish,
,,14/11/2013,Research & development,DG: RDD,NORTH BRISTOL NHS TRUST,PUBLIC,BS1 2NP,ERS-508058-82432,56443,,Publish,
,,14/11/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-508060-82435,121090,,Publish,
,,14/11/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-508060-82435,104288,,Publish,
,,14/11/2013,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,NG7 2UK,ERS-508060-82435,119900,,Publish,
,,14/11/2013,Research & development,DG: RDD,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-508061-82408,70012,,Publish,
,,14/11/2013,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,PUBLIC,OX4 2GX,ERS-508062-82417,85037,,Publish,
,,14/11/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-508063-82428,451391,,Publish,
,,14/11/2013,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 7HE,ERS-508063-82428,67969,,Publish,
,,14/11/2013,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,PUBLIC,UB9 6JH,ERS-508065-82426,172062,,Publish,
,,14/11/2013,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,PUBLIC,UB9 6JH,ERS-508065-82426,113386,,Publish,
,,14/11/2013,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-508066-82407,72438,,Publish,
,,14/11/2013,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-508067-82421,109384,,Publish,
,,14/11/2013,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,PUBLIC,L7 8XP,ERS-508067-82421,44709,,Publish,
,,14/11/2013,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,PUBLIC,M6 8HD,ERS-508068-82416,60343.75,,Publish,
,,14/11/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-508069-82410,107065,,Publish,
,,14/11/2013,Research & development,DG: RDD,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-508069-82410,51383,,Publish,
,,14/11/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-508070-82430,332814,,Publish,
,,14/11/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-508070-82430,942482,,Publish,
,,14/11/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-508070-82430,83333,,Publish,
,,14/11/2013,Research & development,DG: RDD,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-508070-82430,86151,,Publish,
,,14/11/2013,Research & development,DG: RDD,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-508073-82404,20357,,Publish,
,,14/11/2013,Research & development,DG: RDD,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-508073-82404,81818,,Publish,
,,14/11/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-508074-82427,72727,,Publish,
,,14/11/2013,Research & development,DG: RDD,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-508074-82427,158012,,Publish,
,,14/11/2013,Research & development,DG: RDD,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-508075-82420,241609,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-508076-82425,499297,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-508076-82425,100000,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-508077-82424,109362,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-508077-82424,165929,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,ERS-508078-82415,55865,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-508079-82409,168076,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-508079-82409,166667,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-508079-82409,121910,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-508079-82409,105503,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-508080-82401,116170,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-508080-82401,88641,,Publish,
,,14/11/2013,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS99 1YF,ERS-508080-82401,166666,,Publish,
