Departmental Family,Departmental Entity,Date,Expence Type,Supplier,Transaction Number, Amount ,PO Line Description,Supplier site postcode,Supplier Type,Contract Number,Project Code,Expence Type
,,05/01/2016,Research & development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-549312-114921," 14,088 ",HTA Commissioned Research,BS99 1YF,PUBLIC,,,
,,05/01/2016,Service charge,COMPUTACENTER UK LTD,3880713762, -   ,"Revenue: 2015/16 Spine 2 Computacentre - MS3  Integration testing with NHS Applications	 ",AL10 9TW,LARGE,,,
,,05/01/2016,Service charge,COMPUTACENTER UK LTD,3880713762, -   ,"Revenue: 2015/16 Spine 2 Computacentre - MS4 - Pilot/ User Testing	 ",AL10 9TW,LARGE,,,
,,05/01/2016,Service charge,COMPUTACENTER UK LTD,3880713762," 43,200 ","Revenue: 2015/16 Spine 2 Computacentre - Milestone 1 - Smartcard Varient	 ",AL10 9TW,LARGE,,,
,,05/01/2016,Service charge,COMPUTACENTER UK LTD,3880713762," 86,400 ","Revenue: 2015/16 Spine 2 Computacentre - Milestone 2 - Integration Testing between all Consumables	 ",AL10 9TW,LARGE,,,
,,05/01/2016,Service charge,COMPUTACENTER UK LTD,3880713762," 28,800 ","Revenue: 2015/16 Spine 2 Computacentre -MS5 - Security Testing	 ",AL10 9TW,LARGE,,,
,,05/01/2016,Essential Meds SPG - Additions,WOCKHARDT UK LTD,GB879679725," 1,882,220 ",,,LARGE,,,
,,05/01/2016,Research & development,BRISTOL UNIVERSITY OF,ERS-549301-114926," 55,495 ",Cancer - Prostate,BS8 1TH,PUBLIC,,,
,,05/01/2016,Research & development,CAMBRIDGE UNIVERSITY OF,ERS-549303-114927," 35,087 ",Cancer - Prostate,CB2 1TN,PUBLIC,,,
,,05/01/2016,Research & development,CAMBRIDGE UNIVERSITY OF,ERS-549303-114927," 4,262 ",HTA Researcher Lead,CB2 1TN,PUBLIC,,,
,,05/01/2016,Research & development,DUNDEE UNIVERSITY OF,ERS-549304-114928," 25,562 ",HTA Commissioned Research,DD1 4HN,PUBLIC,,,
,,05/01/2016,Research & development,OXFORD UNIVERSITY OF,ERS-549309-114931," 51,245 ",Cancer - Prostate,OX1 2XN,PUBLIC,,,
,,05/01/2016,Outsourcing Contract,ACTICA CONSULTING LTD,6375," 69,000 ",Business case development with Buckinghamshire Healthcare NHS Trust,GU2 7RF,SME,,,
,,05/01/2016,Outsourcing Contract,ACTICA CONSULTING LTD,6375," 34,500 ",Business case development with Cambridge University Hospitals NHS Foundation Trust,GU2 7RF,SME,,,
,,05/01/2016,Outsourcing Contract,ACTICA CONSULTING LTD,6375," 69,000 ",Business case development with Maidstone and Tunbridge Wells NHS Trust,GU2 7RF,SME,,,
,,05/01/2016,Outsourcing Contract,ACTICA CONSULTING LTD,6375," 69,000 ",Business case development with Royal Wolverhampton NHS Trust,GU2 7RF,SME,,,
,,06/01/2016,Professional fees,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),22010," 251,841 ",NHS Pensions BSA 2015 - 16,NE1 6SN,PUBLIC,,,
,,06/01/2016,Professional fees,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,71707," 55,000 ",Regional Mental Health Act Approval Panels :Panel 2 period of 01-04-15 to 31-03-2016 CPA NO. 513790,DN4 8QN,PUBLIC,,,
,,06/01/2016,Rent of Land & Buildings (non-PFI operating lease),JONES LANG LASALLE,710700," 6,792 ","Harrington House, Stoke Mandeville",E14 5EG,SME,,,
,,06/01/2016,Rent of Land & Buildings (non-PFI operating lease),JONES LANG LASALLE,710700," 52,212 ",REG210 - Harrington House - Jones Lang LaSalle - rent,E14 5EG,SME,,,
,,06/01/2016,Contractor/Staff Substitution,Optevia Ltd,DFH022," 204,000 ",Contact Replacement (SCRIBE) - Exception Report,ME18 5JH,SME,,,
,,06/01/2016,Outsourcing Contract,NHS CONFEDERATION,14647," 30,000 ",MOD - NHSE CV4,LS10 1JR,PUBLIC,,,
,,06/01/2016,Essential Meds SPG - Additions,ACTAVIS UK LTD,GB192384542," 666,241 ",,,LARGE,,,
,,06/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 60,000 ",,,SME,,,
,,06/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 71,310 ",,,SME,,,
,,06/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 60,000 ",,,SME,,,
,,06/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 35,000 ",,,SME,,,
,,06/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 35,000 ",,,SME,,,
,,06/01/2016,Revenue Grants to non-profit institutions,THE FIT FOR WORK TEAM,ERS-549417-115161," 45,250 ",SP Fit For Work Grants Payment Q1-Q4 15/16,LE1 5SN,SME,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NATIONAL HOUSING FEDERATION,ERS-549411-115082," 45,250 ",SP National Housing Federation SPP009 2015/16,WC1V 6NY,SME,,,
,,06/01/2016,Revenue Grants to non-profit institutions,THE NATIONAL CARE FORUM,ERS-549379-115042," 37,132 ",SP National Care Forum Grants Payment Q1-Q4 15/16,CV1 2DY,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NACRO,ERS-549377-115021," 45,250 ",Strategic Partner NACRO Grants Payment 2015/16,B6 4US,VCS,,,
,,06/01/2016,Outsourcing Contract,Research Fish Ltd,201505A," 3,000 ",NHS CfH - Research Capability Programme ( E-health ),CB4 0WS,SME,,,
,,06/01/2016,Outsourcing Contract,Research Fish Ltd,201505A," 54,000 ",NHS CfH - Research Capability Programme ( E-health ),CB4 0WS,SME,,,
,,06/01/2016,Revenue Grants to non-profit institutions,HENRY,ERS-549422-115181," 37,780 ",HSCVF 2013/National/001 Henry: A Healthier start in life 2015-16 Award,OX29 4BD,SME,,,
,,06/01/2016,Revenue Grants to non-profit institutions,VOLUNTARY ORGANISATION NETWORK NORTH EAST (VONNE),ERS-549418-115162," 49,798 ",2015/009 Strategic Partner Payment - VONNE (Regional Voices),NE1 6SU,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NATIONAL COUNCIL FOR VOLUNTARY YOUTH SERVICES,ERS-549416-115141," 45,250 ",SP National Council for Voluntary Youth Service Grants Payment Q1-Q4 15/16,N1 6DZ,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,UK HEALTH FORUM,ERS-549414-115121," 55,000 ",SP UK Health Forum SPP015 2015/16,EC4Y 8JX,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,ROYAL MENCAP SOCIETY,ERS-549412-115101," 45,245 ",SP Royal Mencap Society Grants Payment Q1-Q4 15/16,EC1Y 0RT,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,DISABILITY RIGHTS UK,ERS-549410-115081," 45,250 ",SP Disability Rights UK Q1-Q4 Payment,EC1V 8AF,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,VOLUNTEERING MATTERS,ERS-549409-115062," 47,500 ",SP Community Service Volunteers Q1-Q4 Payment,N1 9NJ,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NATIONAL VOICES,ERS-549408-115061," 50,000 ",SP National Voices SPP010 2015/16,EC4Y 8EE,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,LGBT Foundation,ERS-549407-115052," 46,500 ",SP LGBT Foundation Q1-Q4 Payment,M1 3HF,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,THE MENS HEALTH FORUM,ERS-549405-115051," 46,250 ",SP Men's Health Forum Grants Payment Q1-Q4 15/16,SE1 0EH,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,RACE EQUALITY FOUNDATION,ERS-549404-115050," 45,250 ",SP Race Equality Foundation SPP008 2015/16,NW5 1LB,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,DISABLED LIVING FOUNDATION,ERS-549385-115048," 37,140 ","IESD 2013-14, AIMS 2555588, DISABLED LIVING FOUNDATION, REABLEMENT APPS SUITE",W6 9EJ,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,AGE UK,ERS-549384-115047," 28,213 ",IESD 54149273 2014/15 - Eatwell and Livewell,BD1 2AY,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,MENTAL HEALTH PROVIDERS FORUM,ERS-549383-115046," 45,250 ",SP Mental Health Provider Forum Grants Payment Q1-Q4 15/16,EC1V 9BE,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NATIONAL ASSOCIATION OF VOLUNTARY AND COMMUNITY ACTION,ERS-549382-115045," 45,250 ",SP NAVCA SPP014 Payment 15/16,S1 4QL,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,NATIONAL CHILDRENS BUREAU LTD,ERS-549381-115044," 45,250 ",SP National Childrens Bureau Grants Payment Q1-Q4 15/16,EC1V 7QE,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-549380-115043," 45,250 ",SP National Council for Palliative Care NCPC SPP019 2015/16,N7 9AS,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,CARERS UK,ERS-549378-115041," 48,750 ",2015/16 Strategic Partner Payments - Carers UK,SE1 4LX,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,DIABETES UK LTD,ERS-549376-115022," 48,622 ",HSCVF 2013-14 - 2013/N/009 - Diabetes UK - Patient Leaders improving Diabetes,NW1 7AA,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,WOMEN'S RESOURCE CENTRE,ERS-549375-115002," 45,250 ",SP Women's Health Equality Consortium WHEC Q1-Q4 Payment,N7 9DP,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,LIFELINE COMMUNITY PROJECTS,ERS-549374-115001," 43,574 ",SP Faith Action Lifeline CP Q1-Q4 Payment,RM8 3QS,VCS,,,
,,06/01/2016,Revenue Grants to non-profit institutions,AGE UK,ERS-549373-114981," 37,500 ",SP AGE UK Grants Payment Q1-Q4 15/16,SW16 4ER,VCS,,,
,,07/01/2016,Outsourcing Contract,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6288981," 208,850 ",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0077375," 133,333 ",Advisory Costs,GU16 5UJ,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0077375," 1,520,000 ",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0077375," 164,167 ",PMO Costs,GU16 5UJ,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078184," 133,333 ",Advisory Costs,GU16 5UJ,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078184," 1,520,000 ",Implementation of Heatherwood Operational Efficiency - Frimley,GU16 5UJ,PUBLIC,,,
,,07/01/2016,DH Support to Mergers,FRIMLEY HEALTH NHS FOUNDATION TRUST,N0078184," 164,167 ",PMO Costs,GU16 5UJ,PUBLIC,,,
,,07/01/2016,Addition Clearing - SW LIC,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210020024," 78,834 ","Capital: 2015/16 NME LSP Hull & East Yorkshire Hospital  NHS Trust Lorenzo reimbursement costs					",HU16 5JQ,PUBLIC,,,
,,07/01/2016,Service charge,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210020024," 192,250 ","Revenue: 2015/16 NME LSP Hull & East Yorkshire Hospital  NHS Trust Lorenzo reimbursement costs					",HU16 5JQ,PUBLIC,,,
,,07/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000074," 1,115,903 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,07/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000075," 564,787 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,07/01/2016,Outsourcing Contract,NHS SUPPLY CHAIN,9046000076," 979,270 ",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st September 2015 to 31st March 2016,DE55 4QJ,PUBLIC,,,
,,07/01/2016,Outsourcing Contract,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-466," 294,331 ",April 15 - March 16 CCN Charges,SL1 2EJ,LARGE,,,
,,07/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10295," 42,774 ","Revenue :  2015/16 Spine 2 Intechnology - Core Hosting Charges £56,710 per month",HG3 1UG,SME,,,
,,07/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10296," 25,278 ","Revenue :  2015/16 Spine 2 Intechnology - Core Hosting Charges £56,710 per month",HG3 1UG,SME,,,
,,07/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10298," 76,167 ","Revenue: 2015/16 Intechnology SUS Spine INT1 CCN031 - Extension To Order Form & Inclusion of SUS hosting Services 	 ",HG3 1UG,SME,,,
,,07/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10312," 35,552 ","Revenue: 2015/16 Intechnology SUS Spine INT1 CCN031 - Extension To Order Form & Inclusion of SUS hosting Services 	 ",HG3 1UG,SME,,,
,,07/01/2016,Service charge,INTECHNOLOGY LTD,ISIN10313," 63,963 ","Revenue: 2015/16 Intechnology SUS Spine INT1 CCN031 - Extension To Order Form & Inclusion of SUS hosting Services 	 ",HG3 1UG,SME,,,
,,07/01/2016,Revenue Grants to non-profit institutions,Northern Health Science Alliance Ltd,ERS-549430-115221," 200,000 ",2015/021 Northern Health Science Alliance - Connected Health Cities,M2 4PD,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,WOCKHARDT UK LTD,GB879679725," 33,040 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,WOCKHARDT UK LTD,GB879679725," 67,652 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,WOCKHARDT UK LTD,GB879679725, 4 ,,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,BRISTOL LABORATORIES LTD,GB710370970," 35,937 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,BRISTOL LABORATORIES LTD,GB710370970," 83,224 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,BRISTOL LABORATORIES LTD,GB710370970," 215,676 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,BRISTOL LABORATORIES LTD,GB710370970," 877,255 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,ACCORD HEALTHCARE LTD,GB894350693," 1,466,909 ",,,LARGE,,,
,,07/01/2016,Essential Meds SPG - Additions,SIGMA PHARMACEUTICALS PLC,GB225928057," 75,000 ",,,SME,,,
,,07/01/2016,ENDPBs Admin Capital Grant in Aid,HOMES AND COMMUNITIES AGENCY (HCA),S0011661," 3,413,746 ",HCA - CASSH Fund Capital Payments 15/16,NE11 0NA,PUBLIC,,,
,,07/01/2016,Research & development,SOUTHAMPTON UNIVERSITY OF,44176976," 3,933,397 ",NETS-CC Management,SO17 1BJ,PUBLIC,,,
,,07/01/2016,Outsourcing Contract,SOUTHAMPTON UNIVERSITY OF,44177139," 302,949 ",NIHR Centre for Reviews and Dissemination (NCD),SO17 1BJ,PUBLIC,,,
,,07/01/2016,Revenue Grants to non-profit institutions,Breast Cancer Campaign and Breakthrough Breast Cancer,ERS-549459-115261," 38,758 ",2013-14 IESD -AIMS ref: 2560717- Breakthrough Breast Cancer - project: Embedding patient partnership and service improvement through the service pledge,EC3N 1DY,VCS,,,
,,07/01/2016,Revenue Grants to non-profit institutions,NESTA,ERS-549446-115241," 77,000 ",2014/059 Nesta - Helping in Hospitals Young People,EC4A 1 DE,SME,,,
,,08/01/2016,Outsourcing Contract,ATOS IT SOLUTIONS AND SERVICES LTD,5584204251," 20,974 ",PPR0182  - Managed Agency Service  From 1 Apr 2015 - 31 Mar 2016,WS11 0JA,LARGE,,,
,,08/01/2016,Service charge,BT GROUP PLC,401240," 49,109 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,08/01/2016,Service charge,BT GROUP PLC,402636," 133,806 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,08/01/2016,Service charge,BT GROUP PLC,402640," 282,897 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,08/01/2016,Service charge,BT GROUP PLC,402714," 114,698 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,08/01/2016,Service charge,BT GROUP PLC,402800," 113,729 ",Revenue: 2015/16 LSP London Bt,NW9 6LB,LARGE,,,
,,08/01/2016,Addition Clearing - SW LIC,CSA WAVERLEY LTD,IN662367," 47,904 ","Capital: 2015/16  Spine 2 - CSA Waverley Type 1 Server x 16	 ",HP10 0AB,SME,,,
,,08/01/2016,Addition Clearing - SW LIC,CSA WAVERLEY LTD,IN662367," 81,984 ","Capital: 2015/16 Spine 2 - CSA Waverley - Disks - 900G 6G SAS 10K rpm SFF 2.5? (compatible with specified servers) x 224	 ",HP10 0AB,SME,,,
,,08/01/2016,Addition Clearing - SW LIC,CSA WAVERLEY LTD,IN662367," 16,006 ","Capital: 2015/16 Spine 2 - CSA Waverley - Management Switch Cisco 3850X 24- port LANBase single power supply WS-C3850-24T-L  x8	 ",HP10 0AB,SME,,,
,,08/01/2016,Addition Clearing - SW LIC,CSA WAVERLEY LTD,IN662367," 90,384 ",Capital: 2015/16 Spine 2 - CSA Waverley Type 3 Server x 28,HP10 0AB,SME,,,
,,08/01/2016,Revenue Grants to non-profit institutions,Care England,ERS-549486-115281," 113,000 ",2015/028 Care England - Teaching Care Homes - delivering innovation in care,E1 7LS,VCS,,,
,,08/01/2016,Outsourcing Contract,ANTHONY NOLAN TRUST,55664," 224,825 ",Improving patient outcomes through stem cell transplantation 2015/16,NW3 2NU,VCS,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,HAFS-19148," 5,067,000 ",,S75 2PY,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,BARTS HEALTH NHS TRUST,HAFS-19149," 25,000,000 ",,E1 8PR,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,BURTON HOSPITALS NHS FOUNDATION TRUST,HAFS-19150," 1,651,000 ",,DE13 0RB,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-19151," 12,994,000 ",,CB2 2QQ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,CROYDON HEALTH SERVICES NHS TRUST,HAFS-19152," 2,500,000 ",,CR7 7YE,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,DERBY HOSPITALS NHS FOUNDATION TRUST,HAFS-19153," 6,806,000 ",,DE1 2QY,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,EAST SUSSEX HEALTHCARE NHS TRUST,HAFS-19154," 2,000,000 ",,TN37 7PT,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-19155," 500,000 ",,CV10 7DJ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Capital Investment Loans,GEORGE ELIOT HOSPITAL NHS TRUST,HAFS-19156," 1,000,000 ",,CV10 7DJ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,HAFS-19157," 3,900,000 ",,SN3 6BB,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,HINCHINGBROOKE HEALTH CARE NHS TRUST,HAFS-19158," 2,348,000 ",,PE29 6NT,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-19159," 12,100,000 ",,NN16 8UZ,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Capital Investment Loans,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-19160," 7,657,000 ",,NN16 8UZ,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,LEEDS TEACHING HOSPITAL NHS TRUST,HAFS-19161," 5,500,000 ",,LS9 7TF,PUBLIC,,,
,,11/01/2016,Additions NHS FTs Working Capital Loans,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,HAFS-19162," 2,000,000 ",,L8 7SS,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,LONDON NORTH WEST HEALTHCARE NHS TRUST,HAFS-19163," 3,666,000 ",,M20 4BX,PUBLIC,,,
,,11/01/2016,Additions NHS Trust Working Capital Loans,MAIDSTONE & TUNBRIDGE WELLS NHS TRUST,HAFS-19164," 2,000,000 ",,ME16 9QQ,PUBLIC,,,
