DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,SUPPLIER_OBS_TYPE,EXPENSE_AREA,SUPPLIER_OBS_TYPE_1,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Exmoor National Park Authority,81211,866300.00,Grant-In Aid Payment  - Exmoor National Park ,TA22 9HL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,New Forest National Park Auth,81211,905393.00,Grant-In Aid Payment - New Forest National Park,SO43 7BD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Dartmoor National Park Authority,81211,983008.00,Grant-In Aid Payment - Dartmoor National Park Authority,TQ13 9JQ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Broads Authority,81211,1000538.00,Grant-In Aid Payment - Boards Authority,NR3 1UB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,North York Moors National Park,81211,1084119.00,Grant-In Aid Payment  - North York Moors National Park,YO62 5BP,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Yorkshire Dales National Authority,81211,1191418.00,Grant-In Aid Payment - Yorkshire  Dales National Park Authority,DL8 3EL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,Local Authority,Environment and Rural Group,Local Authority,Lake District National Park Auth,81211,1587300.00,Grant-In Aid Payment - Lake District National Park,LA9 7RL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Grants E,OGD,Environment and Rural Group,OGD,South Downs National Park Authority,81211,4162791.00,Grant-In Aid Payment - South Downs National Park ,GU29 9SB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Joint Nature Conservation Committee,90112,754000.00,Grant-In Aid Payment  for Joint Nature Conservation Committee,PE1 1JY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments (Evidence R&D),OPB - Other,Environment and Rural Group,OPB - Other,Meteorological Office,100112,32587.90,SCIENTIFIC SUPPORT FOR National Infrastructure Plan,EX1 3PB,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Oxford City Council,100112,35000.00,AIR QUALITY GRANT SCHEME- Oxford City Council,OX1 1DF,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Sheffield City Council,100112,40000.00,AIR QUALITY GRANT SCHEME - Sheffield City Council,S9 2DB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Southampton City Council,100112,40000.00,AIR QUALITY GRANT SCHEME Southampton City Council,SO14 7NR,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Wigan Council,100112,50950.00,AIR QUALITY GRANT SCHEME Wigan Council,WN1 1DD,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Bradford Metropolitan District Council,100112,102000.00,AIR QUALITY GRANT SCHEME Bradford Council,DB1 5RW,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Birmingham City Council,100112,120000.00,AIR QUALITY GRANT SCHEME Birmingham City Council,B24 9RX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Malvern Hills AONB,110112,93975.00,MALVERN HILLS AREA OF NATURAL BEAUTY GRANT,WR5 2NP,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Evidence Non R&D,Supplier,Environment and Rural Group,Supplier,National Physical Laboratory,110653,27062.40,HEAVY METAL MONITORING DEC 11,TW11 0LW,SME,14769,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,National Physical Laboratory,110654,36457.00,DEFRACTILE NUMBER AND COMPOSITION MONITORING CONTRACT,TW11 0LW,SME,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,13/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,120112,15000000.00,SUPPLEMENTARY GRANT IN AID PAYMENT FOR NATURAL ENGLAND ,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Dedham Vale ANOB,130112,95090.00,Dedham Vale AREA OFOUTSTANDING NATURAL BEAUTY,IP1 2DH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,North Yorkshire County Council,170112,93423.71,GRANT - HOWARDIAN AREA OF NATURAL BEAUTY HILLS,DL7 8AL,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Non Supplier,Environment and Rural Group,Non Supplier,Wye Valley AONB,170112,111742.00,WYE VALLEY AREA OF OUTSTANDING NATURAL BEAUTY,NP25 3NG,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,East Devon AONB,190112,132474.00,EAST DEVON AREA OF OUTSTANDING NATURAL BEAUTY,EX10 8HL,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments E,Local Authority,Environment and Rural Group,Local Authority,Suffolk Coast & Heaths AONB,190112,143143.05,SUFFOLK COAST AND HEATHS AREA OF NATURAL BEAUTY,IP1 2DH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,191211,19000000.00,GRANT-IN-AID PAYMENT  - NATURAL ENGLAND JANUARY 2012,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Current Subsidies To Public Corporations,Defra NDPB,Environment and Rural Group,Defra NDPB,British Waterways,201211,4654000.00,BRITISH WATERWAY GRANT CLAIM JANUARY,LS9 8PB,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Leicester City Council,230112,25000.00, AIR QUALITY GRANT SCHEME-CITY OF LONDON,LE1 6ZG,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Swale Borough Council,230112,25824.00, AIR QUALITY GRANT SCHEME-SWALE COUNCIL,ME10 3HT,,,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Supplier,Environment and Rural Group,Supplier,City Of London,230112,26750.00,ADDITIONAL AIR QUALITY GRANT SCHEME CITY OF LONDON ,EC2P 2EJ,SME,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,South Northamptonshire Council,230112,30000.00,ADDITIONAL AIR QUALITY GRANT SCHEME - SOUTH NORTHAMTONSHIRE COUNCIL,NN12 6AE,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,London Borough Of Merton,230112,30000.00,ADDITIONAL AIR QUALITY GRANT SCHEME LONDON BOROUGH OF MERTON,SM4 5DX,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Rotherham Metropolitan Borough Council,230112,30000.00,ADDITIONAL AIR QUALITY GRANT SCHEME ROTHERHAM METROPOLITAN COUNCIL,S60 1AE,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Chichester District Council,230112,30300.00,ADDITIONAL AIR QUALITY GRANT SCHEME CHICHESTER COUNCIL,PO19 1TY,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Southampton City Council,230112,41300.00,ADDITIONAL AIR QUALITY GRANT SCHEME SOUTHAMPTON CITY COUNCIL,SO14 7NR,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,London Borough Of Wandsworth,230112,62000.00,ADDITIONAL AIR QUALITY GRANT SCHEMELONDON BOROUGH OF WANDSWORTH,SW18 2PU,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Mid Devon District Council,230112,70000.00,ADDITIONAL AIR QUALITY GRANT SCHEME MID DEVON DISTRICT COUNCIL,EX16 6PP,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,London Borough Of Ealing,230112,100000.00,ADDITIONAL AIR QUALITY GRANT SCHEME LONDON BOROUGH OF EALING,W5 2HL,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Norfolk Coast AONB,230112,108214.79,NORFOLK COAST AREA OF NATURAL BEAUTY ,NR1 2SG,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Capital LA Grant E,Local Authority,Environment and Rural Group,Local Authority,Stockport Metropolitan Borough Coun,230112,141000.00,ADDITIONAL AIR QUALITY GRANT SCHEME STOCKPORT,SK1 3XE,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,The National Forest Co,230112,164578.00,NATIONAL FORESTRY COMPANY PROGRAMME EXPENDITURE FEBRUARY 2012,DE12 6BD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Natural England,230112,17000000.00,GRANT IN AID PAYMENT NATURAL ENGLAND FEB 12,YO1 7PX,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Marine Management Organisation,291211,3400000.00,GRANT IN AID PAYMENT TO MARINE MANAGEMENT ORGANISATION JANUARY 12,NE4 7YH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Defra NDPB,Environment and Rural Group,Defra NDPB,Environment Agency,1139550,39000.00,Collaborative Agreement to Managing Mining Pollution for the Water Framework Directive .,BS32 4UD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments UK,Public Body,Environment and Rural Group,Public Body,Cranfield University,1330373,30812.50,CONTRACT CLIMATE CHANGE ADAPTATION REPORTING POWER,MK45 4DT,,Exempt,RPSGCOMM,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Health Protection Agency,5351401,177600.00,DEVELOPMENT OF A UK HANDBOOK FOR CHEMICAL INCIDENTS,SP4 0JG,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6145933,28803.00,CHARGES BASELINE MEASUREMENT UK Stratospheric Ozone and Spectral Ultra Violet,OX11 0QR,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,06/01/2012,Evidence Non R&D,Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146010,106141.20,QUALITY ASSURANCE. SERVICES DEC 11,OX11 0QJ,SME,10897,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,06/01/2012,Evidence Non R&D,Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146021,43754.00,Pollutant Release and Transfer Register Database Tools and Website,OX11 0QR,SME,14879,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6146318,106140.00,Services for the Automatic Urban and Rural Monitoring Networks DATABASE TOOLS AND WEBSITE,OX11 0QJ,SME,10897,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001588,26403.50,FUNDING QUARTER 3 ELEMENTS- UK-JAPAN RESEARCH COLLABORATION ON ENDOCRINE DISRUPTERS IN THE AQUATIC ENVIRONMENT,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,16/01/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001640,38900.05,RESEARCH and DEVELOPMENT Framework Agreement,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001645,29288.00,RESEARCH SUPPORTING THE EXTENDED SMARTBUOY NETWORK,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001650,30000.00,Predation and juvenile salmon populations ,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001676,2390166.63,JAN 2012 HIGH LEVEL AGREEMENT PAYMENT,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001677,179980.00,JOINT NATURE CONSERVATION COMMITTEE- JAN 12,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Evidence Non R&D,Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001678,116020.00,NATURAL ENGLAND FUNDING FOR JAN 2012,NR33 0HT,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments (Evidence R&D),Defra Executive Agency,Environment and Rural Group,Defra Executive Agency,C E F A S,8001697,90000.00,Improving Our Understanding of Climate Change in Relation to Marine Habitats and Species - 11/12,NR33 0HT,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Consultancy Non-Scheme,Supplier,Environment and Rural Group,Supplier,Bureau Veritas UK Ltd,11024742,47399.06,ACOUSTIC ADVISORY SERVICE-31/10/11-11/12/11,M20 2RE,,14350,0,Expense,
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments UK,Supplier,Environment and Rural Group,Supplier,Bureau Veritas UK Ltd,11024921,186086.40, Automatic Uban and Rural Network,SE1 2TX,,10892,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments UK,Supplier,Environment and Rural Group,Supplier,Bureau Veritas UK Ltd,12000727,172023.60,MGT FOR AUTO - Air quality data base management of the Automatic Uban and Rural Network,SE1 2TX,,10892,AQNONRDX,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Current Grants E,Public Body,Environment and Rural Group,Public Body,Lacors,40401259,25630.20,GAS AND OZONE ENFORCEMENT WORK -OCTOBER,SW1P 3HZ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,18/01/2012,Current Grants E,Public Body,Environment and Rural Group,Public Body,Lacors,40401261,29642.59,GAS AND OZONE ENFORCEMENT WORK -NOVEMBER ,SW1P 3HZ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments E,Supplier,Environment and Rural Group,Supplier,Local Partnerships LLP,41100845,241300.62, TRANSACTOR SUPPORT FOR DEC 2011,EC1M 5LG,SME,14265,WLASUCON,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,University Of Southampton,44098232,33957.00,REVIEW OF LANDSCAPE SCALE APPROACHES TO CONSERVATION and ADAPTATION,SO17 7BJ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,06/01/2012,Overhead Incidental Expenses,Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,614602026,92212.00,MONITORING NETWORKS OCT-DEC 11,OX11 0QR,SME,12696,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,NERC Proudman Oceanographic Laboratory,7060001576,400000.00, OCEAN ACIDIFICATION FUNDING ,L3 5DA,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,NERC Proudman Oceanographic Laboratory,7060001840,400000.00,Natural Environment Research Council Renewable Programme,SN2 1EU,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,Rothamsted Research.,7130001181,129342.00,Improved tolls to rationalise and support stewardship programmes forfungicides to control.,AL5 2JQ,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,Rothamsted Research.,7130001201,95270.50,PEST MANAGEMENT STRATEGY POLLEN BEETLE YR 4,AL5 2JQ,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,18/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,A E A Technology plc,6.15E+13,52808.00,AIR QUALITY CHARGES FOR DECEMBER 2012,OX11 0QR,SME,Exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Current Transfers Abroad UK,Supplier,Environment and Rural Group,Supplier,Global Bio Info Facility Sec,2012UK15,185937.78,Global Bio Information Facility Secretariat (GBIF Core Funds),,SME,,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,The Coal Authority,CA091336,407403.38,CHARGES FOR QUARTERLY JAN-MAR 2013 Operation of Wheal Jane and Management Fee,NG18 4RG,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,The Planning Inspectorate,CP005374,99475.73,Rights of Way and Planning Inspectorate. 3rd quarterly PINs charges Sept - Dec 2011-12,BS1 6PN,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,05/01/2012,Grant-in Aid Payments,Defra NDPB,Environment and Rural Group,Defra NDPB,Environment Agency,EAGIAJAN12,56000000.00,ENVIRONMENT AGENCY GRANT IN AID,BS32 4UD,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,ERS-491473-37510,26609.67, Variation - Heavy Metal,SN2 1EU,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,ERS-491477-37511,43257.24,2011/12 (G) -Terrrestrial Umbrella - Effects Of Acidification and Eutrophication On Terrestrial and Their Recovery,SN2 1EU,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),OGD,Environment and Rural Group,OGD,Centre For Ecology & Hydrology,ERS-491599-37516,37752.00,2011/12 - Critical Loads and Dynamic Modelling Umbrella Variation 2,SN2 1EU,,exempt,AQRDXXXX,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,British Geological Survey.,ERS-492042-37620,92313.91, 'Establishing Data on Normal/ Background Levels of Soil Contamination in England' (3/10/11 to 31/3/12),NG12 5GG,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments (Evidence R&D),Public Body,Environment and Rural Group,Public Body,Cranfield University,ERS-492045-37386,28535.00, 'Indicators of Soil Quality - Physical Properties' (17Oct2011 to 16Oct2012),MK43 0AL,,,0,Expense,
DEFRA,DEFRA ORGANISATION,27/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,United Nations Environment Prog,FUND9400UK131011,239275.59,United Nations Environment programme payment,100,,,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,H R Wallingford Ltd,HR044470,160395.80,Contract for HR Wallingford to deliver UK Climate Change Risk Assessment ,OX10 8BA,SME,exempt,CCRASSMT,Expense,
DEFRA,DEFRA ORGANISATION,10/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Environment and Rural Group,Non Supplier,H R Wallingford Ltd,HR044598,54192.00,UK CLIMATE CHANGE RISK ASSESSMENT SECTOR REPORTS,OX10 8BA,SME,exempt,CCRASSMT,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,OPB - Other,Environment and Rural Group,OPB - Other,Meteorological Office,I0079733,566000.00,Quarter 4 - Pitt Recommendation and Operation of the Flood Forecasting Centre,EX1 3PB,,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Other Current Payments E,OGD,Environment and Rural Group,OGD,Forest Research Agency,R0006978,27500.00,Slowing the Follow at Pickering - Phase 2,GU10 4LH,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,24/01/2012,Other Current Payments E,Supplier,Environment and Rural Group,Supplier,Cabi Bioscience (Egham),SI4928,79500.00,"QUARTER 3 BIOLOGICAL CONTROL OF CRASSULS, HIMALAYA and HYDROCOTYLE BIOCONTROL.",TW20 9TY,SME,exempt,INNWFDXX,Expense,
DEFRA,DEFRA ORGANISATION,30/01/2012,Other Current Payments E,Non Supplier,Environment and Rural Group,Non Supplier,Royal Society Of Wildlife Trusts,SIN004083,440000.00,FIRST INSTALMENT OF THE FRAMEWORK DIRECTIVE FUNDING GRANT,NG24 1WT,SME,Exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,20/01/2012,Current Transfers Abroad UK,Public Body,Environment and Rural Group,Public Body,R S P B,SLINV00021458,30000.00,HOOK POD PRODUCTION and AT SEA TRIALS IN SOUTH AFRICA 2012,SG19 2DL,,exempt,0,Expense,
DEFRA,DEFRA ORGANISATION,12/01/2012,Other Current Payments (Evidence R&D),Supplier,Environment and Rural Group,Supplier,S N I F F E R,SNO865,42000.00,Contract for Provision of Environmental Standards and Conditions Review,EH1 3AA,SME,15445,0,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Non Supplier,Food and Farming Group,Non Supplier,New Generation Biogas (NGB) Ltd,12,54914.03,High capacity small volume biogas for UK biogas production ,TQ9 5EU,SME,exempt,SFFS0005,Expense,
DEFRA,DEFRA ORGANISATION,13/01/2012,Payments to Agencies GB,Supplier,Food and Farming Group,Supplier,D L O Holding/Prionics AG,30258,176061.89,Payment for the purchase of Tuberculin,8952,,,0,Expense,
DEFRA,DEFRA ORGANISATION,23/01/2012,Payments to Agencies GB,Supplier,Food and Farming Group,Supplier,D L O Holding/Prionics AG,30437,195027.47,Payment for the purchase of Tuberculin,8952,,,0,Expense,
DEFRA,DEFRA ORGANISATION,26/01/2012,Evidence Non R&D,Supplier,Food and Farming Group,Supplier,Identigen Ltd,Dec-11,48485.90,Funding to private labs for the testing of TSE (Transmissible Spongiform Encephalopathies),NP10 8UL,SME,Exempt,TSE00963,Expense,
DEFRA,DEFRA ORGANISATION,03/01/2012,Other Current Payments (Evidence R&D),Public Body,Food and Farming Group,Public Body,University Of York,58256,32327.10,Inorganic Polymer Bio-composites (IPBC),YO10 5DD,,,0,Expense,
