Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/09/2014,ADDITIONS IT HARDWARE,PROJECT HARBOUR CAPITAL,KELWAY UK LTD,3000052293,63113.30,IT hardware for HM Treasury staff working in the Cabinet Office. All costs to be recovered from HM Treasury ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000052329,30545.47,Payment for interim staff working on GDS projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/09/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000052315,36339.26,Reprographic Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/09/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,CREATIVE CHOICE CIC,3000052354,25750.78,Managed services for the GDS transformation project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/09/2014,FM CONTRACT FIXED COSTS,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000052366,26723.04,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/09/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,BATES WELLS & BRAITHWAITE,3000052384,33500.00,Support to local authority transitioning to a public service mutual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/09/2014,SERVICE PAYMENTS,STERIA SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000052353,129309.52,Shared services costs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000052422,27003.58,"Interim Staff costs for the Next Generation Shared Service's 'Single Operating Platform', delivering a new single platform for Government Departments' finance and HR functions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,CRC ENERGY EFFICIENCY SCHEME ADDITIONS,SUSTAINABILITY DEVELOPMENT COSTS,DEPARTMENT OF ENERGY & CLIMATE CHANGE,3000052403,27096.00,Cabinet Office payment to CRC Energy Efficiency Scheme ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000052422,29497.32,Payment for interim staff working on GDS projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,GRANT FUND MANAGEMENT,CENTRE FOR SOCIAL ACTION,SOCIAL INVESTMENT BUSINESS,3000052409,54703.20,"Funding to support youth social action, rehabilitation, vulnerable & disengaged young people and community energy programmes ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,PRICEWATERHOUSE COOPERS LLP,3000052421,96507.00,"Support for the Independent Shared Sercvice Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,NON PRIME PROPERTY COSTS,GDS BUSINESS TECHNOLOGY,FOOD STANDARDS AGENCY,3000052401,106784.50,Rent for accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/09/2014,SUNNINGDALE PARK PFI SERVICE CHARGES,NSG TRANSITION COSTS,DE VERE VENUES LTD,3000052418,269391.62,PFI Service Charge for Sunningdale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/09/2014,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,CITIZENSHIP FOUNDATION,3000052444,50000.00,Delivery of the Go-Givers programme in primary schools and the Giving Nation programme in secondary schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/09/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000052427,394963.75,Adminstration services for the Royal Mail Statutory Pension Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/09/2014,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000052432,2944547.41,Civil Service pension administration services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,GENERAL OFFICE EXPENSES VAT NON-RECOVERABLE,BOUNDARY COMMISSION OF WALES,LOCAL DEMOCRACY & BOUNDARY COMMISSION FOR WALES,3000052500,25000.00,Boundary Commission for Wales funding ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,OFFICE FOR CIVIL SOCIETY,RETHINK RECRUITMENT SOLUTIONS LTD,3000052465,42540.00,Management support costs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,FM CONTRACT FIXED COSTS,ROSEBERY COURT FM CONTRACT,MITIE BUSINESS SERVICES LTD,3000052460,49299.23,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000052468,49727.41,"Support, maintenance and minor development costs of ePIMS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME GOVERNANCE LEAD,MYCSP LTD,3000052501,57357.86,MyCSP programme costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/09/2014,PUBLICITY ADVERTISING MEDIA,OCS NATIONAL CITIZEN SERVICE,M4C,3000052466,275837.57,Communications support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/09/2014,OTHER IS IT COSTS VAT RECOV,CERT,BT,3000052531,26488.26,IT network and support costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/09/2014,COST VARIANCE ACCOUNT,CERT,BT,3000052531,31206.72,IT network and support costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/09/2014,MANAGEMENT CONFERENCES,ISC SECRETARIAT,CALDER WORLD OF TRAVEL,3000052521,45970.08,Costs for Management Conferences held in London and Leeds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/09/2014,Rent for Accommodation in Aviation House,Estates Management,Food Standards Agency,PINDOH 40088,62899.00,Rent for Accommodation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/09/2014,Government e-Market Place Annual Subscription,IT Investment Projects,Procserve Shared Services Ltd,PINDOH 39279,175000.00,Government e-Market Place Annual Subscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/09/2014,Government e-Market Place MOD Build,IT Investment Projects,Procserve Shared Services Ltd,PINDOH 39280,220000.00,Government e-Market Place MOD Pilot Build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/09/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,THE SOCIAL INVESTMENT BUSINESS,3000052518,2429088.11,Grant to build the capacity of social ventures so they are better equipped  to access social investment and compete for and deliver public service contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/09/2014,PUBLICITY PRODUCTION COST,ERTP ERO CONFIRMATION & VERIFICATION,ENGINE PARTNERS UK LLP,3000052549,54929.00,Communications support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/09/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000052553,82996.83,Payment for interim staff working on GDS projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/09/2014,OTHER IS IT COSTS VAT RECOV,BUSINESS MANAGEMENT TEAM,MISCO COMPUTER SUPPLIES LTD,3000052562,86228.35,"IT hardware (laptops, devices and warranty costs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/09/2014,OTHER LEGAL FEES,ERG DEBT MARKET INTEGRATOR,DLA PIPER UK,3000052546,172294.70,Legal services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/09/2014,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,THOUGHTWORKS LTD,3000052563,296520.50,Payment for interim staff working on GDS projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),RICOH UK LTD,3000052575,32999.89,Reprographic Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000052599,40992.78,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,OPERATING LEASES - RENT,CARLTON GARDENS,BNP PARIBAS REAL ESTATE,3000052586,75000.00,Rent for accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,OPERATING LEASES - RENT,35 GREAT SMITH STREET,JONES LANG LASALLE LTD,3000052597,303600.00,Rent for accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000052599,547066.58,Facilities Management Services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/09/2014,CAPITAL GRANTS PRIV SEC - CDEL,COMMUNITY FIRST,COMMUNITY DEVELOPMENT FOUNDATION,3000052570,3637765.00,Endowment Match Challenge grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/09/2014,PRINT SERVICES,DEVOLUTION TEAM,THE LEAFLET COMPANY LTD,3000052648,133195.50,Communications support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
