Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KAREN LENNON,129446486,"47,044.80",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,METCALFE COPEMAN & PETTEFAR,129507663,"47,019.68",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,O'GARRAS SOLICITORS,129397222,"46,769.58",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BEN HOARE BELL LLP,129507992,"46,094.88",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ROBERT LIZAR SOLICITORS,129484959,"45,993.51",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,WILLIAMS & MITCHINSON,129411070,"45,754.52",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,LAURENCE LEE & CO,129498763,"44,318.28",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CHRISTOPHER R SALLON QC,129485900,"44,000.02",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ALLANSONS,129439012,"43,028.80",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,"NICOL, DENVIR & PURNELL SOLICITORS",129473225,"42,336.80",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,WOLLEN MICHELMORE,129456345,"41,796.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HAWORTH & GALLAGHER,129411243,"41,559.65",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HOWELLS LLP,129490385,"41,098.29",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,THACKRAY WILLIAMS LLP,129348072,"41,031.56",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CHRIS STEVENSON SOLICITORS,129514407,"39,809.42",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,IAN S UNSWORTH QC,129438834,"39,767.14",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SANDRA FISHER,129250742,"39,465.06",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,PAUL R GARLICK Q.C.,129398966,"39,402.00",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,TV EDWARDS LLP(ADVOCATE),129507471,"39,340.07",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,M K LAW SOLICITORS LTD,129508221,"39,041.39",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,PETER S L JOYCE Q.C.,129485502,"38,208.11",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HSCO SOLICITORS,129464081,"37,811.25",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,QUINN MELVILLE,129471876,"37,469.53",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HUGO D P LODGE,129411162,"37,325.04",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SIMON A PENTOL,129507181,"37,058.56",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HOGANS,129497794,"36,366.20",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,LOUISA COLLINS,129399188,"36,226.35",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SWINBURNE JACKSON LLP,129446402,"35,616.65",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,DAVID PHILLIPS & PARTNERS [ADVOCATE],129438698,"35,612.18",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,LLM SOLICITORS (LONDON) LTD,129440152,"35,598.13",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CLARKE KIERNAN,129507332,"35,570.36",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BARKER & CO,129440011,"35,487.40",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,YASMIN & SHAID SOLICITORS LTD,129463297,"35,467.20",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,A & N CARE SOLICITORS,128570404,"34,944.73",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,DAVID PHILLIPS & PARTNERS-CLAC,129490801,"34,784.89",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,STERNBERG REED SOLICITORS-ADVOCATE,129439719,"34,261.74",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ABR SOLICITORS,129472884,"34,155.24",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,FLINTSHIRE CAB,129492176,"34,107.72",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BERNARD G RICHMOND QC,129411794,"34,107.22",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JOHN PRICE Q.C.,129485519,"34,047.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,EBR ATTRIDGE,129508312,"33,186.10",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KBS SOLICITORS,129508408,"33,040.38",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JEREMY S DEIN,129438933,"32,409.46",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SWITALSKI'S LLP,129472637,"32,199.77",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MORGANS SOLICITORS,129490344,"32,159.60",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,EMILY R DRIVER,129189721,"32,076.39",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,RONALD FLETCHER BAKER LLP,129492553,"32,045.00",Legal Aid Payments: Crime Lower,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MARK JONES & PARTNERS,129507381,"31,423.36",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,WARNER GOODMAN LLP,129184684,"31,332.60",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CARTER OSBORNE & CO,129508121,"31,301.99",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BAILEY NICHOLSON GRAYSON [ADVOCATE],129411740,"31,160.94",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CAMERON BROWN,129507232,"30,900.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MARK R TRAFFORD,129497261,"30,776.29",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KATE V BRANIGAN Q.C.,129011813,"30,492.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,G T STEWART SOLICITORS,129439362,"29,951.14",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JACKSON QUINN,129471017,"29,681.44",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,RED KITE LAW LLP,128106780,"29,561.22",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SWITALSKI'S LLP,129422014,"29,378.37",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,L P EVANS SOLICITORS,129411886,"29,295.94",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SARAH O'KANE,129438712,"29,102.11",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MORDI & CO,129411857,"29,005.03",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,J C WROE & CO,129439007,"28,855.18",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SAMATHA J BOWCOCK,129469470,"28,680.00",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MICHAEL R BAILEY,129494693,"28,675.65",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,STEPHENSONS SOLICITORS LLP,129490212,"27,959.00",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MARK RAINSFORD QC,129473670,"27,863.02",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHAHID RASHID,129438562,"27,773.94",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,S ORLANDO F POWNALL QC,129411782,"27,714.65",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KTP INC. MERLIN PHILLIPS,129299778,"27,598.08",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ANDREW KEENAN & CO,129439838,"27,411.46",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,HOWELLS LLP.,129490647,"27,272.50",Legal Aid Payments: Legal Help,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JAMES H H TILLYARD QC,Ledger Transfer Adjustment 184,"27,177.75",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHARRATTS SOLICITORS   LTD,129512169,"27,131.28",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHEARMAN BOWEN & CO,129464120,"26,787.89",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,SHAW GRAHAM KERSH,129411690,"26,349.66",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,CAMPBELLS CHAMBERS,129473049,"26,328.18",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BROMLEYS SOLICITORS LLP,129399615,"26,227.79",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,TOSSWILL & CO,129438809,"26,219.09",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,KHAN SOLICITORS LTD,129439058,"26,142.91",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ROWE SPARKES SOLICITORS LTD,129464132,"25,949.93",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,MELDRUM SOLICITORS LLP [ADVOCATE],129439025,"25,886.56",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ANTHONY COLLINS LLP,129497056,"25,872.76",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BOWERMANS,129494012,"25,495.11",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,JOHN MYERS,129470610,"25,401.60",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,IRWIN MITCHELL LLP,129497273,"25,352.76",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,BOWERMANS,129494174,"25,222.53",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,ABBEY SOLICITORS,129429343,"25,215.84",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LEGAL AID FUND - Programme Costs,NICHOLAS M BARRACLOUGH,129412390,"25,166.16",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,15/7/2013,,LAA Administration Costs,MINISTRY OF JUSTICE,1511,"33,567.18",Recovery from othe Government Dept Specialist Contractors costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,CAPGEMINI UK PLC,1014995,"54,000.00",IDP system costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,CAPGEMINI UK PLC,1014995,"144,475.92",IDP system costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,BRAMBLE.CC LTD,1014991,"30,993.90",IT costs to implement change request re Eforms,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),1516,"351,626.16",Set up cost for Shared Services Centre,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,NORTHGATE INFORMATION SOLUTIONS UK LTD,1015068,"32,113.10",Managed Service and Network Connection monthly charges - Line 1  and Line 2,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,MINISTRY OF JUSTICE,1515,"205,260.48",Recovery from othe Government Dept - IDP costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,17/7/2013,,LAA Administration Costs,DST OUTPUT (LONDON) LTD,1015021,"78,869.16",Printing & document production costs,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,ASHFORDS LLP,129275511,"104,294.08",Legal Aid Payments: Civil Representation,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,BINDMANS LLP,129617276,"96,320.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,ANUJA R DHIR QC,129616704,"93,191.46",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,OLIVER S P BLUNT,129639541,"89,711.12",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,PAUL CROWLEY & CO SOLICITORS LTD,129617172,"88,315.64",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,JAMES A D WOOD QC,129639556,"86,746.00",Legal Aid Payments: Crime Higher,,,,,
MINISTRY OF JUSTICE,LEGAL AID AGENCY,22/7/2013,,LEGAL AID FUND - Programme Costs,HICKMAN & ROSE,129626990,"79,588.59",Legal Aid Payments: Crime Higher,,,,,
