2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: May 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number, Amount 
Dept. for Education,QCDA,10/05/2010,Professional Services Learning & Development,General Qualifications Programme,O C R,PBAC/00126693,"107,684.75"
Dept. for Education,QCDA,05/05/2010,ICT,Corporate Support,Open Text UK Ltd,PBAC/00126417,"73,551.51"
Dept. for Education,QCDA,05/05/2010,ICT,Corporate Support,PCUBED,PBAC/00126465,"122,494.69"
Dept. for Education,QCDA,05/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00126517,"197,219.42"
Dept. for Education,QCDA,12/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00126794,"891,976.03"
Dept. for Education,QCDA,14/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00126930,"27,164.93"
Dept. for Education,QCDA,21/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00127096,"39,047.56"
Dept. for Education,QCDA,24/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00127151,"554,845.17"
Dept. for Education,QCDA,26/05/2010,Personnel Related,Corporate Support,PENNA PLC,PBAC/00127307,"109,377.11"
Dept. for Education,QCDA,27/05/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,Pindar,PBAC/00127350,"103,651.86"
Dept. for Education,QCDA,19/05/2010,Professional Services Consultancy,Diploma Programme,PriceWaterhouseCoopers,PBAC/00127021,"669,601.37"
Dept. for Education,QCDA,20/05/2010,Professional Services Consultancy,Diploma Programme,PriceWaterhouseCoopers,PBAC/00127023,"38,556.45"
Dept. for Education,QCDA,27/05/2010,Professional Services Consultancy,Curriculum Development Programme,PriceWaterhouseCoopers,PBAC/00127363,"36,738.56"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00126397,"271,168.52"
Dept. for Education,QCDA,25/05/2010,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00127185,"259,000.00"
Dept. for Education,QCDA,05/05/2010,Facilities,Corporate Support,SGP Property & Facilities Management Ltd,PBAC/00126442,"512,347.79"
Dept. for Education,QCDA,05/05/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00126416,"847,368.35"
Dept. for Education,QCDA,13/05/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00126831,"51,521.82"
Dept. for Education,QCDA,26/05/2010,ICT,Corporate Support,Steria Services Ltd,PBAC/00127312,"125,900.08"
Dept. for Education,QCDA,05/05/2010,Professional Services Learning & Development,Curriculum Development Programme,The University of Northampton,PBAC/00126496,"27,100.00"
Dept. for Education,QCDA,07/05/2010,Professional Services Learning & Development,Test Delivery Operations Programme,University of Cambridge,PBAC/00126581,"26,000.00"
Dept. for Education,QCDA,06/05/2010,Professional Services Learning & Development,Assessment & Test Policy Programme,UNSW Global PTY LTD,PLFP/00000012,"34,832.00"
Dept. for Education,QCDA,05/05/2010,Professional Services Consultancy,Corporate Support,White Consultants Ltd,PBAC/00126419,"93,058.89"
