Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,HAFS-20982," 1,000,000.00 ",,NN16 8UZ,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,KINGS COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-20983," 6,832,000.00 ",,SE5 9RS,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,LEWISHAM AND GREENWICH NHS TRUST,HAFS-20984," 3,000,000.00 ",,SE13 6LH,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,MID ESSEX HOSPITAL SERVICES NHS TRUST,HAFS-20985," 6,000,000.00 ",,CM8 2TL,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-20986," 11,543,000.00 ",,WF1 4TU,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-20987," 3,390,000.00 ",,MK6 5LD,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-20988," 6,000,000.00 ",,BS1 2NP,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,HAFS-20989," 2,038,000.00 ",,NN1 5BD,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,HAFS-20990," 2,514,000.00 ",,DN15 7BH,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PLYMOUTH HOSPITALS NHS TRUST,HAFS-20991," 13,700,000.00 ",,WF3 1WE,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-20992," 700,000.00 ",,CM20 1QX,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,HAFS-20993," 3,000,000.00 ",,CM20 1QX,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HAFS-20994," 1,341,000.00 ",,HA7 4LP,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-20995," 4,763,000.00 ",,NG17 4JL,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-20996," 2,500,000.00 ",,SS2 6GE,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,HAFS-20997," 2,500,000.00 ",,OL6 9RW,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,THE IPSWICH HOSPITAL NHS TRUST,HAFS-20998," 4,000,000.00 ",,IP4 5PD,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-20999," 4,417,000.00 ",,PE30 4ET,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,THE QUEEN ELIZABETH HOSPITAL KINGS LYNN NHS FOUNDATION TRUST,HAFS-21000," 1,360,000.00 ",,PE30 4ET,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-21001," 6,305,000.00 ",,LN2 5QY,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-21002," 3,741,000.00 ",,LE5 4QF,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,HAFS-21003," 1,004,000.00 ",,WS2 9PS,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,HAFS-21004," 608,000.00 ",,WA7 2DA,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,HAFS-21005," 2,561,000.00 ",,WD18 0BH,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21006," 500,000.00 ",,IP33 3QZ,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21007," 300,000.00 ",,IP33 3QZ,PUBLIC,,,
,,11/04/2016,Additions FT Financing Facility Loans,DG: Holding CT Core,WEST SUFFOLK NHS FOUNDATION TRUST,HAFS-21008," 1,000,000.00 ",,IP33 3QZ,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WHITTINGTON HOSPITAL NHS TRUST,HAFS-21009," 2,900,000.00 ",,N19 5NF,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,HAFS-21010," 4,053,000.00 ",,BA21 4AT,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,HAFS-21011," 4,397,000.00 ",,DN2 5LT,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,SOUTHPORT & ORMSKIRK HOSPITAL NHS TRUST,HAFS-21012," 1,122,000.00 ",,PR8 6PT,PUBLIC,,,
,,11/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,HAFS-21013," 3,000,000.00 ",,CH63 4JY,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,HAFS-21014," 11,407,000.00 ",,WR5 1DD,PUBLIC,,,
,,11/04/2016,Additions NHS Trust Working Capital Loans,DG: Holding CT Core,WYE VALLEY NHS TRUST,HAFS-21015," 3,382,000.00 ",,HR1 2ER,PUBLIC,,,
,,12/04/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-21016," 146,000,000.00 ",,SP4 0JG,PUBLIC,,,
,,12/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-21017," 1,110,000.00 ",,MK6 5LD,PUBLIC,,,
,,18/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-21018," 300,000.00 ",,PR7 1GZ,PUBLIC,,,
,,18/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,HAFS-21019," 1,750,000.00 ",,PR7 1GZ,PUBLIC,,,
,,18/04/2016,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-21020," 4,997,000.00 ",,CW1 4QJ,PUBLIC,,,
,,18/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-21021," 500,000.00 ",,CREWE,PUBLIC,,,
,,18/04/2016,Additions NHS Trust Capital Investment Loans,DG: Holding CT Core,WYE VALLEY NHS TRUST,HAFS-21022," 151,000.00 ",,HR1 2ER,PUBLIC,,,
,,25/04/2016,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,BOLTON NHS FOUNDATION TRUST,HAFS-21023," 171,000.00 ",,BL4 0JR,PUBLIC,,,
,,25/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,BOLTON NHS FOUNDATION TRUST,HAFS-21024," 474,000.00 ",,BL4 0JR,PUBLIC,,,
,,25/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-21025," 2,500,000.00 ",,UB9 6JH,PUBLIC,,,
,,25/04/2016,Additions NHS FTs Capital Investment Loans,DG: Holding CT Core,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,HAFS-21026," 2,500,000.00 ",,UB9 6JH,PUBLIC,,,
,,25/04/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-21027," 35,000,000.00 ",,LS1 4PL,PUBLIC,,,
,,13/04/2016,Revenue Grants to Other Bodies,DG: STRATEGY & EXTERNAL RELATIONS,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),ERS-554148-119081," 14,000,000.00 ",2016/012 NHS Business Services Authority: project- Social Work Bursaries (SWB),NE1 6SN,PUBLIC,,,
,,08/04/2016,Publicity & advertising,DG: STRATEGY & EXTERNAL RELATIONS,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,MON301," 30,000.00 ",Contribution to NHS Improvement event February 2016,SW1Y 4RB,PUBLIC,,,
,,21/04/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672749," 242,400.00 ",HSCIC - POSA Funding 2015 to 2016,WF3 1WE,PUBLIC,,,
,,21/04/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672748," 364,636.80 ",HSCIC funding for RIS Work Milestones 1 - 8 POSA,WF3 1WE,PUBLIC,,,
,,18/04/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",EAST LONDON NHS FOUNDATION TRUST,10423619," 80,208.00 ",Develop International Benchmarks for Mental Health Services Aug-Mar 16,E1 1RD,PUBLIC,,,
,,13/04/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",THE ROTHERHAM NHS FOUNDATION TRUST,6015777," 90,000.00 ",Transforming Local Services for Child Sex Abuse - Rotherham,S60 2UD,PUBLIC,,,
,,12/04/2016,Outsourcing Contract,"DG: SOCIAL CARE, LOCAL GROWTH & CARE PARTNERSHIPS",SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,M0100078," 135,011.00 ",Funding for Tunisia/Paris screening treat programme,BR3 3BX,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-554666-119608," 87,086.00 ",Research Capability Funding (STANDARD),OX4 2GX,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS BLOOD AND TRANSPLANT (NHSBT),ERS-554665-119621," 64,227.00 ",Research Capability Funding (STANDARD),LS15 7TW,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-554664-119609," 56,774.00 ",Research Capability Funding (STANDARD),CB1 5EE,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS OXFORDSHIRE CCG 10Q,ERS-554660-119623," 47,223.00 ",Research Capability Funding (STANDARD),OX4 2LH,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NHS BRISTOL CCG 11H,ERS-554659-119624," 90,045.00 ",Programme Grants for NHS Trusts,BS1 3NX,PUBLIC,,,
,,28/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-554648-119606," 111,999.00 ",Programme Grants for NHS Trusts,SE1 9RT,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-554595-119530," 134,719.00 ",Research Capability Funding (STANDARD),SO52 9AB,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-554595-119530," 16,666.00 ",Experimental Cancer Medicine Centres,SO52 9AB,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE WALTON CENTRE NHS FOUNDATION TRUST,ERS-554591-119527," 26,001.00 ",Research Capability Funding (STANDARD),L9 7LJ,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE SOLENT NHS TRUST R1C,ERS-554590-119568," 39,896.00 ",Research Capability Funding (STANDARD),SO16 4XE,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-554588-119537," 21,250.00 ",Experimental Cancer Medicine Centres,SM2  5PT,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ERS-554588-119537," 8,537.66 ",Bio-Medical Centres,SM2  5PT,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE CHRISTIE NHS FOUNDATION TRUST,ERS-554587-119526," 20,376.00 ",Research Capability Funding (STANDARD),M20 4BX,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,THE CHRISTIE NHS FOUNDATION TRUST,ERS-554587-119526," 20,833.00 ",Experimental Cancer Medicine Centres,M20 4BX,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,ERS-554584-119542," 333,748.00 ",Research Capability Funding (STANDARD),BR3 3BX,PUBLIC,,,
,,05/04/2016,Outsourcing Contract,"DG: INNOVATION, GROWTH & TECHNOLOGY",HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12672626," 170,000.00 ",HSCIC CPA - eMEDS3,LS1 6AE,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-554582-119531," 8,333.00 ",Experimental Cancer Medicine Centres,S5 7AU,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-554582-119531," 128,380.00 ",Research Capability Funding (STANDARD),S5 7AU,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-554578-119538," 32,549.00 ",Research Capability Funding (STANDARD),L7 8XP,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-554577-119522," 45,824.00 ",Research Capability Funding (STANDARD),NW3 1QG,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-554576-119529," 66,801.00 ",Research Capability Funding (STANDARD),EX2 5DW,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-554573-119541," 455,941.00 ",Research Capability Funding (STANDARD),OX3 7HE,PUBLIC,,,
,,27/04/2016,Research & development,DG: RESEARCH & DEVELOPMENT,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-554572-119551," 152,398.00 ",Research Capability Funding (STANDARD),NG7 2UK,PUBLIC,,,
