Posted date,Internal voucher No.,  Invoice Line amount Net GBP  ,Supplier Name,Account Code Description
08/07/2016,7056617,"150,584.00",PUBLIC ORGANISATION HROMADSKE RADIO,Programme Spend (Oracle Projects Control Account)
14/07/2016,7107428,"149,345.83",HOTELLINE FOR TOURISTIC INVESTMENT LTD,Multiple Accounts
14/07/2016,7108436,"149,202.40",GARDA WORLD LTD,UK Guarding Contracts Overseas
22/07/2016,7185434,"144,153.64",FCO SERVICES,Travel Package
22/07/2016,7186541,"142,160.91",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
19/07/2016,7144531,"140,182.00",PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
26/07/2016,7211471,"136,215.76",SECUREX AGENCIES LTD,Staff and Other Advances AP Control (Oracle Ap Control Account)
29/07/2016,7263456,"135,184.00",MILTON KEYNES COUNCIL,Rates Taxes Non-Residential
19/07/2016,7143554,"133,715.63",INTERSERVE FM LTD,Construction Project more than £10k
13/07/2016,7094545,"132,414.00",PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
05/07/2016,7031493,"129,287.27",GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy
28/07/2016,7251426,"128,131.80",ADP,Multiple Accounts
28/07/2016,7253509,"127,559.38",AIR PARTNER TRAVEL,Consular Crisis Expenditure
11/07/2016,7069962,"126,547.83",SINVEST HARMINCAD 6 KFT,Multiple Accounts
05/07/2016,7031440,"125,000.00",GREAT BRITAIN-CHINA CENTRE,Programme Spend (Oracle Projects Control Account)
12/07/2016,7081563,"125,000.00",PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
04/07/2016,7023160,"122,914.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186550,"122,853.64",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
06/07/2016,7046444,"122,121.85",AFRICAN SKIES LTD,Local Guards
05/07/2016,7032475,"122,031.36",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
28/07/2016,7249441,"121,995.22",ADP,Multiple Accounts
19/07/2016,7143761,"120,244.00",FCO SERVICES,Misc Security Payments
28/07/2016,7247484,"120,111.30",GIZ UKRAINE,Programme Spend (Oracle Projects Control Account)
29/07/2016,7264430,"120,000.00",UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
21/07/2016,7171470,"118,434.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
28/07/2016,7253486,"118,023.75",DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
14/07/2016,7109475,"117,500.00",PEACE DIRECT,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186533,"116,794.71",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
28/07/2016,7250435,"116,161.80",ADP,Multiple Accounts
28/07/2016,7251441,"115,734.17",INDEPENDENT DIPLOMATS,Programme Spend (Oracle Projects Control Account)
22/07/2016,7183460,"115,582.19",ARTEOS GMBH,Security: Works Non-Residential
22/07/2016,7186527,"115,438.90",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
22/07/2016,7186526,"113,322.28",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
07/07/2016,7053637,"111,954.34",VODAFONE LTD CABLE AND WIRELESS UK,Telephone line and equipment rental charges
05/07/2016,7035450,"111,093.92",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
29/07/2016,7264481,"109,132.23",FCO SERVICES,Specialist Contractors
29/07/2016,7263514,"108,786.00",AFGHANAID,Programme Spend (Oracle Projects Control Account)
12/07/2016,7081550,"107,413.33",ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account)
07/07/2016,7053805,"106,765.76",HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
08/07/2016,7056450,"104,460.03",COUNCIL OF THE EUROPEAN UNION,Interpreter Fees
01/07/2016,7009447,"103,197.24",BRITISH CENTERS FOR BUSINESS OVERSEAS LIMITED (DUBAI BRANCH),Miscellaneous Expenditure: inc subscriptions and equipment maintenance
29/07/2016,7264460,"100,823.87",FCO SERVICES,Specialist Contractors
22/07/2016,7186567,"95,981.09",CAPGEMINI UK PLC,Multiple Accounts
05/07/2016,7035426,"94,122.49",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
14/07/2016,7107821,"93,596.05",PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
11/07/2016,7071426,"93,487.77",ABROTEA BULGARIA AD,Multiple Accounts
27/07/2016,7229606,"93,435.18",BRITISH TELECOM PLC,Multiple Accounts
21/07/2016,7173425,"92,281.00",FOUNDATION HIRONDELLE,Programme Spend (Oracle Projects Control Account)
29/07/2016,7264464,"92,087.48",FCO SERVICES,Specialist Contractors
22/07/2016,7185462,"91,506.94",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
20/07/2016,7167436,"91,216.51",EDENRED,Consolidated Volunteer Contribution
20/07/2016,7156528,"91,173.23",ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
20/07/2016,7151943,"91,078.12",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
21/07/2016,7173465,"90,926.00",FOUNDATION HIRONDELLE,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186543,"89,494.34",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
20/07/2016,7157509,"88,662.82",VOYA FINANCIAL,Multiple Accounts
22/07/2016,7179424,"88,575.36",SSK,Multiple Accounts
21/07/2016,7171457,"88,557.00",FCO SERVICES,Misc Security Payments
28/07/2016,7253475,"88,267.35",FUNDACION ACCION CONTRA EL HAMBRE,Programme Spend (Oracle Projects Control Account)
29/07/2016,7263492,"88,095.61",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
08/07/2016,7056554,"87,700.00",DSFA  DIPLOMATIC SERVICE FAMILIES ASSOCIATION,DSFA
18/07/2016,7124750,"86,358.65",BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
27/07/2016,7228458,"86,175.10",CONTRIBUTORY PROVIDENT FUND,Multiple Accounts
22/07/2016,7186547,"85,220.26",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
21/07/2016,7169511,"84,044.73",PAKISTAN PEACE COLLECTIVE,Programme Spend (Oracle Projects Control Account)
14/07/2016,7111445,"83,208.00",COMPUTACENTER UK LTD,IT/IS Consultancy
14/07/2016,7108451,"83,182.62",EUROPEAN PARLIAMENT,Protocol - General VAT Refunds to Other Organisations
04/07/2016,7022730,"83,067.50",MINIMAL RISK CONSULTANCY LTD,UK Guarding Contracts Overseas
15/07/2016,7117509,"82,951.16",LEVEL 3 COMMUNICATIONS UK LTD,Telephone line and equipment rental charges
01/07/2016,7018425,"82,764.97",VOYA FINANCIAL,Multiple Accounts
05/07/2016,7035583,"82,487.40",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
25/07/2016,7201482,"82,000.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
29/07/2016,7264472,"80,659.10",FCO SERVICES,Specialist Contractors
15/07/2016,7115507,"80,451.00",PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229573,"78,723.07",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
25/07/2016,7191773,"76,521.30",CRIMINAL JUSTICE TASK FORCE - CJTF,Recharge Suspense Account (Oracle PA Control Account)
19/07/2016,7144521,"75,967.82",CROWN COMMERCIAL SERVICE,Wdhs/Wsds
04/07/2016,7022722,"75,575.00",INTEGRITY RESEARCH AND CONSULTANCY LTD,Programme Spend (Oracle Projects Control Account)
29/07/2016,7263460,"75,042.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
13/07/2016,7103427,"75,000.00",FCO SERVICES,Information Systems Maintenance
06/07/2016,7047464,"74,449.47",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
05/07/2016,7035445,"73,786.50",FCO SERVICES,Despatch Charges
27/07/2016,7229552,"73,579.75",IKA,Multiple Accounts
22/07/2016,7186508,"70,577.59",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
14/07/2016,7110511,"69,698.65",OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
22/07/2016,7183425,"69,353.10",SKA INTERNATIONAL GROUP,Multiple Accounts
22/07/2016,7185437,"68,593.93",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
01/07/2016,7018468,"68,521.47",THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
21/07/2016,7171467,"67,703.82",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
22/07/2016,7178553,"67,066.03",SSK,Multiple Accounts
27/07/2016,7227441,"66,605.35",IESCO,Multiple Accounts
19/07/2016,7143633,"65,981.18",INTERSERVE FM LTD,Multiple Accounts
04/07/2016,7023445,"65,000.00",INTERNATIONAL CENTRE FOR MIGRATION POLICY DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186503,"64,449.74",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
05/07/2016,7030520,"64,261.41",LUCONEX SRL,Rental Payments - non residential
25/07/2016,7202563,"62,897.35",THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Sponsorship (Income and Expenditure)
14/07/2016,7107849,"62,726.68",INTERNATIONAL FINANCE CORPORATION,Protocol - General VAT Refunds to Other Organisations
22/07/2016,7178479,"62,089.75",STANDARD BANK OF MALAWI,Multiple Accounts
05/07/2016,7034441,"60,196.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
21/07/2016,7171588,"60,196.00",BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Specialist Contractors
28/07/2016,7252457,"59,537.50",IIZUKA,Assets Under Construction (Oracle PA Control Account)
19/07/2016,7143686,"59,091.18",INTERSERVE FM LTD,Multiple Accounts
14/07/2016,7107609,"57,633.94",INTERSERVE FM LTD,Multiple Accounts
22/07/2016,7181448,"57,036.94",COLLIERS INTERNATIONAL,Multiple Accounts
05/07/2016,7035539,"56,992.60",HESCO BASTION LIMITED,Assets Under Construction (Oracle PA Control Account)
26/07/2016,7212439,"56,862.78",SISTEMA INTEGRADO MULTIPLE DE PAGOS,Multiple Accounts
04/07/2016,7022756,"56,733.49",CHP CASHBOX TOP UP,Interbank Transfers/Withdrawals
22/07/2016,7183462,"56,560.87",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
15/07/2016,7115671,"56,174.15",MOD MINISTRY OF DEFENCE,Publications
19/07/2016,7144523,"55,622.08",CROWN COMMERCIAL SERVICE,Wdhs/Wsds
07/07/2016,7052583,"55,418.11",AETNA,Multiple Accounts
25/07/2016,7195441,"54,961.36",Elixir Solutions,Programme Spend (Oracle Projects Control Account)
14/07/2016,7107689,"53,910.93",PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
06/07/2016,7048450,"53,376.70",RTKL-UK LTD,Assets Under Construction (Oracle PA Control Account)
01/07/2016,7019582,"52,924.00",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
20/07/2016,7151919,"52,813.42",HARIS ENTERPRISES PVT LTD,Local Guards
07/07/2016,7051837,"52,737.42",JUFFALI INDUSTRIAL PRODUCTS CO,Assets Under Construction (Oracle PA Control Account)
27/07/2016,7234424,"52,190.92",HUMANIS,Multiple Accounts
22/07/2016,7178468,"52,028.30",BARCLAYS BANK PLC,Interbank Transfers/Withdrawals
01/07/2016,7019577,"51,849.30",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
22/07/2016,7185441,"51,521.25",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
04/07/2016,7022929,"51,273.99",SOFTMANAGEMENT SA,Programme Spend (Oracle Projects Control Account)
14/07/2016,7108446,"50,938.90",SERVEST MULTI SERVICE GROUP,Manned Guarding Services
25/07/2016,7194454,"50,377.40",INSTITUTO DE GESTAO FINANCEIRA DA SEGURANCA SOCIAL,Multiple Accounts
19/07/2016,7143514,"50,352.08",INTERSERVE FM LTD,Multiple Accounts
25/07/2016,7203434,"50,000.00",QUEENS UNIVERSITY BELFAST,Programme Spend (Oracle Projects Control Account)
27/07/2016,7229705,"50,000.00",UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186542,"49,809.04",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
11/07/2016,7068810,"49,586.14",COLLEGE OF POLICING,Programme Spend (Oracle Projects Control Account)
22/07/2016,7186521,"49,240.71",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
12/07/2016,7081554,"49,211.60",COMPUTACENTER UK LTD,Specialist Contractors
28/07/2016,7254425,"48,566.77",AETNA,Multiple Accounts
25/07/2016,7198427,"48,344.74",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
11/07/2016,7075766,"48,132.00",CAPITA BUSINESS SERVICES LTD,Language Exams (excl Hays)
25/07/2016,7194453,"47,991.75",CYBERGREEN INSTITUTE,Programme Spend (Oracle Projects Control Account)
14/07/2016,7111447,"47,674.00",COMPUTACENTER UK LTD,IT/IS Consultancy
13/07/2016,7104514,"47,298.48",JAT CONSTROI,Rental Payments - non residential
12/07/2016,7081518,"47,235.58",TNT EXPRESS,Specialist Contractors
01/07/2016,7019536,"47,152.03",DIYA FATIMILEHIN AND CO,Recharge Suspense Account (Oracle PA Control Account)
22/07/2016,7186515,"47,096.96",ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
07/07/2016,7053071,"46,521.14",UNOPS,Specialist Contractors
26/07/2016,7211427,"46,392.95",OYSTERBAY RENOVATIONS,Rental Payments - residential
04/07/2016,7023036,"46,075.42",AIR SCIENCE,Programme Spend (Oracle Projects Control Account)
04/07/2016,7022859,"45,767.10",TOYOTA EAST AFRICA LTD,Recharge Suspense Account (Oracle PA Control Account)
21/07/2016,7171434,"45,358.81",CAISSE NATIONALE DE SECU SOCIA,Multiple Accounts
14/07/2016,7108457,"45,261.43",EUROCONTROL,Protocol - General VAT Refunds to Other Organisations
22/07/2016,7186512,"45,184.05",ISS FACILITY SERVICES LTD FCO OP,Recharge Suspense Account (Oracle PA Control Account)
05/07/2016,7032501,"44,990.02",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
05/07/2016,7030877,"44,689.50",BRIGHT HORIZONS FAMILY SOLUTION LTD,FCO KCS Nursery
05/07/2016,7030873,"44,120.74",ZAVOD ZA VODOPRIVREDU DD SARAJEVO,Multiple Accounts
22/07/2016,7186540,"44,107.34",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
25/07/2016,7198425,"44,047.55",COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
27/07/2016,7236430,"43,617.46",THE ROYAL BANK OF SCOTLAND,Children's Concessionary Journeys
04/07/2016,7022542,"43,617.18",NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
05/07/2016,7037461,"43,466.78",RANGER PROTECTION AND SECURITY COMPANY LTD,Local Guards
18/07/2016,7124727,"43,400.00",WTG TECHNOLOGIES LIMITED,Assets Under Construction (Oracle PA Control Account)
08/07/2016,7056649,"43,285.01",TAAM PETROLEUM LTD,Fuel Oil Residential
15/07/2016,7115553,"43,237.22",FCO SERVICES,Information Systems Implementation
29/07/2016,7263602,"43,111.00",SAFERWORLD,Programme Spend (Oracle Projects Control Account)
22/07/2016,7178444,"43,047.26",SOCIAL SECURITY CONTRIBTN AUTHORITY,Multiple Accounts
19/07/2016,7143892,"42,901.10",NORTHCREST RESTORATION INC,Construction Project more than £10k
22/07/2016,7185456,"42,699.36",FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
28/07/2016,7261575,"42,597.00",THE ASIA FOUNDATION,Programme Spend (Oracle Projects Control Account)
18/07/2016,7124595,"42,458.47",BEIJING ART UNION GUANGLIAN CULTURE MEDIA CO LTD,Exhibitions
07/07/2016,7052586,"42,278.23",AETNA,Multiple Accounts
01/07/2016,6915633,"42,156.88",IHG RUIJIN,Business Hospitality (former DEE)
19/07/2016,7143911,"42,106.17",A T AND T MOBILITY,Multiple Accounts
21/07/2016,7171809,"42,000.00",THE BRITISH RUSSIAN CENTRE AND THE BRITISH EAST WEST CENTER,Programme Spend (Oracle Projects Control Account)
15/07/2016,7117649,"41,688.70",REDBASE SERVICE CC,Assets Under Construction (Oracle PA Control Account)
04/07/2016,7022704,"41,568.00",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
08/07/2016,7064432,"41,404.81",CASA DE LOS SUENOS SA,Rental Payments - residential
28/07/2016,7252463,"41,265.41",URSSAF,Multiple Accounts
22/07/2016,7186552,"41,234.66",ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
25/07/2016,7202466,"41,187.50",FCO SERVICES,Information Systems Maintenance
27/07/2016,7229735,"40,684.00",IIZUKA,Information Systems Maintenance
04/07/2016,7022848,"40,643.25",TOYOTA EAST AFRICA LTD,Recharge Suspense Account (Oracle PA Control Account)
04/07/2016,7022851,"40,643.25",TOYOTA EAST AFRICA LTD,Recharge Suspense Account (Oracle PA Control Account)
04/07/2016,7022855,"40,643.25",TOYOTA EAST AFRICA LTD,Recharge Suspense Account (Oracle PA Control Account)
01/07/2016,6928441,"40,641.75",COREO WLL,Rental Payments - residential
29/07/2016,7263471,"40,598.75",CHAI KHANA,Programme Spend (Oracle Projects Control Account)
15/07/2016,7115433,"40,526.92",AETNA,Multiple Accounts
15/07/2016,7115703,"40,504.00",CROWN AGENTS,Programme Spend (Oracle Projects Control Account)
